1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,2892,1128,274,191,300,19,68,44,-348,1,-853,1764,1764,-649,1813,-24,359,19,246,0,1,0,360920
1957:Q1,3721,237,771,292,285,33,67,8,86,742,1276,3484,3483,-123,2591,-31,798,81,168,0,0,0,364641
1957:Q2,2722,-416,789,258,279,28,17,23,185,-442,764,3138,3137,772,1828,-24,77,37,447,0,0,0,367362
1957:Q3,3755,49,831,235,293,26,90,39,150,49,831,3706,3704,1208,1584,29,371,37,476,0,0,0,371118
1957:Q4,2160,460,407,214,323,26,91,52,-297,-79,-131,1700,1700,-592,761,79,658,5,789,0,0,0,373277
1958:Q1,6005,692,1145,412,323,-3,-69,12,469,1273,1725,5312,5312,-245,2495,-79,135,94,2912,0,0,0,379282
1958:Q2,3331,46,1000,400,335,22,-100,28,316,567,1521,3285,3284,513,2121,8,442,8,191,0,0,0,382613
1958:Q3,3025,863,1308,445,342,41,-94,44,531,920,1365,2162,2164,254,874,31,240,-22,788,0,0,0,385638
1958:Q4,1732,1224,1491,519,369,58,-2,66,483,-3,264,507,511,545,666,14,274,-26,-964,0,1,0,387370
1959:Q1,713,-782,1024,559,379,53,24,25,-16,333,2139,1495,1496,88,1198,73,319,-39,-143,0,0,0,388083
1959:Q2,-424,-2359,840,579,420,52,99,41,-351,-812,2388,1935,1936,397,1724,-3,275,76,-532,0,0,0,387659
1959:Q3,-297,-1619,703,557,447,33,125,53,-512,-415,1907,1322,1323,308,1553,-13,229,74,-829,0,0,0,387362
1959:Q4,1368,246,719,540,429,26,19,65,-360,-1247,-775,1121,1123,422,1635,-16,118,73,-1108,0,1,0,388729
1960:Q1,2941,-126,1847,503,434,32,100,-9,787,755,2729,3067,3068,2653,421,-9,2,16,-16,0,0,0,391670
1960:Q2,1055,-896,1263,441,417,26,26,1,353,-737,1423,1951,1950,2571,295,-7,294,7,-1210,0,0,0,392725
1960:Q3,2947,-129,1244,445,406,29,-109,36,438,51,1424,3076,3074,2306,394,-11,154,42,188,0,0,0,395672
1960:Q4,2999,212,464,505,439,23,-171,65,-396,-468,-216,2787,2789,1919,128,-16,34,33,691,0,0,0,398671
1961:Q1,2313,-1395,879,548,458,21,-125,21,-43,601,2874,3708,3707,2058,1338,-11,15,13,293,0,0,0,400984
1961:Q2,3656,-223,1250,614,416,24,-66,48,215,-31,1442,3879,3880,3038,1717,-4,15,17,-903,0,0,0,404641
1961:Q3,5214,268,1723,736,407,26,-73,69,558,410,1865,4946,4945,2564,1671,-11,28,44,649,0,0,0,409854
1961:Q4,6051,1530,1909,830,390,23,-20,80,606,-339,39,4520,4519,2339,1880,-14,83,34,197,0,0,0,415905
1962:Q1,4937,261,2235,874,419,20,91,23,810,525,2498,4675,4677,2476,1954,-11,113,-6,152,0,0,0,420842
1962:Q2,3237,-626,1920,945,468,25,103,35,345,-380,2166,3862,3862,2505,1681,-15,138,29,-476,0,0,0,424078
1962:Q3,4854,233,2030,959,513,28,92,46,392,124,1921,4621,4620,2224,1341,-22,147,1,929,0,0,0,428933
1962:Q4,4046,641,1895,965,505,30,88,54,255,-367,887,3405,3405,2024,1772,-13,-28,18,-369,0,0,0,432978
1963:Q1,1961,423,2426,1030,519,32,107,12,729,393,2396,1538,1538,-26,2604,-13,149,-21,-1156,0,0,0,434939
1963:Q2,117,-319,2227,1156,594,35,141,25,278,-186,2360,436,437,-738,1878,-2,89,39,-829,0,0,0,435056
1963:Q3,-28,725,2232,1182,584,36,205,35,190,110,1617,-753,-753,-2187,2125,-2,161,62,-912,0,0,0,435029
1963:Q4,3573,1292,2556,1275,558,35,249,53,387,-357,908,2281,2283,1077,2059,-5,173,75,-1096,0,0,0,438601
1964:Q1,894,538,2472,1391,614,38,288,-11,152,426,2360,356,356,-1123,2084,-9,162,34,-793,0,0,0,439495
1964:Q2,5310,-424,2276,1314,617,38,293,6,10,148,2848,5735,5735,3008,3174,-10,201,78,-716,0,0,0,444805
1964:Q3,4370,498,2158,1264,614,38,313,15,-85,404,2065,3872,3872,991,2204,-4,158,55,468,0,0,0,449175
1964:Q4,9117,1726,2266,1229,616,35,311,13,63,-70,469,7391,7392,4081,3287,-7,152,39,-160,0,0,0,458292
1965:Q1,5034,625,2948,1152,719,46,370,-5,665,369,2692,4409,4408,132,3370,-8,356,42,517,0,0,0,463326
1965:Q2,4887,-50,3017,1121,826,45,363,2,660,-48,3019,4937,4938,559,3112,-16,237,78,967,0,0,0,468213
1965:Q3,3866,1114,3025,1094,810,43,441,6,630,371,2281,2751,2751,459,2815,-36,421,96,-1003,0,0,0,472078
1965:Q4,13113,2035,3093,1081,883,49,485,13,582,-50,1008,11078,11079,5409,4148,-22,45,45,1454,0,0,0,485191
1966:Q1,2703,85,3154,1118,936,50,407,-6,649,489,3558,2618,2618,-749,2044,-4,382,90,855,0,0,0,487894
1966:Q2,13979,-116,2522,1012,894,40,452,-4,128,-107,2531,14095,14093,8823,4361,-0,588,62,260,0,0,0,501873
1966:Q3,6005,1643,2616,889,894,44,456,2,333,690,1664,4363,4364,767,2547,5,597,28,419,0,0,0,507878
1966:Q4,10811,1828,2579,685,795,32,524,9,533,-21,730,8984,8983,6291,3813,-2,883,46,-2047,0,0,0,518690
1967:Q1,4279,1427,2704,620,875,33,321,-35,891,501,1779,2852,2852,1200,2425,-1,500,26,-1297,0,0,0,522969
1967:Q2,5515,-754,2542,765,771,33,350,-35,658,108,3404,6268,6270,1643,2991,4,534,102,997,0,0,0,528483
1967:Q3,5336,230,2351,866,762,38,274,-18,429,586,2707,5106,5107,2247,3175,12,635,126,-1088,0,0,0,533820
1967:Q4,9550,-15,2239,1052,757,52,261,6,112,101,2355,9565,9566,4965,4277,18,737,161,-592,0,0,0,543370
1968:Q1,13078,2410,3196,1212,753,57,305,-37,906,-1152,-367,10668,10669,5555,3306,20,469,164,1156,0,0,0,556448
1968:Q2,8225,-141,3672,1389,741,57,149,-10,1347,224,4037,8366,8365,3857,3444,19,808,49,188,0,0,0,564673
1968:Q3,7061,526,2748,1517,710,68,143,4,307,671,2893,6535,6536,1925,3545,18,819,37,193,0,0,0,571734
1968:Q4,16748,317,2561,1732,754,69,207,9,-210,63,2307,16431,16430,10977,4889,24,944,83,-487,0,0,0,588482
1969:Q1,11440,1114,3808,1906,839,72,285,-30,737,603,3297,10326,10326,5241,3371,17,658,144,895,0,0,0,599922
1969:Q2,8944,-1219,3754,1957,859,81,293,-21,585,582,5555,10170,10168,3870,3876,16,761,93,1554,0,0,-7,608866
1969:Q3,3972,-172,3461,1974,950,82,365,-5,96,720,4353,4144,4143,1321,2979,17,993,142,-1309,0,0,0,612838
1969:Q4,10619,367,3057,1805,944,85,398,22,-197,70,2760,10252,10252,4128,3723,19,996,90,1296,0,0,0,623457
1970:Q1,9374,3271,3518,1866,969,84,254,-42,389,585,832,6085,6087,928,3475,17,1101,178,388,0,0,18,632831
1970:Q2,17768,-1493,3325,1767,976,84,278,-23,243,465,5283,19261,19261,11783,6388,30,1032,65,-36,0,0,0,650600
1970:Q3,-4504,-1496,2962,1827,980,88,294,-14,-212,516,4974,-3008,-3006,-5678,1941,9,945,107,-330,0,0,0,646096
1970:Q4,8706,-663,2508,2129,1038,97,101,-11,-844,316,3487,9369,9369,4185,4490,19,1289,126,-740,0,0,0,654802
1971:Q1,20088,1344,4488,2279,1049,95,145,-18,937,3400,6544,18783,18783,8340,6559,21,1315,158,2390,0,0,-40,674889
1971:Q2,15052,-568,5265,2677,1098,102,186,-17,1219,2002,7835,15658,15656,7149,7071,16,1049,24,348,0,0,-37,689942
1971:Q3,15435,1269,5040,2941,1089,104,123,-30,813,2460,6231,14165,14167,6807,7294,14,721,19,-688,0,0,0,705376
1971:Q4,15747,-257,3878,3205,987,117,109,-62,-478,1962,6097,16004,16003,5981,7080,-9,613,-0,2338,0,0,0,721123
1972:Q1,21709,966,4886,3503,1030,130,214,-13,23,2355,6274,20742,20743,7548,10799,7,1096,136,1158,0,0,0,742831
1972:Q2,13946,-3052,5696,3638,956,134,177,-46,838,2654,11402,17311,17312,4846,8932,5,947,70,2511,0,0,-314,756777
1972:Q3,20234,-68,5583,3689,974,146,153,-66,687,2931,8582,20302,20301,9313,9048,-7,754,44,1150,0,0,0,777011
1972:Q4,25303,-2935,5430,3921,1128,154,315,-69,-19,2046,10410,28230,28232,14445,8895,3,463,7,4419,0,1,8,802314
1973:Q1,27595,-2274,5409,3802,1249,165,737,-49,-495,3020,10703,32890,32888,7945,16709,14,1186,120,6914,0,0,-3021,829909
1973:Q2,33273,-238,7581,3468,1500,163,862,-42,1631,2164,9983,38390,38389,13145,17819,25,1751,75,5574,0,0,-4879,863182
1973:Q3,41408,4817,6669,3280,1671,157,749,-41,854,1919,3771,41216,41214,17197,18875,22,1682,73,3365,0,0,-4625,904590
1973:Q4,32907,7009,6688,3029,1623,157,512,-50,1418,1974,1653,29272,29274,10698,18925,27,1295,85,-1755,0,2,-3374,937497
1974:Q1,19431,-4995,4329,2756,1591,162,161,-19,-322,2588,11911,25207,25208,12285,12589,70,2300,175,-2212,0,0,-781,956928
1974:Q2,20116,-7839,4851,2468,1586,167,-69,-25,724,2233,14923,27839,27837,13428,16414,153,3659,162,-5978,0,0,117,977044
1974:Q3,41910,-8258,3882,2142,1492,158,1,-54,143,450,12590,49699,49700,17610,19003,253,5514,183,7138,0,0,469,1018954
1974:Q4,30844,-6700,1790,1273,1523,120,188,-112,-1202,-534,7956,37389,37390,15493,18337,270,6839,193,-3742,0,0,155,1049799
1975:Q1,28716,-3462,3373,868,1493,108,-299,10,1193,115,6950,32178,32178,12927,17255,159,5082,133,-3377,0,0,0,1078515
1975:Q2,29676,-5097,2189,615,1372,107,-109,-56,260,552,7838,34773,34773,9841,14461,88,3618,253,6512,0,0,0,1108191
