1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q2,10958,273,5509,5176,10958,-711,3849,831,246,133,3313,496,143,92,1955,100,168,0,0,346,-3
1981:Q3,10426,283,5332,4811,10426,-980,4421,922,258,201,3265,373,131,102,1499,3,125,0,0,109,-3
1981:Q4,10700,46,-148,10802,10700,-1149,5040,993,302,131,2325,489,55,92,2093,49,67,0,0,215,-2
1982:Q1,7766,873,-879,7772,7766,-2599,5073,540,183,161,2138,339,40,65,1410,0,90,0,0,321,5
1982:Q2,9028,382,-3723,12369,9028,-136,486,472,168,265,4176,396,8,42,1627,1217,174,0,0,127,6
1982:Q3,10639,166,-4362,14835,10639,-125,1634,299,202,191,6559,225,-10,53,487,593,242,0,0,284,5
1982:Q4,9308,440,-1542,10410,9308,-102,2227,161,168,282,3403,118,-18,99,1860,1034,40,0,0,30,6
1983:Q1,12708,1536,-3821,14993,12708,1324,540,162,64,158,6780,31,-57,149,1809,1787,20,0,0,-49,-10
1983:Q2,13885,1281,4285,8319,13885,251,975,279,99,68,9330,-51,-104,205,2060,375,48,0,0,360,-10
1983:Q3,13760,2243,4167,7350,13760,347,-898,569,104,145,9309,-141,-100,206,2793,1005,5,0,0,426,-10
1983:Q4,15449,2435,4302,8712,15449,-18,1187,804,105,-3,9035,357,-74,151,3622,-371,239,0,0,425,-10
1984:Q1,15065,3413,-1799,13451,15065,6,3741,940,15,64,10594,-768,-35,103,939,-1117,55,0,0,487,41
1984:Q2,21279,2013,5804,13462,21279,-148,3681,1003,70,37,13502,-158,-17,76,2778,-379,212,0,0,579,43
1984:Q3,22091,1096,4187,16808,22091,-449,4926,1162,112,80,13708,143,13,90,2253,-631,39,0,0,604,41
1984:Q4,20119,390,1046,18684,20119,-679,3204,1287,99,83,12485,1209,-5,84,1374,481,286,0,0,182,29
1985:Q1,15152,1709,-3149,16592,15152,789,18,947,46,57,9764,-163,-1,205,2246,631,94,0,0,499,20
1985:Q2,18903,126,1752,17025,18903,-522,1600,907,75,141,11368,-73,25,178,3874,841,33,0,85,342,29
1985:Q3,16173,578,-1831,17426,16173,380,584,809,87,237,10742,91,32,150,2888,-255,26,0,-2,373,31
1985:Q4,19535,799,9048,9688,19535,283,1050,732,85,294,6434,272,21,142,7487,701,21,0,481,899,633
1986:Q1,12570,1549,1442,9579,12570,-1255,-2827,195,18,664,11033,431,22,284,3048,437,147,0,-16,333,56
1986:Q2,11592,3111,3294,5187,11592,-402,-1264,190,91,-10,7125,413,15,220,5607,-1463,-52,0,536,511,75
1986:Q3,13307,2366,4087,6854,13307,107,-2246,177,66,-60,9198,406,17,232,4516,-394,326,0,60,877,25
1986:Q4,22712,-2367,6222,18857,22712,445,-5153,-1083,-78,84,18519,1682,6,273,8270,-1190,369,132,-28,618,-154
1987:Q1,14828,2816,3619,8394,14828,978,-5032,-824,17,56,14472,-314,15,96,2309,1540,-147,-5,485,1125,57
1987:Q2,16062,894,11135,4033,16062,-1500,-1374,-1074,90,52,12325,1416,0,306,4191,-190,2,-1,794,1031,-6
1987:Q3,12556,-239,8919,3876,12556,799,-2445,-1024,-1961,189,11190,1458,11,118,3853,-496,64,-2,33,687,82
1987:Q4,30167,2814,22280,5073,30167,0,4717,-678,11,256,11658,2686,26,126,10160,-234,-65,-61,697,750,118
1988:Q1,14896,2039,5518,7339,14896,-19,5591,175,37,192,-2333,2038,58,145,6971,921,68,-5,46,938,73
1988:Q2,22354,1312,935,20107,22354,-22,5882,525,-352,296,7967,1904,86,130,4051,938,195,-17,288,474,9
1988:Q3,24112,1312,8293,14507,24112,-18,6276,575,-988,40,8069,2092,103,137,4367,2077,162,-3,422,671,130
1988:Q4,26251,-92,12537,13806,26251,-7,4207,325,43,-149,9315,2108,109,168,6706,2004,91,0,741,389,201
1989:Q1,11245,2220,4611,4414,11245,3,-4577,-875,-242,56,10028,1550,117,205,3413,105,26,-4,475,1029,-64
1989:Q2,6694,1715,1932,3047,6694,10,-6802,-1024,-1216,126,6871,1941,128,248,4225,637,-118,-8,786,906,-16
1989:Q3,9575,1550,767,7258,9575,19,-6454,-1074,481,45,6272,2363,139,243,4491,730,122,-0,1123,1112,-37
1989:Q4,2149,1724,-6720,7144,2149,27,-6996,-1027,77,184,-1479,2272,147,190,6010,1226,-116,-0,1363,231,40
1990:Q1,12553,1729,15185,-4361,12553,38,-4176,-438,2056,271,-1543,5572,157,155,5155,3174,-39,-1,964,1226,-18
1990:Q2,3926,1556,2839,-468,3926,52,891,-582,2312,218,-8200,2784,161,137,3761,634,9,-1,-79,1836,-7
1990:Q3,3790,1738,4124,-2072,3790,55,-1235,-599,4221,52,-4148,2781,179,97,670,317,172,-0,236,998,-6
1990:Q4,1898,2262,1963,-2327,1898,46,-1313,-605,394,126,-3922,4208,209,36,710,210,724,-0,659,551,-135
1991:Q1,7621,2176,7103,-1658,7621,30,880,-893,3977,74,-850,3595,159,-26,1759,-1102,375,-0,518,-836,-39
1991:Q2,4367,2191,1531,644,4367,8,-1,-659,3207,211,-3481,2569,232,-93,2532,-1468,-100,-2,936,496,-20
1991:Q3,-11847,2193,-6339,-7701,-11847,24,1832,-1517,-126,-40,-11380,848,207,-126,-949,-1013,167,-1,195,80,-48
1991:Q4,-13035,2180,-7891,-7324,-13035,78,1157,-651,691,306,-7072,1753,93,-129,-8691,-1289,389,-1,788,-370,-87
1992:Q1,-9177,1664,-5129,-5712,-9177,20,124,-332,1407,66,-8831,-91,1,-123,-1771,-718,-162,-1,1049,221,-36
1992:Q2,-5702,1665,-4725,-2642,-5702,20,423,-327,-1309,222,-4132,183,-90,-121,-3047,-854,779,-0,1829,596,126
1992:Q3,-11767,1664,-8705,-4726,-11767,20,369,-321,-2846,-438,-6186,-874,-92,-154,-4533,-476,-419,-0,3664,592,-73
1992:Q4,-17922,1664,-19076,-510,-17922,20,807,-381,-3806,18,-6131,-1912,6,-224,-5870,-639,354,-1,-54,-200,90
1993:Q1,-7161,2516,-8093,-1584,-7161,28,-661,-448,-1548,13,-3166,-1370,-47,-301,-962,78,-641,-2,2068,-152,-50
1993:Q2,-9120,2514,-8085,-3549,-9120,28,-697,-142,-1548,302,-3449,-1236,-2,-396,-1938,-237,-1261,-1,2077,-601,-19
1993:Q3,-5824,2516,-2755,-5585,-5824,29,-730,-99,-636,-381,289,-1198,35,-400,-3824,361,592,-1,365,-213,-13
1993:Q4,-14239,3237,-10610,-6866,-14239,28,-726,-212,-730,276,-2625,-2741,109,-320,-9541,-1747,-604,-1,4471,145,-21
1994:Q1,-8693,-201,-4103,-4389,-8693,-26,938,-279,-1035,169,-3073,-1524,86,-169,-3218,-589,-2,-1,-162,-88,280
1994:Q2,-401,-201,2309,-2509,-401,-25,871,493,34,97,176,-1022,445,-169,-2659,-259,138,-2,898,361,223
1994:Q3,-7,-200,2081,-1888,-7,-26,758,70,286,200,-1515,-1090,222,-170,-1657,-271,-99,-1,2330,807,149
1994:Q4,-6068,-202,-2108,-3758,-6068,-25,424,249,-1404,120,894,-1163,177,-169,-1220,-4899,13,0,515,461,-41
1995:Q1,5327,-33,2506,2853,5327,18,264,-212,-150,-124,7032,-1435,62,-245,-235,31,18,-2,-274,605,-26
1995:Q2,2421,-33,800,1654,2421,18,339,-97,-295,75,3003,-1168,-244,-244,102,32,-22,-1,185,718,20
1995:Q3,2740,-33,-137,2910,2740,17,255,-155,-328,-401,1143,-829,54,-256,1490,32,4,-1,965,787,-37
1995:Q4,315,-33,-1683,2032,315,18,66,-97,-493,-56,4581,-1706,96,-234,-4813,31,1,-0,3119,-61,-136
1996:Q1,7102,831,3440,2831,7102,7,2165,-109,-408,65,5185,-1919,235,-245,-553,30,-5,0,2169,666,-181
1996:Q2,9398,832,4700,3866,9398,7,492,-153,187,-85,6420,-894,-160,-4,-325,30,1,0,1894,2113,-125
1996:Q3,243,832,-1562,973,243,6,683,-51,129,-204,3608,-82,-180,-28,-3086,33,0,-1,683,-1139,-128
1996:Q4,11782,832,6589,4361,11782,3,1111,-59,160,45,7544,-5,51,-145,-2103,49,0,-4,5976,-906,65
1997:Q1,7118,876,3210,3032,7118,9,5286,-190,128,140,2549,-1458,164,78,-909,56,-1,0,1545,-447,168
1997:Q2,16576,876,7636,8064,16576,9,5341,-74,166,182,9766,-2488,55,-117,-201,55,-3,0,3357,327,201
1997:Q3,16424,876,12753,2795,16424,8,5227,-104,111,-102,10165,-666,115,-8,-2400,65,-1,0,3913,-32,133
1997:Q4,21666,876,11822,8968,21666,9,5535,-80,124,-47,6204,-1514,147,-138,1429,-126,-3,0,10935,-1123,314
1998:Q1,13000,2536,-6941,17405,13000,8,-1758,510,-1,10,5570,-2140,82,-27,-338,-2,470,0,10772,-570,414
1998:Q2,18996,2536,-2454,18914,18996,7,-2147,511,128,-36,4988,-931,43,-43,1139,3,802,0,14924,-589,197
