1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q2,7113,-22700,29813,7113,26544,-4385,4383,-3983,10384,5629,4755,-13266,342,-200,557,2038,-75,2113,2695,0,2695,8376,3942,4434,19,0,19,-3694,-9392,-6621,-2771,-915,0,-915,-238,0,-1585,0,-8294,-1097,0,-1176,-1958,782,8860
1994:Q3,39749,-1151,40900,39749,26118,7642,619,-7526,5366,1209,4157,-15716,-2221,-200,-1714,2037,-75,2112,3616,0,3616,5985,6319,-334,24,0,24,-3271,423,1280,-857,-1661,0,-1661,-238,0,-9076,0,7401,5,0,22136,-6859,28995,10903
1994:Q4,62588,36458,26130,62588,58626,-9974,2204,-23174,11509,7593,3916,-19192,-4685,145,-432,2026,-87,2113,-5906,0,-5906,2644,2630,14,-3,0,-3,-1816,7658,8073,-415,1621,0,1621,-238,0,5537,0,3039,-256,0,33255,-1855,35110,20482
1995:Q1,73541,22694,50847,73541,6806,-9550,2008,-9699,-812,-191,-621,-5956,20586,208,-885,342,304,38,4244,0,4244,723,539,184,19,0,19,9419,142,-1396,1538,742,0,742,-427,0,4679,0,13448,-638,0,38142,7345,30797,-16243
1995:Q2,25075,-8145,33220,25075,-1457,6692,906,-34839,8934,4778,4156,-20903,6717,501,-968,505,305,200,696,0,696,62,154,-92,32,0,32,-7752,-9074,-2718,-6356,-8744,0,-8744,-427,0,-283,0,29107,1698,0,53672,12055,41617,10124
1995:Q3,26938,-5840,32778,26938,-9843,-4315,1457,-1520,-4972,-4872,-100,-5295,-1022,78,-326,454,304,150,154,0,154,-1417,338,-1755,39,0,39,-5939,5525,-1647,7172,11646,0,11646,-427,0,-2611,0,-7977,-2643,0,55892,10996,44896,7573
1995:Q4,48195,18218,29977,48195,-9622,13451,925,-5344,10528,6023,4505,-16977,3339,-543,-1576,390,304,86,-3769,0,-3769,86,524,-438,55,0,55,-3088,7091,3306,3785,9837,0,9837,-427,0,4269,0,26380,375,0,12815,4021,8794,-11429
1996:Q1,78985,51239,27746,78985,-7576,258,1431,1915,-1141,86,-1227,1146,5502,-337,997,422,304,118,-2370,0,-2370,1070,-515,1585,62,0,62,5334,15935,4978,10957,2068,0,2068,29,0,-3801,0,-13059,-622,0,71722,31350,40372,6581
1996:Q2,-24059,-38307,14248,-24059,-30130,5750,2035,-1754,6858,4168,2690,-7567,4260,208,-245,-5589,-863,-4726,-5294,0,-5294,-204,117,-321,4,0,4,7539,-5055,-2521,-2534,-3788,0,-3788,29,0,6615,0,-19295,-30,0,21594,-10097,31691,11840
1996:Q3,41938,-12380,54318,41938,21677,-10962,683,-17560,-4,-3720,3716,-6733,-181,-603,-817,-3395,449,-3844,1127,0,1127,-4255,-3011,-1244,34,0,34,-7628,3657,3036,621,-5363,0,-5363,29,0,-59,0,10095,554,0,61642,-6130,67772,11236
