1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q2,715970,1625,6945,0,1252,76315,0,6427,1993,2042,65853,39667,29583,10084,91735,968,497463,0,2029,486193,9241,717250,682490,196297,486193,ND,682490,34760,ND,ND
1971:Q3,736289,1692,7207,0,1286,76530,0,6415,2038,2050,66027,39760,29814,9946,97241,1062,511511,0,2097,499942,9472,737652,701619,201677,499942,ND,701619,36033,ND,ND
1971:Q4,757229,1853,7418,0,1321,77933,0,6021,2150,2152,67610,40317,30371,9946,104051,1150,523186,0,2199,511294,9693,758685,720902,209608,511294,ND,720902,37783,ND,ND
1972:Q1,782038,2116,7552,0,1474,79845,308,6173,2526,2229,68609,39930,30289,9641,113687,1237,536197,0,2350,522932,10915,783650,742868,219936,522932,ND,742868,40782,ND,ND
1972:Q2,806763,2218,7854,0,1707,82536,794,6174,3007,2466,70095,41813,32423,9390,115596,1330,553709,0,2426,538347,12936,808475,765695,227348,538347,ND,765695,42780,ND,ND
1972:Q3,831189,2300,8220,0,1948,86080,1322,6266,3685,2123,72684,41898,32693,9205,119193,1419,570131,0,2537,552596,14998,833003,787640,235044,552596,ND,787640,45363,ND,ND
1972:Q4,856678,2557,8702,0,2130,88776,1755,6978,4183,2029,73831,42562,33364,9198,130017,1494,580440,0,2722,561273,16445,858571,809625,248352,561273,ND,809625,48946,ND,ND
1973:Q1,869730,2501,9195,0,2260,92171,2104,7412,4882,1622,76151,42328,33182,9146,123746,1555,595974,0,2695,575634,17645,871725,822738,247104,575634,ND,822738,48987,ND,ND
1973:Q2,882919,2680,9661,0,2348,94695,2382,7471,5268,1536,78038,44757,35497,9260,115925,1603,611250,0,2634,590115,18501,885054,836736,246621,590115,ND,836736,48318,ND,ND
1973:Q3,899119,2940,10340,0,2427,98279,2677,7739,5808,1650,80405,44442,35193,9249,127230,1647,611814,0,2826,589968,19020,901411,849756,259788,589968,ND,849756,51655,ND,ND
1973:Q4,910457,2999,10827,0,2530,100353,3079,7887,6526,1691,81170,45016,35499,9517,113757,1695,633280,0,2697,610516,20067,912908,862940,252424,610516,ND,862940,49968,ND,ND
1974:Q1,933323,2963,11331,0,2645,102844,3554,7949,7069,1845,82427,44783,35113,9670,117902,1734,649121,0,2791,625315,21015,936002,884065,258750,625315,ND,884065,51937,ND,ND
1974:Q2,954527,3145,12056,0,2765,106050,4069,8798,7409,1444,84330,48619,38912,9707,107860,1751,672281,0,2718,647402,22161,957380,906179,258777,647402,ND,906179,51201,ND,ND
1974:Q3,971531,3363,12704,0,2894,112420,4670,11251,7912,1248,87339,46416,36625,9791,80756,1790,711188,0,2459,685139,23590,974612,927114,241975,685139,ND,927114,47498,ND,ND
1974:Q4,996270,3620,13500,0,3041,116461,5403,11645,8888,983,89542,46811,36737,10074,91155,1895,719787,0,2670,692420,24697,999580,948203,255783,692420,ND,948203,51377,ND,ND
1975:Q1,1026598,3943,14306,0,3211,121230,6329,11182,9392,789,93538,48061,37947,10114,112160,2065,721622,0,3035,692726,25861,1030216,969706,276980,692726,ND,969706,60510,ND,ND
1975:Q2,1056949,4247,14839,0,3575,127439,7508,12731,9736,728,96736,53231,43043,10188,134377,2301,716940,0,3436,684764,28740,1060812,992146,307382,684764,ND,992146,68666,ND,ND
1975:Q3,1079009,4479,15174,0,4042,133200,8447,14444,10026,906,99377,52203,41962,10241,122159,2559,745193,0,3431,708817,32945,1083070,1013357,304540,708817,ND,1013357,69713,ND,ND
1975:Q4,1105097,4675,15625,0,4346,139591,9066,14974,10720,1940,102891,51948,42023,9925,132299,2795,753818,0,3665,714703,35450,1109384,1034772,320069,714703,ND,1034772,74612,ND,ND
1976:Q1,1125570,4882,16160,0,4385,145030,9892,16745,11487,2193,104713,51175,41249,9926,151868,2795,749275,0,3965,709813,35497,1129942,1049765,339952,709813,ND,1049765,80177,ND,ND
1976:Q2,1141244,4989,16779,0,4140,151682,10440,18939,12181,3150,106972,57591,47585,10006,152274,3033,750756,0,3984,713494,33278,1145705,1065834,352340,713494,ND,1065834,79871,ND,ND
1976:Q3,1157403,4873,17151,0,4386,154151,10756,20395,12792,3383,106825,56186,46188,9998,152777,3297,764582,0,4032,725105,35445,1161957,1080428,355323,725105,ND,1080428,81529,ND,ND
1976:Q4,1175184,4776,17787,0,4736,155447,10952,22274,12911,3360,105950,56661,46515,10146,155601,3534,776642,0,4130,734019,38493,1179835,1095494,361475,734019,ND,1095494,84341,ND,ND
1977:Q1,1199061,4735,18398,0,5319,157828,11138,22737,15501,2872,105580,55418,45314,10104,147405,3692,806266,0,4140,758401,43725,1203854,1117745,359344,758401,ND,1117745,86109,ND,ND
