1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,172609,1576,0,0,75730,480,4683,230,3145,67192,77575,10059,67516,15,10687,379,0,190,0,0,0,6457,159604,158921,0,0,118,108333,31939,0,481,18050,683,231,452,0
1968:Q1,173853,1164,0,0,77153,676,4678,266,3175,68358,78309,10336,67973,16,10053,388,0,199,0,0,0,6571,161792,161164,0,0,118,109533,32612,0,643,18258,628,175,453,0
1968:Q2,177196,1225,0,0,77814,670,4447,252,3173,69272,79118,10697,68421,16,11713,397,0,201,0,0,0,6712,164008,163372,0,0,118,110725,33300,0,553,18676,636,181,455,0
1968:Q3,179975,1434,0,0,78704,801,4528,263,3169,69943,79949,11042,68907,16,12385,407,0,211,0,0,0,6869,166085,165449,0,0,119,111922,33797,0,629,18982,636,180,456,0
1968:Q4,183022,1682,0,0,79362,526,4456,294,3194,70892,81281,11306,69975,17,12986,415,0,244,0,0,0,7035,174852,168092,0,0,124,113135,34696,0,643,19494,6760,6285,475,0
1969:Q1,185017,1347,0,0,80683,854,4339,317,3230,71943,82107,11725,70382,17,12893,425,0,301,0,0,0,7244,177067,170296,0,0,124,114361,35300,0,806,19705,6771,6294,477,0
1969:Q2,186543,1217,0,0,80849,698,4129,345,3224,72453,83219,12361,70858,18,12966,435,0,382,0,0,0,7457,178416,172595,0,0,125,115594,36003,0,636,20237,5821,5342,479,0
1969:Q3,188610,1279,0,0,81478,1019,4088,382,3224,72765,84550,13182,71368,18,12751,445,0,470,0,0,0,7619,184314,174919,0,0,125,116841,36718,0,723,20512,9395,8913,482,0
1969:Q4,191241,1634,0,0,81719,1365,4124,390,3221,72619,85852,13825,72027,18,13157,456,0,550,0,0,0,7855,185945,177404,0,0,117,118107,37561,0,698,20921,8541,8089,452,0
1970:Q1,193637,1477,0,0,82608,1715,4080,448,3235,73130,87217,14544,72673,19,13164,466,0,634,0,0,0,8052,188721,179833,0,0,118,119379,38343,0,884,21109,8888,8434,454,0
1970:Q2,192796,1381,0,0,82887,1655,4014,445,3229,73544,88418,15191,73227,19,10634,477,0,734,0,0,0,8246,189558,182240,0,0,118,120642,39123,0,686,21671,7318,6862,456,0
1970:Q3,197496,1430,0,0,84143,2519,4147,488,3272,73717,89285,15703,73582,20,12875,487,0,817,0,0,0,8439,192673,184779,0,0,119,121947,39971,0,785,21957,7894,7437,457,0
1970:Q4,200867,1758,0,0,84100,2142,4042,532,3306,74078,90439,16064,74375,20,14571,499,0,849,0,0,0,8631,195437,187611,0,0,121,123341,40960,0,823,22366,7826,7360,466,0
1971:Q1,205572,1549,0,0,86101,3018,4004,539,3314,75226,90829,16296,74533,21,16889,510,0,831,0,0,0,8842,199467,190668,0,0,122,124823,42102,0,948,22673,8799,8332,467,0
