1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q2,786836,2246,59049,5228,10383,233448,15302,83051,34441,100654,9709,361655,13627,91491,0,11738,-1955,81708,809620,567687,569642,-1955,544903,241933
1983:Q3,813148,2585,59222,5602,10372,248051,16997,89104,36972,104978,10569,354062,13732,108953,0,11868,15610,81475,835953,592412,576802,15610,569607,243541
1983:Q4,840598,2729,60873,5929,10596,257414,17247,93332,38890,107945,10124,350266,13889,128778,0,12011,33417,83350,863919,617136,583719,33417,593815,246783
1984:Q1,869589,3076,60168,6191,10166,263161,19581,95023,39302,109255,9892,323747,13796,179392,0,11629,87897,79866,891383,639392,551495,87897,617598,251991
1984:Q2,885766,3479,60020,6388,9894,257266,22113,92123,38414,104616,9369,308011,13274,218065,0,11259,129021,77785,906436,661649,532628,129021,640979,244787
1984:Q3,927381,3466,64875,6770,10593,275121,22171,98763,41402,112785,9041,339365,14673,203477,0,12189,108145,83143,948954,683906,575761,108145,662333,265048
1984:Q4,963380,3297,68025,6938,10909,296028,19609,108403,44618,123398,9735,358978,15515,193955,0,12913,95776,85266,985046,706163,610387,95776,684497,278883
1985:Q1,1019028,3536,73195,7429,11648,295012,19330,112153,46315,117214,11041,408196,16888,192083,0,13761,87247,91075,1041578,728420,641173,87247,705870,313158
1985:Q2,1041148,3781,79595,8015,12448,301886,19235,119439,49971,113241,11804,419105,18211,186303,0,14718,74268,97317,1064606,750677,676409,74268,727219,313929
1985:Q3,1056524,3821,78824,8239,12043,303540,19843,122973,52048,108676,11361,398654,18015,222027,0,14545,113637,93845,1078634,772934,659297,113637,750824,305700
1985:Q4,1191451,3281,76601,9087,19181,314830,21969,128551,67106,97204,14016,494946,21105,238404,131774,18707,-23995,111918,1215573,795191,819186,-23995,771069,420382
1986:Q1,1230205,2821,78044,9517,19264,329103,22481,131499,68646,106477,13862,549920,24969,202705,138808,18707,-64626,109816,1256069,810618,875244,-64626,784754,445451
1986:Q2,1246296,2431,78969,9427,19513,327777,23110,126849,66237,111581,12992,556234,25457,213496,140989,18707,-56677,110477,1273595,826045,882722,-56677,798746,447550
1986:Q3,1248517,2106,81702,10106,19857,336055,24000,125171,65490,121394,12609,486489,23831,275762,141730,18712,1994,113326,1277411,841471,839477,1994,812577,435940
1986:Q4,1281487,1902,86920,10990,20867,321538,25718,112795,59135,123890,11255,499172,24712,304131,146862,18742,9988,128539,1312363,856897,846909,9988,826021,455466
1987:Q1,1340494,1787,83688,11194,20680,325035,27248,112961,61479,123347,10096,622684,31727,233603,161214,19042,-86034,139381,1371873,872324,958358,-86034,840945,499549
1987:Q2,1380014,1707,83821,12008,21281,325972,29989,107248,68626,120109,9308,656616,36335,232966,171248,19492,-97887,140113,1411706,887751,985638,-97887,856059,523955
1987:Q3,1438930,1652,81144,12337,21224,332763,31972,110202,70435,120154,8725,693040,40555,247490,184348,20142,-114791,157791,1471196,903177,1017968,-114791,870911,568019
1987:Q4,1422139,1636,76103,12832,20444,338234,32975,112999,72258,120002,8205,507411,33224,424050,186265,20250,83228,134307,1454221,918604,835376,83228,886522,535617
1988:Q1,1459749,1836,76495,13450,20449,331869,30459,103552,80809,117049,9614,529276,35767,440993,184762,19750,99993,136488,1489603,934031,834038,99993,904177,555572
1988:Q2,1492433,2436,82766,14631,22142,333028,30414,104488,81456,116670,11269,541172,37444,447545,187501,19050,97708,143286,1521015,949458,851750,97708,920876,571557
1988:Q3,1505823,3536,82649,15113,21940,348593,27818,114250,83917,122608,13983,496969,36276,486764,183436,17800,130712,154816,1532322,964885,834173,130712,938386,567437
