1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q2,-3716,0,248,-9996,6596,-19176,-26044,105664,14228,0,0,16836,74600,-5288,-5288,-122544,-356136,-478680,0,0,0,0,0
2010:Q3,33276,0,44,-2656,88380,-20992,98052,32616,5676,0,0,91400,-64460,-1400,-1400,68156,36040,104196,0,0,0,0,0
2010:Q4,-30704,0,-1300,-40432,-146368,31192,-187612,-118964,-14232,0,0,-98248,-6484,20948,20948,-11008,-143368,-154376,0,0,0,0,0
2011:Q1,-17196,0,248,-13992,1216,54624,24900,58508,-10284,0,0,-8432,77224,1944,1944,422252,-91820,330432,0,0,0,0,0
2011:Q2,79208,0,-3180,-24724,-189148,130228,-7616,-152276,3892,0,0,27324,-183492,17888,17888,44844,65528,110372,0,0,0,0,0
2011:Q3,-5064,0,532,-20144,-55508,25120,-55064,-32264,15676,0,0,-52796,4856,8660,8660,-359588,-30100,-389688,0,0,0,0,0
2011:Q4,11796,0,-2332,-39544,162348,-98572,33696,-194916,948,0,0,-135496,-60368,22044,22044,-184784,-292492,-477276,0,0,0,0,0
2012:Q1,-24724,0,200,-9044,147640,-24860,89212,-183968,-10612,0,0,11324,-184680,-17492,-17492,342440,-19504,322936,0,0,0,0,0
2012:Q2,-26112,7864,8,-2384,-119864,4592,-135896,-10284,8212,-644,1472,-31756,12432,-21912,-21912,-141724,161876,20152,0,0,0,0,0
2012:Q3,808,-8984,-44744,-15628,479744,-23832,387364,581872,-3176,-608,-11732,591188,6200,13332,13332,167124,-166360,764,0,0,0,0,0
2012:Q4,8124,-32,80,7780,325432,-10604,330780,190968,1528,-168,0,175920,13688,41748,41748,-124356,-308856,-433212,0,0,0,0,0
2013:Q1,4588,-2900,-860,-30196,202624,5316,178572,251328,-13452,108,4,265704,-1036,20672,20672,356308,215492,571800,0,0,0,0,0
2013:Q2,-46304,-292,1288,-12068,100180,-55932,-13128,-14392,-10228,4,-4,19984,-24148,20880,20880,-431996,220152,-211844,0,0,0,0,0
2013:Q3,-14196,-48,172,-9956,-193620,53208,-164440,17104,8168,-136,-4,19896,-10820,11440,11440,-68336,-36928,-105264,0,0,0,0,0
2013:Q4,-10864,-380,12,-8304,-204360,237644,13748,-51424,15456,80,-132,-70564,3736,3352,3352,83124,-107000,-23876,0,0,0,0,0
2014:Q1,53928,-1768,-12,-8252,-32184,-27780,-16068,8520,-24,1576,0,-6692,13660,29212,29212,115848,438296,554144,0,0,0,0,0
2014:Q2,63832,44,-20,-11884,75084,20312,147368,672,3436,-1552,0,-744,-468,4124,4124,169184,-172032,-2848,0,0,0,0,0
2014:Q3,59600,-44,-36,-13180,-36588,-104188,-94436,-93164,17104,780,0,-104508,-6540,2612,2612,-114296,-112256,-226552,0,0,0,0,0
2014:Q4,83528,908,68,-25984,-91192,-22864,-55536,-33200,1704,-828,0,-36336,2260,27176,27176,-94556,-84304,-178860,0,0,0,0,0
2015:Q1,80228,-908,-16,-4412,-34088,27276,68080,-16024,5248,4884,0,-4332,-21824,-7932,-7932,20168,122792,142960,0,0,0,0,0
2015:Q2,17268,0,324,-23048,200964,-52208,143300,-84528,-27036,-2592,0,-22056,-32844,-3084,-3084,-223532,-234388,-457920,0,0,0,0,0
2015:Q3,63736,0,72,-18224,-170324,-48156,-172896,-173492,13372,-408,0,-109940,-76516,15692,15692,-185136,159728,-25408,0,0,0,0,0
2015:Q4,-8856,0,12,10144,31864,-43244,-10080,804,-11280,608,0,3444,8032,4152,4152,-94712,-107104,-201816,0,0,0,0,0
2016:Q1,42848,0,-20,-2964,79380,-41016,78228,23880,16556,2412,0,1644,3268,-33780,-33780,-39944,328028,288084,0,0,0,0,0
2016:Q2,86080,0,-4,-4568,-112212,-18244,-48948,-26564,10624,-1752,0,-7944,-27492,2672,2672,42404,-240772,-198368,0,0,0,0,0
2016:Q3,2892,0,48,-7184,531580,44288,571624,14488,424,1020,0,-2908,15952,-28524,-28524,-133436,-110980,-244416,0,0,0,0,0
2016:Q4,-81300,3448,56,-28780,-10764,88408,-28932,-40608,-40120,-4228,0,24676,-20936,7048,7048,-294020,-82544,-376564,0,0,0,0,0
2017:Q1,-145196,-2000,-68,-8404,-231804,39212,-348260,-63168,652,0,0,-84700,20880,-40,-40,144584,172848,317432,0,0,0,0,0
2017:Q2,-30820,2104,32,-2984,-31228,11980,-50916,68992,73504,0,0,-1652,-2860,16444,16444,69952,51076,121028,0,0,0,0,0
2017:Q3,40696,440,4,-12836,59480,-35408,52376,-30648,-74068,0,0,29464,13956,-9592,-9592,56828,-23884,32944,0,0,0,0,0
2017:Q4,-32452,1708,4,-128,130632,9352,109116,92264,-2036,0,0,84200,10100,43272,43272,-160828,-33480,-194308,0,0,0,0,0
2018:Q1,-32776,-2196,12,-31268,-53196,76292,-43132,11292,872,0,0,5552,4868,19036,19036,201364,-13976,187388,0,0,0,0,0
2018:Q2,-45352,1060,-52,-2120,-106608,28288,-124784,-91748,-1840,0,0,-70440,-19468,-9076,-9076,8164,10356,18520,0,0,0,0,0
2018:Q3,-20172,764,80,-23940,70416,-29888,-2740,64460,7368,0,0,-6156,63248,22724,22724,-43060,48700,5640,0,0,0,0,0
2018:Q4,-18932,1556,-32,3956,-139460,77476,-75436,-128344,-8908,0,0,-129072,9636,-22844,-22844,-257792,-178204,-435996,0,0,0,0,0
2019:Q1,-53184,-76,76,-8096,160504,96836,196060,100576,-5980,0,0,79356,27200,6136,6136,119996,142416,262412,0,0,0,0,0
2019:Q2,13140,2880,20,-2480,20172,43692,77424,77360,-6820,0,0,70592,13588,-8144,-8144,-20608,63928,43320,0,0,0,0,0
2019:Q3,84372,516,48,-1772,-65060,-34620,-16516,1868,2232,0,0,33084,-33448,-2072,-2072,-15200,-16400,-31600,0,0,0,0,0
2019:Q4,-13844,1432,-44,-7000,-1064,-123592,-144112,7940,5788,0,0,11628,-9476,1532,1532,-1848,-76268,-78116,0,0,0,0,0
2020:Q1,-155976,-984,-632,-3396,194368,63712,97092,119412,17780,0,0,-40396,142028,-4972,-4972,-26792,-236260,-263052,0,0,0,0,0
2020:Q2,-2708,-4296,0,-1020,-132356,-3720,-144100,9828,-5944,0,0,44556,-28784,-13988,-13988,102772,230244,333016,703352,59300,413680,227408,2964
2020:Q3,10744,-5136,0,768,16640,-63724,-40708,22084,7692,0,0,25700,-11308,-15928,-15928,98604,-124936,-26332,1005364,82800,585216,333132,4216
2020:Q4,-9804,480,0,-4176,120160,-21236,85424,20148,-1796,0,0,51436,-29492,22760,22760,22092,125560,147652,22220,-780,172,22808,20
2021:Q1,19912,3528,0,-2292,-52476,22816,-8512,9704,5760,0,0,29264,-25320,-380,-380,644140,-63204,580936,-341128,-20832,-209152,-109020,-2124
2021:Q2,32208,-1896,0,-2964,160156,12648,200152,-8700,-8456,0,0,21144,-21388,-39172,-39172,43776,289088,332864,-250272,-25896,-195992,-25884,-2500
2021:Q3,40304,-1148,0,24444,33900,17680,115180,101268,-15188,0,0,96636,19820,-42764,-42764,180112,172168,352280,-368900,-21404,-225728,-119648,-2120
2021:Q4,3736,-1088,0,-2120,71772,-29324,42976,31752,844,1636,0,10944,18328,20032,20032,-331032,-172588,-503620,-370248,-20212,-194860,-154720,-456
2022:Q1,-59584,-1084,0,-4780,179044,85596,199192,203808,-1988,-1636,0,133408,74024,-14448,-14448,287328,330076,617404,-208456,-13760,-106384,-88312,0
2022:Q2,23960,-12,0,-1932,-186408,-20052,-184444,101464,-168,848,0,117956,-17172,37704,37704,-271392,-21664,-293056,-112672,-7536,-58300,-46836,0
2022:Q3,-10008,0,0,-5924,-98220,-5524,-119676,225740,10412,4240,0,143848,67240,-11320,-11320,-71064,-278036,-349100,-52120,-19384,-8652,-24084,0
2022:Q4,27344,0,0,3604,-100600,-25064,-94716,-75232,-3704,-100,0,30144,-101572,-36720,-36720,-75900,-83936,-159836,-15224,-8036,0,-7188,0
2023:Q1,7520,156,0,-4892,62256,4648,69688,60648,-2688,-528,0,2444,61420,78056,78056,183556,108372,291928,-6716,-3444,0,-3272,0
2023:Q2,56140,-156,0,-1360,-18096,65644,102172,28164,1252,-1892,0,32996,-4192,-61788,-61788,-8164,-14356,-22520,-3232,-816,0,-2416,0
2023:Q3,124276,1100,0,-7512,242304,-87472,272696,205848,-11196,-2568,0,37772,181840,116532,116532,-93456,-41732,-135188,-1968,0,0,-1968,0
2023:Q4,80808,-524,0,432,-4012,20084,96788,29920,3132,0,0,-1224,28012,-104444,-104444,158388,-36744,121644,0,0,0,0,0
2024:Q1,85816,932,0,32,40589,-14492,112877,98712,-4612,0,0,114544,-11220,-43036,-43036,222612,238332,460944,0,0,0,0,0
