1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15144,15144,677,14467,0,0,15144,4629,452,0,1435,5732,26,21,0,544,872,0,1166,0,0,0,0,0,267,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,16130,16130,881,15249,0,0,16130,3724,485,0,1748,6634,37,21,0,828,1052,0,1349,0,0,0,0,0,252,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,20655,20655,1274,19381,0,0,20655,5465,652,0,2032,8205,45,41,0,1144,1152,0,1549,0,0,0,0,0,370,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22770,22770,1586,21184,0,0,22770,5740,844,0,2061,9333,60,46,0,1448,1142,0,1712,0,0,0,0,0,384,0,0,0
1952:Q1,25016,25016,1787,23229,0,0,25016,7499,825,0,2093,9722,64,47,0,1582,1133,0,1751,0,0,0,0,0,300,0,0,0
1952:Q2,27480,27480,1700,25780,0,0,27480,9835,488,0,2105,10089,71,47,0,1728,1123,0,1794,0,0,0,0,0,200,0,0,0
1952:Q3,28695,28695,1863,26832,0,0,28695,10606,578,0,2113,10474,67,47,0,1739,1163,0,1838,0,0,0,0,0,70,0,0,0
1952:Q4,29657,29657,1779,27878,0,0,29657,10957,813,0,2111,10524,71,48,0,1869,1153,0,1883,0,0,0,0,0,228,0,0,0
1953:Q1,31221,31221,1906,29315,0,0,31221,11875,865,0,2114,10938,71,49,0,2023,1203,0,1933,0,0,0,0,0,150,0,0,0
1953:Q2,32379,32379,1778,30601,0,0,32379,12743,933,0,2144,10923,80,50,0,2202,1218,0,1986,0,0,0,0,0,100,0,0,0
1953:Q3,33795,33795,1992,31803,0,0,33795,13542,1021,0,2203,11091,85,51,0,2402,1258,0,2042,0,0,0,0,0,100,0,0,0
1953:Q4,35012,35012,1948,33064,0,0,35012,13873,1005,0,2293,11249,92,52,0,2617,1298,0,2103,0,0,0,0,0,430,0,0,0
1954:Q1,36516,36516,2137,34379,0,0,36516,14386,963,0,2384,11884,88,53,0,2829,1463,0,2166,0,0,0,0,0,300,0,0,0
1954:Q2,37866,37866,2033,35833,0,0,37866,14678,922,0,2441,12467,82,55,0,3032,1657,0,2232,0,0,0,0,0,300,0,0,0
1954:Q3,39376,39376,2192,37184,0,0,39376,15246,997,0,2468,12915,78,57,0,3222,1791,0,2302,0,0,0,0,0,300,0,0,0
1954:Q4,40663,40663,2058,38605,0,0,40663,15964,972,0,2467,13194,84,58,0,3402,1846,0,2376,0,0,0,0,0,300,0,0,0
