1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q1,853860,136666,427528,24832,13828,61654,181905,7447,936007,635493,188860,0,111282,372,-82147,76750,-26386,20989,11608,136036,5835,-130263,14363,5792,1246,104,11280,25592,3644,71132,-53100,-980,4896,-930,156,-1086,396,4008,-972,-2685,-29468,144625,65518,-6767,72285,-480,14652,64935,9381
1993:Q2,865840,138253,432794,26754,14052,61101,185062,7824,941817,640476,189680,0,111295,366,-75977,77881,-27153,29057,4228,141853,5855,-143480,23714,3418,-936,108,-6456,53204,3900,24720,19564,-1000,6020,-18837,-12020,-6817,1480,6340,2720,-5311,-12016,167195,79981,14832,65149,-548,14992,72770,24829
1993:Q3,883301,143585,439531,25192,14236,60949,191542,8266,958318,646057,200592,0,111309,360,-75017,78700,-29658,33341,6309,142613,5897,-142201,11380,5869,356,208,7024,-2092,3912,-67884,56832,-992,6040,-11048,-4448,-6600,384,4204,3512,-3969,6932,153581,81254,8248,73007,-700,15100,57927,27032
1993:Q4,908250,145762,447217,30847,14400,61105,200557,8362,965567,652176,201708,0,111329,354,-57317,79712,-29643,52038,73002,144309,5957,-77264,20232,-6859,-9630,212,32036,-14688,3648,-1540,-21436,-1024,5664,-6189,-4372,-1817,1152,5916,9144,1119,8020,97496,7875,-9145,17020,-1120,15292,75449,-20964
1994:Q1,912952,146926,456000,27106,14568,61803,198487,8062,979472,664195,203584,0,111342,351,-66520,80970,-28681,43131,58521,142108,6037,-89624,-6822,11783,193,212,-20972,-8892,3924,9764,-27072,-996,5488,-11422,-1604,-9818,3140,10848,-1144,1396,8036,82802,-20293,2590,-22883,-16,15468,87643,-15390
1994:Q2,923837,141918,465752,28721,14604,62784,201765,8293,990215,673853,203916,0,112102,344,-66378,82037,-29073,44732,133473,146165,6136,-18828,9487,-2845,3057,420,-9880,12612,4800,-15932,19040,-868,5572,-19323,812,-20135,2012,8968,7220,-819,8064,28314,-73581,-8798,-64782,344,15776,85775,-88741
1994:Q3,944508,151161,470023,31401,14528,63802,204859,8734,1001913,684293,203656,0,113627,337,-57405,83408,-30307,56310,48721,152622,6257,-110158,11413,-3781,4845,420,-29240,27104,5972,-30104,46424,-772,5584,-10681,5724,-16405,-580,3808,4472,277,14768,121570,-8124,9697,-17821,1772,16276,111646,7589
1994:Q4,958015,151957,473271,32653,14360,65300,211099,9375,1024662,692772,215672,0,115890,328,-66647,84674,-31631,49658,209162,154355,6399,48408,536,2466,3032,424,1804,-72704,3460,-92696,11632,-708,5608,-14882,6080,-20962,1752,9688,11220,4219,53516,-47873,-81759,-12201,-69558,-516,16528,17874,-159504
1995:Q1,973964,156933,478751,32540,13992,66912,214475,10361,1041271,701686,220360,0,118909,316,-67307,86215,-32785,51693,135968,156845,6560,-27437,-11474,1902,10576,280,-35300,52788,7056,-38796,78440,-640,6728,-30564,5544,-36108,-2220,-588,88,3387,-11824,15963,-62415,12133,-74548,436,16856,61086,-84275
1995:Q2,969132,152431,477867,31287,13748,68280,214391,11128,1052421,710589,220696,0,120826,310,-83289,87552,-33075,37338,103645,161293,6629,-64277,-15626,2005,4012,780,-33968,-142248,8972,-139356,-20556,-488,9180,-11829,5648,-17477,-1644,-2128,5184,-1831,166040,48650,-58772,-883,-57888,-148,17248,90322,-66307
