1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,-4995,4217,0,360,-5048,-8668,228,-8,20,0,-312,296,-224,0,-80,0,4224,-21334,-14880,0,96,-82,-6028,-500,44,0,0,132,220,0,0,0,0,228,-504,0,-60,0,0,16339
1963:Q2,11778,-1614,0,-340,776,6628,-8,-4,-4,4,1028,-108,3340,0,4,0,2076,13484,3696,0,-100,16,6796,-104,44,0,0,152,80,0,0,0,0,804,2160,0,-60,0,0,-1706
1963:Q3,6103,2199,0,-364,-200,1320,60,0,-8,-4,428,-308,2544,0,-44,0,480,5326,5402,0,-12,-180,552,80,60,0,0,156,148,0,0,0,0,8,-824,0,-64,0,0,777
1963:Q4,11303,-1501,0,-440,3864,9980,-144,0,-4,-20,312,208,972,0,-24,0,-1900,5698,-1002,0,-196,68,4384,564,64,0,0,144,460,0,0,0,0,-1140,2416,0,-64,0,0,5605
1964:Q1,-10455,4273,0,-52,-4772,-10880,-184,-20,-44,0,-8,116,-1048,0,-148,0,2312,-13981,-12333,0,-168,508,-2364,36,92,0,0,136,744,0,0,0,0,316,-880,0,-68,0,0,3526
1964:Q2,10629,-2695,0,-340,568,7336,-484,-24,-36,4,676,292,2288,0,-20,0,3064,4846,3626,0,-28,-572,-2676,360,108,0,0,128,1128,0,0,0,0,752,2088,0,-68,0,0,5783
1964:Q3,-1396,1512,0,156,860,-1452,-636,-4,-36,4,92,-368,1524,0,-88,0,-2960,10715,4117,0,56,506,6432,28,100,0,0,128,1180,0,0,0,0,-72,-1688,0,-72,0,0,-12111
1964:Q4,17438,-542,0,-836,6076,9684,-852,-12,-28,-28,284,228,96,0,1976,0,1392,6543,2821,0,64,-282,1288,560,92,0,0,148,920,0,0,0,0,-948,1956,0,-76,0,0,10895
1965:Q1,-2056,3100,0,308,-4984,-5948,-460,-12,-32,4,404,256,464,0,-84,0,4928,-18015,-12035,0,-156,624,-8556,1212,16,0,0,168,692,0,0,0,0,320,-224,0,-76,0,0,15959
1965:Q2,7635,-3533,0,740,-496,8016,536,-12,-28,-4,880,-160,-60,0,116,0,1640,14427,7907,0,48,8,2056,1232,-32,0,0,196,592,0,0,0,0,1036,1464,0,-80,0,0,-6792
1965:Q3,804,1788,0,-276,1048,-1564,1260,-8,-36,-4,252,-296,1228,0,-384,0,-2204,827,-339,0,148,946,2980,-2192,-28,0,0,192,324,0,0,0,0,-220,-900,0,-84,0,0,-23
1965:Q4,14642,2350,0,-676,3112,11504,-52,-16,-20,-4,204,796,-2464,0,-72,0,-20,30658,24718,0,-48,-572,5108,-120,56,0,0,176,608,0,0,0,0,-916,1732,0,-84,0,0,-16016
1966:Q1,-7847,1501,0,-468,-5664,-3180,616,-4,-20,-4,-1240,512,-2600,0,80,0,2624,-18241,-9573,0,8,-568,-8184,88,76,0,0,-516,844,0,0,0,0,372,-700,0,-88,0,0,10394
1966:Q2,5187,-4237,0,-300,212,11892,116,0,-8,4,1488,-788,-3368,0,84,0,92,12703,4649,0,260,734,3868,1572,116,0,0,-440,1068,0,0,0,0,744,224,0,-92,0,0,-7516
1966:Q3,5375,999,0,604,1880,-1520,-64,-4,-28,8,1588,-4,-1240,0,420,0,2736,4836,5272,0,12,-60,1540,-220,128,0,0,-476,1248,0,0,0,0,40,-2552,0,-96,0,0,539
1966:Q4,-294,4786,0,-412,4140,-6980,-340,-8,-8,36,-236,-88,-5660,0,-156,0,4632,-12861,-16091,0,300,594,2208,-868,128,0,0,856,888,0,0,0,0,-1520,740,0,-96,0,0,12567
1967:Q1,-8056,-828,0,784,-6456,-3936,-672,-4,8,4,-308,4,-1564,0,-720,0,5632,-30348,-20942,0,20,-402,-10168,-1832,100,0,-52,2548,772,0,0,0,0,200,-560,0,-32,0,0,22292
1967:Q2,14605,-4943,0,1756,112,15356,-32,-4,20,4,1636,76,584,0,-80,0,120,17809,5953,0,164,432,6224,1072,108,0,0,-136,1168,0,0,0,0,960,1900,0,-36,0,0,-3204
1967:Q3,-7684,3280,0,-96,2836,-8444,256,0,0,4,1128,-32,-2020,0,-380,0,-4216,2784,1620,0,-120,604,2488,-1048,96,0,0,-168,988,0,0,0,0,108,-1752,0,-32,0,0,-10468
1967:Q4,21139,16307,0,-1748,3760,184,412,0,16,-20,1096,196,-5088,0,-24,0,6048,24906,12756,0,-64,318,10348,-472,80,0,0,4,1080,0,0,0,0,-1104,1996,0,-36,0,0,-3767
1968:Q1,-7466,-8972,0,1612,-6204,216,20,4,-4,4,-128,100,2112,36,432,0,3306,-21080,-9422,0,76,-566,-12456,684,128,0,0,120,1180,0,0,0,0,424,-1052,-160,-36,0,0,13614
1968:Q2,19138,-7489,0,704,224,24728,-804,4,0,4,696,428,1232,36,-824,0,199,9032,-3598,0,-28,-1602,10516,1176,4,0,0,204,500,0,0,0,0,956,1272,-336,-32,0,0,10106
1968:Q3,-16,4912,0,652,3076,-12380,4,0,-16,4,224,-488,3380,52,-188,0,752,-10523,-4995,0,-256,224,-720,-3644,108,0,0,260,732,0,0,0,0,-588,-1412,-196,-36,0,0,10507
1968:Q4,21669,9119,0,-76,4252,7256,-1004,-4,16,-28,936,-168,-3356,52,-112,0,4786,24790,9892,0,-132,2362,4776,3980,336,0,0,308,740,0,0,0,0,-740,3668,-364,-36,0,0,-3121
1969:Q1,1418,289,0,428,-7700,6584,-5344,-116,0,4,-184,412,1664,80,224,1580,3497,-28962,-16318,0,-172,-324,-18788,992,728,0,0,484,920,0,0,0,0,528,1728,-260,-40,1560,0,30380
1969:Q2,27255,-3221,0,-1104,936,16288,-444,-160,12,8,1080,76,6396,12,52,740,6584,28907,6211,0,-88,-752,16472,-1012,1200,0,0,500,828,0,0,0,0,1432,3704,-524,-36,972,0,-1652
1969:Q3,21726,5563,0,308,2896,648,-600,-12,0,4,16,804,1172,-12,288,1536,9115,-16822,1926,0,-52,1684,-17240,-208,1088,0,0,288,864,0,0,0,0,-112,-3644,-476,-36,-904,0,38548
1969:Q4,-3079,10514,0,-1068,5100,-24444,5932,-12,40,36,652,696,-6968,48,-16,-2200,8611,19930,7926,0,-128,136,12132,-2880,384,0,0,464,760,0,0,0,0,-424,1288,-1056,-40,1368,0,-23009
1970:Q1,4433,-28834,30492,-428,-5664,-7428,-9028,-16,-144,8,-472,792,9724,-104,192,-824,16167,39648,-1250,0,-4,-906,31824,2592,452,0,0,372,912,0,0,0,0,764,3844,-1160,-36,2244,0,-35215
1970:Q2,-19786,-4384,560,488,-3000,-21440,1272,-16,-120,8,940,328,-208,-20,788,-192,5210,29054,24056,0,8,-538,-1692,-2512,260,0,0,348,1612,0,0,0,0,1460,2936,-764,-40,3920,0,-48840
1970:Q3,-33530,6283,1368,1000,552,-13708,-1764,-20,392,4,-184,340,-1752,32,-1068,224,-25229,-14119,-12215,0,-116,552,10316,-2156,152,0,0,336,328,0,0,0,0,-892,-3824,-864,-40,-5696,0,-19411
1970:Q4,35831,-3465,1904,1096,9996,33312,2184,-16,108,0,324,624,-10524,-44,-528,5428,-4568,-47977,-6187,0,-48,-1278,-43616,-3388,160,0,0,328,552,0,0,0,0,1736,1708,-1504,-36,3596,0,83808
1971:Q1,-6769,4812,3016,1268,-6320,-9756,-3900,-36,-176,8,-104,-400,15856,8,-856,-1632,-8557,55323,5689,4000,-44,254,44092,2380,-704,0,0,492,512,0,0,0,0,236,3656,-748,-40,-4452,0,-62092
1971:Q2,-22378,-6237,1616,1528,-4728,-11812,-4044,-32,-164,4,1020,-168,3644,-72,108,1640,-4681,10919,1547,4000,196,224,360,-1092,-652,0,0,596,1032,0,0,0,0,1752,4044,-1260,-44,216,0,-33297
1971:Q3,21892,3993,2740,-936,-1308,1592,2192,-40,340,8,284,1556,5736,-1036,-156,7516,-589,41157,19749,4000,280,-216,16916,1056,932,0,0,596,920,0,0,0,0,432,-3288,-808,-40,628,0,-19265
1971:Q4,38513,-2630,4208,1452,11536,30252,1328,-44,-4,-60,860,-1396,-8232,-1688,-208,496,2643,-24965,13195,4000,-68,280,-42896,164,708,0,0,516,880,0,0,0,0,-1808,2540,-1160,-40,-1276,0,63478
1972:Q1,22653,6785,3680,-436,-8604,5376,9772,-28,-40,8,552,664,8036,-1864,128,-3796,2420,62530,17768,4000,100,-530,39276,2168,-700,0,0,452,4880,0,0,0,0,240,-1744,-1736,-44,-1600,0,-39877
1972:Q2,-2996,-4134,1140,424,1576,-1676,4264,-32,-280,4,2468,136,2560,-2072,684,788,-8846,31844,15368,4800,8,-132,956,240,-572,0,0,396,8084,0,0,0,0,1652,3248,-2068,-40,-96,0,-34840
1972:Q3,3509,3221,2012,-1180,9264,80,-852,-24,368,8,1036,1336,-164,-2296,656,16,-9972,43863,18455,4800,-180,520,13712,136,296,0,0,384,8244,0,0,0,0,-328,-2968,-968,-44,1804,0,-40354
1972:Q4,25464,-1264,3904,1312,-2228,31508,2252,-24,-44,-68,44,-516,-6180,-2120,796,-748,-1160,46365,62073,4800,-336,908,-35168,3252,1016,0,0,416,5780,0,0,0,0,-2840,6964,-2496,-44,2040,0,-20901
1973:Q1,16782,3102,3872,932,-7152,5140,-388,-8,124,4,1168,2868,5720,676,1120,2276,-2672,127452,65336,7024,8,-792,41216,-36,472,0,0,444,4800,0,0,0,0,1256,-2852,-1304,-44,11924,0,-110670
1973:Q2,3930,-14782,532,216,640,8212,848,-12,-136,24,1396,-1448,4324,68,-592,756,3884,23226,5510,1844,28,732,616,120,-200,0,0,460,3424,0,0,0,0,1848,4348,-2976,-44,7516,0,-19296
1973:Q3,11103,-4778,2508,-3324,10048,6416,-12,-56,476,24,-176,2728,1424,-2784,-10688,5176,4121,11279,307,1636,80,-580,384,824,144,0,0,472,2072,0,0,0,0,2020,-4956,-3860,-44,12780,0,-176
1973:Q4,31870,-8488,6236,724,1472,10056,1464,-52,48,-76,308,1496,2184,-76,-436,96,16914,11981,34541,804,-228,1428,-29528,-548,-104,0,0,460,4184,0,0,0,0,-1176,9312,-2068,-44,-5052,0,19889
1974:Q1,20600,8293,4308,-168,-12080,10168,-1612,-4,412,-244,124,-1392,9496,2352,-4176,-1132,6255,3793,-25377,24,-240,-1422,27060,-264,224,0,0,548,3784,0,36,0,0,-1004,-564,-1440,-48,2476,0,16807
1974:Q2,-12435,-4468,3432,-3648,3284,-23848,484,-8,160,-248,1716,-756,-1884,7272,-340,-2172,8589,-18057,-9787,-700,104,770,-13980,-84,-188,0,0,568,4584,0,-28,0,0,-948,1328,484,-44,-136,0,5622
1974:Q3,29594,12311,6412,-2544,7052,2300,-1280,4,692,-244,596,-648,-2384,2504,-1404,-11080,17307,37579,61147,-1012,128,252,-4532,-584,-568,0,0,628,5708,0,0,0,0,1008,-8648,1312,-48,-17212,0,-7985
1974:Q4,-53575,-2328,8160,6332,928,-39060,-128,8,316,-228,1732,-1248,-20292,632,-1632,2072,-8839,-99182,-57584,-916,-208,7650,-45976,-1536,-332,0,0,724,4428,0,0,0,0,-6320,-1004,348,-48,1592,0,45607
1975:Q1,25111,34376,3124,-1508,-13136,10008,5276,-20,140,144,332,428,5756,-36,-7388,-944,-11441,2699,-45701,-1064,-60,-264,47900,504,664,0,0,880,4652,0,-8,0,0,-452,-4952,4904,-48,-4256,0,22412
1975:Q2,12941,45582,4,572,5644,-8528,648,-28,-156,144,1728,3628,-16328,-728,-4256,5344,-20329,-17801,-17153,-1492,-60,-596,-16596,2168,724,0,0,1088,11508,0,200,0,0,3564,-8996,4124,-48,3764,0,30742
1975:Q3,59342,25133,1580,-1460,824,32416,1468,72,200,144,924,-940,4340,-368,9256,4128,-18375,58426,-11480,-1268,-8,-954,49372,-1872,456,0,0,1036,16820,0,64,0,0,3628,-5996,4664,-48,4012,0,916
1975:Q4,8829,18808,7412,-440,5824,5504,-580,68,-76,148,2280,1232,-18372,-368,-412,-4108,-8091,-78176,-48802,-404,-160,1526,-42576,276,488,0,0,736,10020,0,-60,0,0,-2888,3476,3444,-52,-3200,0,87005
1976:Q1,96747,61188,-1164,1724,-14308,22804,708,248,292,140,780,-440,5880,788,9800,4108,4199,76706,19816,416,-164,650,54820,-700,-580,0,0,800,188,0,164,0,0,-1092,-2248,1136,11024,-7524,0,20041
1976:Q2,37666,21915,496,1956,6992,316,-2628,208,56,208,2800,-1244,1788,32,1272,4876,-1377,41608,58072,1156,412,500,-13392,-1252,-488,0,0,736,-8872,0,0,0,0,420,2720,1104,648,-156,0,-3942
1976:Q3,57415,45470,1832,-2168,-1708,17208,100,8,224,208,1368,1660,824,-296,-304,1256,-8267,54365,43033,1524,204,-1296,8016,784,444,0,0,708,8660,0,212,0,0,1032,-8976,1152,-560,-572,0,3050
1976:Q4,-32123,-909,3820,2244,9256,-32040,-204,4,-72,292,1208,1164,-10224,456,-2012,2920,-8026,-110379,-62841,1520,-96,-902,-60556,-704,244,0,0,712,12192,0,-484,0,0,-2252,5784,1168,-2908,-1256,0,78256
1977:Q1,91934,33344,1156,-2100,-18320,24880,1484,88,1360,208,1320,1180,11488,152,2216,3196,30282,124540,35142,1692,16,-794,62420,-932,128,0,0,1416,20924,0,460,0,0,-540,-3332,448,3044,4448,0,-32606
1977:Q2,41882,3876,-3836,852,10608,20012,-2712,72,548,88,1160,1184,-5324,-476,1216,140,14474,27542,4256,2024,-276,62,13080,-200,-116,0,0,1344,28,0,40,0,0,3784,4208,260,896,-1848,0,14340
1977:Q3,75342,57217,828,-2856,-7524,15832,1704,-200,680,88,1260,-1172,6144,116,-1276,60,4441,60459,39999,2060,-280,-240,7496,-328,20,0,0,1304,16588,0,348,0,0,572,-5296,440,-352,-1872,0,14883
