1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,76369,39993,25578,10422,1014,8206,1203,376,76369,16959,29662,12296,8168,7260,2025,13,651,616,12,2,21,142,120,6,1,7,0,214,180,693,30549,2638
1973:Q2,79182,41456,26714,10635,1065,8363,1207,376,79182,16739,31104,12437,8109,8575,2218,14,770,733,13,2,22,149,126,6,1,7,0,226,190,730,30429,4552
1973:Q3,80712,42736,26743,10856,1122,8520,1215,376,80712,16683,32111,12474,7680,9388,2376,14,872,834,13,3,23,155,131,7,1,7,0,233,197,760,30314,2440
1973:Q4,80426,41735,27202,11112,1187,8689,1236,376,80426,16297,32924,12236,7694,8766,2509,14,970,930,14,3,23,160,135,7,1,7,0,237,203,776,29712,6248
1974:Q1,80520,40587,28253,11341,1229,8837,1275,339,80520,15675,33816,11800,8299,8260,2670,15,957,910,16,4,28,175,152,4,1,9,0,308,194,857,29411,3130
1974:Q2,84403,43302,29162,11600,1276,9023,1301,339,84403,15570,35013,11589,8841,10568,2823,15,1055,1007,16,4,29,181,157,4,1,9,0,317,199,885,30324,4354
1974:Q3,86881,43880,30755,11905,1377,9211,1318,339,86881,15789,36115,11483,9103,11419,2972,16,1145,1096,17,4,29,189,164,5,2,9,0,328,210,907,31657,1395
1974:Q4,84898,41369,31029,12161,1494,9346,1321,339,84898,14682,36591,10880,9422,10253,3071,16,1188,1137,17,4,30,197,172,5,2,9,0,332,219,933,29526,5112
1975:Q1,81383,38634,30051,12369,1633,9436,1301,329,81383,14546,35514,10447,9403,8396,3077,20,1162,1101,23,5,33,234,208,4,1,8,0,325,211,906,30534,-2507
1975:Q2,84370,41416,30054,12571,1655,9589,1327,329,84370,15363,35394,10448,9264,10797,3105,20,1196,1135,23,5,33,233,207,3,1,8,0,325,211,901,31670,-3489
1975:Q3,90322,45254,31860,12879,1647,9840,1392,329,90322,16599,36156,10699,10435,13242,3192,20,1256,1195,23,5,34,235,208,4,1,8,0,333,213,914,34009,-347
1975:Q4,91838,45391,32848,13271,1659,10113,1498,329,91838,17644,37115,10941,10751,12115,3273,20,1306,1242,24,5,35,237,210,4,1,9,0,341,216,930,35539,87
