1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1379,969,12108,516,0,0,8896,0,1160,1252,2456,4028,96,36,472,864,0,0,1228,0,0,0,0,11604,10576,0,0,52,0,-96,10620,0,10412,208,1028,820,208,0,-95,0,10412,0,0,0
1976:Q3,1939,1007,17352,496,0,0,13184,0,3340,536,4836,4472,-4,36,1408,924,0,0,1308,0,0,0,0,12484,11404,0,0,52,0,132,11220,0,11012,208,1080,872,208,0,-3937,0,11012,0,0,0
1976:Q4,2909,1043,17228,684,0,0,12620,0,2860,-648,8880,1528,116,-180,1504,1208,0,0,1276,0,0,0,0,12416,11080,0,0,-32,0,52,11060,0,10768,292,1336,1044,292,0,-2947,0,10768,0,0,0
1977:Q1,4935,1031,19992,-580,0,0,17232,0,4744,1808,12448,-1768,216,44,768,1052,0,0,1260,0,0,0,0,13588,12136,0,0,52,0,96,11988,0,11780,208,1452,1244,208,0,-2500,0,11780,0,0,0
1977:Q2,5876,1063,20780,520,0,0,16824,0,-3412,60,6872,13304,164,44,828,1132,0,0,1268,0,0,0,0,14252,12692,0,0,24,0,120,12548,0,12460,88,1560,1472,88,0,-1715,0,12460,0,0,0
1977:Q3,6421,1087,22140,-268,0,0,18344,0,4548,-404,10872,3328,108,48,1396,1208,0,0,1304,0,0,0,0,14724,13172,0,0,24,0,128,13020,0,12932,88,1552,1464,88,0,-2082,0,12932,0,0,0
1977:Q4,6587,1123,22900,1420,0,0,17120,0,3960,644,12652,-136,-44,12,1700,1332,0,0,1360,0,0,0,0,14868,13440,0,0,-96,0,128,13408,0,13200,208,1428,1220,208,0,-2568,0,13200,0,0,0
1978:Q1,6658,1255,18844,-2020,0,0,17340,0,-24,-96,14720,2740,-36,28,1436,680,0,0,1416,0,0,0,0,14892,13804,0,0,24,0,132,13648,0,13560,88,1088,1000,88,0,1451,0,13560,0,0,0
1978:Q2,6129,1374,17336,572,0,0,12804,0,-2128,652,13604,676,-40,28,1800,704,0,0,1468,0,0,0,0,15500,14468,0,0,60,0,148,14260,0,14028,232,1032,800,232,0,2919,0,14028,0,0,0
1978:Q3,6142,1461,23984,1592,0,0,18312,0,2692,-848,14644,1824,4,32,1808,728,0,0,1508,0,0,0,0,15700,14720,0,0,60,0,132,14528,0,14296,232,980,748,232,0,-3603,0,14296,0,0,0
1978:Q4,6199,1551,24408,1532,0,0,17572,0,2220,2296,11196,1860,100,-52,2892,836,0,0,1528,0,0,0,0,15896,14732,0,0,-48,0,84,14696,0,14364,332,1164,832,332,0,-3864,0,14364,0,0,0
1979:Q1,6026,1857,20104,-1908,0,0,15252,0,1784,948,11340,1180,228,32,3920,776,0,0,1804,0,0,0,0,16756,15280,0,0,156,0,44,15080,0,14476,604,1476,872,604,0,821,0,14476,0,0,0
1979:Q2,6356,1923,16004,1312,0,0,8212,0,-620,924,5804,2104,-80,32,3728,808,0,0,1992,0,0,0,0,16876,15408,0,0,156,0,16,15236,0,14632,604,1468,864,604,0,5305,0,14632,0,0,0
1979:Q3,6102,2037,20972,512,0,0,15308,0,-188,1276,11344,2876,120,36,2132,832,0,0,2032,0,0,0,0,17060,15556,0,0,160,0,-16,15412,0,14812,600,1504,904,600,0,153,0,14812,0,0,0
1979:Q4,5489,2114,21568,1084,0,0,13928,0,-116,1188,11032,1824,768,-56,2980,952,0,0,1912,0,0,0,0,17504,15720,0,0,-32,0,-60,15812,0,15020,792,1784,992,792,0,-689,0,15020,0,0,0
1980:Q1,5099,2120,16756,1012,0,0,10288,0,1972,-248,10168,-1604,496,36,2072,892,0,0,1960,0,0,0,0,17872,16188,0,0,156,0,108,15924,0,15320,604,1684,1080,604,0,4095,0,15320,0,0,0
1980:Q2,5783,2103,13680,-316,0,0,5916,0,-3988,-292,6908,3288,188,40,4932,920,0,0,2000,0,0,0,0,15420,13932,0,0,84,0,188,13660,0,13352,308,1488,1180,308,0,5420,0,13352,0,0,0
1980:Q3,5334,2174,15968,-164,0,0,10700,0,3684,-244,7528,-268,176,36,2268,956,0,0,1996,0,0,0,0,14892,13412,0,0,68,0,184,13160,0,12884,276,1480,1204,276,0,2084,0,12884,0,0,0
1980:Q4,4795,2279,17668,-152,0,0,11192,0,4664,1612,6284,-1368,516,-68,3104,1096,0,0,1980,0,0,0,0,16576,14996,0,0,108,0,96,14792,0,12624,2168,1580,1152,428,0,1424,0,12624,0,0,0
1981:Q1,4679,2394,17296,116,0,0,10796,0,3820,472,4296,2208,244,44,2624,1016,0,0,2456,0,0,0,0,13936,12672,0,0,68,0,8,12596,0,12348,248,1264,1016,248,0,-1075,0,12348,0,0,0
1981:Q2,4602,2510,12320,108,20,0,6220,20,-976,836,4368,1972,368,40,1744,1060,0,0,2760,0,0,0,0,13308,12232,0,0,76,0,-76,12232,0,11940,292,1076,784,292,0,3080,0,11940,0,0,0
1981:Q3,4477,2627,15872,64,60,0,9828,80,2620,1168,4652,1308,408,44,1564,1088,0,0,2816,0,0,0,0,13216,11720,0,0,128,0,-84,11676,0,11172,504,1496,992,504,0,-806,0,11172,0,0,0
1981:Q4,4372,2787,11568,-148,88,0,5864,100,-492,740,244,5272,368,16,2084,1160,0,0,2136,0,0,0,0,12624,9940,0,0,-360,0,-28,10328,0,10712,-384,2684,1632,1052,0,2641,0,10712,0,0,0
1982:Q1,4303,2920,13816,460,168,0,5976,208,696,1264,3056,752,260,28,2724,1732,0,0,2228,240,0,0,240,12300,9800,0,0,68,0,48,9684,0,8764,920,2500,2364,136,0,-134,0,8764,0,0,0
1982:Q2,3402,2872,28268,-160,528,0,6180,576,-680,1456,4792,36,168,-548,2800,1232,0,0,2128,15940,0,0,15940,25020,21944,0,0,28,0,108,21808,0,8616,13192,3076,3172,-96,0,-2718,0,8616,0,0,0
1982:Q3,2698,2795,14120,-372,1092,0,7316,1176,2520,1628,2812,-820,212,-492,2728,1304,0,0,2076,256,0,0,256,11740,8632,0,0,-76,0,108,8600,0,8708,-108,3108,3220,-112,0,-2477,0,8708,0,0,0
1982:Q4,2036,2745,15480,-760,4756,0,9808,5992,2348,1784,1520,-1836,396,-108,2492,-544,0,0,2068,-2628,0,0,-2628,22700,19236,0,0,484,0,52,18700,0,17240,1460,3464,2516,948,0,6511,0,17240,0,0,0
1983:Q1,1618,2905,15352,-1488,3356,0,7964,3136,5428,1980,704,-3284,596,-500,2604,772,0,0,2044,4,0,0,4,11524,9736,0,0,-88,0,0,9824,0,9880,-56,1788,1844,-56,0,-5116,0,9880,0,0,0
1983:Q2,1436,2930,12580,-792,2808,0,2844,3592,2848,2224,-624,-5196,820,-328,3016,1820,0,0,2004,388,0,0,388,9756,8568,0,0,128,0,-48,8488,0,8504,-16,1188,1204,-16,0,-4318,0,8504,0,0,0
1983:Q3,1233,3065,17200,-1840,5244,0,7316,5552,5568,2308,-964,-5148,824,-148,2308,1308,0,0,1988,200,0,0,200,15716,13680,0,0,436,0,-56,13300,0,12456,844,2036,1192,844,0,-3316,0,12456,0,0,0
1983:Q4,1564,3240,12072,-2244,6864,0,10756,7004,5004,2228,-320,-3160,604,-328,472,240,0,0,1952,-6244,0,0,-6244,21456,19464,0,0,140,0,-40,19364,0,18040,1324,1992,1804,188,0,7708,0,18040,0,0,0
1984:Q1,1150,3434,13592,-384,2632,0,10380,2772,5048,3092,-2344,1812,412,-468,-1812,416,0,0,2528,-112,0,0,-112,17600,14272,0,0,4,0,0,14268,0,14104,164,3328,3164,164,0,1724,0,14104,0,0,0
