date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1982:Q4,2656,0,1795,940,-70,-9
1983:Q1,2225,109,1517,-4577,1920,3256
1983:Q2,-929,-46,-35,462,413,-1723
1983:Q3,2264,111,1631,246,540,-264
1983:Q4,2891,142,1217,2021,958,-1447
1984:Q1,4865,253,1148,1863,2139,-538
1984:Q2,1525,90,962,-803,2373,-1097
1984:Q3,-5164,-254,-4085,680,-3288,1783
1984:Q4,-2173,-91,866,-2454,142,-636
1985:Q1,1780,115,-716,-256,1533,1104
1985:Q2,-5517,-205,-673,-2359,-1143,-1137
1985:Q3,5072,395,619,401,-3581,7238
1985:Q4,5765,511,3509,28,2569,-852
1986:Q1,4456,161,1711,146,-4810,7248
1986:Q2,6415,174,1120,2873,1284,964
1986:Q3,9606,321,-750,582,1577,7876
1986:Q4,7120,120,1097,-472,1874,4501
1987:Q1,1091,-66,-2375,4921,3067,-4456
1987:Q2,406,-162,-930,-3172,-3541,8211
1987:Q3,1233,-125,-815,-1221,3993,-599
1987:Q4,5826,222,1181,-1089,-6104,11616
1988:Q1,-1883,-35,2072,488,1443,-5851
1988:Q2,8835,406,7064,13,2445,-1093
1988:Q3,4080,188,875,383,2018,616
1988:Q4,3620,353,-4719,7185,-2927,3728
1989:Q1,13727,445,-2932,-665,4573,12306
1989:Q2,2695,-121,-1509,-6687,-3896,14908
1989:Q3,5248,236,-3121,7058,-2992,4067
1989:Q4,7427,205,713,-3026,-1697,11232
1990:Q1,-5617,-119,964,668,243,-7373
1990:Q2,12369,557,-118,994,-1530,12466
1990:Q3,14145,637,-1042,3766,-1167,11951
1990:Q4,7014,335,208,-4731,2538,8664
1991:Q1,-931,532,632,5867,-20,-7942
1991:Q2,-12172,-2,-2750,-5701,1511,-5230
1991:Q3,-2299,452,979,-3027,-728,25
1991:Q4,-11074,46,2857,-2358,2729,-14348
1992:Q1,-8693,1,-1457,-1382,4319,-10174
1992:Q2,2174,387,9,-3638,-3784,9200
1992:Q3,4980,551,652,4790,-1852,839
1992:Q4,-1898,234,152,-1019,-3473,2208
1993:Q1,-2650,-155,-2302,-1676,5828,-4345
1993:Q2,-1587,-93,178,380,-5887,3835
1993:Q3,-11205,-655,1611,-5249,1697,-8609
1993:Q4,-3032,-177,-776,-3929,-1649,3499
1994:Q1,-701,-41,1228,1374,759,-4021
1994:Q2,19327,1131,350,-2498,5793,14551
1994:Q3,8722,510,-3442,-387,-3195,15236
1994:Q4,25541,1494,3026,7448,1984,11589
1995:Q1,8158,1477,-1814,-781,1196,8080
1995:Q2,27986,2137,604,360,-411,25296
1995:Q3,-6125,-358,1402,5910,3581,-16660
1995:Q4,5285,1309,1547,-1453,-1640,5522
1996:Q1,25191,2665,2984,1533,632,17377
1996:Q2,747,1672,-543,-7186,-2502,9306
1996:Q3,29972,4000,1078,3568,1012,20314
1996:Q4,30027,4028,7286,5597,4779,8337
1997:Q1,46088,2811,760,-2423,-5710,50650
1997:Q2,6044,346,4494,-490,3636,-1942
1997:Q3,25419,1555,-211,2794,1840,19441
1997:Q4,30155,1821,-10112,152,-208,38502
1998:Q1,-6036,-362,3976,5177,-560,-14267
1998:Q2,16139,968,-6538,-6503,-1033,29245
1998:Q3,28580,1715,-2192,4873,-2074,26258
1998:Q4,-29581,-1775,12133,3566,2937,-46442
1999:Q1,27377,1643,5717,9414,-3241,13844
1999:Q2,18639,1118,-3892,5362,-2230,18281
1999:Q3,11400,684,1147,9879,860,-1170
1999:Q4,-8522,-511,-2030,-13273,14208,-6916
2000:Q1,74857,4491,4290,20670,-9384,54790
2000:Q2,11518,691,-6008,6335,-1273,11773
2000:Q3,-22199,-1332,-15744,-363,4511,-9271
2000:Q4,62703,3762,10031,17488,4542,26880
2001:Q1,41976,2519,-7101,22681,5184,18693
2001:Q2,-38845,-2331,165,-2749,5700,-39630
2001:Q3,-1184,-71,-2724,685,-4700,5626
2001:Q4,4805,288,1148,10900,2659,-10190
2002:Q1,-15075,-905,1155,-7301,589,-8613
2002:Q2,7462,448,1828,-1998,-1763,8947
2002:Q3,26036,1562,1500,2591,-4206,24589
2002:Q4,2607,156,587,-14,6745,-4867
2003:Q1,26454,1691,1346,-9741,-9560,42718
2003:Q2,41724,2487,8364,-10851,4593,37131
2003:Q3,-45810,-2969,4216,-5776,-1409,-39872
2003:Q4,21388,1695,3632,-11828,1974,25915
2004:Q1,35298,2363,3554,3171,4811,21399
2004:Q2,65639,2685,5926,6771,-3692,53949
2004:Q3,-844,975,-2928,-8438,-5170,14717
2004:Q4,54068,2900,9008,-652,3006,39806
2005:Q1,91333,5638,7596,-4703,13895,68907
2005:Q2,-47861,-2853,-3805,13769,4277,-59249
2005:Q3,20485,2035,-6077,11125,-4391,17793
2005:Q4,-42080,-2737,12152,-12408,3999,-43086
2006:Q1,68875,4032,-21575,5521,5535,75362
2006:Q2,97662,4787,11049,-18835,4345,96316
2006:Q3,16665,-917,-9348,-8254,4032,31152
2006:Q4,-2746,-1803,5639,11455,-1882,-16155
2007:Q1,41061,3588,-4030,-3946,2167,43282
2007:Q2,134844,6395,10518,-9300,8960,118271
2007:Q3,97872,4914,1141,27922,18303,45592
2007:Q4,20731,2879,-6715,20358,11198,-6989
2008:Q1,-36399,-3657,4787,10259,13291,-61079
2008:Q2,-111745,-5557,-18200,126,29631,-117745
