1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q1,1041424,26123,77435,0,109672,442361,4899,256239,152905,11896,16422,270955,111575,159380,5125,5899,55161,37589,11104,1722536,991423,28012,963411,9580,156685,564848
1991:Q2,1053674,30146,72890,0,114641,444566,6000,255815,153813,12000,16938,273133,112113,161020,5500,7000,56201,38224,11373,1771167,1009504,27857,981647,9403,160065,592195
1991:Q3,1073488,30325,70566,0,115611,466358,7336,272115,157515,11907,17485,271075,112955,158120,5875,8156,57271,38310,9941,1809368,1037959,34805,1003154,9801,163507,598101
1991:Q4,1095553,34239,65295,0,118442,477119,8969,275798,162725,11627,18000,273463,113723,159740,6250,9375,59091,38357,13922,1846384,1068584,34659,1033925,10011,167005,600784
1992:Q1,1100913,32176,66261,0,115788,490736,10617,302227,148155,11284,18453,271504,113714,157790,6625,10656,58386,38648,10133,1914525,1070532,29685,1040847,10050,170576,663367
1992:Q2,1104840,34152,60538,0,122350,482642,12000,273703,166627,11000,19312,275755,113895,161860,7000,12000,59795,38928,11680,1981743,1080174,26923,1053251,10000,174157,717412
1992:Q3,1107295,35542,61117,0,122183,488319,13156,271740,172507,10751,20165,271327,113757,157570,7375,13406,60597,38739,8690,2035533,1093769,38379,1055390,9950,177744,754070
1992:Q4,1104476,38125,57261,0,123050,485074,14125,264645,174902,10502,20900,267209,113679,153530,7750,14875,62201,38290,10641,2056061,1085225,33586,1051639,9870,181351,779615
1993:Q1,1107701,36491,60865,26,125870,491472,15036,282428,161627,10257,22124,265348,113718,151630,8128,16412,61958,37857,3274,2074406,1102882,34103,1068779,9750,185014,776760
1993:Q2,1114896,39106,56964,53,124256,504773,16011,288608,166518,10007,23629,263533,110713,152820,8506,18013,62638,36784,270,2116648,1128561,33848,1094713,9613,188762,789712
1993:Q3,1115939,39192,57556,105,126012,504250,16989,271637,180726,9759,25139,259051,109601,149450,8891,19676,63516,35687,2003,2131169,1143629,37630,1105999,9438,192537,785565
1993:Q4,1123981,40180,55020,158,134021,500578,17901,271252,175367,9503,26555,257958,108508,149450,9286,21391,65802,35579,4008,2144651,1143882,35378,1108504,9158,196360,795251
1994:Q1,1119607,40120,58031,211,128778,498355,18882,273693,168599,9254,27927,253607,108107,145500,9673,23185,65516,36114,6017,2189302,1140838,37493,1103345,9154,200227,839083
1994:Q2,1122906,41198,55235,316,126308,501508,20082,269710,173359,9037,29320,251690,108310,143380,10041,25103,67321,36153,8033,2208403,1128085,30781,1097304,9240,204171,866907
1994:Q3,1124204,38874,56556,421,118998,508284,21575,262184,184965,8844,30716,247131,109741,137390,10376,27255,68439,36145,11725,2204387,1115642,34360,1081282,9683,208240,870822
1994:Q4,1127015,42086,57802,527,119449,490108,22440,239010,187873,8667,32118,243881,111261,132620,10670,29298,71244,36846,25104,2202786,1097943,33200,1064743,9554,212372,882917
1995:Q1,1126074,39275,62781,597,110624,503305,24204,229311,207483,8507,33800,235557,112647,122910,11005,31595,71266,37921,22148,2169938,1083130,36797,1046333,9663,216586,860559
1995:Q2,1127679,41930,60595,792,102132,467743,26447,194472,202344,8385,36095,235209,114059,121150,11544,33791,72562,37723,63658,2144161,1074431,32680,1041751,9626,220898,839206
1995:Q3,1131059,40797,62701,835,106893,447230,35286,192952,174033,7269,37690,227608,114238,113370,20246,34751,74635,37372,77991,2102330,1048582,32618,1015964,10215,225223,818310
1995:Q4,1130144,42911,66423,960,117106,425455,39850,187608,153361,5178,39458,219667,115207,104460,26739,35430,77310,37725,80418,2088595,1037040,34430,1002610,9692,229594,812269
1996:Q1,1131656,38790,71561,1011,137338,431736,42308,189523,152530,4109,43266,212257,115777,96480,31055,36221,77378,38754,55555,2075844,1032290,35865,996425,9825,233999,799730
1996:Q2,1142371,40174,71282,1004,145625,441461,51074,187769,151312,4854,46452,214143,116313,97830,36950,39602,79590,39184,33356,2072560,1033512,34210,999302,10384,238499,790165
1996:Q3,1149635,38334,73074,1020,146019,418026,54801,170209,139557,4618,48841,213074,117404,95670,41521,41007,79785,39491,58284,2064790,1014241,37548,976693,10637,243089,796823
1996:Q4,1172039,40623,74851,1083,149780,391088,60479,157802,117763,4701,50343,220468,119198,101270,47524,41582,82902,40063,82075,2044481,1021340,40682,980658,4849,247833,770459
1997:Q1,1194418,38042,78079,1180,153854,374613,66304,145402,110470,4493,47944,224746,119976,104770,50261,41125,82877,41511,108130,2070197,1024126,41691,982435,10240,252601,783230
1997:Q2,1231418,40620,76792,1234,151586,383790,68020,137364,123331,4605,50470,229010,121090,107920,61006,39384,84326,42353,121317,1984722,1036877,39296,997581,10016,257418,680411
1997:Q3,1260930,40639,79708,1328,154942,364261,72317,125217,111907,4061,50759,233980,122120,111860,71464,36428,86328,43002,148850,1930482,1045093,44566,1000527,10537,262316,612536
1997:Q4,1294309,42856,80781,1407,153772,365272,75173,117064,117265,3962,51808,247310,123230,124080,79669,34169,89245,44308,155520,1970341,1066957,48996,1017961,9989,267315,626080
1998:Q1,1353045,39288,86409,1484,162568,350024,80541,100589,111995,3556,53343,263440,124300,139140,88981,30989,90449,46132,193281,1899448,1086783,49897,1036886,9974,272354,530337
1998:Q2,1397237,41910,87441,1704,156771,379999,79250,105362,134884,3054,57449,280539,125569,154970,95633,33513,90879,45385,183463,1946690,1110880,44448,1066432,10082,277533,548195
1998:Q3,1421169,39920,89550,1861,155039,397601,82315,109507,143243,3099,59437,289930,125500,164430,85995,26934,91882,47858,194599,2142398,1114893,40797,1074096,10346,282851,734308
1998:Q4,1486490,43613,95158,4201,162225,440097,90519,120421,160714,3331,65112,298113,132823,165290,102777,35602,96255,49285,159164,2006192,1133636,42728,1090908,10117,288235,574204
1999:Q1,1518146,40336,98681,4298,161710,463948,94835,126163,171568,3412,67970,301428,133978,167450,102772,35430,98344,50285,160914,2024595,1152668,43649,1109019,10117,293743,568067
1999:Q2,1547292,41901,101005,4374,160267,486179,98797,131435,181906,3476,70565,307020,134430,172590,102189,35053,99936,55886,153482,1984138,1165057,41503,1123554,10199,299368,509514
1999:Q3,1566103,41929,104407,4449,158646,508812,102821,136789,192466,3541,73195,302884,134794,168090,101505,34634,101526,56311,151000,2117347,1166567,42974,1123593,10163,305130,635487
1999:Q4,1611936,46776,108848,4605,159689,541478,108844,144801,206927,3671,77235,303243,137513,165730,102545,34794,104942,59204,145812,1965642,1172521,45291,1127230,8488,311080,473553
2000:Q1,1637365,43631,112825,4688,157927,566193,113239,150648,218456,3742,80108,299784,137914,161870,101804,34339,106684,65569,143921,1954383,1175824,46952,1128872,8525,317205,452829
2000:Q2,1651563,44820,115502,4732,154763,586740,116785,155366,228434,3782,82373,297493,137143,160350,100168,33577,107549,68245,137974,2048092,1182717,45705,1137012,8584,323357,533434
2000:Q3,1668913,43020,120409,4811,152566,611809,121216,161263,240222,3850,85258,290576,137286,153290,99171,33023,109189,65789,138550,2062616,1176656,43774,1132882,8818,329611,547531
2000:Q4,1672745,47635,119372,4847,148993,632197,124707,165908,250221,3886,87475,287272,136242,151030,97289,32168,109867,69783,123322,2250952,1189025,46648,1142377,8867,336029,717031
