1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,153602,105397,14379,23478,10348,153602,108519,45035,17807,27228,48,153602,25843,68,0,3813,2376,334,240,863,871,82626,81751,0,224,651,161,34695,547,499,3338,1445,0,1893,0,0,170,0,0,170,0,0,0,971,0
1957:Q4,156641,107374,14611,24259,10397,156641,110629,45916,18438,27478,96,156641,26283,72,0,3925,2376,348,249,952,923,84249,83428,0,229,592,161,35236,583,540,3553,1636,0,1917,0,0,173,0,0,173,0,0,0,943,0
1958:Q1,159336,108975,15025,24812,10524,159336,112552,46562,18713,27849,222,159336,26750,76,0,3993,2393,349,252,999,975,85583,84678,0,239,666,161,35693,619,584,3670,1718,0,1952,0,0,175,0,0,175,0,0,0,1057,0
1958:Q2,162909,111142,15517,25496,10754,162909,114998,47564,18938,28626,347,162909,27539,80,0,4050,2398,363,255,1034,1026,88009,87126,0,252,631,161,36029,655,631,3381,1394,0,1987,0,0,177,0,0,177,0,0,0,1171,0
1958:Q3,167216,114035,16020,26204,10957,167216,117964,48813,19214,29599,439,167216,28168,84,0,4103,2397,377,258,1071,1079,90969,90039,0,265,665,161,36438,695,681,3370,1333,0,2037,0,0,183,0,0,183,0,0,0,1285,0
1958:Q4,172073,117177,16565,27222,11109,172073,121048,50493,20187,30306,532,172073,28887,87,0,4335,2557,396,268,1114,1135,93871,92980,0,272,619,160,37062,742,736,3468,1381,0,2087,0,0,190,0,0,190,0,0,0,1400,0
1959:Q1,176185,119935,17132,27761,11357,176185,124050,51554,20209,31345,581,176185,29330,74,0,4759,2913,411,274,1161,1196,96271,95318,0,230,723,160,37461,796,792,3637,1464,0,2173,0,0,195,0,0,195,0,0,0,1514,0
1959:Q2,181322,123346,17679,28553,11744,181322,127623,53067,20238,32829,632,181322,29939,62,0,5183,3255,424,278,1226,1263,99673,98755,0,188,730,158,37849,856,847,3834,1574,0,2260,0,0,201,0,0,201,0,0,0,1457,0
1959:Q3,186450,127007,18212,29283,11948,186450,131386,54325,20211,34114,739,186450,30314,21,0,5481,3475,442,286,1278,1329,103053,102184,0,89,780,155,38413,921,911,4087,1777,0,2310,0,0,202,0,0,202,0,0,0,1563,0
1959:Q4,191128,130099,18700,30228,12101,191128,134469,55812,21012,34800,847,191128,30801,21,0,5605,3532,447,312,1314,1390,105737,104899,0,86,752,146,39197,989,992,4400,2040,0,2360,0,0,203,0,0,203,0,0,0,1647,0
1960:Q1,194949,132580,19199,30899,12271,194949,137389,56613,20975,35638,947,194949,31342,22,0,5529,3403,460,315,1351,1442,107732,106715,0,87,930,145,39905,1063,1091,4794,2370,0,2424,0,0,204,0,0,204,0,0,0,1680,0
1960:Q2,199295,135366,19702,31668,12559,199295,140308,57938,21084,36854,1049,199295,32110,23,0,5573,3417,463,322,1371,1485,110205,109210,0,89,906,145,40518,1145,1209,5087,2600,0,2487,0,0,206,0,0,206,0,0,0,1589,0
1960:Q3,204103,138582,20293,32531,12697,204103,143662,59291,21309,37982,1150,204103,32820,24,0,5671,3430,481,337,1423,1529,113067,112100,0,92,875,147,41076,1227,1333,5332,2807,0,2525,0,0,204,0,0,204,0,0,0,1673,0
1960:Q4,208409,141378,20786,33407,12838,208409,146586,60571,21829,38742,1252,208409,33575,24,0,5800,3439,495,367,1499,1582,115478,114531,0,94,853,149,41771,1301,1450,5467,2903,0,2564,0,0,201,0,0,201,0,0,0,1611,0
1961:Q1,212253,143645,21424,34121,13063,212253,148974,61973,21748,40225,1306,212253,34425,26,0,5885,3426,510,392,1557,1643,117642,116550,0,99,993,153,42321,1369,1564,5416,2770,0,2646,0,0,201,0,0,201,0,0,0,1608,0
1961:Q2,217156,146603,21943,35173,13437,217156,152057,63739,22035,41704,1360,217156,35253,28,0,5977,3416,537,407,1617,1712,120844,119814,0,104,926,156,42941,1430,1680,5250,2522,0,2728,0,0,200,0,0,200,0,0,0,1685,0
1961:Q3,222791,150179,22790,36085,13737,222791,155779,65595,22270,43325,1417,222791,36010,30,0,6108,3406,602,432,1668,1783,124457,123331,0,111,1015,157,43381,1491,1793,5384,2606,0,2778,0,0,244,0,0,244,0,0,0,1953,0
1961:Q4,228969,154027,23622,37403,13917,228969,159770,67725,23247,44478,1474,228969,36834,33,0,6249,3389,657,457,1746,1849,127954,126750,0,121,1083,155,44203,1560,1896,5700,2872,0,2828,0,0,290,0,0,290,0,0,0,2246,0
1962:Q1,233302,156488,24218,38374,14222,233302,162372,69376,23580,45796,1554,233302,37377,38,0,6300,3371,652,476,1801,1914,130886,129616,0,136,1134,154,44606,1634,1990,5921,3023,0,2898,0,0,312,0,0,312,0,0,0,2170,0
1962:Q2,239432,160237,24937,39584,14674,239432,166287,71510,23997,47513,1635,239432,37975,44,0,6295,3324,644,509,1818,1979,135484,134234,0,155,1095,150,45119,1713,2074,5839,2871,0,2968,0,0,336,0,0,336,0,0,0,2424,0
1962:Q3,245791,164345,25769,40733,14944,245791,170556,73552,24493,49059,1683,245791,38406,50,0,6294,3260,705,525,1804,2042,140319,138987,0,174,1158,144,45670,1794,2155,5858,2848,0,3010,0,0,373,0,0,373,0,0,0,2686,0
1962:Q4,252438,168307,26732,42206,15193,252438,174646,76058,25567,50491,1734,252438,39006,54,0,6321,3229,739,551,1802,2100,144794,143378,0,189,1227,134,46902,1876,2242,5899,2847,0,3052,0,0,413,0,0,413,0,0,0,2697,0
1963:Q1,257443,171352,27382,43148,15561,257443,177894,77790,25954,51836,1759,257443,39324,56,0,6272,3121,804,560,1787,2154,148895,147367,0,201,1327,131,47527,1957,2331,5654,2529,0,3125,0,0,453,0,0,453,0,0,0,2689,0
1963:Q2,264646,175801,28202,44492,16151,264646,182450,80410,26531,53879,1786,264646,40093,56,0,5929,2872,846,581,1630,2202,154661,153130,0,210,1321,128,48313,2035,2420,5337,2139,0,3198,0,0,495,0,0,495,0,0,0,2977,0
1963:Q3,272064,180662,28994,45835,16573,272064,187437,82837,27166,55671,1790,272064,40319,56,0,5867,2759,885,603,1620,2249,160424,158811,0,218,1395,126,49206,2119,2512,5334,2081,0,3253,0,0,509,0,0,508,0,1,0,3343,0
1963:Q4,279256,185106,30024,47304,16822,279256,192041,85419,28240,57179,1796,279256,40528,60,0,5922,2711,920,613,1678,2297,165536,163823,0,231,1482,121,50544,2220,2612,5361,2052,0,3309,0,0,525,0,0,524,0,1,0,3530,0
1964:Q1,284877,188776,30936,47831,17334,284877,195857,87227,28831,58396,1793,284877,40880,65,0,5934,2672,972,582,1708,2353,169568,167836,0,246,1486,120,51455,2357,2716,5447,2034,0,3413,0,0,551,0,0,550,0,1,0,3431,0
1964:Q2,292203,193368,32095,48672,18068,292203,200605,89811,29351,60460,1787,292203,41158,72,0,5877,2623,1016,544,1694,2413,174892,173200,0,264,1428,120,52489,2506,2822,5537,2021,0,3516,0,0,581,0,0,580,0,1,0,3736,0
1964:Q3,299773,198076,33313,49848,18536,299773,205464,92504,30174,62330,1805,299773,41613,79,0,5874,2570,1051,510,1743,2471,180420,178652,0,283,1485,120,53524,2640,2937,5600,1983,0,3617,0,0,602,0,0,600,0,2,0,3893,0
1964:Q4,307034,202335,34578,51179,18942,307034,209875,95333,31447,63886,1826,307034,42098,84,0,5873,2511,1080,493,1789,2524,185076,183325,0,301,1450,120,55152,2778,3070,5715,1997,0,3718,0,0,624,0,0,622,0,2,0,3920,0
1965:Q1,312731,205891,35384,51982,19474,312731,213609,97272,32185,65087,1850,312731,42175,86,0,5839,2426,1134,495,1784,2574,188902,186994,0,319,1589,124,56317,2919,3221,5918,2030,0,3888,0,0,676,0,0,674,0,2,0,3980,0
1965:Q2,320010,210329,36300,53197,20184,320010,218234,99900,32612,67288,1876,320010,42480,86,0,5726,2320,1190,475,1741,2622,194040,192116,0,338,1586,130,57347,3175,3389,6118,2060,0,4058,0,0,730,0,0,728,0,2,0,4167,0
1965:Q3,327395,215042,37243,54413,20697,327395,223128,102406,33143,69263,1861,327395,42391,86,0,5757,2291,1236,472,1758,2667,199422,197560,0,357,1505,137,58413,3298,3567,6335,2165,0,4170,0,0,797,0,0,771,0,26,0,4525,0
1965:Q4,334510,219449,38213,55661,21187,334510,227707,104958,34105,70853,1845,334510,42611,88,0,5854,2292,1281,491,1790,2713,203826,202026,0,374,1426,142,60013,3385,3746,6801,2520,0,4281,0,0,869,0,0,815,0,54,0,4462,0
1966:Q1,341259,223358,39187,57017,21697,341259,231794,107635,34692,72943,1830,341259,42600,93,0,6069,2336,1313,572,1848,2758,207809,205747,0,390,1672,140,61232,3508,3936,7774,3271,0,4503,0,0,949,0,0,861,0,88,0,4391,0
1966:Q2,348424,227232,40075,58796,22321,348424,235848,110761,35823,74938,1815,348424,43427,100,0,6281,2449,1316,583,1933,2805,211645,209618,0,404,1623,140,62509,3591,4143,8434,3709,0,4725,0,0,1033,0,0,908,0,125,0,4316,0
1966:Q3,354072,230272,40708,60317,22775,354072,239072,113200,36787,76413,1800,354072,43990,108,0,6574,2588,1365,608,2013,2848,214451,212531,0,418,1502,140,63565,3710,4344,8919,4078,0,4841,0,0,1167,0,0,975,0,192,0,4256,0
1966:Q4,358537,232742,41275,61468,23052,358537,241698,115056,37695,77361,1783,358537,44617,114,0,6891,2739,1433,600,2119,2888,216282,214415,0,433,1434,143,64609,3911,4516,9354,4396,0,4958,0,0,1314,0,0,1044,0,270,0,3898,0
1967:Q1,361862,234221,41968,62233,23440,361862,243370,116722,38281,78441,1770,361862,44959,115,0,7053,2874,1371,621,2187,2922,217434,215551,0,448,1435,171,65469,3991,4681,9732,4601,0,5131,0,0,1480,0,0,1119,0,361,0,3855,0
1967:Q2,367447,237076,42801,63577,23993,367447,246273,119419,38650,80769,1755,367447,45344,113,0,7152,3000,1337,613,2202,2948,220962,219070,0,464,1428,176,66126,3976,4847,9895,4591,0,5304,0,0,1660,0,0,1197,0,463,0,4248,0
