1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,4887525,3853875,782835,250815,10902,203107,36806,4887525,1274197,1372197,744967,539642,879382,77140,443,23206,22170,349,73,614,4087,3363,253,27,232,0,8565,2804,34163,525671,382300
1975:Q1,5037076,3959554,820696,256826,11546,208054,37226,5037076,1309086,1427558,767249,551798,900717,80668,465,24460,23336,392,82,650,4290,3541,259,27,240,0,9079,2924,35383,537379,377800
1975:Q2,5134267,4019211,852304,262752,12026,212323,38403,5134267,1334195,1467874,782699,560162,906064,83273,480,25441,24239,431,91,680,4442,3676,262,28,245,0,9489,3006,36204,551050,382800
1975:Q3,5190806,4055111,868580,267115,12468,215991,38656,5190806,1349284,1491760,790999,563311,910453,84999,493,26136,24869,466,99,702,4546,3776,262,27,247,0,9789,3054,36669,562756,387900
1975:Q4,5276582,4115062,890403,271117,12923,219124,39070,5276582,1376257,1518806,804139,572069,918386,86925,505,26894,25559,503,106,726,4661,3885,263,27,251,0,10107,3105,37226,577996,387300
1976:Q1,5363079,4170526,917638,274915,13287,222215,39413,5363079,1398477,1548426,813492,584516,929044,89124,519,27785,26362,559,106,758,4784,4000,264,28,222,0,10465,3168,37883,592015,393400
1976:Q2,5502756,4286368,935152,281236,13722,227171,40343,5502756,1452027,1587256,836308,592935,942334,91896,538,28800,27280,617,107,796,4939,4145,268,29,196,0,10854,3244,38878,604643,408000
1976:Q3,5616026,4371876,956865,287285,14239,231726,41320,5616026,1489706,1625760,853064,604671,948146,94679,557,29853,28235,677,108,833,5096,4292,271,30,169,0,11256,3328,39823,618240,412500
1976:Q4,5747011,4469960,983282,293769,14800,236710,42259,5747011,1533065,1666379,871928,619507,958540,97592,576,30978,29258,739,108,873,5260,4446,276,33,142,0,11680,3418,40785,635521,419300
1977:Q1,5912766,4599819,1013641,299306,15313,240915,43078,5912766,1587137,1717008,898682,632408,976278,101253,600,32175,30311,828,110,926,5467,4638,282,32,146,0,12168,3505,42234,652321,431500
1977:Q2,6065420,4718543,1041130,305747,15696,245917,44134,6065420,1646402,1756367,924656,643282,990588,104125,620,33189,31192,912,111,974,5631,4791,286,33,148,0,12592,3571,43263,666297,436800
1977:Q3,6238636,4858366,1067563,312707,15986,251474,45247,6238636,1717492,1803085,955804,646138,1008688,107429,640,34344,32205,1002,113,1024,5810,4959,291,35,151,0,13066,3644,44489,684267,446900
1977:Q4,6415098,4994166,1101024,319908,16206,257438,46264,6415098,1787475,1850996,986513,655972,1023316,110826,663,35570,33285,1093,114,1078,5991,5128,296,36,155,0,13561,3719,45710,705116,462700
1978:Q1,6599152,5135006,1136362,327784,16497,263315,47972,6599152,1854279,1903306,1015528,670761,1040723,114555,682,36961,34479,1234,115,1133,6201,5324,300,37,150,0,14074,3808,47019,724166,487700
1978:Q2,6821226,5310202,1175574,335450,17020,269439,48991,6821226,1927878,1966560,1048772,689979,1068812,119225,704,38655,35954,1385,118,1198,6473,5575,308,38,147,0,14677,3939,48708,747344,508400
1978:Q3,7036655,5478657,1213798,344200,17652,276516,50032,7036655,1998338,2029474,1080789,706909,1097216,123929,727,40383,37460,1538,119,1266,6754,5835,315,40,143,0,15287,4078,50366,770497,523600
1978:Q4,7259791,5653512,1252534,353745,18448,284296,51001,7259791,2071087,2097947,1114531,721488,1125638,129100,752,42248,39092,1697,122,1337,7073,6130,323,42,139,0,15940,4237,52220,795098,546800
1979:Q1,7496113,5834243,1297932,363938,19434,292609,51895,7496113,2138130,2174115,1150639,741442,1156205,135582,777,44559,41053,1973,128,1405,7495,6512,334,44,131,0,16668,4574,54490,821082,583300
1979:Q2,7789479,6071837,1342083,375559,20360,301645,53554,7789479,2234215,2255725,1198189,760341,1198622,142387,803,46945,43086,2251,134,1474,7937,6914,347,47,124,0,17418,4921,56931,847060,607900
1979:Q3,8092762,6318698,1386383,387681,21401,311473,54807,8092762,2329076,2339611,1245669,781919,1247004,149483,832,49411,45188,2535,141,1547,8410,7343,360,49,117,0,18183,5289,59490,869110,625900
1979:Q4,8359565,6527060,1432317,400188,22522,321328,56338,8359565,2408177,2414174,1286193,799572,1295515,155934,854,51717,47144,2812,146,1615,8853,7747,373,52,109,0,18888,5652,61693,895576,644700
1980:Q1,8636980,6734571,1488449,413960,23568,333161,57231,8636980,2488732,2498500,1327713,815743,1342926,163366,883,54486,49484,3163,153,1686,9304,8150,383,53,108,0,19732,6061,64208,928540,669600
1980:Q2,8916389,6939775,1549410,427204,24783,344003,58418,8916389,2560346,2584573,1366868,840926,1392763,170913,913,57219,51792,3511,160,1756,9772,8568,396,55,107,0,20568,6472,66849,950756,686500
1980:Q3,9200911,7162037,1598024,440850,25988,354773,60089,9200911,2633086,2670756,1406841,861337,1450340,178551,944,59954,54102,3860,166,1826,10248,8993,408,55,107,0,21391,6894,69560,970394,699500
1980:Q4,9511476,7410543,1646139,454794,27304,366160,61330,9511476,2712998,2766412,1451349,888284,1505329,187104,981,62839,56545,4220,172,1902,10793,9485,427,58,105,0,22245,7349,72826,990869,710800
1981:Q1,9800749,7637160,1694428,469161,28770,377160,63231,9800749,2781897,2866837,1497928,902826,1555584,195677,1020,65998,59461,4395,179,1963,11334,9969,440,60,123,0,23013,7898,75828,1007783,734400
