1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q4,464547,101908,266447,-12800,905712,110108,-22,1099234,481659,970512,942642,30095,-2225,-488853,45272,2348,-21672,109536,26368,3556,8825,6481,12012,-4972,-4368,-328,11839,1468,10371,20944,-1736,115412,40,-176,-86575,-143438,534125,416365,-239,-49250,10135,38876,32023,-97517,8786,120755,38048,42760,20642,283131,-21656,181037,123750,117760,9252,108508,617575,-18614
2003:Q1,487061,118408,240154,-21312,893214,65108,-56,1065565,1204143,967636,948659,21215,-2238,236507,310340,5384,63167,50772,-5365,-1816,33796,16324,12684,4244,812,-268,-28252,1140,-29392,-35103,-104880,104812,4,5792,63484,158545,73833,-1759,21549,-21930,7575,35904,-25617,-96085,16778,53690,-42432,-133016,-24648,202406,14148,-43983,232241,75592,-38020,113612,-138578,-32821
2003:Q2,477156,116297,329246,-2916,915491,144258,-83,1088529,683100,967817,974304,-4790,-1697,-284717,-360085,33456,44177,85228,-4578,2016,9966,30758,8200,-23008,-5876,-108,2957,2160,797,35589,-120496,123072,108,5792,-96373,-480999,-75368,-70768,109152,-65298,-8706,183156,-108620,-130324,-24605,46310,-15480,-93616,-264,38059,-14212,49736,2535,-4600,-3664,-936,405429,23546
2003:Q3,523937,128710,295972,-11144,920427,105659,-104,1114301,785839,990050,992443,-241,-2152,-204211,-39728,16864,50493,47004,-31967,4080,35786,26586,-4880,-1628,14984,724,29870,3336,26534,13063,-123152,122116,96,5792,-67698,-142074,164483,86267,108950,-18638,6680,120908,47753,-48824,6072,90506,-60564,-34133,534,23726,-5280,146059,-117053,78216,19288,58928,328462,-18592
2003:Q4,566921,142554,314148,-22512,923616,122909,-118,1134350,593034,1036436,1005154,33953,-2671,-443402,-205239,14528,13603,102904,-62710,-5020,-35072,-30108,-6660,-2220,3172,744,-56695,4168,-60863,-46189,-137488,175952,172,5792,29611,-204629,238163,48911,-5200,-43462,7618,30644,-65565,-91727,13320,12843,-45648,41838,-22550,146036,4668,74419,66949,189252,13776,175476,541316,24995
2004:Q1,648479,161834,335702,-23968,923194,135442,-127,1185738,1144867,1029954,994325,37895,-2266,114912,828094,14216,93438,27664,33790,-3212,44869,45585,4940,1648,-7668,364,-24026,14256,-38282,21738,7256,205612,-32,-1268,235614,172436,713182,622902,105294,11786,50724,42784,101286,-128659,53046,176899,29192,183578,-2619,206172,-9108,54182,161098,90280,33344,56936,40871,-20342
2004:Q2,721370,174831,325274,-45340,928024,94213,-126,1198288,1247044,1074039,1023150,52820,-1931,173005,714612,23704,61465,-37152,13715,-1416,-13617,-5505,-3668,-1224,-3704,484,27865,15256,12609,25024,7352,221456,156,-1268,65215,322112,541607,491455,-50093,18846,2841,-71780,91039,14841,2453,73745,-33172,8877,12128,462676,13600,86527,362549,50152,-48804,98956,-48756,-30036
2004:Q3,759814,188310,330683,-40888,933241,103719,-26277,1263170,1356892,1105405,1055758,51736,-2089,251486,756416,-11712,30193,95228,2118,3560,5722,20702,-8512,-2836,-3244,-388,42612,15444,27168,11532,7184,163152,140,-1268,78676,329279,504930,549118,5595,-7522,16113,-2996,271488,58290,77544,135654,-6772,94445,26454,157908,-11932,121766,48074,-44188,-123072,78884,-93722,-54046
2004:Q4,770736,191962,476560,-50648,938761,118067,-98,1108492,891994,1149450,1090237,60974,-1761,-257456,586789,36032,-60824,-55028,6,2812,29222,16594,8536,2844,252,996,15773,16684,-911,3854,7808,420688,20,-1268,135895,51800,844245,794881,51772,38094,590,13088,232389,80193,88750,63446,7916,102125,-8866,409546,-5024,74873,339697,49364,-125672,175036,216498,159025
2005:Q1,975568,259771,318965,-40832,800457,103894,-70,1260421,1252116,1218504,1122537,96097,-130,33612,984036,30384,28571,-31800,37278,-928,100967,15891,60864,20288,3292,632,-25213,600,-25813,5034,-181068,203280,-44,712,286417,530446,950424,1012072,40835,29647,31164,-19976,236230,13266,133164,89800,5512,215232,9566,504697,-4604,105984,403317,-61648,-165572,103924,8305,61977
2005:Q2,1029704,251619,257172,-25160,805729,46510,-49,1348041,1292126,1178555,1153370,25054,131,113571,1009083,-15220,143904,-77228,37797,9076,-17067,-28491,14796,4932,-10092,1788,24973,4812,20161,-12707,-182716,125744,24,712,160643,811149,895512,1028336,-61961,-34105,31052,-58908,368207,56708,79492,232007,-89152,158651,-1324,653916,-6364,112624,547656,-132824,-183528,50704,55915,-122976
2005:Q3,1014166,255954,112170,-39020,811218,-74481,-54317,1398076,1512805,1196325,1185244,7952,3129,316481,946220,-24308,100788,33588,60503,12932,30237,44345,-17780,-5928,8872,728,23794,1392,22402,32561,-188464,-121672,160,712,322998,662391,629739,815111,34213,-12785,60622,-13624,149832,-139257,82607,206483,67460,287001,-6870,283476,9280,81287,192909,-185372,-273184,87812,-114729,-276232
2005:Q4,1158128,282820,15677,-39108,816460,-193686,-7626,1450923,1443425,1280042,1204639,75397,6,163384,800316,48608,129337,115056,76638,11472,52092,32060,14532,4844,-872,1528,-12258,3004,-15262,-79787,-191452,-91036,32,712,340362,400540,636932,813700,16062,-13601,55427,-25764,395462,-17653,146001,267113,18000,136900,-8467,255744,-5852,72304,189292,-176768,-343432,166664,7498,-364567
2006:Q1,1170629,289954,403005,-29264,840771,106134,-26,1395337,1560977,1320820,1253234,67139,447,240157,602999,-86300,-42911,-20116,53073,-17828,5199,7159,-8428,-2808,9468,-192,5091,-9076,14167,-46715,-218148,232992,36,23640,27965,687022,362842,602954,75011,-22765,49048,48728,365980,100281,111899,153800,-19012,95645,13568,71764,1980,54954,14830,-240112,-402448,162336,-165640,31617
2006:Q2,1200329,297754,415626,-54196,847519,94684,-26,1374982,1616360,1355989,1282419,73029,541,260371,974086,44196,-177490,-79572,72275,8204,-21787,20709,-20520,-6840,-15048,-88,-17331,-7740,-9591,-29063,-214000,144820,40,23640,64111,1156042,713715,917979,171910,22939,36463,112508,265327,29256,156501,79570,59800,148898,-5644,277687,1984,53407,222296,-204264,-362692,158428,-241378,75691
2006:Q3,1279903,310570,489218,-36864,855405,130280,-26,1428962,1615030,1387635,1311574,74671,1390,227395,524768,-37392,-64044,3616,80403,2056,2062,16266,-344,-116,-13620,-124,-39195,-7524,-31671,3412,-225060,250992,72,23640,-1405,525612,297373,593485,87978,-21481,47867,61592,96078,-14929,2731,108277,52212,94892,-9413,271738,1980,51877,217881,-296112,-431696,135584,-186068,88953
2006:Q4,1191339,286048,583307,-7440,864610,212141,-27,1391322,1456600,1424069,1332142,41282,50645,32532,392452,22556,-9835,122600,70181,11460,9914,2646,2676,892,3272,428,-2214,-7188,4974,-2502,-238948,273712,56,23640,-149730,261562,359920,675840,282353,111091,82618,88644,292951,-42224,204822,130354,80252,101957,-1715,-79959,1984,50328,-132271,-315920,-471148,155228,-65278,244888
