1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,2725776,0,149467,514555,0,119716,22522,12831,46559,37804,110603,57397,49835,3371,748641,55084,0,138719,831235,57756,731077,323810,137604,148847,52649,68167
1972:Q2,2769655,0,149811,532977,0,117026,20190,11668,46909,38259,112458,58425,50626,3407,744860,54180,0,140425,857644,60274,762433,333473,144958,156222,54752,73027
1972:Q3,2843869,0,154051,553094,0,117729,20727,10943,47181,38878,111915,57435,51109,3371,764315,53712,0,142160,883721,63172,786468,344759,150882,161529,55662,73637
1972:Q4,3020994,0,163090,568636,0,115953,20766,8898,47684,38605,115290,60400,51260,3630,882122,56383,0,143924,910634,64962,815575,354615,158500,168757,56100,77603
1973:Q1,2990666,0,161041,593228,0,121478,23472,8537,50607,38862,113160,58868,51001,3291,812281,50224,0,145728,924937,68589,842441,363074,163234,171528,57581,87024
1973:Q2,2958853,0,164852,608580,0,122200,23530,8472,51521,38677,115787,60899,51514,3374,744351,45290,0,147582,939226,70985,876987,374782,167503,180398,57242,97061
1973:Q3,3049901,0,165586,622849,0,132652,28355,9481,54174,40642,114738,60533,50937,3268,785638,49090,0,149445,956495,73408,905500,386342,166098,186695,57744,108621
1973:Q4,2947826,0,176003,632763,0,134368,29309,8332,55136,41591,117880,63927,50516,3437,647173,43695,0,151271,968997,75676,927956,396316,162662,192980,57672,118327
1974:Q1,2964834,0,172229,655158,263,141878,36056,5738,56629,43455,116847,62201,51525,3121,612434,41490,0,153053,993021,78461,944929,404299,167529,190460,58534,124108
1974:Q2,2932721,0,171326,672894,570,141283,30113,6970,57899,46301,120591,65069,52356,3166,537817,37557,0,154785,1015113,80785,980516,415158,175432,196777,59938,133210
1974:Q3,2829738,0,173272,679829,1386,131121,8477,11510,62394,48740,147437,91041,53356,3040,395668,29123,0,156539,1033307,82056,1011087,425363,183843,201241,61706,138934
1974:Q4,2887786,0,181277,690780,2379,140237,9044,13669,62164,55360,148950,91880,53987,3083,391408,31813,0,158390,1059952,82600,1032106,432009,189927,201926,62895,145350
1975:Q1,3033900,0,168610,718950,3620,137534,4485,11529,62603,58917,144022,93397,47980,2645,485182,37436,0,161437,1092910,84199,1038375,436823,194263,195912,64173,147204
1975:Q2,3178457,0,178589,737661,3661,136114,6976,8769,63059,57310,147488,94526,50303,2659,556835,42283,0,163786,1126405,85635,1060238,447576,198254,195933,66508,151966
1975:Q3,3163792,0,181029,752950,3708,151390,16697,7681,65177,61835,146873,91676,52665,2532,486024,36835,0,165845,1151947,87191,1085671,459486,200953,201183,68223,155827
1975:Q4,3276806,0,183182,773282,3645,162077,21857,7584,66809,65827,152327,95926,53733,2668,523873,38749,0,168615,1181733,89323,1114991,471020,204010,206996,70134,162830
1976:Q1,3418644,0,178881,802041,3557,159239,19632,6963,69757,62887,154221,97200,54682,2339,610222,42619,0,170603,1206062,91199,1133150,482963,209038,204908,73059,163182
1976:Q2,3496404,0,184962,825558,3341,162679,15862,7584,73874,65359,155213,97274,55561,2378,629097,42441,0,173063,1226048,94002,1168961,497634,212828,213148,76302,169049
