1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q4,4132946,96923,1428487,510121,36240,50578,213608,40017,169678,345665,0,117240,0,1634510,1345157,284068,5285,4376727,3945092,2006272,129722,763774,38247,725527,14720,18072,3648,1008884,629809,450644,-71569,431635,109908,87143,29197,205387,0
2011:Q1,4317382,88761,1488070,509960,39578,31904,220779,36472,181227,379129,0,131652,0,1719810,1427765,281960,10085,4567704,4125886,2087152,128238,770105,38545,731560,15224,18386,4228,1102553,735372,450948,-83767,441818,117404,96804,27432,200178,0
2011:Q2,4373357,105410,1505538,500696,42229,30458,225341,40045,162623,379599,0,131158,0,1750956,1455358,288791,6807,4630883,4180677,2077502,110065,826409,48335,778074,16053,19234,4340,1127074,746583,403661,-23170,450206,109374,101754,27752,211326,0
2011:Q3,4277450,111054,1649834,456198,40742,48323,218782,36066,112285,329027,0,97695,0,1633642,1357936,275592,114,4544099,4090676,2105050,99211,853194,66003,787191,17102,16304,3689,996126,656686,389784,-50344,453423,79770,90211,26440,257002,0
2011:Q4,4143391,111849,1583056,508850,42143,130705,216152,30899,88951,321252,0,103166,0,1515218,1238617,241718,34883,4395397,3966477,2076730,91829,794443,69234,725209,17448,14262,2533,969232,610490,430371,-71629,428920,82779,97657,27446,221038,0
2012:Q1,4309519,117367,1550051,580102,43707,129563,239276,34685,132871,325469,0,116254,0,1620276,1319351,254486,46439,4671739,4123472,2108585,98018,801130,77312,723818,16479,17316,2989,1078955,696100,473076,-90221,548267,51823,107465,37054,351925,0
2012:Q2,4289161,105181,1575758,567609,34691,152726,235757,31167,113268,314730,0,113471,0,1612412,1324389,246547,41476,4660376,4102859,2143688,102140,818098,74969,743129,16294,13480,2846,1006313,660669,443110,-97466,557517,45979,102186,37479,371873,0
2012:Q3,4359467,113489,1608449,557200,33220,127128,244901,29027,122924,334708,0,127909,0,1617712,1324580,394344,-101212,4926410,4165518,2164911,85832,825813,74628,751185,16665,12988,3676,1055633,702450,563046,-209863,760892,44859,108738,38088,569207,0
2012:Q4,4378225,128190,1638171,616781,29934,184532,245631,26632,130052,369647,0,126702,0,1498734,1216277,447397,-164940,4990924,4182704,2207900,90164,828494,70099,758395,16568,14227,3080,1022271,671361,684301,-333391,808220,47889,113195,37886,609250,0
2013:Q1,4368228,111634,1518523,577613,29958,147442,227375,31048,141790,376951,0,117149,0,1666358,1359227,513823,-206692,5007789,4166582,2084684,89105,822021,80132,741889,17119,15380,4421,1133852,760438,734957,-361543,841207,54071,127972,38699,620465,0
2013:Q2,4214058,121757,1478930,489630,29399,134148,177309,19031,129743,385527,0,121355,0,1616859,1306266,518819,-208226,4882203,4012071,2001025,103067,869774,70913,798861,17514,15637,4437,1000617,652439,760002,-411824,870132,57046,134163,39236,639687,0
