1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,7032,0,0,0,-1072,128,688,-212,452,-52,0,0,-2076,700,100,600,1220,92,0,0,1128,0,1568,1568,0,0,0,0,0,-116,0,9,-125,0,1840,1840,0,2760,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,-58,-6,0,0,0,0,0,0,0,0,0,0
1961:Q3,4876,0,0,0,2376,236,-184,320,152,36,0,0,1816,488,44,444,2128,1136,0,0,992,0,1020,1020,0,0,0,0,0,372,0,12,360,0,-164,-164,0,-2740,-2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,724,80,0,0,0,0,0,0,0,0,0,0
1961:Q4,8260,0,0,0,1216,116,-200,-176,100,380,0,0,996,440,44,396,1108,464,0,0,644,0,2152,2152,0,0,0,0,0,248,0,5,243,0,1128,1128,0,-552,-552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1375,153,0,0,0,0,0,0,0,0,0,0
1962:Q1,-388,0,0,0,2540,172,240,652,340,-240,0,0,1376,504,44,460,1936,932,0,0,1004,0,-2044,-2044,0,0,0,0,0,296,0,6,290,0,-1376,-1376,0,-1440,-1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-86,-10,0,0,0,0,0,0,0,0,0,0
1962:Q2,6984,0,0,0,2304,224,456,-12,644,-176,0,0,1168,636,48,588,1220,40,0,0,1180,0,2464,2464,0,0,0,0,0,84,0,7,77,0,-1512,-1512,0,2600,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-208,-187,-21,0,0,0,0,0,0,0,0,0,0
1962:Q3,5728,0,0,0,532,312,56,224,208,136,0,0,-404,556,40,516,1412,600,0,0,812,0,1116,1116,0,0,0,0,0,160,0,9,151,0,1216,1216,0,448,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,479,53,0,0,0,0,0,0,0,0,0,0
1962:Q4,6988,0,0,0,2096,184,112,28,824,220,0,0,728,480,40,440,1500,524,0,0,976,0,1732,1732,0,0,0,0,0,372,0,20,352,0,1036,1036,0,-2104,-2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,407,45,0,0,0,0,0,0,0,0,0,0
1963:Q1,1764,0,0,0,2888,248,-140,988,244,-104,0,0,1652,496,40,456,2600,1512,0,0,1088,0,-3860,-3860,0,0,0,0,0,464,0,13,451,0,324,324,0,-2400,-2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,1310,146,0,0,0,0,0,0,0,0,0,0
1963:Q2,16120,0,0,0,1768,172,160,-232,84,-252,0,0,1836,540,44,496,3648,2228,0,0,1420,0,3024,3024,0,0,0,0,0,156,0,23,133,0,3112,3112,0,2224,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,1084,120,0,0,0,0,0,0,0,0,0,0
1963:Q3,8412,0,0,0,900,224,40,80,408,0,0,0,148,416,36,380,1136,100,0,0,1036,0,3016,3016,0,0,0,0,0,408,0,19,389,0,1880,1880,0,-344,-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,846,94,0,0,0,0,0,0,0,0,0,0
