1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q4,763,1033,38743,0,-64,20179,8192,0,-3082,3194,0,8080,14610,13209,-218,1619,0,-4174,-1103,12538,-25246,-23260,-1986,1001,21850,21583,-209,786,-7227,-13641,826,-14467,-40117,22851
2007:Q1,801,956,55795,0,135,1165,26639,0,4455,-706,0,22890,24165,21547,-126,2744,0,3691,79109,40001,-80815,-91725,10910,1192,92665,10235,-155,-1901,18780,39108,5360,33748,23159,93857
2007:Q2,810,983,61861,0,257,14166,27912,0,-7989,2133,0,33768,16046,13653,72,2321,0,3480,59216,44774,-15255,-1882,-13373,2350,42801,9298,75,-1020,6525,14442,4790,9652,-2818,45151
2007:Q3,818,1006,81931,0,-209,9294,12364,0,6870,1539,0,3955,52191,47077,-115,5229,0,8291,58334,62365,3436,12220,-8784,-3015,91223,-33613,-121,463,3992,-4031,11420,-15451,-23785,88208
2007:Q4,827,1025,31126,0,191,-7454,16087,0,272,-930,0,16745,29415,25425,216,3774,0,-7113,-37061,-38173,-72651,-78542,5891,2042,49377,-7379,221,-5313,-4470,1112,-14604,15716,-68385,51419
2008:Q1,566,712,8151,0,137,-41059,19967,0,7154,-2221,0,15034,13348,12633,-145,860,1,15757,17758,8725,-83359,-72998,-10361,3059,51892,20744,-142,-185,16716,9033,9604,-571,9461,54951
2008:Q2,573,718,-91013,0,-425,-38354,-27067,0,-2533,-293,0,-24241,-6206,-7363,-37,1194,0,-18961,-83347,-85811,-34829,-27201,-7628,-779,17727,-41086,-37,-801,-26006,2464,5615,-3151,7521,16948
2008:Q3,580,716,46476,0,33400,-812,-17518,0,-4205,-9224,0,-4089,20437,19763,0,674,-1,10970,-33245,8737,85821,99550,-13729,-1768,-45989,-37910,0,-2719,11302,-41982,2689,-44671,-79858,-47757
2008:Q4,583,687,186214,0,204864,-97305,55420,0,4689,5199,0,45532,27962,25520,0,2442,0,-4727,159981,64535,263663,250710,12953,1197,-143580,-98427,0,-873,42555,95446,11422,84024,-26337,-142383
2009:Q1,591,652,-78034,0,-25331,24864,-49487,0,5773,-5463,0,-49797,-29100,-29172,0,72,0,1020,-89705,-84495,-57792,-57292,-500,248,-40158,39115,0,1581,-27489,-5210,2089,-7299,-11732,-39910
2009:Q2,588,622,-173230,0,-68157,-4322,-63131,0,-8055,-6456,0,-48620,-37153,-36024,0,-1129,0,-467,-164307,-118290,-179827,-186874,7047,1190,52463,45317,0,1080,-38513,-46017,-1140,-44877,8889,53653
2009:Q3,584,611,28221,0,83937,-13900,3485,0,22032,-4170,0,-14377,-37567,-34971,0,-2596,0,-7734,97168,119456,52985,57803,-4818,-147,60571,-3363,0,2107,7303,-22288,2250,-24538,68920,60424
2009:Q4,583,612,-22040,0,54686,-6548,-45999,0,2210,-3211,0,-44998,-26913,-24211,0,-2702,0,2734,82566,73039,34125,26364,7761,1297,79512,-17546,0,2260,-26609,9527,6360,3167,104578,80809
2010:Q1,587,512,46654,0,47344,5474,-7760,0,576,-539,0,-7797,1902,1834,0,68,0,-306,118346,128159,71724,61085,10639,245,-59390,26850,74280,842,13608,-9813,4090,-13903,71766,-59145
2010:Q2,585,526,-34459,0,-32382,8305,13261,0,-3390,-752,0,17403,-23012,-21345,0,-1667,0,-631,-65375,-29520,3488,427,3061,58,-73068,22989,3900,253,12860,-35855,2926,-38781,-30857,-73010
2010:Q3,584,540,156815,0,15984,20898,123627,0,12880,-501,0,111248,-3013,-2115,0,-898,0,-681,91719,61885,-39683,-41224,1541,2108,73643,13053,1389,118,11257,29834,3170,26664,-65052,75751
2010:Q4,587,551,-124565,0,35739,-14412,-139846,0,-6591,-2985,0,-130270,7605,7562,0,43,50,-13701,-17572,-13696,1719,13247,-11528,3321,18099,-8078,8603,-644,-36716,-3876,1612,-5488,107029,21420
2011:Q1,743,630,313352,0,290073,1781,-3695,0,5202,4902,0,-13799,11694,13213,0,-1519,-6,13505,339974,315604,270235,264340,5895,-1111,32829,2420,7782,2888,561,24370,7002,17368,26735,31718
2011:Q2,751,651,53618,0,36663,145,4902,0,-2508,-853,0,8263,6727,7535,0,-808,-44,5225,57807,71068,44985,61516,-16531,2453,28691,-9605,-9871,1725,12690,-13261,2264,-15525,4289,31144
2011:Q3,758,685,160541,0,84959,33668,22170,0,-5489,1616,0,26043,22725,22085,0,640,3,-2984,66839,93773,169522,167918,1604,15012,-153406,54598,-24778,3430,29395,-26934,6352,-33286,-93629,-138394
