1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,1124980,13011,956928,872,21600,475,756,711,3484,59,3648,0,0,123436,1124980,957696,114608,1126,2917,4818,0,1817,672,858,0,976,23913,0,15579
1974:Q2,1149907,13415,977044,878,23400,532,694,659,3701,58,3902,0,0,125624,1149907,977979,116396,1232,3059,5032,0,1943,687,868,0,986,25719,0,16006
1974:Q3,1199399,14671,1018954,886,24750,588,633,606,3883,57,4379,0,0,129992,1199399,1020045,120407,1280,3141,5276,0,2078,704,877,0,998,27309,0,17284
1974:Q4,1235577,15314,1049799,897,25650,673,556,474,4018,44,4759,0,0,133393,1235577,1051038,123302,1329,3357,5482,0,2222,720,887,0,1009,28290,0,17941
1975:Q1,1270542,15404,1078515,902,27000,729,592,505,4113,44,5244,0,0,137494,1270542,1079881,126940,1369,3509,5660,0,2377,736,897,0,1021,29990,0,18162
1975:Q2,1307213,16014,1108191,909,28800,734,628,536,4123,44,5513,0,0,141721,1307213,1109653,130720,1399,3628,5771,0,2542,754,907,0,1032,31955,0,18852
1975:Q3,1329545,16002,1126648,914,30600,739,664,567,4184,45,5824,0,0,143358,1329545,1128208,131810,1430,3828,5938,0,2718,771,917,0,1044,33960,0,18921
1975:Q4,1358660,17056,1147906,929,31950,692,701,597,4376,48,6668,0,0,147737,1358660,1149591,135645,1587,4011,6122,0,2906,788,927,0,1056,36020,0,20007
1976:Q1,1385331,18135,1168358,945,32850,697,736,640,4561,49,6592,0,0,151768,1385331,1169742,139130,1645,4166,6413,0,3108,806,938,0,1068,37140,0,21175
1976:Q2,1432787,18837,1211190,959,33660,722,788,684,4635,51,6892,0,0,154369,1432787,1212595,140950,1703,4530,6602,0,3324,826,948,0,1080,38192,0,22037
1976:Q3,1467036,19469,1239939,965,34650,748,840,728,4698,52,7062,0,0,157885,1467036,1241278,143705,1739,4874,6779,0,3555,845,958,0,1093,39380,0,22830
1976:Q4,1582862,34129,1278036,983,36036,793,906,771,4857,56,7545,0,0,218750,1582862,1279516,203842,1866,5112,7030,0,3802,864,969,0,1105,41035,0,37721
1977:Q1,1622274,34742,1313075,990,37260,818,958,815,5224,58,7422,0,0,220912,1622274,1314418,205323,1942,5297,7517,0,4065,884,980,0,1118,42232,0,38498
1977:Q2,1661692,35397,1346314,1000,38160,845,980,833,5302,59,7813,0,0,224989,1661692,1347785,208645,1993,5524,7756,0,4348,904,991,0,1130,43352,0,39264
1977:Q3,1710898,36095,1390756,1016,39060,872,1002,852,5350,60,8031,0,0,227804,1710898,1392180,210653,2011,5767,8019,0,4650,926,1001,0,1143,44472,0,40076
1977:Q4,1783547,39878,1442065,1029,41803,929,994,846,5554,61,7898,0,0,242490,1783547,1443282,224531,2138,5982,8333,0,4973,947,1013,0,1156,47213,0,43979
1978:Q1,1853084,40851,1504035,1048,42480,956,1016,864,6083,62,8208,0,0,247481,1853084,1505372,228790,2217,6274,9023,0,5143,979,1055,0,1131,48046,0,45054
1978:Q2,1918561,42501,1561598,1056,44541,990,1074,913,6283,66,8123,0,0,251416,1918561,1562983,232118,2333,6416,9351,0,5319,1013,1099,0,1106,49933,0,46890
1978:Q3,1978382,44395,1615470,1062,45409,1025,1132,963,6490,70,8386,0,0,253980,1978382,1616962,234002,2428,6608,9718,0,5501,1048,1145,0,1082,50919,0,48969
1978:Q4,2071188,49919,1673717,1078,47001,1091,1188,1013,6777,77,8557,0,0,280770,2071188,1675017,260041,2514,6849,10197,0,5690,1084,1192,0,1058,52803,0,54743
