1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q3,1371483,1206024,58152,57616,8902,36771,4018,0,858314,3734,40465,48872,18216,9550,23930,208,-84508,918781,1432153,1067155
1996:Q4,1540530,1348740,66632,52366,10199,43244,19349,0,985202,5821,43780,55729,25520,12896,29483,224,-79245,1079410,1608340,1229118
1997:Q1,1572028,1376025,67652,54057,10908,43655,19731,0,1004761,5875,44666,55498,26070,14498,30608,146,-85598,1096524,1641009,1257786
1997:Q2,1598175,1397400,68893,55624,11026,45259,19973,0,1017911,5864,47337,56000,29150,13730,31719,164,-89890,1111985,1668395,1281573
1997:Q3,1621143,1418159,69546,57279,10886,45720,19553,0,1020301,6078,48908,58717,30071,10527,33004,212,-77352,1130466,1691765,1300667
1997:Q4,1805484,1577539,74727,72298,14609,59275,7036,0,1276237,6818,68535,81654,44527,9785,51271,278,-81163,1457942,1879285,1637408
1998:Q1,1844296,1618771,75986,71753,15187,55038,7561,0,1296902,6813,68414,82048,44691,9039,50901,471,-85599,1473680,1924542,1657468
1998:Q2,1876255,1644628,76295,73296,15934,58347,7755,0,1306229,6798,68423,82186,45244,10766,50672,445,-82047,1488716,1971427,1678514
1998:Q3,1902039,1668148,75464,74616,15296,60373,8142,0,1309322,6710,72330,82291,45383,9739,50428,433,-69225,1507411,1994385,1703638
1998:Q4,2179807,1897535,56791,85576,20320,105568,14017,0,1683980,7224,98752,101330,58400,17170,62764,365,-59528,1970457,2279601,2179035
1999:Q1,2223351,1935650,57295,87033,20437,107114,15822,0,1680377,7424,97722,101419,58595,12886,63740,22,-42230,1979955,2351837,2206694
1999:Q2,2259458,1966938,57740,87483,20779,108745,17773,0,1757231,7518,110942,105054,67502,16707,62449,2865,-17698,2112570,2403939,2350624
1999:Q3,2312588,2014431,58161,89718,21309,109492,19477,0,1768154,7637,110711,110060,67408,18756,62587,3618,-1977,2146954,2470426,2402454
1999:Q4,2678797,2371426,67709,89795,17612,38451,93804,0,2089245,8033,139542,115951,72359,22377,83352,3495,-8493,2525861,2839639,2798193
2000:Q1,2726572,2411788,69665,90877,18464,39072,96706,0,2118640,7778,140344,116936,74085,19652,83895,3617,5483,2570430,2877767,2849414
2000:Q2,2782484,2461166,70876,93309,18897,38692,99544,0,2196536,8025,140491,118429,76930,20024,84690,3457,5708,2654290,2932737,2944090
2000:Q3,2817382,2488038,75190,94263,19275,39150,101466,0,2226767,7939,139885,118939,86016,19121,84173,3568,5937,2692345,2975009,3025957
2000:Q4,2545603,2250325,72975,78602,17113,26512,100076,0,2048977,5457,107776,102175,71982,15579,87121,3384,6557,2449008,2694014,2783235
2001:Q1,2580570,2283166,73510,79228,17679,26789,100198,0,2069397,5309,106560,104890,73509,20170,87495,3452,7481,2478263,2733601,2841986
2001:Q2,2614031,2315551,74458,79108,17702,27146,100066,0,2113956,5288,109948,102818,75637,21360,89002,3000,7621,2528630,2763783,2903248
2001:Q3,2655346,2344200,74913,79004,17874,26852,112503,0,2124557,5396,109887,103606,76528,14894,90407,2452,7721,2535448,2811013,2920168
2001:Q4,2158911,1904942,63185,61571,10683,14784,103746,0,1821515,4565,92597,91474,53455,17727,75597,1490,7677,2166097,2314934,2560294
2002:Q1,2201985,1938488,63814,66045,10790,15420,107428,0,1839806,4603,93411,91645,54701,17342,74634,1652,7789,2185583,2366620,2585639
2002:Q2,2232040,1963358,64060,67303,12573,15237,109509,0,1866231,4702,95035,95158,55722,17404,75249,1030,7704,2218235,2406202,2594822
2002:Q3,2268788,1996396,64792,67180,12958,15365,112097,0,1891983,4766,95948,96001,56801,19508,74920,1195,7748,2248870,2442811,2610613
2002:Q4,1840110,1596736,48663,75383,11642,11790,95896,0,1399049,4183,77024,66536,52153,15247,36212,821,7327,1658552,2022588,2021817
2003:Q1,1877375,1627325,50803,76765,11698,11518,99266,0,1428011,4204,80942,65422,52668,30271,37309,644,7471,1706942,2049923,2060665
2003:Q2,1916182,1660922,51936,78788,11995,11861,100680,0,1430079,4248,81035,66554,51356,30347,37886,693,7446,1709644,2098998,2058909
2003:Q3,1954946,1694528,52556,80657,12174,12315,102716,0,1446790,4253,81784,66914,51498,31345,38379,1278,7450,1729691,2141530,2060895
2003:Q4,2548435,2177117,68968,101567,17280,18720,164783,0,1779615,4220,109735,87912,60044,39525,46656,1282,7552,2136541,2729127,2454877
2004:Q1,2623664,2232998,71531,107183,17099,19243,175610,0,1794274,4211,109765,88376,59967,42878,45026,3811,7710,2156018,2811420,2482883
2004:Q2,2693136,2290847,74290,109994,17968,20100,179937,0,1820690,4078,111464,87807,72441,46066,43784,6322,7700,2200352,2888353,2518727
2004:Q3,2746799,2338421,75156,112939,18800,20487,180996,0,1841994,4035,122249,86705,76050,48192,44397,6538,7699,2237859,2945242,2555829
2004:Q4,3170545,2682900,112858,108605,20013,17658,228511,0,1964420,3961,160710,80486,87262,28558,57503,7989,7828,2398717,3362796,2717383
2005:Q1,3230680,2736282,113254,109655,20370,17744,233375,0,1990644,4193,165664,83100,87815,32119,56807,8208,8002,2436552,3424241,2757603
2005:Q2,3275837,2770784,113289,116835,20967,19928,234034,0,2006820,4184,169306,81793,89723,33790,56041,8514,8049,2458220,3465902,2753098
2005:Q3,3260068,2750257,113697,118726,22350,21812,233226,0,2030231,4044,169035,79189,90284,34650,55253,8426,8053,2479165,3460279,2793525
2005:Q4,3449302,2905296,127902,125963,23261,21498,245382,0,2045086,4102,161063,74348,81472,47965,53942,7305,8413,2483696,3637996,2817970
2006:Q1,3742286,3144016,134488,134378,23807,30721,274876,0,2127680,4497,169946,86766,82548,53281,54333,7331,8689,2595071,3932765,2939189
2006:Q2,3759413,3155716,129630,132134,23402,36484,282047,0,2100715,3779,161845,88838,88478,55025,55413,7834,8838,2570765,3941402,2934080
