1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q1,137074,0,0,0,106908,106908,0,0,0,0,0,30166,0,260444,137074,30166,28483,1683,0,0,0,0,106908,4099,102809,123370,123370,0,0,0
1985:Q2,133765,0,0,0,103319,103319,0,0,0,0,0,30446,0,273145,133765,30446,28034,2412,0,0,0,0,103319,5704,97615,139380,139380,0,0,0
1985:Q3,159102,0,0,0,123377,123377,0,0,0,0,0,35725,0,284576,159102,35725,32582,3143,0,0,0,0,123377,4496,118881,125474,125474,0,0,0
1985:Q4,178928,0,0,0,140223,140223,0,0,0,0,0,38705,0,336277,178928,38705,35572,3133,0,0,0,0,140223,6869,133354,157349,157349,0,0,0
1986:Q1,172721,0,0,0,129790,129790,0,0,0,0,0,42931,0,360878,180766,50976,47046,3930,0,0,0,0,129790,7725,122065,180112,188157,-8045,0,0
1986:Q2,181064,0,0,0,135101,135101,0,0,0,0,0,45963,0,368239,190677,51852,46868,4984,0,0,0,0,138825,11900,126925,177562,187175,-9613,0,0
1986:Q3,188735,0,0,0,142000,142000,0,0,0,0,0,46735,0,363240,199936,52188,46350,5838,0,0,0,0,147748,11302,136446,163304,174505,-11201,0,0
1986:Q4,190549,0,0,0,144312,144312,0,0,0,0,0,46237,0,354546,202997,51028,46465,4563,0,0,0,0,151969,12011,139958,151549,163997,-12448,0,0
1987:Q1,194074,0,0,0,146963,146963,0,0,0,0,0,47111,0,389317,209117,56224,50836,5388,0,0,0,0,152893,15783,137110,180200,195243,-15043,0,0
1987:Q2,214798,0,0,0,163461,163461,0,0,0,0,0,51337,0,404091,233522,66489,60994,5495,0,0,0,0,167033,19375,147658,170569,189293,-18724,0,0
1987:Q3,204424,0,0,0,153047,153047,0,0,0,0,0,51377,0,397824,223106,62530,56892,5638,0,0,0,0,160576,20863,139713,174718,193400,-18682,0,0
1987:Q4,225891,0,-56,0,170128,170128,0,0,0,0,0,55819,0,373680,249815,67469,60222,7247,0,0,0,0,182346,15137,167209,123865,147789,-23924,0,0
1988:Q1,234891,0,-78,0,170890,170890,0,0,0,0,0,64079,0,387482,266572,82245,74488,7757,0,0,0,0,184327,17388,166939,120910,152591,-31681,0,0
