1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q3,1574163,6270,-80713,67491,47798,196,17075,641437,14444,386117,43023,1950,195903,118606,ND,106642,275749,330702,0,0,0,34272,8638,0,8638,1612542,711251,57699,250390,0,188660,57498,131162,ND,160389,73112,87277,37381,0,0,16027,705,705,0,0,0,901291,171711,710300,19280,0,0
1989:Q4,1729557,6439,-90013,69510,49546,391,23116,693427,12683,423742,47219,2000,207783,122347,ND,111866,275709,422868,0,0,0,36259,8092,0,8092,1766648,745375,63550,266828,0,198382,63022,135360,ND,156438,69812,86626,45715,0,0,13876,586,586,0,0,0,1021273,197345,804307,19621,0,0
1990:Q1,1756466,6373,-83426,70890,51051,587,22259,687426,11371,415674,49388,2050,208943,144858,ND,114591,260910,435781,0,0,0,36688,8478,0,8478,1733850,736562,65243,261211,0,203210,59292,143918,ND,150253,65284,84969,46628,0,0,9357,660,660,0,0,0,997288,162878,814465,19945,0,0
1990:Q2,1801919,6486,-82707,74822,50096,783,21401,698805,11894,421266,50857,2100,212688,151960,ND,117777,269743,447239,0,0,0,37145,8369,0,8369,1791348,758651,66233,273580,0,213887,65062,148825,ND,149238,64418,84820,45353,0,0,9714,646,646,0,0,0,1032697,190890,821555,20252,0,0
1990:Q3,1826989,6823,-64709,81463,49159,978,20544,710564,11164,434145,50324,2150,212781,168534,ND,118074,230043,456098,0,0,0,41198,8220,0,8220,1808136,785259,68961,287725,0,220768,71453,149315,ND,145891,62474,83417,50635,0,0,10605,674,674,0,0,0,1022877,166628,835536,20713,0,0
1990:Q4,1803015,6970,-74743,85786,49019,1174,19686,709334,10708,438363,49406,2200,208657,172408,ND,118205,242615,421396,0,0,0,42568,8597,0,8597,1718458,795801,72258,297926,0,227942,75346,152596,ND,140797,61199,79598,40775,0,0,15475,628,628,0,0,0,922657,197596,704136,20925,0,0
1991:Q1,1841981,6596,-73136,88384,50297,1369,19979,719564,10355,443257,50225,2250,213477,158332,ND,112560,276092,430887,0,0,0,41530,9527,0,9527,1766388,806946,66944,296995,0,243103,87378,155725,ND,137031,61127,75904,45429,0,0,16753,691,691,0,0,0,959442,220890,717344,21208,0,0
1991:Q2,1859287,6441,-80000,88446,51210,1565,20271,736099,9995,453173,51563,2300,219068,151017,ND,121660,276334,435762,0,0,0,40814,9668,0,9668,1742494,771169,63878,284823,0,232765,74289,158476,ND,131780,58309,73471,39884,0,0,17146,893,893,0,0,0,971325,224206,725486,21633,0,0
1991:Q3,1882259,6703,-70155,93086,48410,1761,20564,748338,9669,457598,55861,2350,222860,142506,ND,115995,282180,440630,2900,0,0,40938,8403,0,8403,1789213,772195,63669,282524,0,240723,78336,162387,ND,128376,58480,69896,38777,0,0,16796,1330,1330,0,0,0,1017018,258216,736828,21974,0,0
1991:Q4,2026487,7008,-73812,97198,48880,1956,20857,784545,11314,476289,58531,2400,236011,125065,ND,113878,291200,555259,5801,0,0,40800,7852,0,7852,1877983,773122,66662,273526,0,246379,69601,176778,ND,129095,59615,69480,38434,0,0,17380,1646,1646,0,0,0,1104861,278976,803456,22429,0,0
1992:Q1,2186371,6721,-52350,96597,155217,2152,32178,806512,10400,491891,61710,2450,240061,131864,ND,112039,279172,558880,8701,0,0,41071,7617,0,7617,1864318,767407,63600,264833,0,245893,67338,178555,ND,128532,59536,68996,45898,0,0,16937,1714,1714,0,0,0,1096911,257473,816695,22743,0,0
1992:Q2,2226273,7012,-62944,98769,158518,2348,34724,841180,10897,513373,68386,2500,246024,127304,ND,114813,280355,562485,11601,0,0,42031,8077,0,8077,1909182,786215,66033,267007,0,257819,74277,183542,ND,130115,61004,69111,46431,0,0,16957,1853,1853,0,0,0,1122967,272908,827010,23049,0,0
1992:Q3,2275548,7216,-41031,105872,150520,2543,33337,853616,12125,517962,69828,2550,251151,132148,ND,113178,285368,567668,14501,0,0,42233,8379,0,8379,1949851,796093,67468,271987,0,264960,77505,187455,ND,127093,59021,68072,45022,0,0,17939,1624,1624,0,0,0,1153758,296190,834138,23430,0,0
1992:Q4,2329442,6737,-57874,109791,169457,2739,41715,853151,12902,520339,71352,2600,245958,129939,ND,115181,308847,580997,17402,0,0,42471,8889,0,8889,1891068,790734,60267,267711,0,271940,70407,201533,ND,123608,54826,68782,46974,0,0,18564,1670,1670,0,0,0,1100334,314266,762212,23856,0,0
1993:Q1,2390202,6848,-24747,111840,154483,2935,46596,863546,12864,534782,73170,2650,240080,129945,ND,119462,323329,584529,20302,0,0,42307,8827,0,8827,1958278,794508,63324,265061,0,285946,64539,221407,ND,117584,51560,66024,39990,0,0,20602,2001,2001,0,0,0,1163770,365074,774617,24079,0,0
1993:Q2,2434171,6877,-32994,117200,163582,3130,50351,892129,19831,540158,82130,2700,247310,125172,ND,127090,320431,588700,23202,0,0,41866,7435,0,7435,2056588,814942,62911,263474,0,302014,64457,237557,ND,115502,50124,65378,48213,0,0,20405,2423,2423,0,0,0,1241646,426520,790767,24359,0,0
1993:Q3,2523500,6949,-19467,126907,165690,3326,55051,931492,20072,562514,91893,2750,254263,121491,ND,133359,327673,594579,26103,0,0,43178,7169,0,7169,2153508,829670,64778,252269,0,332936,64013,268923,ND,112091,48287,63804,45105,0,0,19506,2985,2985,0,0,0,1323838,491186,808046,24606,0,0
1993:Q4,2648908,6730,-22162,126151,192578,3521,58627,980834,18817,594551,103241,2800,261425,114167,ND,143931,340997,624467,29003,0,0,43484,6580,0,6580,2472513,901353,62389,271821,0,372453,62302,310151,ND,112355,47484,64871,59000,0,0,21388,1947,1947,0,0,0,1571160,543862,1002299,24999,0,0
1994:Q1,2735147,6921,11170,131866,195303,3717,58128,1009565,22860,605360,109188,2850,269307,130429,ND,143067,330689,630804,31903,0,0,44169,7416,0,7416,2514005,891851,65757,271120,0,348240,37755,310485,ND,109028,45192,63836,74091,0,0,21704,1911,1911,0,0,0,1622154,578653,1018280,25221,0,0
1994:Q2,2780082,7096,16519,138125,210365,3913,55607,1025232,22990,604184,115133,2900,280025,128049,ND,143926,328840,635971,34803,0,0,44704,6932,0,6932,2587450,911234,64680,290447,0,346338,36605,309733,ND,108851,46092,62759,74605,0,0,24237,2076,2076,0,0,0,1676216,616744,1033889,25583,0,0
1994:Q3,2866773,7189,19759,142467,196954,4108,75114,1059050,19969,626320,119050,2950,290761,128323,ND,146624,351444,647896,37704,0,0,44241,5900,0,5900,2628970,926163,65478,299169,0,350817,34779,316038,ND,107580,45339,62241,76971,0,0,23738,2410,2410,0,0,0,1702807,626046,1050782,25979,0,0
1994:Q4,2828706,7153,54729,148553,204201,4304,46616,1040672,24850,632571,106793,3000,273458,122101,ND,133985,352812,623868,40604,0,0,45033,4075,0,4075,2704422,997183,63284,373929,0,364076,42669,321407,ND,109345,45980,63365,60534,0,0,23991,2024,2024,0,0,0,1707239,626762,1054048,26429,0,0
1995:Q1,2932754,7646,44927,153446,201500,4492,56608,1100250,28833,670713,111956,3238,285510,126693,ND,130785,377573,636507,44907,0,0,43528,3892,0,3892,2778970,1033290,75708,382087,0,377136,51870,325266,ND,110398,46756,63642,61709,0,0,24225,2027,2027,0,0,0,1745680,644382,1074557,26741,0,0
1995:Q2,3060180,7686,37810,153882,206560,4680,62488,1172813,33084,724385,115589,3476,296279,125681,ND,133167,412156,646324,50421,0,0,43861,2651,0,2651,2869176,1084262,79009,410073,0,389452,49097,340355,ND,113447,50101,63346,62412,0,0,27830,2039,2039,0,0,0,1784914,668010,1089886,27018,0,0
1995:Q3,3208062,7380,43705,156367,197530,4868,66199,1254862,37617,780277,123932,3714,309322,127298,ND,135265,448511,662085,55996,0,0,44102,3894,0,3894,2966222,1098887,76101,403948,0,413878,56833,357045,ND,112444,49574,62870,63557,0,0,26678,2281,2281,0,0,0,1867335,728149,1111765,27421,0,0
1995:Q4,3565962,7283,62513,158455,201317,5056,67634,1342678,43441,816947,123051,3952,355287,122111,ND,135446,484180,870280,60277,0,0,45780,2952,0,2952,3305857,1181652,74782,418824,0,488107,56160,431947,ND,114417,51368,63049,58149,0,0,25111,2262,2262,0,0,0,2124205,790615,1305643,27947,0,0
1996:Q1,3692224,7159,45492,154050,202349,5244,72540,1418558,30965,888669,123610,4190,371124,126553,ND,144280,512003,889579,65586,0,0,46356,2475,0,2475,3424891,1212246,73156,444015,0,498440,52464,445976,ND,115757,52262,63495,56105,0,0,22364,2409,2409,0,0,0,2212645,849842,1334418,28385,0,0
1996:Q2,3786401,7072,32243,161720,198107,5431,76399,1472635,42316,910263,128726,4428,386902,126630,ND,147709,534464,902849,71070,0,0,47100,2972,0,2972,3505194,1221922,72339,444762,0,505932,54502,451430,ND,119151,55092,64059,56428,0,0,21162,2148,2148,0,0,0,2283272,903587,1350923,28762,0,0
1996:Q3,3922790,7052,16447,166489,202006,5619,76478,1571085,47544,971905,139253,4666,407717,139897,ND,148374,543271,918781,75506,0,0,49260,2525,0,2525,3621548,1281112,64459,474734,0,538515,65816,472699,ND,119457,55185,64272,60670,0,0,21212,2065,2065,0,0,0,2340436,939758,1371483,29195,0,0
1996:Q4,4231148,7045,25819,175192,201057,5807,70852,1669616,57864,1040330,134400,4904,432118,126000,ND,149708,585280,1079410,81310,0,0,51325,2727,0,2727,3949619,1373173,64041,521682,0,567073,67476,499597,ND,122069,57658,64411,67810,0,0,28374,2124,2124,0,0,0,2576446,1006135,1540530,29781,0,0
1997:Q1,4363214,6795,6728,178559,202428,5995,91678,1742943,52073,1091734,144896,5142,449098,130675,ND,161262,601272,1096524,84491,0,0,51471,2393,0,2393,4043657,1421797,56172,567770,0,574241,69321,504920,ND,122752,58399,64353,68981,0,0,29732,2149,2149,0,0,0,2621860,1019624,1572028,30208,0,0
1997:Q2,4587579,6801,4249,184754,202905,6183,92320,1804281,66414,1113289,151675,5380,467523,132343,ND,169588,723832,1111985,95628,0,0,50389,2321,0,2321,4270018,1449033,56763,573814,0,589032,71337,517695,ND,127260,62566,64694,70220,0,0,29784,2160,2160,0,0,0,2820985,1192191,1598175,30619,0,0
1997:Q3,4799171,6689,8716,189503,203291,6371,98316,1886447,75321,1157026,160630,5618,487852,135779,ND,170201,803708,1130466,105501,0,0,51019,3164,0,3164,4403365,1506450,56098,599233,0,620571,64349,556222,ND,126147,62844,63303,70622,0,0,31590,2189,2189,0,0,0,2896915,1244738,1621143,31034,0,0
1997:Q4,5228020,6611,32306,202687,214424,6559,90823,1892352,77763,1153213,157299,5856,498221,143261,ND,179466,838216,1457942,108118,0,0,52217,3038,0,3038,4592650,1548009,58907,618473,0,633242,65084,568158,ND,130349,67779,62570,73801,0,0,31169,2068,2068,0,0,0,3044641,1207787,1805484,31370,0,0
1998:Q1,5479729,6545,12083,202119,219584,6747,112207,1934319,79680,1158014,169504,6094,521027,148824,ND,183788,1004540,1473680,120997,0,0,50748,3548,0,3548,4834131,1572213,58304,612437,0,657413,76706,580707,ND,130757,70292,60465,80246,0,0,30966,2090,2090,0,0,0,3261918,1385867,1844296,31755,0,0
1998:Q2,5606652,6524,29225,202898,215995,6935,105186,1991248,91025,1159523,176611,6332,557757,146196,ND,189798,1045407,1488716,126132,0,0,49109,3283,0,3283,4904841,1626366,60114,628576,0,681855,71372,610483,ND,130539,71200,59339,95172,0,0,27994,2116,2116,0,0,0,3278475,1370021,1876255,32199,0,0
1998:Q3,5527236,6719,54335,207264,217155,7123,91036,1988603,111741,1121618,171844,6570,576830,146484,ND,196227,933205,1507411,118355,0,0,49665,3654,0,3654,4755016,1652915,64632,657156,0,677937,73981,603956,ND,130615,72287,58328,92346,0,0,28251,1978,1978,0,0,0,3102101,1167450,1902039,32612,0,0
1998:Q4,6271575,6899,78537,213173,221001,7310,71993,2059733,111404,1166244,185563,6808,589714,142266,ND,208578,1108661,1970457,134371,0,0,45701,2895,0,2895,5324898,1637158,70715,627575,0,674448,72878,601570,ND,131506,74853,56653,99794,0,0,31202,1918,1918,0,0,0,3687740,1474983,2179807,32950,0,0
1999:Q1,6450329,6653,65896,212974,206357,7498,86326,2094007,105532,1153717,199492,7046,628220,163247,ND,226739,1216610,1979955,139970,0,0,41306,2791,0,2791,5473513,1689150,63310,654952,0,678835,77249,601586,ND,130692,74432,56260,128486,0,0,30835,2040,2040,0,0,0,3784363,1527668,2223351,33344,0,0
