1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,116205,72547,65976,6571,12652,4011,13634,13554,13342,10529,2054,760,5352,4787,565,7990,3532,2496,524,512,4458,3246,965,248,212,80,151,-72,2453,10712,436,424,339,85,0,210,116205,11846,4753,-556,758,131936
1960:Q1,119362,74684,67687,6997,12437,4057,14652,14478,14695,11816,2114,765,6041,5358,683,8654,3528,2581,475,472,5126,3877,956,293,-217,175,239,-64,2450,10745,179,433,333,100,0,84,119362,11924,4822,344,732,134976
1960:Q2,120078,75429,68350,7080,12679,4095,13699,13456,13607,10691,2124,792,5529,4842,687,8078,3549,2585,475,489,4529,3264,962,303,-151,243,301,-58,2466,11308,204,432,327,105,0,175,120078,12006,4891,-649,751,135979
1960:Q3,119875,75643,68491,7152,12718,4136,13452,13168,13039,10179,2091,769,5283,4603,680,7756,3607,2674,466,467,4149,2902,945,302,129,284,337,-53,2627,11051,240,435,325,110,0,54,119875,12093,4958,230,791,136463
1960:Q4,119583,75526,68327,7199,12755,4176,12877,12579,12513,9598,2103,811,5032,4339,693,7481,3579,2615,436,528,3902,2644,974,283,66,298,349,-51,2734,11443,523,443,327,116,0,154,119583,12185,5021,-1228,839,134964
1961:Q1,120023,75778,68447,7331,13082,4230,12561,12276,12295,9310,2138,847,4989,4274,715,7306,3566,2564,409,593,3740,2472,1014,254,-19,285,335,-50,2835,11187,177,463,330,133,0,66,120023,12281,5093,-500,894,135271
1961:Q2,122690,76828,69408,7420,13162,4271,13621,13278,13024,10165,2064,794,5356,4665,691,7668,3577,2616,406,555,4091,2884,967,239,254,343,391,-48,2963,11835,521,468,335,133,0,64,122690,12385,5161,-42,850,139851
1961:Q3,124891,78080,70563,7517,13331,4322,14311,13839,13758,10866,2057,836,5679,4991,688,8079,3652,2634,400,618,4427,3241,969,218,81,472,516,-45,3051,11677,395,479,342,137,0,36,124891,12498,5243,232,876,142029
1961:Q4,128435,79735,72101,7634,13624,4378,15454,14783,14828,11919,2070,839,6179,5489,690,8649,3793,2762,402,629,4856,3668,978,210,-45,671,712,-40,3232,12269,921,492,354,138,0,173,128435,12618,5326,-603,899,145059
1962:Q1,130674,81371,73319,8052,13831,4435,15638,14696,14585,11641,2102,843,5786,5122,664,8799,3831,2848,394,589,4968,3671,1044,254,111,942,977,-35,3184,12113,509,509,370,139,0,104,130674,12747,5429,401,900,147484
1962:Q2,133204,82857,74687,8170,13742,4488,15630,14476,14507,11432,2168,906,5715,5032,683,8792,3948,2920,385,643,4844,3480,1100,263,-31,1155,1187,-32,3424,12713,259,523,383,140,0,87,133204,12879,5504,-431,998,150650
