1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,569053,564496,0,564496,1467,1467,617,617,2473,170,566,311,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,575957,571553,0,571553,1484,1484,619,619,2301,178,574,148,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,592656,588296,0,588296,1512,1512,630,630,2218,185,630,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,605088,599732,0,599732,1534,1534,641,641,2281,194,645,0,1442,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1969:Q2,615052,608672,0,608672,1589,1589,659,659,2332,207,674,0,1451,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1969:Q3,620002,612640,0,612640,1639,1639,666,666,2357,230,683,0,1444,0,0,0,0,0,2700,0,0,0,2700,0,0,0,0,0,0,0,0,0
1969:Q4,631645,623254,0,623254,1696,1696,669,669,2426,253,695,0,1478,0,0,0,0,0,3600,0,0,0,3600,0,0,0,0,0,0,0,0,0
1970:Q1,641859,632621,0,632621,1762,1762,681,681,2295,28,709,0,1558,0,0,0,0,0,4500,0,0,0,4500,0,0,0,0,0,0,0,0,0
1970:Q2,660623,650384,0,650384,1812,1812,685,685,2342,29,727,0,1586,0,0,0,0,0,5400,0,0,0,5400,0,0,0,0,0,0,0,0,0
1970:Q3,657987,645874,0,645874,1860,1860,691,691,2362,30,733,0,1599,0,0,0,0,0,7200,0,0,0,7200,0,0,0,0,0,0,0,0,0
1970:Q4,668600,654573,0,654573,1929,1929,702,702,2396,31,758,0,1607,0,0,0,0,0,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0
1971:Q1,689675,674658,0,674658,1964,1964,717,717,2436,32,775,0,1629,0,0,0,0,0,9900,0,0,0,9900,0,0,0,0,0,0,0,0,0
1971:Q2,705680,689708,0,689708,2013,2013,729,729,2430,33,795,0,1602,0,0,0,0,0,10800,0,0,0,10800,0,0,0,0,0,0,0,0,0
1971:Q3,723019,705139,0,705139,2112,2112,734,734,2434,34,800,0,1600,0,0,0,0,0,12600,0,0,0,12600,0,0,0,0,0,0,0,0,0
1971:Q4,739791,720883,0,720883,2176,2176,742,742,2490,36,836,0,1618,0,0,0,0,0,13500,0,0,0,13500,0,0,0,0,0,0,0,0,0
1972:Q1,762559,742587,0,742587,2220,2220,761,761,2591,36,846,0,1709,0,0,0,0,0,14400,0,0,0,14400,0,0,0,0,0,0,0,0,0
1972:Q2,777529,756529,0,756529,2289,2289,772,772,2639,37,881,0,1721,0,0,0,0,0,15300,0,0,0,15300,0,0,0,0,0,0,0,0,0
1972:Q3,799628,776759,0,776759,2337,2337,778,778,2654,37,888,0,1729,0,0,0,0,0,17100,0,0,0,17100,0,0,0,0,0,0,0,0,0
1972:Q4,826928,802058,0,802058,2447,2447,793,793,2730,41,933,0,1756,0,0,0,0,0,18900,0,0,0,18900,0,0,0,0,0,0,0,0,0
1973:Q1,856264,829632,257,829889,2537,2537,807,807,2946,42,961,0,1943,0,0,0,0,0,18900,0,0,1185,20085,0,0,0,0,0,0,0,0,0
1973:Q2,890954,862874,506,863380,2613,2613,820,820,3076,45,1023,0,2008,0,0,0,0,0,19800,0,0,1265,21065,0,0,0,0,0,0,0,0,0
1973:Q3,933093,904257,735,904992,2716,2716,829,829,3213,49,1075,0,2089,0,0,0,0,0,19350,0,0,1993,21343,0,0,0,0,0,0,0,0,0
1973:Q4,967342,937149,950,938099,2820,2820,844,844,3276,51,1103,0,2122,0,0,0,0,0,20250,0,0,2053,22303,0,0,0,0,0,0,0,0,0
1974:Q1,988882,956550,1146,957696,2917,2917,872,872,3484,52,1126,0,2306,0,0,0,0,0,21600,0,0,2313,23913,0,0,0,0,0,0,0,0,0
1974:Q2,1011336,976636,1343,977979,3059,3059,878,878,3701,56,1232,0,2413,0,0,0,0,0,23400,0,0,2319,25719,0,0,0,0,0,0,0,0,0
1974:Q3,1055264,1018515,1530,1020045,3141,3141,886,886,3883,60,1280,0,2543,0,0,0,0,0,24750,0,0,2559,27309,0,0,0,0,0,0,0,0,0
1974:Q4,1087600,1049332,1706,1051038,3357,3357,897,897,4018,65,1329,0,2624,0,0,0,0,0,25650,0,0,2640,28290,0,0,0,0,0,0,0,0,0
1975:Q1,1118395,1078052,1829,1079881,3509,3509,902,902,4113,67,1369,0,2677,0,0,0,0,0,27000,0,0,2990,29990,0,0,0,0,0,0,0,0,0
1975:Q2,1150268,1107732,1921,1109653,3628,3628,909,909,4123,71,1399,0,2653,0,0,0,0,0,28800,0,0,3155,31955,0,0,0,0,0,0,0,0,0
1975:Q3,1171094,1126193,2015,1128208,3828,3828,914,914,4184,75,1430,0,2679,0,0,0,0,0,30600,0,0,3360,33960,0,0,0,0,0,0,0,0,0
1975:Q4,1194927,1147456,2135,1149591,4011,4011,929,929,4376,84,1587,0,2705,0,0,0,0,0,31950,0,0,4070,36020,0,0,0,0,0,0,0,0,0
1976:Q1,1216554,1167905,1837,1169742,4166,4166,945,945,4561,89,1645,0,2827,0,0,0,0,0,32850,0,0,4290,37140,0,0,0,0,0,0,0,0,0
1976:Q2,1260911,1210734,1861,1212595,4530,4530,959,959,4635,93,1703,0,2839,0,0,0,0,0,33660,0,0,4532,38192,0,0,0,0,0,0,0,0,0
1976:Q3,1291195,1239479,1799,1241278,4874,4874,965,965,4698,95,1739,0,2864,0,0,0,0,0,34650,0,0,4730,39380,0,0,0,0,0,0,0,0,0
1976:Q4,1331503,1277573,1943,1279516,5112,5112,983,983,4857,102,1866,0,2889,0,0,0,0,0,36036,0,0,4999,41035,0,0,0,0,0,0,0,0,0
1977:Q1,1368161,1312615,1803,1314418,5297,5297,990,990,5224,107,1942,0,3175,0,0,0,0,0,37260,0,0,4972,42232,0,0,0,0,0,0,0,0,0
1977:Q2,1402963,1345858,1927,1347785,5524,5524,1000,1000,5302,111,1993,0,3198,0,0,0,0,0,38160,0,0,5192,43352,0,0,0,0,0,0,0,0,0
1977:Q3,1448785,1390303,1877,1392180,5767,5767,1016,1016,5350,113,2011,0,3226,0,0,0,0,0,39060,0,0,5412,44472,0,0,0,0,0,0,0,0,0
1977:Q4,1503060,1441571,1711,1443282,5982,5982,1029,1029,5554,121,2138,0,3295,0,0,0,0,0,41803,0,0,5410,47213,0,0,0,0,0,0,0,0,0
