1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,-3091,-3143,0,-3143,0,0,16,16,36,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,3910,3438,0,3438,0,0,48,48,424,0,8,372,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,-455,-619,0,-619,0,0,24,24,140,0,8,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,-4588,-4700,0,-4700,0,0,4,4,108,0,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,-2624,-2684,0,-2684,0,0,12,12,48,0,16,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,3485,3393,0,3393,0,0,20,20,72,8,16,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,909,649,0,649,0,0,28,28,232,8,12,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,-2414,-2534,0,-2534,0,0,24,24,96,8,16,-12,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,-1278,-1486,0,-1486,140,140,16,16,52,16,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,3165,3073,0,3073,0,0,24,24,68,12,12,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,1549,1017,0,1017,0,0,20,20,512,20,16,300,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,-34,-130,0,-130,0,0,8,8,88,20,28,-28,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,52,-16,0,-16,0,0,20,20,48,16,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,414,310,0,310,0,0,28,28,76,20,12,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,3135,2895,0,2895,0,0,20,20,220,16,8,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,1843,1791,0,1791,0,0,12,12,40,0,0,-16,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,3191,3123,0,3123,0,0,16,16,52,4,40,-24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,3431,3335,0,3335,0,0,24,24,72,4,16,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,-2651,-2963,0,-2963,0,0,44,44,268,4,20,12,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,-7645,-7769,0,-7769,0,0,24,24,100,12,8,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,-6792,-6872,0,-6872,0,0,12,12,68,16,48,-28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,-509,-629,0,-629,0,0,16,16,104,20,20,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,172,-256,0,-256,0,0,32,32,396,24,24,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,-1438,-1862,0,-1862,320,320,20,20,84,28,-4,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,-836,-964,0,-964,0,0,12,12,116,20,48,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,-408,-836,0,-836,296,296,24,24,108,12,16,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,-4812,-5260,0,-5260,0,0,56,56,392,12,20,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,946,862,0,862,0,0,8,8,76,4,4,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,606,526,0,526,0,0,28,28,52,4,60,-44,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
