1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,-186,128,288856,42,0,220,-105,-61,-61,0,0,0,0,0,289523,0,141224,0,141224,148299,152880,-4581,-174,-174,0,0,0,0,-589,-833,245,288622,288418,307728,-11435,-6963,-13487,81,-13568,0,-15453,0,2758,19219,-1731,0,-1731,819,204,0,204,-548
2013:Q2,-1191,127,281749,57,0,176,-123,111,111,0,0,0,0,0,286658,0,146831,0,146831,139827,143283,-3456,-124,-124,0,0,0,0,-5006,-6377,1371,281818,281889,222272,584,72669,55596,-110,55706,0,-32,-1,837,16269,-10304,0,-10304,-3332,-71,0,-71,-1248
2013:Q3,-336,129,256012,41,0,187,148,57,57,0,0,0,0,0,256847,0,131210,0,131210,125637,134360,-8723,-157,-157,0,0,0,0,-1111,-1168,58,256055,256107,195899,1979,-8437,-46426,46,-46472,0,27820,-34,-1085,11288,62252,58157,4095,4414,-52,0,-52,-422
2013:Q4,877,132,281401,20,0,159,-396,-103,-103,0,0,0,0,0,280400,0,130981,0,130981,149419,153016,-3597,-4,-4,0,0,0,0,1326,-239,1565,281334,281268,4977,11418,109773,74080,67,74013,0,13519,395,-968,22747,158519,139598,18921,-3419,66,0,66,678
2014:Q1,-493,155,211908,51,0,256,416,-39,-39,0,0,0,0,0,210291,0,104046,0,104046,106245,116277,-10032,-15,-15,0,0,0,0,948,135,813,211351,210807,224098,-8835,-30081,-20165,45,-20210,0,-45389,0,-994,36467,25099,44314,-19215,526,544,0,544,-1205
2014:Q2,617,159,137841,17,0,214,22,129,129,0,0,0,0,0,136304,0,77337,0,77337,58967,62802,-3835,-33,-33,0,0,0,0,1189,-283,1472,137726,137615,8247,150,13066,-3023,-133,-2890,0,3628,0,-1033,13494,115478,97412,18066,674,111,0,111,343
2014:Q3,2891,162,77632,127,0,208,-391,163,163,0,0,0,0,0,79625,0,49345,0,49345,30280,34077,-3797,-35,-35,0,0,0,0,-2065,116,-2181,77601,77573,49170,-232,75020,19016,13,19003,0,48560,0,-711,8155,-46370,-39481,-6889,-15,28,0,28,2697
2014:Q4,2650,164,48194,28,0,130,360,-182,-182,0,0,0,0,0,46678,0,6079,0,6079,40599,42067,-1468,-14,-14,0,0,0,0,1194,1288,-94,47811,47429,-132600,10970,72753,65192,42,65150,0,-34140,141,0,41560,99706,96705,3001,-3400,382,0,382,2104
2015:Q1,2319,162,-16078,15,0,370,-193,-96,-96,0,0,0,0,0,-12288,0,-5688,0,-5688,-6600,-4668,-1932,0,0,0,0,0,0,-3886,-718,-3168,-16344,-16594,70629,-7847,-110031,-123373,-5,-123368,0,-10872,268,-13,23959,27022,-18215,45237,3633,250,0,250,1891
2015:Q2,2185,163,-1903,27,0,329,336,117,117,0,0,0,0,0,-3471,0,-2540,0,-2540,-931,179,-1110,0,0,0,0,0,0,759,-175,934,-2220,-2531,-191724,455,167581,154162,-94,154256,0,3921,326,18,9154,21308,14112,7196,-151,311,0,311,1706
2015:Q3,2506,164,5595,39,0,327,325,86,86,0,0,0,0,0,5379,0,-2980,0,-2980,8359,9288,-929,0,0,0,0,0,0,-561,46,-607,5444,5296,-49708,-664,-26161,-55535,89,-55624,0,624,8161,982,19607,82914,57012,25902,-1085,148,0,148,2191
2015:Q4,-17658,165,942,21,0,240,51,-137,-137,0,0,0,0,0,-61,0,-4357,0,-4357,4296,6567,-2271,0,0,0,0,0,0,828,316,512,20220,20050,-216772,6557,159815,134806,75,134731,0,-4095,-685,-1000,30789,71320,24978,46342,-870,170,0,170,1455
2016:Q1,-1135,178,-3774,-120,0,159,-1142,-57,-57,0,0,0,0,0,-1997,0,-4193,0,-4193,2196,5994,-3798,0,0,0,0,0,0,-618,-851,234,-3790,-4417,157258,-4372,3953,-19665,-53,-19612,0,-5263,6392,-31,22520,-161855,-170743,8888,599,627,0,627,-1329
