1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,2452,2324,20,12,12,36,48,0,316,8,12,0,4,4,8,0,0,352,2564,448
1961:Q3,3260,3128,16,12,16,44,44,0,132,12,8,4,4,4,4,0,0,168,3384,220
1961:Q4,1624,1488,16,12,20,40,48,0,272,8,-8,-44,-40,4,-28,0,0,164,1684,196
1962:Q1,1948,1812,16,12,16,44,48,0,140,4,8,0,4,0,16,0,0,172,2028,220
1962:Q2,2384,2240,16,12,20,44,52,0,260,4,12,4,4,4,12,0,0,300,2496,380
1962:Q3,2748,2592,20,16,20,48,52,0,144,0,8,4,4,4,8,0,0,172,2848,228
1962:Q4,3876,3728,20,12,12,48,56,0,320,4,32,24,20,8,44,0,0,452,4032,556
1963:Q1,3672,3508,20,16,20,52,56,0,184,4,8,0,4,4,12,0,0,216,3816,276
1963:Q2,3352,3200,16,12,20,48,56,0,400,4,0,4,0,0,-4,0,0,404,3496,516
1963:Q3,2812,2636,20,16,20,56,64,0,356,4,0,-4,0,0,-8,0,0,348,2912,448
1963:Q4,3556,3388,20,12,20,56,60,0,-148,8,-24,-20,-20,4,-36,0,0,-236,3708,-316
1964:Q1,3152,2972,24,16,16,60,64,0,272,4,0,0,0,0,-8,0,0,268,3276,340
1964:Q2,3708,3528,20,16,20,56,68,0,316,8,8,4,4,0,8,0,0,348,3864,444
1964:Q3,3920,3732,20,16,24,60,68,0,132,4,4,4,4,4,8,0,0,160,4068,212
1964:Q4,3668,3472,20,16,20,68,72,0,284,8,-8,-28,-24,4,8,0,0,244,3824,292
1965:Q1,6352,6148,24,16,24,64,76,0,540,4,8,4,4,4,4,0,0,568,6600,720
1965:Q2,5332,5132,24,16,16,68,76,0,-40,8,-8,-4,-4,-4,-28,0,0,-80,5560,-88
1965:Q3,4140,3928,24,12,24,72,80,0,476,8,-12,-4,-4,-4,-32,0,0,428,4296,552
1965:Q4,3440,3184,28,24,32,80,92,0,508,12,-32,-4,-4,0,-84,0,0,396,3588,472
1966:Q1,4300,4072,28,16,24,76,84,0,432,0,-12,-4,-4,-4,-24,0,0,384,4460,488
