1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q3,1339920,544221,80487,142417,3176,499042,44527,22044,4006,1596721,437075,616784,187262,323992,31608,-256801,150490,-157,11720,-117874,-82111,149443,1408,-232962,-10556,2,-19322,132,0,0,0,7558,2472,4270,816,0,1584,-666,-1180,1336,222406,0,0,768,175204,172308,2896,29738,0,29738,29738,392,-3381,19685,24109,0,-4424,-35763,-21580
1994:Q4,1364292,553445,81351,150947,3248,506751,45546,20076,2928,1622331,429507,625256,202184,333508,31876,-258039,151938,2749,12240,-121090,-56664,146289,-108,-202845,50865,-3770,11449,-136,0,0,0,43407,35576,-17397,25228,0,1800,-6369,5956,-1472,253710,0,0,684,158789,164465,-5676,29214,0,29214,29214,1940,1148,61935,35223,0,26712,-64425,12972
1995:Q1,1388068,567680,76570,155253,3600,514196,45839,18868,6062,1642507,428942,643696,191865,344356,33648,-254439,153124,704,13668,-115687,-2515,150124,-164,-152475,-10177,13418,-12096,1752,0,0,0,-4773,-408,-4401,36,0,1248,-2370,-7368,12,142297,0,0,736,135305,136533,-1228,12437,0,12437,12437,200,-8491,2111,26131,0,-24020,-113172,-18228
1995:Q2,1416403,594377,75726,153136,3708,518955,47610,17860,5031,1659406,431908,651904,189250,352040,34304,-243003,153416,3675,14228,-107490,-251524,149102,-2772,-397854,49627,7328,70766,-288,0,0,0,-19584,-2536,-14396,-2652,0,1108,-2874,-6876,48,447481,0,0,680,376419,374811,1608,36069,0,36069,36069,1724,-6837,39426,34042,0,5384,144033,52133
1995:Q3,1423846,591549,75434,159120,4168,524600,47110,17128,4737,1670844,432233,657032,191107,355632,34840,-246998,153797,2574,12908,-108683,-110671,147104,-28348,-229427,-49467,5040,-39892,-4,0,0,0,-5733,-768,-8785,3820,0,1612,-3914,-7544,968,179959,0,8600,788,108939,108531,408,16503,0,16503,16503,296,-3209,48043,25703,0,22340,1988,-41490
1995:Q4,1441408,607583,74482,156215,4188,529860,48426,16288,4366,1665404,422809,662904,187199,357276,35216,-223996,153775,3975,11004,-85200,-71796,144506,-432,-215870,-77456,-32,-18784,-452,0,0,0,-53378,-50140,-11302,8064,0,2104,2795,-9680,-28,138414,0,0,508,80253,75121,5132,-69254,0,-69254,-104910,1856,686,124364,110060,0,14304,-13404,-15387
1996:Q1,1476422,636390,72645,162360,4604,532932,46391,16980,4120,1701218,424084,682623,200191,359124,35196,-224796,154018,1866,13152,-85796,-21028,155745,-1172,-175601,35856,2058,21130,380,0,0,0,22547,32388,-13716,3875,0,1752,-1931,-10668,588,211457,0,0,-4,183613,185933,-2320,69478,0,69478,105134,368,-458,-41540,-27008,0,-14532,-64767,6367
1996:Q2,1531315,673639,71177,171925,4840,541721,46161,17908,3944,1711469,430224,688159,200754,357216,35116,-180154,153593,4280,10656,-41497,-141957,151918,-700,-293175,595,1752,-21866,13204,0,0,0,11534,1324,-1736,11946,0,1508,-2516,-1976,-1044,293770,0,0,-180,208840,206592,2248,49531,-4,49535,49535,2432,814,32333,20537,0,11796,100460,-9697
1996:Q3,1544427,674219,71701,172576,5384,549488,47593,18768,4698,1715062,428780,691311,198943,361172,34856,-170635,153936,1263,8880,-26842,-50376,148976,-1640,-197712,1462,-16312,33439,-4092,0,0,0,-6061,-4416,-5584,3939,0,1732,1757,-8668,-332,199174,0,-1800,2344,164474,167546,-3072,26680,-4,26684,26684,156,2028,5292,34928,0,-29636,23534,55943
1996:Q4,1593223,689392,75893,175295,5792,557511,47012,37252,5076,1735168,434351,696483,207450,362440,34444,-141945,153117,4083,11036,-3947,46178,142562,-15628,-80756,31507,982,11150,-3748,0,0,0,-5959,-18708,-1448,14197,0,2344,6366,20008,364,112263,0,0,-4,-6208,-2912,-3296,67952,-8,67960,67960,-488,2019,48992,29732,0,19260,-50125,-1177
1997:Q1,1615265,724327,71965,176905,4836,566012,46639,19232,5349,1736733,430183,712248,198150,362184,33968,-121468,153552,2172,9036,20876,46581,140522,-1272,-92669,12020,-11222,24945,200,0,0,0,14881,16964,-8104,6021,0,1708,-1789,-16804,100,104689,0,-2072,436,54579,55999,-1420,52039,-8,52047,52047,2840,-13290,10157,28205,0,-18048,-25705,-15228
1997:Q2,1651819,739297,79713,180472,4912,573969,46933,19768,6755,1755842,444505,715512,197841,364768,33216,-104023,154572,2056,9496,38997,-70832,142676,-27644,-185864,-32758,630,-32884,3376,0,0,0,10975,-5528,-840,17343,0,1644,1909,-18452,44,153105,0,0,156,61802,61558,244,42619,0,42619,42619,2204,-9229,55554,33114,0,22440,109828,-4228
