1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q3,2158167,0,25171,17255,4984,0,2932,803633,37011,1292352,2158167,2067457,775105,1292352,2067457,90710
2002:Q4,2179855,0,26047,17430,5524,0,3093,822148,48836,1282824,2179855,2082923,800099,1282824,2082923,96932
2003:Q1,2199804,0,27152,17663,6055,0,3434,802323,56254,1314075,2199804,2100678,786603,1314075,2100678,99126
2003:Q2,2231186,1,27377,17695,6130,0,3552,813758,67152,1322898,2231186,2122643,799745,1322898,2122643,108543
2003:Q3,2256019,1,32848,18421,5227,0,9200,824279,66898,1331993,2256019,2143156,811163,1331993,2143156,112863
2003:Q4,2288927,37,32898,18438,5036,0,9424,851126,79022,1325844,2288927,2165557,839713,1325844,2165557,123370
2004:Q1,2314204,72,32833,18410,4897,0,9526,837964,83867,1359468,2314204,2186043,826575,1359468,2186043,128161
2004:Q2,2338091,108,31984,18215,4511,0,9258,848168,85918,1371913,2338091,2206484,834571,1371913,2206484,131607
2004:Q3,2362078,144,32528,17635,5639,0,9254,865714,85806,1377886,2362078,2227451,849565,1377886,2227451,134627
2004:Q4,2396101,212,32465,17041,5753,0,9671,898571,98280,1366573,2396101,2249813,883240,1366573,2249813,146288
2005:Q1,2420247,281,32146,16993,5673,0,9480,889236,98891,1399693,2420247,2270937,871244,1399693,2270937,149310
2005:Q2,2447646,349,32696,17125,5901,0,9670,887722,101220,1425659,2447646,2293137,867478,1425659,2293137,154509
2005:Q3,2477335,417,32639,17422,7136,0,8081,903669,108181,1432429,2477335,2315062,882633,1432429,2315062,162273
2005:Q4,2504192,445,33064,17506,7407,0,8151,933357,112724,1424602,2504192,2336383,911781,1424602,2336383,167809
2006:Q1,2534647,473,33068,17464,7386,0,8218,920664,121189,1459253,2534647,2357649,898396,1459253,2357649,176998
2006:Q2,2556749,501,32719,17404,7267,0,8048,929858,118607,1475064,2556749,2377470,902406,1475064,2377470,179279
2006:Q3,2586358,528,33282,17383,7537,0,8362,946416,125849,1480283,2586358,2398563,918280,1480283,2398563,187795
2006:Q4,2620758,515,34499,17508,7885,0,9106,977452,138402,1469890,2620758,2420203,950313,1469890,2420203,200555
2007:Q1,2648136,501,34939,17587,8077,0,9275,965721,141086,1505889,2648136,2441400,935511,1505889,2441400,206736
2007:Q2,2680716,488,35101,17575,8083,0,9443,956211,152020,1536896,2680716,2463025,926129,1536896,2463025,217691
