1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q1,706490,526822,541642,509047,466060,2459,463601,42878,109,32596,137346,-13302,-36746,-52663,-13606,543,8798,10096,-306,-117,-681,-194,495,1400,-905,891,8890,66549,429,6004,52529,108535,104750,306983,107591,35643,-443,72391,93978,30721,31006,32251,1720,44085,17029,42580,-202233,-94850,-81969,-25415,-14820
2014:Q2,733686,552506,432884,544705,541858,35467,506391,2657,190,-111821,260776,19162,78393,-20660,-9296,4517,-9774,-11130,1413,480,-525,-12,965,569,396,-4599,9307,88298,35,6004,100960,-2536,372597,318859,96413,5624,-354,91143,90406,58127,-11194,43473,12780,49566,-11986,81680,53738,-41451,66283,28905,119622
2014:Q3,754809,593616,544668,605356,551701,37339,514362,52331,1324,-60688,357661,-9389,48654,-12404,12794,13842,-1463,-2383,1486,287,-762,-91,276,-77,353,6468,9365,95829,171,6004,9220,178294,418348,405985,70906,21282,-1995,51619,119083,31990,42165,44928,40250,68223,21763,85760,12363,-76254,59898,28719,48948
2014:Q4,747444,585648,212845,550923,564032,23808,540224,-13074,-36,-338078,302788,-5780,98804,13852,34896,8887,28072,28502,-765,-12,-332,679,2007,2283,-276,-10082,9776,73969,245,6004,-37201,79338,640865,603922,75422,-25048,2795,97675,170533,71718,31533,67282,865,-4333,-7741,369176,36943,-83117,87466,32593,372803
2015:Q1,712188,571673,396790,565770,499215,4662,494553,66697,-142,-168980,272928,-26967,-47068,-17850,-14079,-529,-11109,-2739,-6992,-2427,386,663,6676,7758,-1082,6080,-10756,74746,170,3062,-25316,335868,441908,378221,128823,6274,5974,116575,124291,47110,18414,58767,34097,-45673,16356,120327,63687,-120778,191542,-7077,174883
2015:Q2,713470,563475,581569,622872,566228,40717,525511,26605,30039,-41303,552620,11550,-8942,11130,-2303,4196,-356,-328,985,-690,556,-879,9435,7997,1438,-3791,-10731,76365,92,3062,84193,378720,593923,566711,166723,-10731,8490,168964,128164,57165,-3539,74538,12614,42112,-7711,224809,27213,-102237,73314,56136,-18094
2015:Q3,718404,573723,760355,620138,562841,42099,520742,57475,-178,140218,587617,-3579,73924,8775,11008,6941,6672,7066,-599,-286,171,320,8407,8184,223,-33446,-9987,85801,154,3062,13771,416114,447399,488865,119878,23702,1264,94912,49126,13944,-25402,60584,-7576,32516,-6297,301218,-41466,-155776,65279,49031,-186633
2015:Q4,680188,552237,374027,546185,557085,27535,529550,-10654,-246,-172158,40738,-9,36569,20100,26850,3551,14392,3808,8509,2100,199,-224,5575,6744,-1169,20489,-10631,32891,179,3062,-42787,-69493,212896,245482,28922,-22240,-2256,53418,150479,56016,10296,84167,1271,-20659,-18389,103858,-32587,-127388,46989,47812,178210
2016:Q1,698099,569039,503537,534199,490664,7852,482812,43811,-276,-30662,149677,-17483,-68588,14781,-23863,-8069,7523,-986,6607,2653,-444,-307,-8792,-7404,-1388,-3941,16097,92682,178,-1360,31018,119493,180339,334969,147047,5656,3893,137498,131381,55335,21075,54971,29391,-3467,7459,23157,-154630,-124580,70229,-100279,65502
2016:Q2,699708,545656,603840,567963,565361,45616,519744,-5227,7829,35878,523349,13013,80123,-16662,-38008,-2456,-7139,9577,-12455,-3687,-598,24,-4412,-5079,667,-9802,16403,86558,418,-1360,149040,257633,487471,532277,95682,990,11762,82930,54978,25602,-31627,61003,23111,91390,-14820,281936,-44806,-125548,122958,-42216,-58185
