1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q4,28920,18780,13712,2392,-68409,111,-19160,-36200,1884,-15044,28727,9536,19191,32,-9104,2612,476,-2576,20860,15416,4220,1782,14972,28348,3704,4580,60,59484,-108104,12532,10796,45296,-13376,-10572,-1760,-1044
2007:Q1,86872,11404,-5332,-2476,50670,818,-12876,5056,4852,52820,27867,13812,14055,-388,8188,6656,252,1228,7372,8108,-296,-26380,78864,92088,-13912,5040,-2176,43664,-24192,10904,-5528,78288,-13224,-18228,540,4464
2007:Q2,126056,-9760,-296,3560,43862,298,-13068,4976,5096,46560,39795,17524,22271,-316,11748,4732,548,1232,7376,8104,-288,15760,131120,134020,2208,12908,1508,55792,-7504,10900,-4104,62312,-2900,-19128,8380,7848
2007:Q3,160632,18520,-7768,436,54999,6567,-10872,6104,4104,49096,26499,14028,12471,56,5916,6384,1000,1228,7364,8108,-296,38185,150516,174852,3100,24688,-296,40580,-38528,10908,1396,133004,-24336,-24228,-1916,1808
2007:Q4,73456,-2960,7780,-528,-30403,16245,-17580,-7384,4056,-25740,50983,8160,42823,564,2508,5496,600,1228,7372,8100,-288,23003,9376,33524,4180,13540,-1652,57908,-1600,10908,2488,-52248,-24148,-23320,-8360,7532
2008:Q1,332152,21500,26356,1424,55907,17051,27644,-16188,3432,23968,45005,20200,24805,60,4044,7280,448,420,21180,11420,3688,133420,274376,286148,4796,11936,-192,52824,125084,15992,-2156,77864,-11772,-24888,15832,-2716
2008:Q2,142860,32036,14364,680,54425,-2115,49512,-50764,7496,50296,37390,16652,20738,-88,3700,3100,732,424,21176,11424,3692,-40195,117092,133260,8816,5260,-3924,73444,74424,16000,-8032,-32728,-16168,-11132,-3968,-1068
2008:Q3,179644,7752,-12264,2168,-37379,-26287,4660,9416,-296,-24872,43742,33624,10118,-696,3748,7120,1068,420,21172,11416,3696,127681,58348,75148,-8364,35256,-4160,114808,235196,16000,-9248,-304340,-16800,-5516,10084,-21368
2008:Q4,421240,33888,44980,18224,5414,8962,39260,-12492,352,-30668,5316,11628,-6312,-484,880,2188,1396,416,21176,11416,3692,272738,199684,180600,-35092,44116,912,96532,116824,16000,2776,-61468,19084,6760,35468,-23144
2009:Q1,-101556,-49604,13920,19364,-64702,38890,31008,-5836,12536,-141300,-28992,-22052,-6940,472,-8468,-2812,116,-1880,7760,-5584,1644,17210,33488,26332,1344,1756,816,91664,-33708,1160,-1160,-35540,7156,-5800,5880,7076
