date,FU116902505.A,FU116300001.A,FU116902605.A,FU116025001.A,FU116020001.A,FU116401005.A,FU116240101.A,FU116402105.A,FU116140001.A,FU116402105.A,FU116130101.A,FU116150005.A,FU116130001.A,FU116122001.A,FU113192281.A,FU116112001.A,FU116140001.A,FU116403001.A,FU116012005.A,FU116012005.A,FU116006305.A,FU116012005.A,FU115440005.A,FU115050985.A,FU115019085.A,FU115013085.A,FU115012005.A,FU116300001.A,FU115020005.A,FU115000905.A,FU115000905.A,FU114090005.A,FU114000005.A,FU113020005.A,FU113030003.A,FU114022005.A,FU113061003.A,FU113062003.A,FU114023005.A,FU113066003.A,FU113065005.A,FU113081005.A,FU113034003.A,FU113092405.A,FU113076005.A,FU113096005.A,FU113070003.A,FU113072003.A,FU113093005.A,FU114194005.A,FU114135005.A,FU114141005.A,FU113168005.A,FU113169005.A,FU114142005.A,FU113165005.A,FU115114305.A,FU113181005.A,FU112090205.A,FU115114103.A,FU113196005.A,FU113170005.A,FU113178003.A,FU113193003.A,FU115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114190085.A,FR115114305.A,FR112090205.A,FR115114103.A,FR118200005.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
1992,915348,110842,804506,201152,171390,29762,51561,551794,6941,551794,7746,552600,128879,423807,-87,0,6941,6941,0,0,1825,0,-1825,4749,109227,72421,36807,110842,6363,-2924,-2924,26648,12343,5376,6967,727,727,0,-855,0,-855,2255,2325,-70,-919,13097,7088,0,6009,26577,-26242,3681,2737,944,-29923,-30004,81,32027,31991,36,20792,6313,642,13837,71,795,-4098,4893,-51360,-69608,1119,-70726,14990,26,14964,1238,2021,0,-48739,11,-49322,572,-2620,0,4457934,4031750,3491583,2068158,1423425,341468,28926,312542,57225,141474,426184,150898,90703,60195,12976,12976,0,25169,0,25169,12255,9727,2528,64103,160783,103812,0,56971,4457934,4457934,1144354,275794,169474,106320,868560,867627,933,3029082,3024376,4706,284498,74065,33121,177312,0
1993,944813,113971,830843,213252,181239,32014,46924,570667,5857,570667,8798,573608,119398,454264,-54,0,5857,5857,0,0,363,0,-363,7479,125551,83810,41741,113971,-4101,-7116,-7116,26148,6642,3232,3410,658,624,34,-3319,0,-3319,1420,1138,282,2597,18150,4919,0,13231,30426,-19626,2149,4386,-2237,-21775,-22105,330,45249,45548,-299,4804,1481,-1734,5057,-4278,822,-936,1758,111620,96855,80669,16186,10979,460,10519,1260,2526,0,112805,0,111733,1072,-1186,0,4601681,4147899,3598143,2154183,1443960,347761,30066,317695,62097,139898,453782,157540,93935,63605,15084,13600,1484,21850,0,21850,13674,10865,2809,66700,178933,108731,0,70202,4601681,4601681,1124728,277943,173860,104083,846785,845522,1263,3187650,3182171,5479,289303,75547,31387,182369,0
1994,1003170,118244,884926,225482,193050,32432,57266,602178,6495,602178,9643,605327,117734,487552,41,0,6495,6495,0,0,4148,0,-4148,31492,135847,91563,44284,118244,13889,-27344,-27344,62445,15907,12336,3571,4860,4730,130,1950,0,1950,4412,4243,169,2047,33269,16293,0,16976,86924,15243,19915,15317,4598,-4672,-4575,-97,46791,46654,137,24890,7417,1420,16053,-24479,869,-7701,8570,180023,170933,109232,61701,14099,475,13625,2044,-7053,0,185040,-118,185894,-736,-5017,0,4865945,4349717,3775823,2264144,1511679,359958,31165,328793,67201,146735,516228,173448,106272,67176,19944,18330,1614,23800,0,23800,18087,15108,2979,68747,212202,125024,0,87178,4865945,4865945,1139854,297859,189177,108682,841995,840947,1048,3411898,3407018,4880,314193,82964,32807,198422,0
1995,1043739,124001,919738,237980,204082,33898,57507,624251,6059,624251,10489,628681,122651,505973,58,0,6059,6059,0,0,354,0,-354,22191,153516,99228,54288,124001,-7324,-21837,-21837,76244,17817,13534,4283,5894,5296,598,-2053,0,-2053,1865,1927,-62,2750,49971,15296,0,34675,94511,45870,17378,11456,5922,28492,28979,-487,20724,20297,427,27918,13763,551,13604,-18267,941,-465,1406,159671,142252,94575,47677,11258,16,11243,2135,4025,0,160966,0,162667,-1701,-1295,0,5120960,4528487,3938756,2373879,1564877,373811,31778,342033,72484,143436,592473,191266,119807,71459,25838,23626,2212,21747,0,21747,19952,17035,2917,71497,262173,140320,0,121853,5120960,5120960,1185726,315239,200634,114605,870487,869926,561,3593122,3589516,3606,342112,96728,33358,212026,0
1996,1126559,128607,997952,251312,216039,35272,62871,683769,8965,683769,11307,686111,123130,562944,38,0,8965,8965,0,0,0,0,0,41612,160941,105274,55667,128607,9279,-41612,-41612,94737,22724,19178,3546,5339,4924,415,-1361,0,-1361,2298,2202,96,977,64760,29521,0,35239,132506,73308,32876,29195,3681,40432,40186,246,-4348,-4391,43,63546,31797,2317,29432,-37769,1028,0,1028,190741,158544,82995,75549,3469,377,3091,1303,27424,0,191769,0,189597,2172,-1028,0,5445234,4758026,4116215,2472392,1643823,384648,32642,352006,77023,180140,687208,213989,138984,75005,31177,28550,2627,20386,0,20386,22250,19237,3013,72474,326933,169841,0,157092,5445234,5445234,1259033,348114,229829,118284,910919,910112,807,3780543,3774722,5821,405658,128525,35675,241458,0
1997,1203662,134050,1069612,268971,232375,36597,72856,727784,10407,727784,12068,729445,128718,600647,80,0,10407,10407,0,0,0,0,0,48592,173871,114823,59048,134050,8771,-48592,-48592,131016,33061,22351,10710,4234,3685,549,-1643,0,-1643,3660,3669,-9,703,91001,35084,0,55917,174722,104585,53601,46740,6861,50984,50945,39,-22042,-22513,471,92179,31916,4266,55997,-43706,1161,0,1161,397721,401390,161968,239422,1501,-468,1969,1733,-6903,0,398882,-7,398363,526,-1161,0,6018841,5200615,4540835,2651744,1889091,394954,32543,362411,82819,182007,818226,247051,161336,85715,35411,32235,3176,18743,0,18743,25911,22906,3005,73176,417934,204925,0,213009,6018841,6018841,1363615,401717,276569,125148,961897,961058,839,4157389,4150571,6818,497838,160442,39941,297455,0
1998,1305239,140965,1164274,292802,252481,40320,82178,789295,8871,789295,13005,793429,138472,654942,15,0,8871,8871,0,0,0,0,0,52782,187176,127525,59652,140965,6571,-52782,-52782,222624,46854,6111,40743,5388,5739,-351,7556,0,7556,9706,9667,39,3047,150073,28217,0,121856,269187,182615,34960,25530,9430,147655,147730,-75,-39977,-40203,226,126550,30310,4120,92120,-46563,1371,0,1371,258675,273080,156328,116752,4390,-267,4657,1797,-20592,0,260046,0,259866,180,-1371,0,6548074,5507224,4841170,2823591,2017579,407455,32953,374502,90612,167986,1040851,293904,167446,126458,40799,37974,2825,26299,0,26299,35618,32573,3045,76224,568007,233142,0,334865,6548074,6548074,1546229,436677,302100,134578,1109552,1108788,764,4377457,4370233,7224,624388,190752,44061,389575,0
1999,1385235,149688,1235547,312396,271324,41072,80610,842541,10942,842541,14850,846449,147344,699093,12,0,10942,10942,0,0,413,0,-413,63259,209326,140582,68745,149688,3621,-62847,-62847,185047,58158,5107,53051,-922,-795,-127,-2212,0,-2212,8122,8135,-13,1086,120815,39414,0,81401,241163,197369,59142,49596,9546,138227,138126,101,-73269,-73812,543,117064,34469,8928,73667,-56116,1625,-831,2456,337424,323898,247617,76281,6473,-412,6885,3753,3300,0,339462,0,339196,266,-2038,0,7127868,5901972,5201052,3092544,2108508,424173,33682,390491,101839,174908,1225897,352063,172554,179509,39877,37179,2698,24087,0,24087,43739,40708,3031,77309,688822,272556,0,416266,7127868,7127868,1743599,495820,351696,144124,1247778,1246913,865,4642819,4634786,8033,741451,225220,52989,463242,0
2000,1498065,160629,1337436,338401,294063,44337,85767,913269,11039,913269,16334,918564,167144,751421,-1,0,11039,11039,0,0,0,0,0,72255,228656,156930,71726,160629,4228,-72255,-72255,246758,76496,8425,68071,2731,2983,-252,-653,0,-653,8720,8685,35,-99,159563,69592,0,89971,311670,195785,61346,50424,10922,134439,134560,-121,-23219,-23317,98,139104,41512,11651,85941,-64912,1877,0,1877,420529,401757,215658,186099,9442,-9,9451,3658,5673,0,422406,0,425080,-2674,-1877,0,7861946,6389291,5643831,3329570,2314261,446601,35032,411569,114050,184809,1472655,428559,180979,247580,42608,40162,2446,23434,0,23434,52458,49393,3065,77211,848385,342148,0,506237,7861946,7861946,1939386,557167,402120,155047,1382219,1381475,744,5042006,5036549,5457,880555,266732,64640,549183,0
2001,1727380,170698,1556682,453241,386645,66596,97500,1005941,14396,1005941,18193,1009738,173465,836342,-69,0,14396,14396,0,0,1316,0,-1316,53058,227771,156205,71565,170698,-4014,-51742,-51742,156885,7933,795,7138,3726,2667,1059,3363,0,3363,10039,9588,451,2787,129037,1771,0,127266,200831,163862,40214,43516,-3302,123648,123562,86,-17487,-17364,-123,54456,-4753,4049,55160,-43946,2058,-658,2716,191351,188986,226645,-37659,8177,-98,8275,298,-6110,0,194726,1,195494,-769,-3374,0,8256843,6627302,5868210,3573978,2294232,463398,36214,427184,121009,174685,1629541,436491,181773,254718,46334,42829,3505,26797,0,26797,62498,58981,3517,79999,977422,343919,0,633503,8256843,8256843,2103248,597381,445636,151745,1505867,1505036,831,5218585,5214020,4565,935011,261979,68689,604343,0
2002,1811017,178476,1632541,484937,410843,74093,110944,1036661,15586,1036661,18431,1039506,165400,874100,6,0,15586,15586,0,0,0,0,0,56426,234614,157048,77567,178476,288,-56426,-56426,78648,17173,2719,14454,-128,8,-136,-630,0,-630,2397,2344,53,4472,55364,18907,0,36457,131556,157458,31803,23681,8122,125655,125551,104,-71487,-71755,268,45585,25393,1471,18721,-52908,-1,0,-1,396414,380108,276144,103963,7252,-623,7875,957,8097,0,396413,-19,397082,-650,1,-0,8538152,7076623,6286178,3871825,2414353,478900,36878,442022,128475,183070,1461529,453664,184492,269172,46206,42837,3369,26167,0,26167,64895,61325,3570,84471,786126,362826,0,423300,8538152,8538152,2260686,629183,469317,159866,1631503,1630587,916,5296870,5292687,4183,980597,287373,70160,623064,0
2003,1915127,186971,1728157,534483,449317,85166,116372,1077302,20259,1077302,12479,1069522,160956,908520,46,0,20259,20259,0,0,0,0,0,59887,245298,157055,88244,186971,1559,-59887,-59887,48330,50759,6089,44670,1376,2056,-680,117,0,117,2886,2293,593,4712,-11520,-25130,0,13610,104417,74518,10667,10370,297,63851,64137,-286,33200,32995,205,-3301,-26179,-510,23388,-56087,3,0,3,422871,402843,301252,101591,5337,-1388,6725,2903,11788,2,422876,-2,423046,-168,-3,0,9065442,7555581,6729953,4201643,2528310,492373,36974,455399,136837,196417,1509862,504422,190580,313842,47584,44895,2689,26284,0,26284,67783,63618,4165,89183,774606,337696,0,436910,9065442,9065442,2335200,639848,479686,160163,1695351,1694723,628,5752947,5748727,4220,977295,261193,69650,646452,0
2004,2087738,199584,1888155,601549,505512,96038,130328,1156278,20595,1156278,13572,1149255,168173,980982,100,0,20595,20595,0,0,5028,0,-5028,82070,268443,170105,98338,199584,13211,-77041,-77041,328670,93696,26918,66778,6960,5300,1660,4552,0,4552,2967,2923,44,4572,215923,26639,0,189284,394656,253868,33355,32953,402,220513,220609,-96,39984,40095,-111,100804,23682,8354,68768,-65986,5,-6592,6597,975714,949912,503818,446094,24956,-454,25410,4046,-3199,0,980746,-6,980900,-148,-5033,0,10434250,8595716,7717929,4733248,2984681,527455,38534,488921,143903,206429,1838534,598119,217499,380620,54544,50195,4349,30836,0,30836,70750,66541,4209,93755,990529,364335,0,626194,10434250,10434250,2589059,673200,512637,160563,1915858,1915332,526,6767092,6763131,3961,1078099,284875,78004,715220,0
2005,2229787,217689,2012099,667453,560171,107282,136383,1208263,22813,1208263,15645,1201095,196780,1004236,78,0,22813,22813,0,0,13068,0,-13068,87731,299031,190087,108944,217689,6389,-74663,-74663,392019,100156,6659,93497,6080,5980,100,5346,0,5346,2359,2444,-85,5526,272552,66606,0,205946,456486,338547,161013,157889,3124,177534,177533,1,-83087,-83145,58,201026,49653,8676,142697,-64467,-2,-24459,24457,1081920,1051849,651182,400667,19042,1085,17957,5681,5348,-3,1094982,25,1094874,83,-13066,0,11961265,9730712,8795948,5399899,3396049,562305,41735,520570,154293,218165,2230553,698276,224159,474117,60621,56174,4447,36182,0,36182,73110,68985,4125,99283,1263081,430941,0,832140,11961265,11961265,2927636,834216,670528,163688,2093420,2092868,552,7754503,7750401,4102,1279126,334529,86680,857917,0
2006,2439138,236127,2203011,749398,633807,115591,151091,1302522,21570,1302522,17533,1298485,226165,1072226,94,0,21570,21570,0,0,0,0,0,88880,320048,213624,106424,236127,4959,-88880,-88880,454723,94955,34667,60288,1472,156,1316,-1544,0,-1544,3347,3175,172,4443,352050,39952,0,312098,536480,414377,131041,115293,15748,283336,283266,70,-45852,-44882,-970,167956,14339,9009,144608,-81757,3,0,3,670851,640700,264318,376382,26709,654,26055,4271,-828,0,670854,8,670544,302,-3,0,13168597,10483320,9489561,5692744,3796817,607005,44430,562575,164458,222296,2685276,793232,258827,534405,62093,56329,5764,34638,0,34638,76457,72160,4297,103725,1615131,470893,0,1144238,13168597,13168597,3343032,966269,785821,180449,2376763,2376133,630,8378483,8373893,4590,1447082,348868,95689,1002525,0
2007,2523202,249815,2273388,828701,703285,125416,162090,1282597,19052,1282597,17824,1281369,253082,1028205,83,0,19052,19052,0,0,0,0,0,90695,336361,237356,99005,249815,4149,-90695,-90695,430975,81801,26884,54917,2516,3008,-492,7443,0,7443,2879,2170,709,3680,332656,54742,0,277914,509970,466011,157301,140850,16451,308710,308712,-2,-79748,-79546,-202,123707,26038,3782,93887,-78995,2,0,2,127147,77301,-220870,298171,23422,-515,23937,5950,20474,4,127153,35,127240,-122,-2,0,13805717,10689462,9624681,5490901,4133780,642030,45483,596547,175832,246920,3116254,875032,285710,589322,64613,59339,5274,42081,0,42081,79336,74330,5006,107405,1947787,525635,0,1422152,13805717,13805717,3807513,1123569,926670,196899,2683945,2683282,663,8427415,8422889,4526,1570788,374905,99471,1096412,0
2008,2559639,259722,2299917,841173,710609,130565,163233,1295511,14371,1295511,16653,1297793,263852,1033879,62,0,14371,14371,0,0,3284,0,-3284,64097,327257,243279,83979,259722,-3438,-60813,-60813,29463,2556,-36209,38765,-7884,-7532,-352,-2972,0,-2972,2200,1045,1155,3452,32111,-2969,0,35080,79395,325209,131451,119600,11851,193758,193763,-5,-372592,-372396,-196,126779,5809,6683,114287,-49932,1,-4376,4377,-919551,-957903,-592487,-365416,39249,135,39115,4439,-5336,-1,-916267,24,-914251,-2040,-3285,0,12964469,9818752,8717701,4899507,3818194,678964,46768,632196,183941,238146,3145717,877588,249501,628087,56728,51806,4922,39109,0,39109,81738,75375,6363,111656,1978898,522666,0,1456232,12964469,12964469,4126062,1255020,1046270,208751,2871042,2870360,682,7140840,7138030,2810,1697567,380714,106154,1210699,0
2009,2406130,258431,2147699,797045,667953,129091,147038,1203616,21232,1203616,14936,1197320,241986,955282,52,0,21232,21232,0,0,5994,0,-5994,-15271,263751,197880,65871,258431,-20591,21265,21265,-85491,10119,-25109,35228,-5496,-5660,164,-1207,0,-1207,-1682,-1661,-21,-9788,-77437,-26328,0,-51109,-114001,-97328,-107917,-101971,-5946,10589,10362,227,-59951,-59861,-90,43277,16890,-6261,32648,28510,-5,0,-5,-1252348,-1270166,-532996,-737170,15774,-2734,18508,1987,58,-3,-1246361,-9,-1247023,671,-5989,0,11604110,8543888,7467769,4356299,3111470,671933,44509,627424,186573,217612,3060222,887707,224392,663315,51229,46145,5084,37902,0,37902,80055,73714,6341,101868,1901461,496338,0,1405123,11604110,11604110,4017142,1147105,944299,202806,2870037,2869137,900,5846124,5841425,4699,1740845,397605,99893,1243347,0
2010,2586878,256610,2330268,804870,673910,130960,155204,1370195,22186,1370195,14526,1362535,233427,1128985,123,0,22186,22186,0,0,7769,0,-7769,-6753,250377,192176,58200,256610,-520,14522,14522,146817,260,-42672,42932,2460,1916,544,4168,0,4168,3489,3110,379,29972,106468,37033,0,69435,126444,-19314,-12130,-16760,4630,-7184,-7203,19,169652,169351,301,-23894,31168,-732,-54330,20373,0,2097,-2097,476388,429593,179552,250041,15429,-2361,17790,4093,27273,0,484157,20,483734,403,-7769,0,12216809,9009768,7891300,4518321,3372979,682617,43273,639344,191485,244366,3207040,887968,181721,706247,53689,48062,5627,42070,0,42070,83545,76824,6721,131839,2007929,533371,0,1474558,12216809,12216809,3987656,1133780,927538,206242,2853876,2852937,939,6515202,6509647,5555,1713951,425773,99161,1189017,0
2011,2780304,260592,2519712,828944,698327,130618,160813,1529955,27021,1529955,14243,1517177,222252,1294768,157,0,27021,27021,0,0,1591,0,-1591,3331,259129,199137,59992,260592,4794,-1740,-1740,139710,30645,-15345,45990,-2177,-1992,-185,-5806,0,-5806,1136,846,290,-4600,120512,66256,0,54256,136647,-58063,-25039,-17206,-7833,-33024,-33191,167,159883,160050,-167,34827,55292,584,-21049,3063,-1,0,-1,183100,127384,28540,98844,26044,1053,24990,5082,24591,3279,187969,-31,188223,-223,-1590,0,12541427,9191397,8013823,4531298,3482525,707028,45904,661124,196795,273751,3350030,918613,166376,752237,54791,48906,5885,36264,0,36264,84681,77670,7011,127240,2128441,599627,0,1528814,12541427,12541427,3922305,1108741,910331,198410,2813564,2812489,1075,6870343,6864326,6017,1748779,481066,99745,1167968,0
2012,2914587,267283,2647305,874369,737293,137077,168094,1604842,31299,1604842,13302,1586845,221787,1364866,192,0,31299,31299,0,0,4916,0,-4916,19926,289524,220981,68543,267283,-2315,-15011,-15011,244374,69464,19386,50078,4820,4832,-12,-2413,0,-2413,3165,3014,151,15670,153668,6465,0,147203,251123,175903,73870,61996,11874,102033,102044,-11,2049,1248,801,73171,13800,7608,51763,-6749,1,-8605,8606,520798,492076,240683,251393,23655,-348,24003,5597,-529,-606,525109,-62,524705,466,-4917,0,13309054,9715255,8510304,4756548,3753756,731801,47412,684389,202243,270906,3593800,988078,185763,802315,59005,52922,6083,33851,0,33851,87846,80684,7162,142910,2282109,606092,0,1676017,13309054,13309054,4093542,1185058,974774,210284,2908484,2907482,1002,7396009,7389161,6848,1819503,492419,107353,1219731,0
2013,3031119,278221,2752899,904668,760674,143994,181404,1666827,27501,1666827,12781,1652107,211405,1440525,178,0,27501,27501,0,0,14,0,-14,79432,336101,255507,80595,278221,21552,-79418,-79418,266732,23427,-8097,31524,4361,5711,-1350,997,0,997,2613,2023,590,-26198,261532,47272,0,214260,346147,109376,27980,21729,6251,81396,81320,76,157476,157143,333,79295,34316,3174,41805,-79415,1,-0,1,799146,796523,398164,398359,13666,-2235,15901,3563,-14606,-3846,795315,-1,793473,1843,-15,0,14450515,10593830,9329415,5154706,4174709,768848,47766,721082,217714,277853,3856686,1011506,177667,833839,59520,55159,4361,34848,0,34848,90459,82707,7752,116712,2543641,653364,0,1890277,14450515,14450515,4198093,1213037,996503,216534,2985056,2983979,1077,8353624,8344144,9480,1898799,526736,110527,1261536,0
2014,3175688,293600,2882088,953203,804150,149053,195820,1733066,29008,1733066,13556,1717613,215834,1501572,208,0,29008,29008,0,0,-2,0,2,72574,356075,264813,91261,293600,10099,-72575,-72575,372493,85071,69385,15686,-422,249,-671,-378,0,-378,3677,2929,748,12687,271858,21378,0,250480,445068,285071,96441,85233,11208,188630,188227,403,66248,64803,1445,93749,8994,6847,77908,-72575,1,0,1,650917,628852,350203,278649,16327,-2974,19301,1853,3886,2128,653045,-20,651520,1545,1,0,15548629,11317320,10000470,5510740,4489730,795061,48053,747008,229951,291838,4231308,1096578,247053,849525,61226,57197,4029,34470,0,34470,94136,85636,8500,129399,2815499,674742,0,2140757,15548629,15548629,4480278,1309479,1081736,227743,3170799,3169339,1460,9075803,9063065,12738,1992548,535730,117374,1339444,0
2015,3228916,305595,2923320,1007407,852307,155100,206107,1709806,25828,1709806,14638,1698616,222599,1475778,239,0,25828,25828,0,0,0,0,0,98401,383516,277832,105684,305595,20481,-98401,-98401,310574,18641,7385,11256,5982,5673,309,7058,0,7058,2982,2466,516,-10170,286081,-3562,0,289643,408978,251804,70317,63067,7250,181487,181094,393,147374,145902,1472,9800,-16045,5162,20683,-98404,-0,0,-0,526224,558612,405204,153408,18116,-1984,20100,83,-50586,-1002,525222,7,525071,144,0,0,16482829,11941948,10625803,5932058,4693745,811007,49958,761049,243405,261733,4540881,1115219,254438,860781,66206,61860,4346,41528,0,41528,97119,88102,9017,119229,3101580,671180,0,2430400,16482829,16482829,4727238,1377754,1144804,232950,3349484,3347624,1860,9753242,9737936,15306,2002348,519685,122536,1360127,0
2016,3241322,313781,2927541,1041191,883166,158024,208661,1677689,22208,1677689,15595,1671076,232595,1438220,261,0,22208,22208,0,0,0,0,0,53521,364836,246334,118502,313781,2467,-53521,-53521,383862,73007,24804,48203,2838,1976,862,-1990,0,-1990,3333,2590,743,-3010,309684,76748,0,232936,437387,389270,119052,118226,826,270218,269260,958,-229022,-230731,1709,277139,65763,10011,201365,-53525,1,0,1,595259,576741,383979,192762,28101,-2616,30717,2796,-12379,-963,594297,-142,591269,3170,-1,0,17514513,12590732,11267268,6340606,4926662,819333,51751,767582,252310,251821,4923780,1188226,279242,908984,68081,62970,5111,39538,0,39538,100452,90692,9760,116220,3411264,747928,0,2663336,17514513,17514513,5114515,1496807,1263030,233777,3617708,3615032,2676,10120512,10097571,22941,2279487,585448,132547,1561492,0
2017,3411926,326611,3085315,1093681,927729,165952,223673,1767961,28957,1767961,17838,1756842,253460,1503047,334,0,28957,28957,0,0,9377,0,-9377,85628,410910,284302,126608,326611,1329,-76252,-76252,613582,117865,26727,91138,6858,6072,786,8421,0,8421,11646,9093,2553,4032,464760,55014,0,409746,689835,463494,132446,127331,5115,331048,331429,-381,109589,106903,2686,116753,7760,4604,104389,-76253,-1,-25218,25217,699336,649588,433103,216485,37444,-1452,38896,5908,6397,114,708826,72,706629,2125,-9376,0,18887958,13350480,11975129,6778265,5196864,839201,55038,784163,276603,259548,5537477,1306091,305969,1000122,75053,69019,6034,47959,0,47959,112097,99785,12312,120253,3876024,802942,0,3073082,18887958,18887958,5576444,1629254,1390361,238892,3947190,3944823,2367,10915274,10890878,24396,2396240,593208,137151,1665881,0
2018,3614216,342558,3271658,1150909,975463,175446,244586,1876163,33218,1876163,20102,1863047,258744,1603227,1076,0,33218,33218,0,0,3027,0,-3027,72539,411677,279010,132668,342558,3419,-69512,-69512,309108,59269,11481,47788,1934,2197,-263,1045,0,1045,4941,4768,173,-1311,243230,49638,0,193592,378621,297652,86278,77506,8772,211374,206714,4660,-36840,-41813,4973,117809,5741,18450,93618,-69513,-0,-13368,13368,470532,419258,387081,32177,50252,4009,46243,2867,-1844,-1178,472381,71,454342,17968,-3027,0,19725592,13880185,12456975,7179522,5277453,868464,63441,805023,293623,261123,5845407,1365360,317450,1047910,75809,70188,5621,49004,0,49004,117039,104553,12486,118941,4119254,852580,0,3266674,19725592,19725592,5872939,1715533,1467868,247665,4157406,4150308,7098,11338604,11258979,79625,2514049,598949,155601,1759499,0
2019,3765191,357925,3407266,1209931,1027786,182145,253528,1943807,28980,1943807,20583,1935410,274158,1659765,1487,0,28980,28980,0,0,0,0,0,99245,456914,319133,137781,357925,257,-99245,-99245,123736,49373,13839,35534,-3181,-1110,-2071,1714,0,1714,3807,3546,261,9946,62077,-89358,0,151435,222982,113620,25963,16648,9315,87657,87618,39,55584,51666,3918,53779,-56991,6785,103985,-99246,-1,-0,-1,762189,725871,451945,273926,36430,-2484,38914,3548,-3659,3231,765420,-152,742660,22912,1,0,20713994,14741621,13269348,7660099,5609249,895383,64708,830675,319169,257721,5972373,1414733,331289,1083444,75859,72067,3792,50718,0,50718,120845,108099,12746,128887,4181331,763222,0,3418109,20713994,20713994,5985437,1741495,1484515,256980,4243942,4236957,6985,12160730,12052651,108079,2567827,541957,162386,1863484,0
2020,3572910,372085,3200825,1184855,1006926,177929,37487,1978484,29464,1978484,18799,1967819,291195,1675634,991,0,29464,29464,0,0,0,0,0,64078,448149,296833,151316,372085,-11987,-64078,-64078,1034183,262764,60024,202740,-1612,-2270,658,2632,0,2632,20471,20245,226,6930,742998,176606,145837,420555,1098262,524961,198148,101625,96523,326813,328014,-1201,20082,18087,1995,553219,131400,7579,414240,-64079,3,-0,3,1035368,971947,748647,223300,55359,7432,47927,13657,-5595,3545,1038916,-97,1027846,11167,-3,0,22851171,15841068,14331700,8446039,5885661,921569,75983,845586,347659,240140,7010103,1677497,391313,1286184,77792,73222,4570,53350,0,53350,141317,128344,12973,135818,4924329,939828,145837,3838664,22851171,22851171,6509734,1939642,1586139,353503,4570092,4564405,5687,13220392,13103155,117237,3121045,673356,169965,2277724,0
2021,4028955,398405,3630550,1313196,1124087,189109,106049,2211305,48195,2211305,14705,2177814,287989,1887319,2507,0,48195,48195,0,0,5168,0,-5168,92550,489996,307928,182068,398405,959,-87382,-87382,703060,173579,78211,95368,2344,2195,149,-1756,0,-1756,3625,2358,1267,17107,508161,80066,-102318,530413,790443,366814,26702,-30296,56998,340112,340331,-219,-128720,-129529,809,552349,68344,32305,451700,-87383,-0,-11936,11936,2537299,2377296,1571841,805455,107099,6164,100935,8871,44033,-4187,2538280,-145,2513396,25029,-5168,0,26167957,18458982,16798101,10063316,6734785,1000378,87905,912473,375371,285132,7708975,1851076,469524,1381552,75949,71280,4669,51594,0,51594,144942,130702,14240,152924,5432490,1019894,43519,4369077,26167957,26167957,6894695,1984936,1555842,429094,4909758,4904435,5323,15599868,15455265,144603,3673394,741700,202270,2729424,0
2022,4467935,445247,4022688,1437655,1233530,204125,276497,2308536,73180,2308536,19504,2254861,300372,1952054,2435,0,73180,73180,0,0,10109,0,-10109,101638,533160,343812,189348,445247,13726,-91529,-91529,351263,113868,42526,71342,12802,11904,898,3817,0,3817,7197,6299,898,9493,204086,50774,-41605,194917,442791,433297,121011,77805,43206,312286,312061,225,-94838,-95292,454,104332,42937,11456,49939,-91528,0,-13270,13270,752777,626290,463259,163031,102130,-1622,103752,14269,10088,-11839,751047,0,785077,-34030,-10109,0,27348525,19300125,17506878,10558938,6947940,1071242,91257,979985,413060,308945,8048400,1964944,512050,1452894,76912,71917,4995,55411,0,55411,152140,137001,15139,162417,5636576,1070668,1914,4563994,27348525,27348525,7327755,2105948,1633647,472302,5221806,5216258,5548,16243045,16129770,113275,3777725,784636,213726,2779363,0
2023,4408661,469830,3938832,1507239,ND,ND,284587,2147006,69256,2147006,ND,ND,ND,ND,ND,ND,69256,69256,0,0,0,0,0,86285,548161,373306,174855,469830,7953,-86285,-86285,135458,50747,7080,43667,-235,-143,-92,962,0,962,5501,2336,3165,8223,70260,17332,-1914,54842,234608,167882,-14897,-10401,-4496,182779,181978,801,-10967,-24782,13815,77693,4243,5972,67478,-99150,0,-0,0,-598442,-558323,-323132,-235192,-77789,-8193,-69596,35370,2300,1741,-596701,-216,-631087,34602,-0,0,26986433,18800834,17036880,10241375,6795505,966723,86696,880027,478032,319199,8185599,2015691,519130,1496561,78418,73353,5065,56373,0,56373,157641,139337,18304,170640,5706836,1088000,0,4618836,26986433,26986433,7495138,2091052,1623246,467806,5404086,5397953,6133,15635876,15475700,160176,3855418,788879,219698,2846841,0
