1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,904,1039,431,431,609,14114,22,0,19,0,-36,36,34,0,-46,5382,140,3146,-35,495,1636,3543,-307,275,2708,867,0,1324,37,0,0,0,40,3759,13505,13054,501,1685,1955,0,37,904,286,193,425,229,55,174,2,193,637,5764,0,249,898,451,429,22,-136
1957:Q4,899,1195,424,424,772,13766,140,0,20,0,448,205,33,0,-190,3705,144,10,783,807,1961,3698,563,391,2431,313,1,1347,47,0,0,0,41,4271,12994,12615,-342,2396,3264,0,-665,543,163,216,164,500,330,170,-15,187,671,5947,10,225,-106,379,345,34,-297
1958:Q1,867,750,417,417,333,7864,-397,0,36,0,-1705,-111,37,0,511,5203,662,1016,835,1115,1575,-185,-1982,501,2104,-808,3,641,74,0,0,0,39,3718,7531,7469,-2526,-3717,5684,0,567,954,792,-118,280,-567,19,-586,1,325,714,5427,0,127,480,62,0,62,117
1958:Q2,876,1014,401,401,612,18976,-1046,0,21,0,371,102,37,0,-131,8720,168,5363,-516,1704,2001,5306,1372,847,2672,415,0,870,40,0,0,0,37,4649,18364,18511,60,4458,5453,0,1,-557,-354,-101,-102,1624,1304,320,0,467,764,5437,0,-320,1124,-147,-161,14,-137
1958:Q3,886,1036,396,396,639,7469,-527,0,16,0,18,17,38,0,-47,2968,-26,1188,314,749,743,2035,-1646,0,3568,113,0,437,36,0,0,0,36,2442,6830,7057,913,-2286,2468,0,330,-415,-304,221,-332,-1627,-1798,171,0,339,778,5467,10,146,934,-227,-245,18,-150
1958:Q4,945,1059,411,411,648,18594,-283,0,15,0,568,233,38,0,-822,5242,-481,3572,362,491,1298,8740,3372,1119,3847,402,2,964,43,0,0,0,36,3818,17946,18172,277,7390,3257,0,-896,-279,-383,92,12,1600,1231,369,9,277,761,5391,0,110,275,-226,-240,14,-114
1959:Q1,1077,522,434,434,88,6223,-91,0,12,0,-493,-127,51,0,841,-2354,189,-3531,-311,725,574,3445,-1002,706,3197,544,1,989,94,0,0,0,40,3815,6135,5969,-240,-5703,2149,0,1088,680,397,121,162,-331,-261,-70,0,428,769,5841,10,-154,1432,166,88,78,555
1959:Q2,1104,1238,449,449,790,16487,-737,0,33,0,584,77,52,0,-71,-518,-61,-2038,-234,597,1218,11469,3554,1673,4049,2193,0,1219,50,0,0,0,44,4285,15697,15746,827,1434,3420,0,255,1320,244,875,201,998,745,253,2,301,771,6185,0,-310,543,-49,-86,37,-135
1959:Q3,1166,669,466,466,204,14249,-353,0,30,0,-906,-10,56,0,-298,1269,315,-631,124,512,949,8797,1909,320,4430,2138,1,1483,37,0,0,0,48,4095,14045,13767,-376,2466,1267,0,-553,983,-151,813,321,852,688,164,2,355,833,6438,10,136,1354,278,252,26,497
1959:Q4,1188,868,466,466,402,15594,76,0,2,0,949,230,59,0,-503,767,-577,-621,-2,448,1519,10363,3950,1179,4006,1228,2,1486,45,0,0,0,51,2067,15192,15161,304,3828,2219,0,-689,870,165,399,306,1282,2228,-946,-3,335,939,6259,0,17,-200,31,-14,45,321
