1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q1,239301,-9693,53343,21592,8482,5291,18264,-285,126734,189770,252024,211305,191541,11869,4314,3581,14834,0,0,14224,0,609,0,-25885,0,-25886,1,-3030,5565990
1989:Q2,27323,-1762,36444,8984,9082,5623,12632,124,22531,60736,32836,-14053,-22850,7520,3055,-1778,20205,0,0,19078,0,1127,0,-26684,0,-26683,-1,-3752,5593313
1989:Q3,29735,-28123,30212,10390,10270,5983,3662,-93,3389,61724,63041,-12367,-29199,14864,3512,-1544,26373,0,0,25612,0,762,-0,-49035,0,-49034,-0,-5183,5623048
1989:Q4,28693,-4255,34534,11450,8856,6300,8016,-89,13303,52092,38566,-23818,-40934,14454,1961,700,72783,0,98,3475,69186,24,0,10398,0,10398,1,-5618,5651741
1990:Q1,-59700,-15504,33748,14147,9533,6514,3791,-237,16011,65263,-41504,-10729,-28213,13654,3210,621,-11320,0,0,-10956,1,-365,-1,19455,0,19454,0,-2692,5592041
1990:Q2,46200,13139,37693,15562,7668,6692,7789,-17,-4417,20137,35629,-15390,-26937,7794,4316,-562,15211,0,0,14798,1,411,1,-35808,0,-35807,-1,-2569,5638240
1990:Q3,-67309,29954,54480,27321,8898,6422,11846,-6,84698,109225,-95025,18128,-11386,16733,4064,8718,-44486,0,0,-42768,1,-1718,-1,68666,0,68666,1,-2238,5570931
1990:Q4,-58548,623,27583,12423,8266,6144,1146,-395,30113,57073,-57665,9532,-12754,22031,593,-338,-98830,0,-1165,19998,-118336,673,0,-31633,1,-31635,-1,-1506,5512384
1991:Q1,78394,-11456,24668,19164,6089,6379,-6529,-435,-6788,29336,91807,-11874,-30973,18938,6677,-6515,38882,0,0,37432,-1,1450,0,-64799,0,-64799,-0,-1957,5590778
1991:Q2,-11397,29966,16853,11510,5344,6686,-6251,-435,33658,20545,-39414,-28938,-29260,115,4296,-4090,-3416,0,0,-3395,-1,-20,-1,7060,0,7059,1,-1949,5579381
1991:Q3,-63035,3262,22943,8797,6008,6374,2196,-431,43513,63194,-64355,-106417,-107833,-884,2889,-589,14677,0,0,14031,-1,647,-0,-27385,0,-27383,-0,-1942,5516346
1991:Q4,1195,-6972,25770,7381,5716,6725,6385,-437,-18498,14244,10095,-100548,-105839,6737,-1937,491,72187,0,-226,24680,47114,619,0,-38456,-2,-38454,-0,-1928,5517541
1992:Q1,-198229,-123634,14292,5014,5544,6387,-2214,-439,128938,266863,-72015,-55516,-69167,15871,-2155,-66,-11260,0,0,-11370,0,110,0,5239,0,5240,-0,-2580,5319313
1992:Q2,-31055,30311,33189,12139,9029,6385,6078,-441,3295,6173,-58538,-60437,-66942,1477,3128,1901,3353,0,0,3689,0,-337,1,1454,0,1453,0,-2828,5288258
1992:Q3,-59365,-10271,30442,9866,10229,6228,4554,-435,2564,43276,-42208,-67357,-77184,5420,3020,1387,8331,1,0,7818,0,513,-1,-16818,0,-16818,1,-6886,5228893
