1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,59583,19220,17952,8227,67,8586,2024,3392,115,62861,38974,11901,3679,7645,662,-3278,7791,-86,-952,5550,424,14584,1,-14161,3073,635,-849,441,0,-703,74,0,-291,367,-2,0,761,380,0,381,0,41,0,456,2089,128,17234,0,0,86,11344,8609,1261,1474,493,-18,511,12,763,4536,5126,3357,17518
1968:Q1,60514,19320,18149,8424,71,8977,2164,3294,116,65484,40484,12882,3693,7836,589,-4970,7975,-208,-897,4110,4937,13425,-156,-8332,5348,387,-1096,551,0,613,613,0,-422,1075,-40,0,1597,442,0,1155,0,40,0,147,2607,-111,13680,0,0,224,7057,5215,357,1485,207,-18,225,2,164,6026,-827,5753,14085
1968:Q2,65656,20418,18930,9591,76,10192,2221,4118,111,68427,41834,13501,4632,8115,345,-2771,8109,510,-980,5808,9727,15267,142,-5681,-268,392,899,133,0,-669,1085,0,-17,1043,59,0,1226,397,0,829,0,54,0,465,-3947,95,5413,0,0,60,-1750,-4820,921,2149,1578,-18,1596,-8,311,5222,-3919,-405,5276
1968:Q3,67242,23253,19326,9076,83,9768,2315,3408,14,69261,40728,13605,3920,8330,2678,-2019,8244,-194,-1018,7437,6686,15835,127,-9276,7046,335,1295,939,0,1169,1117,0,211,901,5,0,1435,417,0,1018,0,-146,0,424,543,-65,16322,0,0,46,9710,6695,1019,1996,67,-14,81,-8,523,5984,751,6787,16063
1968:Q4,69776,23996,20002,9810,89,9903,2312,3453,212,70316,43234,13875,4139,8506,562,-540,8427,-111,-1081,9079,2623,14720,387,-12484,-66,785,-4027,1696,0,-2642,955,0,412,521,22,0,1052,380,0,672,0,-120,0,486,1816,-67,12418,0,0,86,5366,1690,863,2813,375,-16,391,0,857,5734,6456,-615,11869
1969:Q1,70532,25055,19939,9041,95,10389,2362,3605,46,71059,43359,14662,3892,8579,567,-527,8600,-157,-1120,9349,9016,14235,283,-5502,5070,10,500,-852,0,1113,1280,0,506,750,24,0,1182,294,0,888,0,22,0,509,1579,-273,10572,0,0,46,3756,-127,212,3671,214,-19,233,11,153,6392,333,4403,9905
1969:Q2,75566,26312,20896,9736,98,11736,2490,4272,26,74250,45193,14836,4969,8907,345,1316,8791,378,-1181,10910,14952,15307,292,-647,-2379,423,1577,-1584,0,1460,353,0,524,-228,57,0,1091,334,0,757,0,55,0,684,-6514,76,-1732,0,0,58,-8925,-11956,-509,3540,1138,-25,1163,20,474,5503,-4042,-3035,-2388
1969:Q3,74192,26371,21182,8771,101,11151,2603,4085,-71,75863,44320,14807,4435,9287,3014,-1671,8938,-37,-1118,8423,6253,15868,263,-9878,4263,462,-40,-3170,0,3558,679,0,795,-119,3,0,1226,328,0,898,0,50,0,633,819,46,14141,0,0,32,7288,6241,-1664,2711,311,-12,323,22,350,6138,2169,3399,13277
1969:Q4,76055,26769,21838,9107,100,11064,2721,4294,162,77198,46565,15253,4910,9862,608,-1143,9134,-259,-1127,9377,2873,14135,248,-11510,2941,699,1395,-441,0,-2259,888,0,1256,-349,-19,0,1394,471,0,923,0,57,0,332,924,-48,14451,0,0,136,6010,4889,-343,1464,704,-25,729,13,969,6619,6504,1236,12746
1970:Q1,73949,26009,21894,7239,96,11225,2856,4736,-106,79654,47465,16310,5126,10445,308,-5706,9338,-56,-1166,4855,5071,13669,215,-8814,4372,-200,825,1683,0,-589,491,0,956,-437,-28,0,1329,513,0,816,0,66,0,-185,973,-21,13186,867,400,63,4429,2741,-452,2140,-375,-17,-358,69,357,7376,-216,3485,12299
1970:Q2,77928,26336,22758,8127,95,12292,2959,5681,-320,84893,48712,18643,6231,10912,395,-6966,9546,533,-1163,3211,6538,15059,178,-8698,-3128,-606,2362,2236,0,-2010,64,0,403,-425,86,0,812,239,0,573,0,50,0,-1,-6074,39,5570,0,0,24,-2837,-5691,-486,3340,1621,-24,1645,12,-1,6751,-3328,-3491,5207
1970:Q3,76051,25597,23073,7790,92,11602,3010,5289,-402,86036,46900,18209,5879,11396,3652,-9985,9742,-185,-1141,1083,286,15972,253,-15940,3025,-548,-1707,2906,0,1073,-975,0,-498,-479,2,0,952,214,0,738,0,48,0,5,1344,-73,18965,0,0,71,9905,7420,-99,2584,357,-26,383,11,441,8180,797,3327,19267
1970:Q4,76262,25128,23689,7706,91,11474,3032,5349,-207,86979,49706,19296,5924,11631,422,-10717,9953,-239,-1164,639,-5098,15096,183,-20377,1686,-401,1084,3432,0,-2489,-1928,0,-928,-1088,88,0,716,253,0,463,0,69,0,26,1146,31,22063,0,0,64,12461,8463,79,3919,943,-8,951,14,352,8229,5737,2476,22853
1971:Q1,76801,24183,24255,7909,89,12049,3062,5703,-448,90591,51318,20572,6418,11826,457,-13790,10136,-184,-1195,-2275,-1591,13403,-211,-14783,1863,59,-2933,2971,0,-403,-2094,0,-930,-1143,-21,0,1435,217,0,1218,0,35,0,-365,3249,-91,16646,717,0,98,5175,1637,-707,4245,1228,-14,1242,17,580,8831,-684,2721,17504
1971:Q2,82235,24949,24943,9149,91,13548,3093,6791,-328,95294,53052,22151,7546,11962,583,-13059,10279,488,-1226,-2042,687,14823,449,-14585,1755,-493,4559,79,0,1819,-891,0,-120,-739,-32,0,1030,116,0,914,0,49,0,-722,-3645,-30,16340,0,0,143,5901,1916,-235,4220,1779,-21,1800,18,203,8296,-2729,1975,16560
1971:Q3,81209,25734,25368,8494,91,12916,3121,6075,-589,94252,50871,21438,6729,12265,2949,-13043,10385,-316,-1328,-1015,-2271,15720,480,-18471,4352,-1135,481,718,0,1901,-239,0,-42,-151,-46,0,842,258,0,584,0,99,0,-13,1634,64,22823,0,0,114,12213,8745,-441,3909,1065,-18,1083,19,520,8892,1257,4191,22662
1971:Q4,84207,26840,25928,8831,96,12991,3182,6490,-151,96496,53718,22062,7461,12569,686,-12289,10492,-214,-1894,311,-5737,14564,472,-20772,5915,13,2377,3448,0,-2764,465,0,739,-121,-153,0,578,108,0,470,0,64,0,325,1443,-34,26687,0,0,135,15459,11435,333,3691,1328,-19,1347,17,-32,9780,6048,5238,26010
1972:Q1,86349,28432,25936,8598,99,13622,3135,6799,-271,101035,55909,23728,7911,12843,644,-14686,10632,-229,-1885,-1939,-614,13820,479,-14913,4612,674,-3942,1416,0,800,774,0,692,210,-128,0,1158,421,0,737,0,44,0,27,3744,-83,19525,710,0,173,7410,3209,86,4115,933,-25,958,30,343,9926,-1326,3781,18694
1972:Q2,95410,30672,26880,9872,102,15307,3163,9630,-215,105625,57700,23447,10450,13166,862,-10215,10748,644,-1447,1337,6780,15546,476,-9243,-929,-65,2007,1282,0,63,986,0,305,961,-280,0,526,358,0,168,0,69,0,213,-5998,-12,8314,0,0,153,-3436,-6805,-15,3384,2611,-18,2629,39,188,8759,-5443,-651,8592
1972:Q3,93720,31853,27199,9496,102,14971,3245,7120,-265,103150,54422,22732,8242,13511,4243,-9430,10986,-263,-1533,3352,3025,15740,322,-13037,6012,-37,-1246,408,0,2314,1467,0,566,688,213,0,1155,176,0,979,0,48,0,333,1629,-59,19049,0,0,111,7627,3754,462,3411,1099,-21,1120,42,874,9296,328,5107,18144
1972:Q4,100642,32683,27914,10662,100,15678,3372,10418,-184,109251,57466,25866,11087,13944,888,-8609,11150,-198,-1715,4455,-3405,15584,-334,-18655,8033,-22,2971,3757,0,-3266,2087,0,746,1445,-104,0,397,-261,0,658,0,110,0,62,2051,-114,26688,0,0,96,13952,10878,366,2708,1772,-22,1794,41,1331,9496,7860,7136,25791
1973:Q1,99450,30713,28469,10459,97,17067,3656,9352,-363,111073,58767,27199,9621,14644,842,-11623,11332,-274,-1766,1749,5561,15428,-888,-8980,13178,-98,83,3152,0,606,2124,0,528,1371,225,0,2446,117,0,2329,0,90,0,394,4349,32,22158,0,0,88,10502,7075,261,3166,831,-22,853,43,424,10270,-3812,12258,21238
1973:Q2,106376,32213,29080,11907,96,19694,3913,9828,-355,114932,60736,27329,10542,15248,1077,-8556,11592,633,-1483,3886,7580,16684,138,-9242,-889,-1,1221,545,0,346,2171,0,465,1711,-5,0,-352,-787,0,435,0,76,0,1094,-6021,32,8353,0,0,193,-4515,-7147,-417,3049,2979,-18,2997,47,745,8904,-3694,-1107,8135
1973:Q3,106890,34060,29684,11058,92,19437,4151,8964,-556,113044,57770,27024,9577,15811,2862,-6154,11955,-351,-1531,7683,6513,17068,-767,-9788,3810,5,-6812,1863,0,1706,1956,0,263,1784,-91,0,2433,1406,0,1027,0,103,0,570,1997,-11,13598,0,0,64,1946,-1955,442,3459,498,-16,514,46,937,10107,1169,3222,13010
1973:Q4,109563,35421,29987,11523,93,19840,4403,8980,-685,115951,61852,28234,9140,16276,449,-6389,12315,-179,-1627,7732,4014,16460,35,-12481,11137,29,3539,1497,0,-1209,1778,0,-87,1765,100,0,1031,375,0,656,0,104,0,1043,2803,522,23618,0,0,77,10202,5949,144,4109,705,-15,720,39,1455,11140,3718,11179,23660
1974:Q1,108708,35021,30042,10021,90,20250,4718,9164,-598,120993,63872,30317,9314,16642,848,-12286,12627,-266,-1622,2229,1605,16559,-486,-14469,4761,234,-3611,1727,0,2251,1656,0,37,1637,-18,0,-1111,379,0,-1490,0,97,0,485,2912,121,19230,0,0,100,6509,2232,357,3920,419,-20,439,33,470,11699,625,4684,19153
1974:Q2,117623,37275,31110,12126,91,22523,5003,10025,-529,127199,66188,31844,11186,17122,859,-9576,13099,737,-1535,4321,6930,19409,-3020,-9459,610,312,3590,1606,0,-2748,1344,0,-293,1233,404,0,1995,1339,0,656,0,142,0,954,-6019,-565,10069,0,0,97,-2758,-6729,-29,4000,4397,-22,4419,27,945,7361,-2610,692,10151
1974:Q3,120249,39361,31832,12902,92,21608,5218,9820,-584,126067,64697,32858,10164,17691,657,-5819,13765,-484,-1479,9909,8324,20522,528,-12727,7607,920,-3680,-196,0,3331,1114,0,449,578,87,0,2192,795,0,1397,0,82,0,968,2988,-112,20334,0,0,103,8760,5371,-208,3597,-1318,-31,-1287,26,1381,11382,1586,6679,19406
1974:Q4,118568,39392,31919,11195,94,21369,5316,10018,-735,134559,70448,34859,10239,18070,943,-15992,14244,-286,-1403,-59,-5162,19675,-820,-24017,1204,-94,-921,2603,0,-4590,-52,0,265,-368,51,0,5745,2655,0,3090,0,216,0,-3447,1782,-39,25221,0,0,145,11105,10114,-250,1241,948,-33,981,29,-30,13024,5103,469,24486
1975:Q1,114240,37310,31965,8501,100,21160,5390,10749,-934,142690,72453,39061,11351,18496,1329,-28450,14608,830,-1411,-13261,-11014,17799,297,-29110,4762,300,-534,-1249,0,2212,727,0,468,283,-24,0,2828,817,0,2011,0,152,0,-124,494,-44,33872,0,0,167,17490,16348,-293,1435,3352,-4,3356,1144,58,11661,-2247,4222,33332
1975:Q2,115103,30219,33448,10879,108,23316,5453,12748,-1068,150879,75219,41667,13891,19007,1095,-35776,14786,908,-1542,-20356,-13648,20061,339,-34048,434,21,3373,-604,0,-953,932,0,-257,1283,-94,0,4560,2569,0,1991,0,119,0,713,-7719,-8,34482,0,100,211,19414,16527,-49,2936,5369,-42,5411,379,1519,7490,-6708,795,34843
1975:Q3,126276,39567,34537,12967,122,22489,5467,12169,-1042,146003,72064,41554,11858,19602,925,-19727,15045,-607,-1605,-2470,-2942,23677,423,-27042,11962,241,155,-843,0,1946,2076,0,449,896,731,0,3981,2306,0,1675,0,200,0,1066,3188,-47,39004,0,0,199,25979,24286,-9,1702,-1766,-17,-1749,39,1831,12722,472,10667,37709
1975:Q4,129235,40512,35342,13177,141,22932,5511,12645,-1025,153932,76988,42839,12661,20299,1145,-24697,15281,292,-1592,-8116,-13080,22866,452,-36398,7704,123,221,817,0,-4026,2070,0,600,-300,1770,0,3660,2424,0,1236,0,183,0,924,3697,36,44102,0,0,260,29590,24708,-2,4884,1069,-27,1096,719,1169,11295,4964,5346,41744
1976:Q1,130867,40137,35220,13300,164,23959,5575,13156,-644,158243,77738,45590,12642,20923,1350,-27376,15589,-396,-1628,-9763,-10370,20087,250,-30708,13750,536,-3858,1381,0,565,4172,0,2827,183,1162,0,4380,631,0,3749,0,155,0,-132,6540,11,44458,0,0,148,25557,22104,56,3397,2662,-22,2684,-99,2782,13408,607,7502,38210
1976:Q2,139358,42387,36381,15478,180,26642,5592,13339,-641,159462,79933,44021,13003,21398,1107,-20104,15757,1082,-1703,-3726,-3332,22586,-305,-25614,5871,1196,8905,-2798,0,1515,1676,0,467,340,869,0,-100,-668,0,568,0,364,0,976,-5816,-47,31485,0,0,339,16052,7249,42,8761,6997,-22,7019,334,2008,5755,-393,4842,30456
1976:Q3,140972,44481,37020,15045,186,25622,5682,13532,-595,157334,75433,44640,14032,21902,1327,-16361,16033,-583,-1736,1991,3544,24475,-656,-20275,16507,568,1488,838,0,572,2823,0,1459,1016,348,0,5754,1180,0,4574,0,344,0,612,3474,34,36782,0,300,-101,19457,16266,285,2906,1423,-32,1455,53,2866,12784,-1553,12463,32738
1976:Q4,143565,45666,37767,14520,184,25749,5673,14512,-505,165063,81404,45883,13934,22501,1341,-21498,16336,117,-1920,-3359,-4678,22498,70,-27245,8794,125,-3641,2837,0,-2447,3852,0,3245,614,-7,0,3615,527,0,3088,0,238,0,724,3533,-42,36039,0,400,103,14908,13941,-404,1371,5201,-15,5216,311,1428,13688,1319,3249,30494
1977:Q1,144068,45799,38485,13753,177,26593,5906,14014,-659,168602,82438,48251,13507,22876,1530,-24534,16703,-517,-3500,-3814,-4452,20192,428,-25071,11051,399,-4497,2547,0,521,4355,0,1021,3591,-257,0,3931,372,0,3559,0,185,0,154,3520,-64,36122,0,0,-11,16906,14566,-154,2494,2432,-33,2465,52,2340,14403,638,7581,32652
1977:Q2,156736,48726,39540,18197,174,29705,6093,15073,-772,172476,85683,47250,14668,23476,1399,-15740,17046,882,-1898,2321,8651,23810,151,-15310,6695,105,8640,-808,0,1354,4529,0,3792,880,-143,0,2893,981,0,1912,0,227,0,408,-10681,29,22005,0,0,117,5079,-4352,-78,9509,2797,-30,2827,167,1965,11880,-6329,2726,18036
1977:Q3,159490,50647,40595,18218,181,28538,6262,15898,-849,173286,84473,47604,15338,24151,1720,-13796,17314,-502,-1850,5870,8353,25523,-480,-16690,22270,-93,1749,2320,0,715,5729,0,3741,1572,416,0,7199,1570,0,5629,0,243,0,887,3634,-113,38960,0,0,99,20248,16419,-498,4327,10878,-25,10903,99,2047,5589,-2483,14537,31227
1977:Q4,161863,52708,41044,16939,195,29017,6407,16232,-679,180725,88575,48956,15494,25249,2451,-18863,17642,-51,-1804,634,-5317,23638,39,-28994,9366,-76,-5252,3058,0,-2685,3984,0,3118,303,563,0,5847,1814,0,4033,0,215,0,133,4181,-39,38360,0,50,45,19722,16421,-43,3344,4711,-25,4736,353,1045,12434,5951,2632,31626
1978:Q1,161654,51720,41411,15577,217,29520,6889,17176,-856,186784,90487,51223,16546,26535,1993,-25130,18058,-346,-1735,-4991,-4868,20947,439,-26254,17999,-250,-7853,3966,0,588,7161,0,4812,1710,639,0,7958,1666,0,6292,0,292,0,1595,4501,40,44253,0,0,136,22943,15577,-323,7689,4244,-24,4268,53,2181,14696,-123,9664,35918
1978:Q2,178622,55812,43393,20548,235,33974,7371,18035,-746,192217,94501,50745,17382,27558,2031,-13595,18626,1202,-1711,5540,14704,26212,-359,-11149,17720,-284,12439,-201,0,1382,6636,0,2224,4625,-213,0,6128,1441,0,4687,0,142,0,1332,-9891,37,28869,0,0,97,13512,1071,-97,12538,1142,-27,1169,306,1786,12026,-9164,14949,26098
1978:Q3,180730,59770,42597,19744,247,33489,7856,17596,-569,188942,89839,51599,16827,28659,2018,-8212,18951,-633,-1733,13105,16063,29689,719,-14345,26941,-136,3940,2721,0,479,5825,0,4462,1541,-178,0,9582,2512,0,7070,0,192,0,865,3420,53,41286,0,50,129,21196,11732,-552,10016,9817,-26,9843,67,2312,7715,-2958,20058,34403
1978:Q4,188601,62347,43498,20631,255,35141,8493,18443,-207,198851,95943,52602,17719,29693,2894,-10250,19446,210,-1759,10745,2392,28719,344,-26671,16622,-2464,-4003,1662,0,1679,4393,0,409,4914,-930,0,6654,1701,0,4953,0,241,0,2244,6071,145,43293,0,0,112,14255,3869,-363,10749,11839,-20,11859,264,2817,14006,8353,14532,41203
1979:Q1,186439,62171,43915,18517,257,35373,9202,17492,-487,204346,99016,55762,16622,30774,2173,-17908,19890,-561,-1788,4331,4816,24263,-155,-19293,16567,2399,-11912,2948,0,1625,8479,0,5760,3500,-781,0,5264,3058,0,2206,0,163,0,688,6806,107,35860,1139,0,276,15193,9593,-628,6228,-623,-26,-597,-18,2059,17834,-484,11503,30796
1979:Q2,197421,65108,44485,20800,270,39700,9760,17968,-669,209228,102517,55839,17101,31605,2167,-11807,20471,1087,-1744,9321,19579,29172,430,-10023,14216,-113,12198,-3246,0,4217,3181,0,-252,3509,-76,0,8130,3069,0,5061,0,146,0,1747,-12065,21,24239,0,500,323,6926,-151,-447,7524,-2251,-41,-2210,263,2314,16164,-10258,14304,24327
1979:Q3,202128,69528,45370,20053,294,38996,10465,18274,-851,207826,97241,58471,17615,32442,2058,-5698,21129,-547,-1772,17750,18536,34053,-178,-15340,22937,-1269,5486,374,0,2528,4446,0,683,3707,56,0,6441,3270,0,3171,0,133,0,1463,3333,2,38277,0,0,280,18784,11169,-76,7691,8749,-25,8774,2,2656,7806,-786,22223,37563
1979:Q4,207334,72107,46331,19347,327,39609,11202,19103,-691,220504,105933,60312,18488,33639,2133,-13171,21660,243,-1886,10132,4720,32609,-949,-26940,11665,393,-6758,-1026,0,1253,4796,0,-4701,9146,351,0,6196,3663,0,2533,0,110,0,2394,4405,-98,38605,0,0,231,22198,17354,-132,4976,1430,-26,1456,271,503,13972,5412,15829,42769
1980:Q1,206967,70071,46929,19417,370,39346,12197,19536,-898,231521,109311,65272,19090,35436,2412,-24554,22270,-649,-1939,305,3964,29723,-128,-25631,15041,2228,-9157,1816,0,2232,-109,0,-2731,2374,248,0,8144,4522,0,3622,0,216,0,1940,7874,-143,40672,1152,1168,216,28275,24515,-64,3824,-8977,-21,-8956,-32,2309,16561,-3659,18172,43803
1980:Q2,213257,72903,49411,16308,400,42779,12895,19667,-1105,238180,114984,65353,18630,36964,2249,-24923,22984,886,-2076,-749,6832,33919,729,-27816,-491,-255,7579,-3835,0,3487,-349,0,728,-1395,318,0,8799,4601,0,4198,0,171,0,500,-16484,-104,27325,0,50,140,19374,13212,-189,6351,-5371,-32,-5339,244,2102,10786,-7581,-1322,26494
1980:Q3,219115,76197,51373,18038,414,41497,13211,19697,-1311,239455,109311,71695,18823,37461,2165,-20340,23676,-744,-2240,6320,9726,36782,76,-27132,25662,844,7013,-1097,0,2753,4696,0,5510,-869,55,0,7987,4014,0,3973,0,287,0,1840,1374,-35,52794,0,250,76,35004,28548,-112,6568,9220,-29,9249,18,2049,6177,-3406,19738,46870
1980:Q4,230245,80342,52617,19316,413,43581,14033,21110,-1167,255111,120045,72720,20477,38895,2974,-24866,24524,-22,-2119,1799,-1889,35524,-2567,-34846,12013,2144,-8541,1165,0,-3256,4968,0,5115,254,-401,0,7705,4151,0,3554,0,121,0,2252,5481,-26,46859,0,-750,132,31723,27300,-128,4551,-755,-22,-733,335,1697,14477,3688,6631,41477
1981:Q1,237006,81302,57258,17442,396,45366,15058,21620,-1435,264724,122742,76227,20251,42611,2893,-27717,25214,-675,-2084,256,-3102,32275,613,-35990,27491,3231,-433,1979,0,138,5398,0,4689,843,-134,0,9476,3572,0,5904,0,195,0,1907,5669,-69,63481,1093,300,110,41385,36620,-54,4819,-4978,-30,-4948,-32,3014,22589,3358,23069,59059
1981:Q2,247447,85089,59160,16907,384,50883,15833,20485,-1293,269694,128271,75755,19162,43848,2658,-22247,25997,970,-2212,4992,18913,36580,-769,-16898,-2914,853,-1493,-2914,0,-834,8076,0,6174,2064,-162,0,9309,3777,0,5532,0,323,0,1297,-17757,226,13984,0,250,99,4893,-43,-159,5095,-179,-27,-152,334,1580,7007,-13921,-9403,7495
1981:Q3,250907,88890,59348,17453,373,50070,16747,19330,-1304,268550,122633,79395,18148,45783,2591,-17643,26677,-872,-2301,12207,10562,39836,-2703,-26571,21461,435,5487,574,0,1014,7222,0,3384,3625,213,0,6564,2487,0,4077,0,316,0,690,-872,31,48032,0,250,108,31202,21868,-62,9396,7372,-28,7400,-24,1291,7833,1645,17965,44536
1981:Q4,253177,90499,59879,15317,364,50551,17588,19664,-685,283809,133397,80719,18511,47851,3331,-30632,27411,-296,-2341,-584,-18579,38649,-423,-56805,4557,114,-4639,2587,0,-3654,4662,0,1616,2832,214,0,5417,2785,0,2632,0,308,0,982,-950,-270,61362,0,0,128,44601,37595,-66,7072,-1202,-24,-1178,360,976,16499,17994,2602,59407
1982:Q1,243890,86137,59055,10318,334,50423,18314,20048,-739,289814,134868,83299,18714,49373,3560,-45924,28140,-653,-2773,-14358,-16435,34002,-326,-50112,12660,1019,-1095,4743,0,-1765,5327,0,8190,-3322,459,0,4498,1707,0,2791,0,213,0,718,-1044,46,62772,0,250,104,40070,32858,-598,7810,-2507,-26,-2481,35,2671,22149,2077,3587,53699
1982:Q2,253793,87759,59856,12440,332,55123,18833,20368,-917,296371,139000,84634,18537,50849,3351,-42578,28967,1184,-2495,-12300,-2809,39211,298,-42319,3495,1093,-497,-1200,0,1554,7085,0,8595,-1513,3,0,6649,2054,0,4595,0,285,0,1753,-13436,209,45814,0,250,87,23079,11111,-21,11989,526,-32,558,364,3512,17996,-9491,-5861,36458
1982:Q3,253866,90908,60366,13014,330,52475,19068,18958,-1252,295072,134662,87408,17298,52578,3126,-41206,29509,-688,-2433,-8576,-15705,42414,427,-58546,32234,836,15844,2187,0,1251,2767,0,-2909,5672,4,0,6820,1354,0,5466,0,257,0,288,1860,125,90780,0,400,71,70406,59899,-42,10549,9699,-30,9729,10,3169,7025,7129,34892,93438
1982:Q4,255633,89940,61656,12104,376,52066,19117,20884,-510,316039,145998,91843,19853,53365,4980,-60406,29956,-412,-2090,-27948,-39909,41316,-1877,-79349,8405,1488,-9021,749,0,1385,1417,0,1381,258,-222,0,6175,2488,0,3687,0,252,0,3381,2607,-28,87754,0,400,95,70076,59763,-92,10405,3742,-31,3773,437,2082,10922,11961,5008,84357
1983:Q1,250189,84664,62224,10521,288,52877,19390,20846,-620,318309,146584,94487,18599,54341,4299,-68121,30003,-333,-2028,-35757,-29959,37543,555,-68057,15896,1504,-5692,853,0,2431,5143,0,4448,402,168,125,4297,1178,0,3119,0,415,0,605,6314,26,83953,0,0,112,63854,56120,36,7698,-3004,-15,-2989,28,1961,21002,-5798,9578,77635
1983:Q2,267279,86872,65354,15623,311,58684,19679,21239,-482,325577,151356,94686,19082,55865,4589,-58299,30765,992,-2072,-26454,-19514,41863,-3110,-58267,27982,281,14585,-3824,0,4905,2406,0,2103,475,-297,125,11652,2659,0,8993,0,225,0,1539,-4108,322,86249,0,0,133,57332,41012,-43,16363,8490,-32,8522,405,3676,16213,-6940,19889,78156
1983:Q3,272034,89941,67053,17918,305,56944,20286,20165,-577,320002,147438,92034,18243,57992,4296,-47968,31380,-796,-2188,-13605,-16277,46926,-737,-62466,22441,-111,6506,-1347,0,7373,393,0,601,-710,252,250,6134,2254,0,3880,0,349,0,469,2612,63,84907,0,0,137,55055,43830,-24,11249,16015,-14,16029,52,3502,10146,2673,19245,81711
1983:Q4,280541,91402,68651,18950,307,58703,21027,21705,-204,331767,150017,92917,20947,59767,8120,-51227,31689,583,-1863,-18258,-27962,44831,567,-73359,-3127,1219,-23923,400,0,1870,5405,0,4749,-293,449,500,5826,3015,0,2811,0,380,0,2652,3307,-263,70232,0,0,86,45343,34436,-9,10916,4001,-20,4021,473,2986,17343,9703,-10152,63207
1984:Q1,283872,89848,70126,18831,331,60665,21709,22739,-377,340142,154791,95905,20335,61788,7324,-56270,32409,705,-2150,-22416,-17431,42023,-108,-59347,31623,539,4064,-1085,0,3916,5832,0,2967,1585,499,781,5326,2096,0,3230,0,324,0,2011,10296,401,90970,0,0,174,58111,47530,-37,10618,-822,-37,-785,86,4470,28951,-4984,27024,86371
1984:Q2,299459,92896,71944,21777,332,67569,22614,22614,-287,343484,160349,95735,20077,63489,3835,-44025,32987,1835,-2029,-10844,-10463,47465,-933,-56996,14609,613,2631,8,0,3419,5632,0,4181,68,289,1094,7365,3026,0,4339,0,311,0,3610,-9854,874,71605,0,0,155,45297,29128,-12,16181,5708,-24,5732,454,4541,15450,-381,7962,64958
1984:Q3,298189,96507,73246,18918,307,65012,23193,21394,-388,339292,154071,95350,19503,66405,3964,-41103,34047,5,-2022,-5038,-1460,52003,-425,-53038,39342,701,13647,3673,0,8267,5708,0,904,3709,-61,1156,7368,1775,0,5593,0,376,0,1612,-2985,976,92380,0,0,83,67242,51200,-7,16049,16488,-28,16516,53,3749,4765,-3579,36118,89156
1984:Q4,305777,98666,74457,18457,334,65559,23928,24192,184,361077,165519,97594,23640,68383,5942,-55299,35435,317,-2053,-18128,-21886,51690,70,-73646,16877,742,-9447,1340,0,4855,1517,0,1058,-844,334,969,14984,4205,0,10779,0,415,0,959,1981,-469,90523,0,0,141,62060,60135,-11,1936,14118,-11,14129,491,2221,11492,3758,5775,79421
1985:Q1,315454,106370,75110,17408,354,66915,25071,24084,143,367642,167945,101364,21857,69467,7010,-52188,35069,807,-2193,-15733,-12907,47215,760,-60882,40821,85,-6996,6063,0,5426,17718,0,6925,10315,-366,844,11817,2257,0,9560,0,335,0,2254,4470,-351,101703,0,0,277,65479,44347,-14,21146,9244,-25,9269,36,5107,21560,-2827,28487,89369
1985:Q2,319327,97151,76459,19659,462,74448,25629,25115,404,373576,173135,101229,21671,71084,6458,-54249,35648,409,-2107,-16903,2003,54868,699,-53564,40158,244,14047,-1804,0,8668,12499,0,8136,4081,-499,781,14810,2633,0,12177,0,340,0,2472,-11267,149,93722,0,0,18,56266,33165,-9,23110,19929,-20,19949,469,5050,11990,-18906,23080,76644
1985:Q3,327331,106286,78065,22074,544,70215,26257,23508,382,367760,168807,101689,21889,71839,3537,-40429,36114,-20,-2303,-1993,-11352,60734,-349,-71738,25218,-3,-7976,1614,0,6398,1121,0,-2495,1903,994,719,18569,3180,0,15389,0,336,0,1341,2680,1137,96956,0,0,80,62523,38075,-6,24454,23809,-13,23822,56,5028,5460,9360,16651,88389
1985:Q4,331092,108007,78499,19575,579,71217,26588,25685,943,385877,180753,102860,24519,73390,4356,-54785,36896,335,-2185,-16039,-27519,57059,751,-85329,106769,1580,15339,2560,0,514,52319,0,36991,14212,460,656,25737,3579,0,22158,0,290,0,1387,2103,4940,192098,0,100,12,164272,77587,2,86683,27607,-11,27618,547,4204,-4645,11480,43303,128632
