1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,321999,118379,145532,57967,6809,43796,7362,121,321999,45632,147774,44575,49409,25097,9510,49,3618,3337,151,11,119,724,619,10,4,9,0,1083,682,2712,151863
1978:Q3,331980,122179,150225,59454,7035,44799,7620,122,331980,47502,152740,46048,50078,25724,9887,51,3755,3462,158,11,124,753,644,10,4,10,0,1127,710,2823,156517
1978:Q4,343203,126343,155331,61408,7320,46193,7895,121,343203,49416,158060,47633,51439,26344,10310,53,3911,3605,164,12,130,786,673,11,4,10,0,1175,741,2946,161167
1979:Q1,354780,131576,160347,62813,7807,47252,7754,44,354780,51374,163707,49332,52466,27095,10808,55,4150,3769,234,13,134,811,704,11,4,8,0,1295,762,3008,165170
1979:Q2,367225,136343,165941,64897,8125,48733,8039,44,367225,53354,169594,51079,53855,28027,11319,57,4342,3942,246,13,141,850,738,11,4,8,0,1357,799,3153,170253
1979:Q3,380308,141302,171747,67216,8465,50417,8334,43,380308,55356,175696,52873,55483,29032,11870,59,4547,4129,257,14,147,892,775,13,6,9,0,1424,838,3307,175335
1979:Q4,393209,146329,177457,69380,8800,51943,8637,43,393209,57380,182012,54714,56559,30081,12467,63,4774,4334,271,14,155,938,813,14,6,9,0,1496,881,3473,179602
1980:Q1,406749,149921,184897,71856,9498,53887,8471,75,406749,59426,188514,56603,57880,31199,13125,60,5031,4511,349,14,157,955,837,13,5,8,0,1624,995,3597,184926
1980:Q2,420968,155296,191175,74424,9887,55763,8774,73,420968,61351,195402,58507,59552,32384,13773,64,5279,4733,366,15,165,1002,878,14,5,8,0,1705,1044,3774,191307
1980:Q3,435363,160813,197585,76891,10284,57524,9083,74,435363,63156,202649,60426,61005,33701,14428,66,5529,4958,383,16,172,1050,919,15,6,9,0,1786,1094,3954,195450
1980:Q4,450637,166441,204423,79701,10721,59580,9400,72,450637,64839,210256,62360,63138,34958,15085,70,5781,5184,400,16,181,1098,961,16,6,9,0,1867,1143,4134,199056
1981:Q1,465542,172445,210253,82781,11710,61641,9430,63,465542,66402,218196,64309,64657,36198,15783,71,6051,5453,404,16,178,1103,971,14,6,14,0,1959,1327,4267,202447
1981:Q2,480431,177914,216919,85535,12164,63637,9734,63,480431,67852,225891,66210,66669,37320,16490,75,6328,5702,424,17,185,1151,1014,15,6,15,0,2045,1386,4455,205695
1981:Q3,494517,183047,223385,88022,12588,65406,10028,63,494517,69191,233315,68068,68402,38308,17234,77,6616,5963,442,17,194,1203,1059,16,7,15,0,2138,1448,4655,209821
1981:Q4,508426,187990,229874,90499,13004,67183,10312,63,508426,70419,240469,69886,70364,39279,18007,81,6915,6234,461,18,202,1256,1108,17,7,16,0,2232,1512,4863,213474
1982:Q1,521926,191892,235546,94528,14265,69838,10425,-40,521926,71534,247324,71668,72460,40099,18838,86,7241,6557,456,18,210,1267,1114,18,8,35,0,2226,1851,4992,211038
1982:Q2,533878,195907,241040,96969,14670,71654,10645,-38,533878,72516,252869,73030,74891,40976,19595,90,7525,6813,475,18,219,1319,1160,19,8,36,0,2316,1926,5196,213546
1982:Q3,542749,198858,245160,98769,14993,72960,10816,-38,542749,73363,257074,73964,76370,41665,20311,92,7791,7053,492,19,227,1369,1203,19,8,38,0,2403,1998,5390,215944
1982:Q4,549301,200746,248195,100401,15271,74193,10937,-41,549301,74076,259940,74465,77796,42029,20995,96,8043,7280,509,19,235,1416,1245,20,8,39,0,2486,2067,5575,217476
1983:Q1,552307,197605,250155,105039,16645,76839,11555,-492,552307,74654,261441,74532,77683,42327,21669,98,8036,7266,498,18,254,1414,1245,20,8,74,0,2693,2489,5592,214738
1983:Q2,559081,199091,253177,107304,16972,78678,11654,-491,559081,75429,263503,74748,80531,42529,22340,102,8274,7480,514,19,261,1458,1286,21,8,76,0,2778,2568,5769,217707
1983:Q3,566168,200932,256588,109139,17291,80070,11778,-491,566168,76400,266100,75111,82673,42847,23036,104,8518,7698,531,19,270,1506,1326,22,9,79,0,2868,2650,5954,220728
