1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,20408,11926,6849,4219,62,8,2561,0,10716,5639,8120,3404,4099,37,6,-738,4716,0,1328,3061,0,442,0,-115,0,362,1600329,299354
1956:Q1,43101,14148,5715,4077,56,6,1577,0,10191,1758,28357,6161,5624,16,5,516,22196,0,16260,5661,0,402,0,-127,0,597,1643431,303616
1956:Q2,10297,7705,5657,4093,56,8,1501,0,7309,5261,2084,5177,4885,15,6,272,-3093,0,-8570,5738,0,23,0,-285,0,507,1653727,308551
1956:Q3,18497,13873,5437,3995,59,8,1375,0,11823,3387,4203,5969,3785,37,4,2143,-1766,0,-4988,3927,0,-430,0,-274,0,421,1672225,313182
1956:Q4,38023,12587,5589,3903,58,9,1619,0,11765,4767,25106,2915,924,17,3,1972,22191,0,20206,1771,0,426,0,-212,0,330,1710248,319894
1957:Q1,13158,15993,6067,3877,52,12,2126,0,11088,1161,-5445,4912,3947,46,2,918,-10357,0,-13386,3491,0,-171,0,-291,0,2610,1723406,323789
1957:Q2,37195,9310,5729,3793,50,12,1875,0,8648,5067,25500,5841,3969,-1,2,1872,19658,0,16287,3146,0,357,0,-131,0,2386,1760601,328145
1957:Q3,-1725,15321,5432,3745,55,12,1620,0,13032,3143,-19206,3323,3689,24,2,-391,-22530,0,-24997,3714,0,-879,0,-368,0,2161,1758876,332482
1957:Q4,16721,12690,5174,3651,50,12,1461,0,10621,3105,2096,-775,-769,48,1,-55,2871,0,1968,1707,0,-474,0,-330,0,1936,1775598,331974
1958:Q1,33385,15759,3727,3199,58,14,456,0,11167,-865,17087,-3160,-6446,-16,2,3300,20247,0,14711,5320,0,424,0,-208,0,539,1808983,333104
1958:Q2,27297,5574,3268,3116,51,15,87,0,5876,3570,21116,2432,2807,12,4,-390,18684,0,14886,3293,0,680,0,-175,0,607,1836280,336028
1958:Q3,54195,14929,3706,3364,50,15,278,0,14799,3576,38592,6681,6549,1,4,127,31911,0,29064,2171,0,842,0,-166,0,674,1890475,343668
1958:Q4,30202,11714,4441,3810,58,16,557,0,13063,5790,17746,5442,5747,0,4,-309,12304,0,10801,517,0,1174,0,-187,0,742,1920677,348811
1959:Q1,20564,14662,6105,4389,54,16,1646,0,11082,2524,6168,-2195,-4530,25,4,2307,8363,0,6767,1504,0,462,0,-370,0,-266,1941241,353222
1959:Q2,27774,7984,6495,4549,58,17,1871,0,8552,7063,20351,5882,5900,15,4,-37,14469,0,12288,1944,0,540,0,-302,0,-561,1969016,360377
1959:Q3,13075,13985,6510,4452,62,17,1979,0,13745,6270,-211,4287,5019,12,4,-747,-4498,0,-4739,1331,0,-581,0,-509,0,-699,1982091,362062
1959:Q4,33591,9735,5782,4310,59,18,1395,0,10761,6808,24589,2841,3636,4,2,-801,21748,0,20242,1131,0,736,0,-360,0,-733,2015682,366634
1960:Q1,8228,16913,5854,4539,59,17,1399,-159,11982,923,-9571,8498,8444,-10,1,63,-18069,0,-19685,3077,0,-817,0,-644,0,886,2023910,371359
1960:Q2,18030,7333,5522,4059,64,19,1544,-163,8670,6859,9763,720,599,10,0,112,9043,0,7037,1960,0,452,0,-407,0,934,2041939,375715
1960:Q3,-4649,13425,5102,3865,55,19,1331,-168,12905,4582,-19053,2535,2768,-1,-0,-232,-21588,0,-23261,3085,0,-725,0,-687,0,979,2037290,377847
1960:Q4,53364,10681,4686,3816,46,19,978,-174,11479,5483,41645,-2049,-2045,-12,-1,10,43693,0,39924,2795,0,1249,0,-274,0,1038,2090654,379358
1961:Q1,50545,10783,3988,3741,45,21,364,-183,7556,761,38875,-5713,-5350,4,2,-370,44588,0,39131,3717,0,1996,0,-256,0,887,2141199,383653
1961:Q2,22664,9831,4186,3685,61,24,604,-188,11846,6201,11918,7750,7285,-7,-1,473,4168,0,685,3889,0,275,0,-681,0,916,2163863,389432
1961:Q3,36436,13068,4637,3905,66,27,833,-193,12706,4275,22402,6589,6155,-10,-2,445,15813,0,10878,4955,0,593,0,-613,0,966,2200299,396030
1961:Q4,56014,12425,5194,4030,84,30,1248,-197,14357,7126,42922,4671,5329,-14,-3,-641,38251,0,32883,4530,0,1314,0,-475,0,667,2256313,404186
1962:Q1,13051,15348,5578,4195,71,33,1477,-198,11097,1327,-1068,4015,4196,-7,-1,-174,-5083,0,-8638,4685,0,-216,0,-913,0,-1228,2269365,409933
1962:Q2,-94948,9411,5943,4323,74,34,1713,-201,10567,7099,-103180,970,929,-5,-2,49,-104150,0,-101296,3872,0,-5008,0,-1718,0,-1179,2174416,415826
