1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2020:Q2,873583,120118,322633,15932,4818,23811,387723,-1452,788886,512128,202978,0,73625,155,84698,76388,-21516,182602,202672,116646,4330,81696,181785,24941,-639,4564,12878,129915,-1392,174275,-49956,981,6007,8053,3213,4840,-850,300,-15803,2351,16075,100089,22310,-1872,24182,163,13041,64575,-20071
2020:Q3,741630,128867,346437,19900,4971,23519,220699,-2764,771149,485539,212589,0,72864,157,-29519,77505,-21501,69487,71997,128060,4374,-60437,55691,10830,4341,345,2500,-7912,1000,15490,-12176,340,-12566,20623,3258,17365,-850,300,10210,2589,12715,116128,36087,3686,32401,441,13370,66230,-2510
2020:Q4,755034,131969,351239,20580,5162,23554,224196,-1666,803804,521421,209705,0,72520,158,-48770,78341,-20499,50070,111037,111397,4425,-4785,103337,51788,-20440,1567,2500,47014,1000,60598,-12349,134,-2369,11094,1915,9179,-850,300,4215,2769,3380,108122,27986,1711,26275,286,13620,66230,-60968
2021:Q1,779384,141053,355203,21635,5329,23447,236531,-3814,803761,513891,216500,0,72735,635,-24377,79945,-19958,75526,60314,95800,4485,-39971,64574,18983,-7386,4070,2500,1387,1000,37416,-21150,1034,-16913,7813,1915,5898,-850,300,5402,8341,24014,104545,24505,-3437,27942,164,13988,65888,15212
2021:Q2,1025428,146393,373660,23826,5509,23367,457022,-4348,841912,540981,226977,0,71801,2153,183516,82170,-20530,286215,302725,116946,4542,181237,279620,47789,-14164,3047,2500,195001,1000,202434,-2610,527,-6350,2986,1915,1071,-850,300,18128,4883,20000,98383,18298,-6295,24593,1,14207,65877,-16510
2021:Q3,887932,147454,375816,27927,5640,23388,311070,-3362,825722,526881,228939,0,69739,163,62210,84227,-22556,168993,172290,126986,4596,40707,130483,21915,-7161,2827,2500,79649,1000,82661,-8508,1188,3308,6207,1915,4292,-850,300,7729,8077,9289,89775,17188,-6011,23199,-63,14425,58225,-3297
2021:Q4,885181,159082,388617,37533,5720,23608,272423,-1802,863170,568154,228240,0,66612,164,22011,86628,-19897,128536,145807,109096,4648,32063,113986,27172,-2040,5361,2500,62409,1000,67462,-7560,1063,444,-15429,1915,-17344,-850,300,14694,8076,11793,81923,8492,2081,6411,363,14848,58220,-17271
2022:Q1,914712,163977,395780,46043,5733,24008,279167,4,862911,560210,240101,0,62435,165,51800,89207,-20610,161617,130998,95287,4697,31014,81362,5432,-7131,639,2500,57856,1001,51505,10459,1384,-6493,10462,1915,8547,-850,300,9582,2943,-371,50348,-23522,-5826,-17696,122,15445,58303,30620
2022:Q2,924122,163782,402398,35867,5662,24195,292212,6,906079,596534,248809,0,60570,166,18042,92185,-134842,245070,234423,117857,4744,111822,190036,9828,-21518,1765,2500,186526,1001,173381,12173,1498,-1527,-8127,1915,-10042,-850,300,13830,3521,2261,78214,3593,-3782,7375,90,16234,58297,10647
2022:Q3,908773,153789,407948,36550,5589,24510,281123,-736,896901,581782,253913,0,61038,168,11871,94353,-38517,144741,145244,136614,4789,3841,69511,-7573,-946,2584,2500,59063,1001,46354,11829,1678,-1799,2940,1912,1028,-850,300,3691,2303,5498,65670,-9239,1623,-10862,140,16480,58289,-502
2022:Q4,914829,151390,409909,40134,5489,24884,285487,-2464,936189,602553,269524,0,63943,169,-21361,95771,-35798,110208,138627,120488,4833,13306,66388,7008,17235,4773,2501,42666,1001,38656,1790,1862,-642,-7408,1930,-9338,-850,300,3967,2689,-6494,53082,-22272,520,-22792,369,16696,58289,-28419
2023:Q1,922352,145680,413519,43126,5364,24949,293449,-3735,920947,587015,264113,0,69649,170,1405,97437,-22260,121102,72349,107463,4875,-39988,39292,-870,-8410,4288,2501,53121,1002,45801,3430,2016,872,215,1943,-1728,-850,300,-8121,1697,-4580,79280,3945,-860,4805,270,16783,58282,48752
2023:Q2,902978,132188,411538,37686,5344,25145,295589,-4512,958929,613643,271991,0,73124,171,-55951,97916,-23915,65880,85540,138944,4918,-58321,28039,-6221,7813,862,2501,34468,1002,28249,1566,2202,1449,-5716,1973,-7689,-850,300,1452,2778,-9349,86360,11061,-949,12010,196,16821,58282,-19660
2023:Q3,890385,144160,414789,37176,5465,25014,268541,-4760,931486,592397,264286,0,74630,173,-41102,98602,-24917,82417,116308,159603,4961,-48255,20197,-1895,-4582,1044,2502,12118,1003,16041,-736,-2136,-2054,5710,2022,3688,-850,300,8673,1117,-3939,68453,-7273,2800,-10073,133,17312,58281,-33891
2023:Q4,911397,148161,419406,41420,5706,25146,276029,-4471,965844,630398,261144,0,74128,174,-54447,99275,-24421,69249,90567,143896,5005,-58334,30881,24126,8989,566,2502,-720,1003,4207,-1231,-2459,-2240,-562,2071,-2633,-850,300,-4251,380,401,89215,12943,458,12485,386,17613,58273,-21318
2024:Q1,924392,141210,420947,41231,6069,25040,294392,-4497,967805,621636,274385,0,71608,176,-43414,100208,-24773,81567,52473,124656,5050,-77233,16239,2825,-812,834,2503,6628,1004,4948,-594,1898,-628,2025,2133,-108,-850,300,-3678,1711,4752,93472,17009,951,16058,309,17886,58268,29094
