1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,31,-38,0,-38,41,41,9,9,19,6,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,2482,2387,0,2387,38,38,14,14,43,8,11,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,-56,-165,0,-165,45,45,5,5,59,9,32,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,347,500,0,500,17,17,2,2,-172,8,8,-163,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,246,290,0,290,28,28,11,11,-83,7,56,-148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,2082,1086,0,1086,22,22,11,11,63,10,14,0,39,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1969:Q2,-224,-1248,0,-1248,55,55,18,18,51,13,29,0,9,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1969:Q3,781,-201,0,-201,50,50,7,7,25,23,9,0,-7,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1969:Q4,1364,335,0,335,57,57,3,3,69,23,12,0,34,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1970:Q1,4083,3236,0,3236,66,66,12,12,-131,-225,14,0,80,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1970:Q2,-527,-1528,0,-1528,50,50,4,4,47,1,18,0,28,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1970:Q3,342,-1532,0,-1532,48,48,6,6,20,1,6,0,13,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1970:Q4,1214,-700,0,-700,69,69,11,11,34,2,24,0,8,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1971:Q1,2299,1309,0,1309,35,35,15,15,40,1,17,0,22,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1971:Q2,349,-606,0,-606,49,49,12,12,-6,1,20,0,-27,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1971:Q3,3140,1232,0,1232,99,99,5,5,4,0,6,0,-2,0,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0
1971:Q4,731,-297,0,-297,64,64,8,8,56,2,36,0,18,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1972:Q1,1988,924,0,924,44,44,19,19,101,0,10,0,91,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
1972:Q2,-2067,-3095,0,-3095,69,69,11,11,48,1,35,0,12,0,0,0,0,0,900,0,0,0,900,0,0,0,0,0,0,0,0,0
