1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q2,890,1502,6808,22,7,0,6804,2065,1519,3220,-22,-31,0,28,7001,6860,4174,4128,46,376,376,0,46,25,2239,987,1252,141,-418,175
1983:Q3,953,1576,3118,22,8,0,3429,913,99,2417,-8,20,0,-353,2912,2738,2633,877,1756,105,105,0,64,30,-94,1057,-1151,174,-828,244
1983:Q4,962,1696,9021,25,8,0,12121,7744,-90,4467,-24,-8,0,-3101,10044,10551,4804,3543,1261,738,738,0,-138,16,5131,1952,3179,-507,289,462
1984:Q1,1000,2105,8870,-275,-92,0,5210,6352,1028,-2170,-62,550,0,3539,9407,8444,7174,4974,2200,-1509,-1509,0,275,5,2499,861,1638,963,-568,681
1984:Q2,935,2210,8782,2,1,8,9729,3536,3054,3139,-11,-447,0,-500,10418,10362,3530,3971,-441,3364,3364,0,42,-2,3428,1941,1487,56,361,776
1984:Q3,780,2282,4614,102,34,397,3954,954,305,2695,-43,352,0,-182,5307,4632,2621,-1375,3996,361,361,0,211,-4,1443,4693,-3250,675,-808,556
1984:Q4,618,2348,10904,-145,-48,-567,16067,10727,968,4372,32,138,0,-4573,11619,11761,8883,5073,3810,976,976,0,-173,-2,2077,1899,178,-142,-1015,784
1985:Q1,603,2465,6078,65,21,254,3653,5130,-1308,-169,-3,14,0,2074,7134,7211,6887,6367,520,-3556,-3556,0,-23,3,3900,2235,1665,-77,-806,870
1985:Q2,498,2517,14513,279,93,1089,12952,2768,4065,6119,-21,-8,0,129,15496,15276,12427,5182,7245,-2155,-2155,0,80,4,4920,6309,-1389,220,-1035,774
1985:Q3,713,2491,18527,637,213,2481,13203,-3526,6735,9994,16,158,0,1819,19313,19557,11698,11547,151,5700,5700,0,-80,5,2234,5873,-3639,-244,-992,515
1985:Q4,685,2549,15165,-24,-8,-95,17123,13878,-1522,4767,33,-64,0,-1800,15821,16169,13297,6466,6831,-2443,-2443,0,-75,5,5385,3159,2226,-348,-1208,526
1986:Q1,628,3117,12609,376,125,1468,8615,7513,475,627,11,1263,0,751,12057,12141,14430,5931,8499,-1492,-1492,0,-16,2,-783,2764,-3547,-84,-3041,593
1986:Q2,512,3145,20895,12,4,46,20844,2156,11837,6851,6,801,0,-818,19617,19673,11092,5158,5934,9985,9985,0,-13,-4,-1387,3589,-4976,-56,-3910,316
1986:Q3,579,3147,20677,1105,368,4307,11431,-6990,7561,10860,42,-865,0,4289,22713,22269,10029,4969,5060,5222,5222,0,125,2,6891,3537,3354,444,-532,512
1986:Q4,826,3198,7764,-572,320,-738,10762,12932,-2413,243,-21,-8,0,-1979,11541,10248,12319,5532,6787,-1067,-1067,0,383,23,-1410,459,-1869,1293,1406,1406
1987:Q1,1486,3022,2711,213,92,892,602,8311,-1596,-6113,20,-249,0,1141,862,1345,7488,1531,5957,-5689,-5689,0,-79,47,-422,347,-769,-483,-3384,365
1987:Q2,1972,3096,12296,-105,-45,-436,13172,6788,3570,2814,24,337,0,-651,13290,12062,7430,1749,5681,227,227,0,371,70,3964,1222,2742,1228,-131,545
1987:Q3,2308,3176,5077,604,259,2522,-1395,-157,-7188,5950,20,92,0,2975,3454,4440,13384,4277,9107,-4981,-4981,0,-194,77,-3846,-8208,4362,-986,-2490,944
1987:Q4,2454,3168,25623,653,279,2725,20302,19328,498,476,34,-1027,0,2657,26063,26141,-3589,7538,-11127,-2260,-2260,0,20,66,31904,-4871,36775,-78,-274,469
1988:Q1,2410,3402,13906,329,141,1371,10454,11524,860,-1930,40,936,0,635,13885,13247,-3633,-1550,-2083,-5057,-5057,0,122,58,21757,-978,22735,638,-1012,1390
1988:Q2,2424,3498,25134,670,288,2803,18446,4227,12307,1912,17,314,0,2596,23139,23080,13343,6485,6858,5160,5160,0,9,51,4517,3419,1098,59,-3069,668
1988:Q3,2421,3550,-4630,-142,-61,-597,-3367,96,-4292,829,4,534,0,-1001,-8807,-8465,-1488,-2894,1406,-2028,-2028,0,-77,54,-4926,-6111,1185,-342,-5305,-112
1988:Q4,2664,3641,17247,298,128,1246,14609,12785,1413,411,89,365,0,512,15623,16314,15940,16267,-327,1718,1718,0,-254,67,-1157,-4435,3278,-691,-2601,993
1989:Q1,3056,4214,-4089,-324,691,1074,4292,7764,-3299,-173,75,1027,0,-10924,-3847,-6167,6156,8642,-2486,-8354,-8354,0,866,80,-4915,211,-5126,2320,-916,1124
1989:Q2,3303,4320,26655,472,254,2121,18320,7346,7147,3827,124,4404,0,960,23515,20843,11672,3731,7941,1955,1955,0,922,91,6203,1502,4701,2672,-4157,800
1989:Q3,3350,4452,21044,253,136,1139,15541,-3712,17780,1473,123,3267,0,585,13010,15987,11497,5725,5772,1868,1868,0,-1067,97,3592,4662,-1070,-2977,-9136,290
1989:Q4,3440,4398,16350,384,208,1729,11188,12098,4957,-5867,704,1278,0,859,18364,14853,7344,2923,4421,5351,5351,0,931,97,1130,2164,-1034,3511,1056,587
1990:Q1,3864,4367,-4284,-36,-20,-163,1459,2990,3122,-4653,-74,-3439,0,-2011,-1982,-1321,13339,11361,1978,-7219,-7219,0,-187,100,-7354,3976,-11330,-661,1799,1681
1990:Q2,4151,4135,18157,480,259,2160,16088,11240,5686,-838,-52,-655,0,-123,21609,20913,4120,-2094,6214,3738,3738,0,186,104,12765,-1172,13937,696,3467,1259
1990:Q3,3652,4196,10369,346,186,1556,5596,-1232,2920,3908,274,2554,0,-143,9241,11230,-5487,-6180,693,1495,1495,0,-553,107,15668,8795,6873,-1989,-1672,1447
