1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,1960,-155,59,0,0,-64,-150,2067,410,-121,31,1747,24,-4,28,24,0,1960,3627,63,202,-139,291,-350,-12,0,-5,0,0,7,-42,19,0,9,0,-37,-37,0,-1622
1960:Q4,5037,1024,-96,0,0,26,1094,3950,-1495,377,264,4804,39,-4,43,23,1,5037,1857,417,519,-102,-1764,-226,247,-1,147,10,0,7,48,22,0,14,0,286,286,0,4220
1961:Q1,-7315,-1214,64,0,0,56,-1334,-6149,-1785,29,457,-4850,20,7,13,28,0,-7315,-2078,-1808,-1781,-27,-1760,-593,-78,5,-98,22,0,8,-71,38,0,18,0,520,520,0,-1519
1961:Q2,2947,1152,-139,0,0,-26,1317,1683,2202,146,-104,-561,79,6,73,33,0,2947,-1663,1355,1307,48,2156,-141,174,7,38,33,0,9,34,35,0,18,0,-124,-124,0,1191
1961:Q3,3441,-490,114,0,0,113,-717,3952,1388,-210,134,2640,-55,-21,-34,34,0,3441,2925,202,134,68,1909,-192,145,10,39,34,0,9,0,37,0,16,0,226,226,0,-1774
1961:Q4,6951,1352,-14,0,0,-75,1441,5529,-1804,603,450,6280,37,-21,58,32,1,6951,530,3452,3423,29,-2346,898,268,11,83,25,0,8,92,37,0,12,0,354,354,0,3795
1962:Q1,-7867,-1191,12,0,0,-32,-1171,-6757,314,-510,298,-6859,51,17,34,30,0,-7867,-1751,-3447,-3462,15,353,-176,-204,23,-173,17,0,8,-104,23,0,2,0,283,283,0,-2925
1962:Q2,4142,1708,92,0,0,91,1525,2362,3294,82,-70,-944,43,18,25,28,1,4142,-2165,1297,1288,9,3282,221,108,34,-6,10,0,9,45,23,0,-7,0,39,39,0,1360
1962:Q3,-1109,-1160,-75,0,0,-80,-1005,102,-1464,-305,-450,2321,-81,-29,-52,30,0,-1109,1845,1289,1291,-2,-1009,-340,119,32,76,8,0,8,-14,24,0,-15,0,-559,-559,0,-2454
1962:Q4,10206,1321,61,0,0,19,1241,8897,-932,562,376,8891,-48,-23,-25,35,1,10206,1614,4432,4453,-21,-1673,387,300,17,168,12,0,5,93,25,0,-20,0,372,372,0,4774
1963:Q1,-8398,-350,314,0,0,-73,-591,-8007,172,72,-270,-7981,-81,24,-105,40,0,-8398,1199,-6817,-6793,-24,552,-122,-358,2,-227,14,0,4,-120,-35,0,4,0,-319,-319,0,-2533
1963:Q2,5763,1641,-116,0,0,0,1757,4062,3730,253,334,-255,14,2,12,45,1,5763,-1252,1479,1530,-51,3927,168,74,-11,16,14,0,2,86,-36,0,3,0,336,336,0,1031
1963:Q3,-1408,-583,153,0,0,-39,-697,-799,-2210,-631,-18,2060,-72,-24,-48,46,0,-1408,2719,587,636,-49,-2434,-626,39,-16,104,17,0,1,-46,-37,0,16,0,-81,-81,0,-1612
1963:Q4,9229,2092,-87,0,0,36,2143,7053,-2302,1430,278,7647,42,16,26,41,1,9229,2013,3619,3640,-21,-2487,1516,137,-14,116,21,0,-1,54,-40,0,1,0,330,330,0,4101
1964:Q1,-7297,-985,275,0,0,-42,-1218,-6388,1322,756,95,-8561,36,21,15,40,0,-7297,-2705,-4580,-4581,1,1346,350,-208,-8,-172,29,0,0,-75,-4,0,22,0,74,74,0,-1574
1964:Q2,5119,816,-186,0,0,22,980,4062,2387,-1369,325,2719,201,4,197,39,1,5119,539,2008,1979,29,2683,-837,76,-6,-15,48,0,0,62,-8,0,-5,0,351,351,0,299
1964:Q3,2132,199,37,0,0,-21,183,1626,-1057,8,196,2479,270,53,217,37,0,2132,4600,438,399,39,-708,-17,-11,-7,35,7,0,0,-37,-4,0,-5,0,228,228,0,-2399
1964:Q4,8961,2022,219,0,0,94,1709,6679,-2690,929,217,8223,228,-5,233,31,1,8961,3905,1810,1777,33,-2860,1766,221,-15,174,35,0,-2,36,-4,0,-3,0,306,306,0,3813
1965:Q1,-7858,-1196,-17,0,0,-68,-1111,-6840,1840,72,-72,-8680,155,11,144,23,0,-7858,-2343,-3313,-3339,26,1986,-911,-382,-16,-202,-140,0,0,-64,34,0,6,0,-243,-129,-114,-2652
1965:Q2,5444,629,-150,0,0,13,766,4937,3446,-206,-85,1782,-135,-9,-126,12,1,5444,287,840,810,30,3131,-292,17,-22,-7,-24,0,0,27,32,0,11,0,-26,-81,55,1487
1965:Q3,-2100,561,237,0,0,19,305,-2457,-4426,-180,200,1949,-220,-7,-213,16,0,-2100,6016,-916,-943,27,-4510,-282,67,-21,17,32,0,1,-10,37,0,11,0,270,212,58,-2746
1965:Q4,11805,1898,-228,0,0,-32,2158,9841,-1845,1039,125,10522,29,30,-1,36,1,11805,2779,3804,3783,21,-2182,908,452,-16,207,181,0,5,32,41,0,2,0,255,123,132,5789
1966:Q1,-8861,-1048,58,0,0,140,-1246,-7857,-405,448,-115,-7785,-12,-1,-11,55,1,-8861,-1571,-5106,-5109,3,266,322,-380,-3,-430,16,0,8,-29,39,0,19,0,85,24,61,-2477
1966:Q2,8716,1865,329,0,0,175,1361,6471,5877,239,-153,508,307,21,286,73,0,8716,-1079,796,803,-7,6264,152,-21,6,24,-166,0,10,58,31,0,16,0,119,43,76,2486
1966:Q3,-6392,154,589,0,0,-123,-312,-6617,-4997,-965,228,-883,-8,-4,-4,78,1,-6392,2933,-1138,-1130,-8,-4309,-1011,-3,7,62,-72,0,14,-58,26,0,18,0,155,101,54,-3019
1966:Q4,10995,1405,-812,0,0,12,2205,9624,-1008,1081,226,9325,-104,-26,-78,70,0,10995,1550,4756,4754,2,-2577,1077,514,-2,388,39,0,19,32,18,0,20,0,357,212,145,5318
1967:Q1,-7825,-1059,420,0,0,-21,-1458,-6776,528,-420,-101,-6783,-64,-8,-56,73,1,-7825,-639,-3083,-3106,23,1148,80,-99,-8,-239,66,0,39,-35,16,0,62,0,-95,-130,35,-5137
1967:Q2,5940,2881,771,0,0,18,2092,2573,-368,580,-84,2445,408,16,392,78,0,5940,828,1937,1907,30,939,50,154,-16,76,15,0,8,-10,15,0,66,0,-9,-50,41,2041
1967:Q3,2759,-1513,-549,0,0,26,-990,4283,1870,-924,234,3103,-88,13,-101,76,1,2759,3848,1162,1125,37,11,-162,91,-14,47,43,0,-34,-10,21,0,38,0,326,273,53,-2517
1967:Q4,14446,2580,233,0,0,-32,2379,11924,-1788,1281,262,12169,-126,4,-130,67,1,14446,6254,2648,2606,42,-1617,768,193,-6,145,12,0,-78,58,22,0,40,0,340,234,106,5860
1968:Q1,-11266,-1540,-371,0,0,52,-1221,-10140,86,152,-82,-10296,359,40,319,55,0,-11266,-3926,-1579,-1610,31,-407,-689,-260,12,-412,-23,0,62,-53,20,0,134,0,14,10,4,-4420
1968:Q2,7289,2234,-184,0,0,-17,2435,4359,-350,568,-78,4219,674,63,611,21,1,7289,1734,1836,1793,43,50,849,390,27,61,79,0,38,23,12,0,150,0,23,-32,55,2408
1968:Q3,3264,-870,-88,0,0,-28,-754,5001,4070,-1805,198,2538,-913,111,-1024,46,0,3264,4313,-110,-154,44,3160,-1865,431,27,209,33,0,26,3,9,0,124,0,351,281,70,-3016
1968:Q4,15822,1719,-426,0,0,74,2071,12960,-4030,2397,236,14357,1011,-8,1019,130,2,15822,6807,2722,2685,37,-5071,1044,353,11,248,32,0,-52,30,17,0,67,0,462,302,160,9505
1969:Q1,-13776,-970,-181,0,0,-73,-716,-14666,500,-195,-11,-14960,1835,28,1807,25,0,-13776,-7402,-750,-777,27,739,-239,-177,-1,-335,-10,0,120,13,14,0,22,0,-32,-56,24,-5915
1969:Q2,9385,2307,674,0,0,15,1618,6929,129,249,-11,6562,108,-12,120,40,1,9385,1455,3818,3798,20,1357,220,-299,-14,-130,4,0,-182,22,18,0,-17,0,112,-8,120,2722
1969:Q3,-3101,-332,-6,0,0,-9,-317,-3088,1971,-425,186,-4820,278,36,242,40,1,-3101,-1340,558,542,16,407,-447,217,-16,62,-5,0,14,178,27,0,-43,0,313,213,100,-2809
1969:Q4,15556,2274,84,0,0,-33,2223,15488,-2556,1053,205,16786,-2233,3,-2236,26,1,15556,5563,2044,2028,16,-950,2345,168,-10,355,20,0,-20,-164,28,0,-41,0,424,175,249,5962
