date,FL344090055.Q,LM344022025.Q,LM343061113.Q,LM343061723.Q,LM343063023.Q,FL343069055.Q,LM343064125.Q,FL344090055.Q
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q2,108543,12377,2695,6130,3552,50114,46052,108543
2003:Q3,112863,10559,2283,5227,3049,51133,51171,112863
2003:Q4,123370,10072,2216,5036,2820,51160,62138,123370
2004:Q1,128161,9814,2158,4897,2759,51781,66566,128161
2004:Q2,131607,8993,1967,4511,2515,53936,68678,131607
2004:Q3,134627,9457,2073,4729,2655,56367,68803,134627
2004:Q4,146288,9733,2433,4769,2531,56671,79884,146288
2005:Q1,149310,9577,2396,4707,2474,58891,80842,149310
2005:Q2,154509,10002,2519,4921,2562,61599,82908,154509
2005:Q3,162273,9948,2493,4888,2567,63512,88813,162273
2005:Q4,167809,10257,2564,5129,2564,64450,93102,167809
2006:Q1,176998,10034,2498,5049,2487,65904,101060,176998
2006:Q2,179279,9861,2457,4976,2428,70550,98868,179279
2006:Q3,187795,10378,2584,5221,2573,72169,105248,187795
2006:Q4,200555,11104,2665,5441,2998,72785,116666,200555
2007:Q1,206736,11394,2731,5594,3069,76341,119001,206736
2007:Q2,217691,11194,2686,5506,3002,77399,129098,217691
2007:Q3,223579,11783,2849,5807,3127,81379,130417,223579
2007:Q4,224538,12864,2959,6175,3730,83913,127761,224538
2008:Q1,216538,15070,3537,7276,4257,91977,109491,216538
2008:Q2,218109,14413,3347,6973,4093,94389,109307,218109
2008:Q3,210316,14188,3388,7010,3790,101452,94676,210316
2008:Q4,195328,13870,3606,6658,3606,108216,73242,195328
2009:Q1,190079,13507,3460,6509,3538,112623,63949,190079
2009:Q2,207169,13841,3346,6537,3958,112955,80373,207169
2009:Q3,224739,14902,3564,6907,4431,113319,96518,224739
