1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,839,0,0,0,405,10,-4,169,24,263,0,0,-57,74,5,69,-110,-103,0,0,-7,0,86,86,0,0,0,0,0,-76,0,-4,-72,0,45,45,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,214,24,0,0,0,0,0,0,0,0,0,0
1957:Q1,-192,0,0,0,-36,18,10,35,57,-150,0,0,-6,81,5,76,-520,-533,0,0,13,0,-267,-267,0,0,0,0,0,64,0,2,62,0,-127,-127,0,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,565,63,0,0,0,0,0,0,0,0,0,0
1957:Q2,156,0,0,0,-259,21,75,-49,2,-208,0,0,-100,95,12,83,-162,-462,0,0,300,0,118,118,0,0,0,0,0,115,0,3,112,0,195,195,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,86,10,0,0,0,0,0,0,0,0,0,0
1957:Q3,-44,0,0,0,142,18,-49,-5,66,115,0,0,-3,96,8,88,-442,-488,0,0,46,0,40,40,0,0,0,0,0,43,0,0,43,0,-104,-104,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-50,-6,0,0,0,0,0,0,0,0,0,0
1957:Q4,515,0,0,0,429,21,22,-21,26,-37,0,0,418,113,10,103,-300,-376,0,0,76,0,146,146,0,0,0,0,0,-40,0,0,-40,0,-301,-301,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,267,30,0,0,0,0,0,0,0,0,0,0
1958:Q1,835,0,0,0,197,30,-27,109,51,-74,0,0,108,111,10,101,235,70,0,0,165,0,-569,-569,0,0,0,0,0,81,0,2,79,0,249,249,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,227,25,0,0,0,0,0,0,0,0,0,0
1958:Q2,872,0,0,0,77,31,15,-10,37,-7,0,0,11,98,10,88,192,-156,0,0,348,0,233,233,0,0,0,0,0,168,0,5,163,0,432,432,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-245,-221,-25,0,0,0,0,0,0,0,0,0,0
1958:Q3,256,0,0,0,339,24,4,26,59,19,0,0,207,77,10,67,147,-164,0,0,311,0,81,81,0,0,0,0,0,71,0,2,69,0,68,68,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-527,-474,-53,0,0,0,0,0,0,0,0,0,0
1958:Q4,1392,0,0,0,381,22,21,16,33,41,0,0,248,73,10,63,-48,-158,0,0,110,0,288,288,0,0,0,0,0,-40,0,-0,-40,0,216,216,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,512,57,0,0,0,0,0,0,0,0,0,0
1959:Q1,875,0,0,0,279,22,19,116,25,25,0,0,72,95,10,85,-103,-236,0,0,133,0,-211,-211,0,0,0,0,0,165,0,6,159,0,34,34,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,576,64,0,0,0,0,0,0,0,0,0,0
1959:Q2,1457,0,0,0,360,42,42,5,63,-43,0,0,251,104,10,94,-47,-432,0,0,385,0,450,450,0,0,0,0,0,242,0,9,233,0,97,97,0,-154,-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,428,48,0,0,0,0,0,0,0,0,0,0
1959:Q3,-153,0,0,0,153,36,-29,-26,43,-7,0,0,136,117,10,107,-226,-549,0,0,323,0,258,258,0,0,0,0,0,63,0,2,61,0,-154,-154,0,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,-223,-25,0,0,0,0,0,0,0,0,0,0
1959:Q4,-825,0,0,0,-46,42,-3,-53,54,104,0,0,-190,154,10,144,-536,-579,0,0,43,0,339,339,0,0,0,0,0,-124,0,-6,-118,0,26,26,0,-1389,-1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,499,55,0,0,0,0,0,0,0,0,0,0
1960:Q1,419,0,0,0,268,19,5,24,38,93,0,0,89,178,10,168,-84,-171,0,0,87,0,-614,-614,0,0,0,0,0,93,0,5,88,0,-313,-313,0,-363,-363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,935,104,0,0,0,0,0,0,0,0,0,0
1960:Q2,1868,0,0,0,232,69,168,-29,98,-232,0,0,158,195,15,180,454,-231,0,0,685,0,250,250,0,0,0,0,0,144,0,7,137,0,47,47,0,-176,-176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,635,71,0,0,0,0,0,0,0,0,0,0
1960:Q3,655,0,0,0,133,49,-119,20,79,56,0,0,48,151,5,146,61,-41,0,0,102,0,-34,-34,0,0,0,0,0,32,0,-0,32,0,78,78,0,357,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-409,-368,-41,0,0,0,0,0,0,0,0,0,0
1960:Q4,2069,0,0,0,128,29,24,-19,-10,-19,0,0,123,129,10,119,115,63,0,0,52,0,245,245,0,0,0,0,0,-131,0,-6,-125,0,64,64,0,588,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,515,57,0,0,0,0,0,0,0,0,0,0
1961:Q1,511,0,0,0,526,46,-5,164,50,-24,0,0,295,152,10,142,431,380,0,0,51,0,-504,-504,0,0,0,0,0,141,0,4,137,0,373,373,0,-655,-655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157,-141,-16,0,0,0,0,0,0,0,0,0,0
