1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,14545,11091,861,0,0,0,10230,0,0,0,10230,0,0,0,3454,2763,691,14545,2473,0,138,1499,201,0,0,219,0,0,0,583,0,0,7311,2121
1966:Q3,15527,12123,1466,0,0,0,10657,0,0,0,10657,0,0,0,3404,2723,681,15527,1952,0,48,1562,229,0,0,298,0,0,0,794,0,0,8256,2388
1966:Q4,17284,13645,1622,0,0,0,12023,0,0,0,12023,0,0,0,3639,2911,728,17284,2852,0,69,1703,240,0,0,380,0,0,0,767,0,0,9061,2212
1967:Q1,20234,16493,2677,0,0,0,13816,0,0,0,13816,0,0,0,3741,2993,748,20234,3495,0,0,2360,278,0,0,553,0,0,0,733,0,0,10587,2228
1967:Q2,20779,16607,3242,0,0,0,13365,0,0,0,13365,0,0,0,4172,3338,834,20779,3418,0,36,2552,266,0,0,865,0,0,0,801,0,0,10607,2234
1967:Q3,20941,16754,3264,0,0,0,13490,0,0,0,13490,0,0,0,4187,3350,837,20941,3916,0,60,2816,275,0,0,1138,0,0,0,775,0,0,9806,2155
1967:Q4,21445,17085,3034,0,0,0,14051,0,0,0,14051,0,0,0,4360,3488,872,21445,3952,0,75,2650,261,0,0,480,0,0,0,823,0,0,10957,2247
1968:Q1,23506,19127,3482,0,0,0,15645,0,0,0,15645,0,0,0,4379,3503,876,23506,3819,0,100,2935,286,0,0,676,0,0,0,1376,0,0,11952,2362
1968:Q2,23840,19511,3400,0,0,0,16111,0,0,0,16111,0,0,0,4329,3463,866,23840,4603,0,134,2620,303,0,0,670,0,0,0,1113,0,0,11922,2475
1968:Q3,25346,20976,4928,0,0,0,16048,0,0,0,16048,0,0,0,4370,3496,874,25346,5071,0,49,3025,323,0,0,801,0,0,0,1171,0,0,12379,2527
1968:Q4,25645,21173,4249,0,0,0,16924,0,0,0,16924,0,0,0,4472,3578,894,25645,5099,0,58,2606,318,0,0,526,0,0,0,1022,0,0,13190,2826
1969:Q1,28933,24424,4880,0,0,0,19544,0,0,0,19344,0,200,0,4509,3607,902,28933,6207,0,74,2919,359,0,0,854,0,0,0,1380,0,0,14269,2871
1969:Q2,31731,26802,4914,0,0,0,21888,0,0,0,20643,0,1245,0,4929,3943,986,31731,6806,0,41,3069,391,0,0,698,0,0,0,1489,0,0,15811,3426
1969:Q3,35763,30479,5778,0,0,0,24701,0,0,0,22106,0,2595,0,5284,4227,1057,35763,7206,0,60,3145,451,0,0,1019,0,0,0,1692,0,0,18346,3844
