1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,332768,47961,93780,144447,98745,14064,21803,9835,46580,332768,308438,156400,52544,37929,61046,519,11015,1228,0,0,0,361,5268,0,4158,0,13315,332768,109417,75344,8701,3061,21590,721,223351,0,145121,1282,209,2244,161,36508,449,10911,395,0,4822,149,0,17958,0,3142,0,0,0
1957:Q1,333651,47531,93588,147290,100851,14085,22321,10033,45242,333651,310513,157483,53683,38245,60526,576,9717,961,0,0,0,211,5057,0,3488,0,13421,333651,108017,75288,7609,2748,21610,762,225634,0,146020,1272,214,2310,161,37274,482,10924,425,0,5064,157,0,18316,0,3015,0,0,0
1957:Q2,341101,49888,93744,150246,103039,14182,22794,10231,47223,341101,317794,162473,55042,39337,60364,578,9847,1079,0,0,0,3,4969,0,3796,0,13460,341101,108527,75287,8152,2869,21405,814,232574,0,150757,1309,219,2462,161,37859,514,11224,460,0,5579,166,0,18654,0,3210,0,0,0
1957:Q3,344854,49581,93700,153602,105397,14379,23478,10348,47971,344854,321213,165541,54973,40085,59970,644,10076,1119,0,0,0,118,4971,0,3868,0,13565,344854,108737,75328,8064,2843,21631,871,236117,0,152904,1337,224,2610,161,38461,547,11270,499,0,5883,170,0,18945,0,3106,0,0,0
1957:Q4,350217,50144,94215,156641,107374,14611,24259,10397,49217,350217,325479,168574,56139,40378,59718,670,10576,1265,0,0,0,81,4943,0,4287,0,14162,350217,110402,75453,8742,3102,22182,923,239815,0,155361,1342,229,2694,161,39105,583,11346,540,0,6204,173,0,19272,0,2805,0,0,0
1958:Q1,349323,48162,95050,159336,108975,15025,24812,10524,46775,349323,324985,167639,55707,40839,60079,721,10009,696,0,0,0,7,5057,0,4249,0,14329,349323,109693,76047,7512,2702,22457,975,239630,0,154419,1414,239,2682,161,39663,619,11511,584,0,5833,175,0,19276,0,3054,0,0,0
1958:Q2,356069,49534,95922,162909,111142,15517,25496,10754,47704,356069,330000,171146,55466,42234,60396,758,11633,929,0,0,0,0,5171,0,5533,0,14436,356069,111133,76774,7958,2774,22601,1026,244936,0,158475,1446,252,2787,161,40087,655,11859,631,0,5945,177,0,18975,0,3486,0,0,0
1958:Q3,359222,47888,96178,167216,114035,16020,26204,10957,47940,359222,334440,174656,55022,43310,60635,817,10006,1010,0,0,0,19,4885,0,4092,0,14776,359222,112251,77310,8051,2808,23003,1079,246971,0,159934,1460,265,2875,161,40563,695,12170,681,0,6086,183,0,18344,0,3554,0,0,0
1958:Q4,370393,51260,97570,172073,117177,16565,27222,11109,49490,370393,343673,180368,57595,44180,60680,850,11606,1298,0,0,0,60,5400,0,4848,0,15114,370393,114682,77911,8907,3103,23626,1135,255711,0,166531,1412,272,2961,160,41250,742,12280,736,0,6432,190,0,18975,0,3770,0,0,0
1959:Q1,373938,50317,98445,176185,119935,17132,27761,11357,48991,373938,347604,182564,57894,45645,60626,875,11275,1087,0,0,0,85,5914,0,4189,0,15059,373938,114723,78234,8118,2836,24339,1196,259215,0,168355,1411,230,3027,160,41734,796,12413,792,0,6555,195,0,19743,0,3804,0,0,0
