1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,93780,0,0,0,17661,88,698,4367,519,361,0,0,11628,3804,285,3519,61046,50135,0,0,10911,0,1228,1228,0,0,0,0,0,1204,0,20,1184,0,3142,3142,0,882,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3846,3461,385,0,0,0,0,0,0,0,0,0,0
1957:Q1,93588,0,0,0,17625,106,709,4401,576,211,0,0,11622,3885,290,3595,60526,49602,0,0,10924,0,961,961,0,0,0,0,0,1268,0,22,1246,0,3015,3015,0,815,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4474,4027,447,0,0,0,0,0,0,0,0,0,0
1957:Q2,93744,0,0,0,17366,127,783,4353,578,3,0,0,11522,3980,302,3678,60364,49140,0,0,11224,0,1079,1079,0,0,0,0,0,1383,0,25,1358,0,3210,3210,0,814,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4569,4112,457,0,0,0,0,0,0,0,0,0,0
1957:Q3,93700,0,0,0,17508,145,734,4348,644,118,0,0,11519,4076,310,3766,59922,48652,0,0,11270,0,1119,1119,0,0,0,0,0,1426,0,26,1400,0,3106,3106,0,833,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4513,4062,451,0,0,0,0,0,0,0,0,0,0
1957:Q4,94215,0,0,0,17937,166,756,4327,670,81,0,0,11937,4189,320,3869,59622,48276,0,0,11346,0,1265,1265,0,0,0,0,0,1386,0,26,1360,0,2805,2805,0,894,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,4329,481,0,0,0,0,0,0,0,0,0,0
1958:Q1,95050,0,0,0,18134,196,729,4436,721,7,0,0,12045,4300,330,3970,59857,48346,0,0,11511,0,696,696,0,0,0,0,0,1467,0,28,1439,0,3054,3054,0,951,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5062,4556,506,0,0,0,0,0,0,0,0,0,0
1958:Q2,95922,0,0,0,18211,227,744,4426,758,0,0,0,12056,4398,340,4058,60049,48190,0,0,11859,0,929,929,0,0,0,0,0,1635,0,33,1602,0,3486,3486,0,1045,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817,4335,482,0,0,0,0,0,0,0,0,0,0
1958:Q3,96178,0,0,0,18550,251,748,4452,817,19,0,0,12263,4475,350,4125,60196,48026,0,0,12170,0,1010,1010,0,0,0,0,0,1706,0,35,1671,0,3554,3554,0,1116,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4290,3861,429,0,0,0,0,0,0,0,0,0,0
1958:Q4,97570,0,0,0,18931,273,769,4468,850,60,0,0,12511,4548,360,4188,60148,47868,0,0,12280,0,1298,1298,0,0,0,0,0,1666,0,34,1632,0,3770,3770,0,1156,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859,4373,486,0,0,0,0,0,0,0,0,0,0
1959:Q1,98445,0,0,0,19210,295,788,4584,875,85,0,0,12583,4643,370,4273,60045,47632,0,0,12413,0,1087,1087,0,0,0,0,0,1831,0,40,1791,0,3804,3804,0,1272,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5499,4949,550,0,0,0,0,0,0,0,0,0,0
