1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,4708,4708,0,0,4708,428,0,0,7,3,3765,0,12,57,228,59,57,-38,0,0,130,0,0,ND,ND,ND,ND,ND,ND
1964:Q4,4259,4259,0,0,4259,458,0,0,19,3,3160,0,13,-35,487,58,65,14,0,0,17,0,0,ND,ND,ND,ND,ND,ND
1965:Q1,3556,3556,0,0,3556,289,0,0,-27,2,2588,0,16,139,328,62,77,33,0,0,49,0,0,ND,ND,ND,ND,ND,ND
1965:Q2,4438,4438,0,0,4438,440,0,0,-96,1,3521,0,19,-3,167,113,86,30,0,0,160,0,0,ND,ND,ND,ND,ND,ND
1965:Q3,4713,4713,0,0,4713,100,0,0,-12,1,3921,0,19,-81,187,54,91,105,23,0,305,0,0,ND,ND,ND,ND,ND,ND
1965:Q4,4407,4407,0,0,4407,418,0,0,12,5,3200,0,15,-79,382,37,91,356,27,0,-57,0,0,ND,ND,ND,ND,ND,ND
1966:Q1,3569,3569,0,0,3569,-388,0,0,95,9,2471,0,11,246,260,51,93,751,34,0,-64,0,0,ND,ND,ND,ND,ND,ND
1966:Q2,3874,3874,0,0,3874,487,0,0,126,14,2572,0,7,-49,177,31,100,438,38,0,-67,0,0,ND,ND,ND,ND,ND,ND
1966:Q3,3040,3040,0,0,3040,366,0,0,208,13,1986,0,6,-121,57,47,97,369,66,0,-54,0,0,ND,ND,ND,ND,ND,ND
1966:Q4,2470,2470,0,0,2470,589,0,0,208,8,1318,0,9,-68,150,85,83,318,78,0,-308,0,0,ND,ND,ND,ND,ND,ND
1967:Q1,1605,1605,0,0,1605,455,0,0,150,2,609,0,14,1,10,31,78,206,90,0,-41,0,0,ND,ND,ND,ND,ND,ND
1967:Q2,2855,2855,0,0,2855,222,0,0,88,-3,2214,0,18,-7,-171,-11,79,-10,102,0,334,0,0,ND,ND,ND,ND,ND,ND
1967:Q3,4471,4471,0,0,4471,337,0,0,225,-4,3454,0,18,-3,-225,34,38,401,93,0,103,0,0,ND,ND,ND,ND,ND,ND
1967:Q4,4427,4427,0,0,4427,536,0,0,253,-3,3143,0,13,-41,-84,9,38,530,101,0,-68,0,0,ND,ND,ND,ND,ND,ND
1968:Q1,3404,3404,0,0,3404,628,0,0,268,1,2007,0,11,-65,-119,1,70,641,109,0,-148,0,0,ND,ND,ND,ND,ND,ND
1968:Q2,4405,4405,0,0,4405,452,0,0,239,1,3026,0,8,-8,-194,-21,58,458,117,0,259,10,0,ND,ND,ND,ND,ND,ND
1968:Q3,4508,4508,0,0,4508,463,1,0,234,3,3643,0,7,-32,-252,7,-2,218,58,0,145,15,0,ND,ND,ND,ND,ND,ND
1968:Q4,4751,4751,0,0,4751,464,0,0,161,5,3576,0,9,-3,-168,-6,38,321,58,0,287,9,0,ND,ND,ND,ND,ND,ND
1969:Q1,3872,3872,0,0,3872,-142,0,0,108,7,2858,0,8,-17,-101,4,31,520,58,0,523,15,0,ND,ND,ND,ND,ND,ND
1969:Q2,4881,4881,0,0,4881,-50,1,0,27,9,3705,0,8,-77,-183,-6,7,484,56,0,867,33,0,ND,ND,ND,ND,ND,ND
1969:Q3,4774,4774,0,0,4774,399,1,0,41,17,3722,0,8,-95,-244,27,-37,1143,128,0,-380,44,0,ND,ND,ND,ND,ND,ND
