1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,24072,8307,11235,4530,170,3634,726,0,24072,2911,9982,3660,5300,1796,423,3,144,136,3,0,5,39,31,1,0,0,0,36,25,144,12387
1966:Q4,24575,8485,11463,4627,176,3709,742,0,24575,2966,10229,3721,5383,1843,433,3,147,139,3,0,5,40,32,1,0,0,0,38,26,148,12690
1967:Q1,25067,8529,11761,4777,214,3800,763,0,25067,3020,10481,3780,5462,1880,443,3,148,139,3,0,5,41,32,1,0,0,0,40,27,152,12848
1967:Q2,25588,8701,12003,4883,222,3882,779,1,25588,3078,10742,3842,5559,1911,456,3,151,143,4,0,5,42,33,1,0,0,0,41,28,157,13021
1967:Q3,26155,8897,12257,5000,229,3974,797,1,26155,3141,11012,3906,5664,1963,470,3,155,146,4,1,5,44,34,1,1,0,0,42,28,162,13306
1967:Q4,26746,9100,12520,5126,237,4075,815,0,26746,3207,11291,3973,5778,2013,485,3,159,150,4,1,5,45,35,1,1,0,0,44,29,168,13666
1968:Q1,27374,9265,12779,5329,273,4206,850,2,27374,3277,11579,4042,5893,2082,502,3,166,156,4,1,5,46,35,1,0,0,0,52,32,168,14091
1968:Q2,27986,9477,13052,5455,281,4303,871,2,27986,3358,11880,4119,5982,2127,521,3,171,161,4,1,6,48,37,1,0,0,0,54,33,175,14438
1968:Q3,28634,9696,13341,5594,291,4410,894,3,28634,3451,12195,4204,6087,2157,540,3,177,166,4,1,6,49,38,1,1,0,0,56,35,182,14792
1968:Q4,29363,9968,13649,5744,302,4525,918,3,29363,3555,12523,4296,6193,2234,562,3,183,172,4,1,6,51,40,1,1,0,0,58,36,189,15214
1969:Q1,30117,10250,13894,5965,346,4682,937,8,30117,3671,12866,4397,6299,2301,584,4,191,181,4,1,6,51,39,1,0,0,0,64,41,192,15533
1969:Q2,30877,10534,14213,6121,358,4802,962,9,30877,3772,13215,4493,6408,2383,606,4,198,188,4,1,6,53,41,1,0,0,0,67,42,200,15902
1969:Q3,31581,10791,14510,6272,371,4915,987,8,31581,3860,13570,4584,6501,2437,630,4,206,194,4,1,6,55,43,1,1,0,0,69,44,207,16285
