1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,43748,2101,39910,1738,43748,8340,0,0,1472,1006,18341,0,11301,1157,1618,9,7,0,497,0
1967:Q4,44815,2155,40940,1720,44815,8385,0,0,1557,1041,18795,0,11717,1165,1646,9,9,0,491,0
1968:Q1,45477,2202,41573,1702,45477,8390,0,0,1650,1078,19133,0,11874,1167,1693,11,10,0,471,0
1968:Q2,46242,2254,42304,1684,46242,8332,11,0,1731,1117,19538,0,12080,1155,1732,11,12,0,504,19
1968:Q3,47141,2327,43144,1670,47141,8395,15,0,1800,1158,19972,0,12325,1161,1734,14,15,0,524,28
1968:Q4,48251,2396,44201,1654,48251,8330,27,0,1900,1202,20467,0,12754,1161,1764,16,18,0,564,48
1969:Q1,49196,2496,45065,1635,49196,8391,54,0,1963,1240,20939,0,12961,1165,1786,18,22,0,562,95
1969:Q2,50352,2558,46184,1610,50352,8324,77,0,2133,1290,21553,0,13198,1164,1815,20,26,0,614,138
1969:Q3,51512,2621,47293,1598,51512,8236,109,0,2325,1401,22049,0,13513,1185,1840,28,30,0,601,195
1969:Q4,53176,2722,48881,1573,53176,7905,177,0,2581,1588,22543,0,14235,1215,1875,31,35,0,675,316
1970:Q1,53467,2739,49172,1556,53467,6844,276,0,2694,1821,22907,0,14559,1223,1900,53,40,0,660,490
1970:Q2,55054,2824,50698,1532,55054,6872,321,0,2785,1900,23476,0,14964,1223,1937,150,45,0,810,571
1970:Q3,57668,2980,53182,1506,57668,7659,369,0,2934,2008,24169,0,15356,1199,1947,246,53,0,1073,655
1970:Q4,60129,3112,55519,1498,60129,7945,457,0,3087,2160,24929,0,15969,1214,1957,321,60,0,1218,812
1971:Q1,62312,3233,57595,1484,62312,7643,506,75,3230,2383,26156,0,16178,1170,2116,435,69,0,1451,900
1971:Q2,65052,3382,60207,1463,65052,7360,582,150,3316,2480,28081,0,16271,1039,2252,585,79,0,1821,1036
1971:Q3,67399,3507,62447,1445,67399,6981,674,225,3373,2685,29473,0,16473,1008,2305,808,88,0,2107,1199
1971:Q4,70094,3657,65011,1426,70094,6549,784,300,3486,2876,31169,0,16747,901,2243,1140,114,0,2391,1394
1972:Q1,72680,3805,67474,1401,72680,6515,1006,375,3548,3109,32393,0,16837,722,2236,1400,146,0,2605,1788
1972:Q2,76046,4040,70623,1383,76046,6693,1149,450,3622,3338,34354,0,16848,611,2222,1593,212,0,2911,2043
1972:Q3,78834,4218,73254,1362,78834,6721,1278,525,3674,3604,36001,0,16975,564,2236,1869,280,0,2834,2273
1972:Q4,82876,4457,77079,1340,82876,6818,1519,600,3768,3854,37739,0,17347,556,2192,2119,392,0,3272,2700
1973:Q1,84593,4584,78691,1318,84593,6480,1621,637,3751,4008,38912,0,17359,506,2096,2374,502,0,3464,2883
1973:Q2,87957,4799,81858,1300,87957,6273,1970,659,3787,4163,40143,0,17606,502,2102,2948,546,0,3755,3503
1973:Q3,91127,4960,84883,1284,91127,6064,2207,648,3929,4433,41329,0,17927,477,2126,3481,598,0,3985,3923
1973:Q4,93191,5075,86847,1269,93191,5771,2376,609,4066,4771,42054,0,18451,459,2120,3963,616,0,3711,4224
1974:Q1,95355,5206,88900,1249,95355,5804,2501,603,4128,5003,42553,0,18680,472,2140,4524,632,0,3868,4447
1974:Q2,97221,5304,90690,1227,97221,5801,2493,593,4213,5279,43479,0,18935,480,2126,5108,648,0,3633,4433
1974:Q3,98933,5400,92337,1196,98933,5786,2418,577,4466,5612,44097,0,19209,486,2160,5682,737,0,3404,4299
1974:Q4,100049,5465,93421,1163,100049,5738,2435,552,4781,6123,44350,0,19625,489,2207,6169,775,0,2475,4330
1975:Q1,100586,5492,93935,1159,100586,4051,4753,502,5106,6289,44187,0,19800,551,2192,6388,895,0,2269,3603
1975:Q2,100735,5493,94125,1117,100735,4253,4469,464,5496,6588,44614,0,19764,553,2203,6428,852,0,2135,2916
1975:Q3,100820,5484,94236,1100,100820,4660,4121,456,5780,6759,44991,0,19703,543,2203,6407,1089,0,1934,2174
1975:Q4,100693,5479,94141,1073,100693,4756,3866,472,5993,6871,45254,0,19629,538,2359,6410,1175,0,1709,1661
1976:Q1,102169,5574,95544,1051,102169,4638,4166,495,6064,6733,46611,0,19565,538,2347,6275,1446,0,1813,1478
1976:Q2,103607,5688,96890,1029,103607,4313,4420,533,5975,6838,48610,0,19367,561,2364,6279,1469,0,1577,1301
1976:Q3,104909,5789,98123,997,104909,4104,4645,607,6327,7001,49552,0,19234,566,2313,6284,1558,0,1586,1132
1976:Q4,105895,5906,99007,982,105895,3894,4798,715,6214,7181,50681,0,19178,563,2328,6350,1659,0,1364,970
1977:Q1,107142,5963,100230,949,107142,3762,5164,758,6254,7287,51590,0,18933,554,2315,6351,1924,0,1350,900
1977:Q2,109746,6064,102763,919,109746,3490,5586,813,6321,7288,53640,0,18907,580,2287,6472,1987,0,1544,831
1977:Q3,111835,6151,104790,894,111835,3396,5951,899,6293,7407,55345,0,18851,576,1998,6528,2212,0,1615,764
1977:Q4,114279,6268,107143,869,114279,3273,6322,1014,6511,7469,56763,0,18823,552,2178,6403,2584,0,1691,696
1978:Q1,116827,6295,109687,845,116827,3017,6737,1134,6859,7553,58506,0,18648,555,2213,6370,2885,0,1679,671
1978:Q2,120272,6517,112937,818,120272,2985,7228,1262,6926,7750,60458,0,18688,553,2444,6176,3469,0,1686,647
1978:Q3,122681,6690,115199,792,122681,2921,7608,1411,7332,7631,61605,0,18742,539,2499,6246,3736,0,1795,616
1978:Q4,125152,6866,117514,772,125152,2749,7992,1581,7453,7857,62245,0,19000,489,2738,6395,4097,0,1957,599
1979:Q1,127635,7010,119879,746,127635,2653,8410,1741,7663,8071,63278,0,19064,481,2891,6460,4353,0,1972,598
1979:Q2,129903,7121,122077,705,129903,2514,8875,1888,7760,8390,64130,0,19076,473,3051,6412,4686,0,2050,598
1979:Q3,132396,7235,124481,680,132396,2462,9318,2004,7948,8691,64790,0,19064,525,3253,6522,4974,0,2248,597
1979:Q4,135048,7364,127030,654,135048,2289,9828,2094,8570,9233,65289,0,19215,523,3305,6583,5318,0,2205,596
1980:Q1,137027,7461,128933,633,137027,2186,10440,2042,9005,9496,65797,0,19265,462,3530,6619,5397,0,2205,583
1980:Q2,138408,7527,130280,601,138408,2166,10633,2034,9811,9879,65641,0,19292,435,3584,6557,5618,0,2188,570
1980:Q3,140218,7615,132031,572,140218,1985,10758,2138,9978,10323,66276,0,19338,359,3745,6643,5832,0,2287,556
1980:Q4,142526,7729,134247,550,142526,1890,10844,2333,10428,10689,67005,0,19514,315,3817,6744,5976,0,2428,543
1981:Q1,143948,7801,135627,520,143948,1802,10710,2658,10864,10822,67604,0,19527,303,3951,6724,6111,0,2337,535
1981:Q2,144952,7854,136605,493,144952,1641,10502,3015,11261,11205,67569,0,19495,311,4164,6705,6201,0,2356,527
1981:Q3,146039,7912,137662,465,146039,1543,10226,3453,10873,11601,68011,0,19441,309,4576,6717,6374,0,2397,518
1981:Q4,142377,7734,134202,441,142377,1057,9566,3958,11386,11938,68488,0,19283,303,4739,5482,3228,0,2439,510
1982:Q1,143640,7805,135420,415,143640,1280,9162,4275,11291,12310,69096,0,19209,215,5091,5459,3267,0,2457,528
1982:Q2,144694,7871,136440,383,144694,2229,8017,4570,11613,12512,69485,0,19000,192,5101,5434,3375,0,2620,546
1982:Q3,144215,7860,136002,353,144215,2179,7770,4808,10764,12887,69214,0,18977,183,5302,5396,3480,0,2691,564
1982:Q4,146112,7964,137827,322,146112,2138,7952,5004,11078,13290,69906,0,18856,361,5378,5361,3589,0,2617,582
1983:Q1,147020,8015,138698,307,147020,2542,7515,5168,10756,13588,70273,0,18864,396,5535,5351,3882,0,2561,589
1983:Q2,150761,8206,142280,275,150761,3627,7213,5373,10794,14185,72002,0,18778,431,5653,5389,4155,0,2566,595
1983:Q3,155784,8459,147064,261,155784,4737,6673,5676,10605,14807,75324,0,18857,412,5703,5293,4606,0,2489,602
1983:Q4,161229,8731,152257,241,161229,5740,5765,6061,10731,15686,78749,0,19107,404,5966,5284,4820,0,2309,607
1984:Q1,167158,9058,157896,204,167158,5741,5934,6608,10246,16652,82855,0,19061,661,5994,5336,4953,0,2442,675
1984:Q2,174957,9494,165283,180,174957,5697,6221,7141,10240,18060,87478,0,18984,637,6013,6157,5074,0,2516,739
1984:Q3,180374,9809,170413,152,180374,5562,6307,7637,9864,19259,91162,0,18769,686,6024,6281,5501,0,2516,806
1984:Q4,186145,10118,175886,141,186145,5359,6513,8108,10137,20187,94769,0,18938,721,6035,6510,5518,0,2490,860
1985:Q1,182816,9956,172744,116,182816,1262,1759,8415,9898,20700,97969,0,19003,1093,6012,6752,6421,0,2648,884
1985:Q2,189290,10285,178909,96,189290,1216,1733,8668,10120,21331,102228,0,19061,1250,6039,7277,6768,0,2680,919
1985:Q3,194964,10574,184307,83,194964,1262,1800,8786,10041,22135,106233,0,19074,1241,6024,7811,6926,0,2675,956
1985:Q4,205915,11128,194715,72,205915,1431,2064,8799,10160,23367,112333,0,19894,2355,6016,8457,6998,0,2915,1126
1986:Q1,212974,11526,201387,61,212974,1335,1994,8985,10356,25334,116167,0,20032,1842,6054,7872,8991,0,2842,1170
1986:Q2,220862,11996,208815,52,220862,1611,2303,9194,10422,27072,118499,0,20241,2486,6044,9139,9103,0,3519,1229
1986:Q3,228838,12391,216407,40,228838,1691,2395,9461,10619,28519,121876,0,20802,2702,6047,9440,10156,0,3881,1249
1986:Q4,239394,12889,226469,36,239394,2427,3062,9777,11111,30394,127226,0,20952,2689,6035,8731,11865,165,3833,1127
1987:Q1,245492,13224,232241,27,245492,600,5162,9580,11081,33597,130552,0,20934,1655,5885,8200,13704,174,3195,1173
1987:Q2,250241,13463,236753,25,250241,150,5903,9269,11167,36741,130087,0,21663,1516,5871,8476,14854,193,3183,1168
1987:Q3,254693,13698,240973,22,254693,389,5615,8981,11214,37256,132878,0,21968,1675,5793,8353,15858,383,3086,1244
1987:Q4,258744,13962,244761,21,258744,0,5197,8848,11480,37389,135701,0,22913,1593,5679,8425,16378,529,3274,1338
1988:Q1,268754,14459,254274,21,268754,0,6785,13128,11576,37598,137067,0,23122,1863,5622,8596,17728,782,3491,1396
1988:Q2,266426,14348,252056,22,266426,0,9262,4567,11340,37799,138662,0,23652,2292,5591,8909,18526,791,3631,1404
1988:Q3,269771,14508,255243,20,269771,0,2640,11029,11596,38014,138707,0,24223,2549,5551,9156,20035,846,3917,1508
1988:Q4,275085,14869,260200,16,275085,0,2274,11377,11814,38482,140264,0,25101,2685,5507,9528,21607,967,3811,1668
1989:Q1,280374,15150,265209,15,280374,0,4523,9134,12140,38842,142961,0,25549,2682,5470,9843,23059,934,3620,1617
1989:Q2,285545,15416,270115,14,285545,0,4736,8824,12375,39081,144298,0,26102,3380,5410,10334,24632,919,3849,1604
1989:Q3,286378,15499,270866,13,286378,0,4333,8491,12039,39140,143884,0,26690,3564,5317,10876,25557,954,3959,1574
1989:Q4,287571,15602,271956,13,287571,0,4255,8177,12266,39697,142206,0,27477,3995,5244,12029,25690,953,3976,1606
1990:Q1,291160,15824,275322,14,291160,0,6253,9130,13970,40035,140587,0,28152,1165,5137,12104,26789,992,5254,1592
1990:Q2,285197,15569,269616,11,285197,0,2846,9089,16733,40312,134444,0,28645,1209,5135,12087,27123,959,5028,1586
1990:Q3,287536,15762,271763,10,287536,0,2808,9032,21943,40448,130861,0,28732,1231,5070,12693,26933,914,5290,1581
1990:Q4,288098,15833,272255,10,288098,0,2458,8957,22911,40710,127373,0,29653,1245,5061,13219,28727,868,5442,1474
1991:Q1,289653,15934,273708,11,289653,0,2090,8846,27323,41103,125770,0,30189,1169,5031,13111,26949,951,5737,1384
1991:Q2,290916,16024,274882,10,290916,0,2177,8704,31018,41191,122993,0,30719,1069,4963,13388,27182,923,5205,1384
1991:Q3,283382,15680,267693,10,283382,0,1165,8492,30849,41530,116673,0,30688,1000,4885,13489,25932,2138,5157,1384
1991:Q4,284847,15824,269013,10,284847,0,1374,8401,31856,41676,114967,0,30081,911,4833,14198,26102,3780,5284,1384
1992:Q1,284670,15886,268774,10,284670,0,1251,8407,33614,41796,112283,0,29834,862,4668,14702,25631,4918,5350,1354
1992:Q2,280821,15701,265112,8,280821,0,1217,8393,30749,42128,110575,0,29407,804,4464,14958,25000,6371,5320,1435
1992:Q3,277326,15562,261756,8,277326,0,1151,8395,28834,42197,109973,0,28772,771,4277,15284,24409,6295,5643,1325
1992:Q4,271664,15350,256306,8,271664,0,1211,8356,27624,42386,105960,0,27950,727,4150,15828,23831,6577,5673,1392
1993:Q1,269563,15359,254196,8,269563,0,1140,7805,26115,42530,106257,0,27814,733,4020,16160,23202,6783,5655,1349
1993:Q2,266732,15329,251394,8,266732,0,1181,7633,24792,42732,104642,0,27542,717,4077,16378,22552,7545,5665,1276
1993:Q3,265452,15773,249671,7,265452,0,1254,7513,23778,42877,104355,0,27008,741,4045,16892,22329,7820,5580,1259
1993:Q4,268532,16378,252147,6,268532,0,1180,7254,23118,42861,105796,0,28306,724,4081,17517,22458,8373,5652,1212
1994:Q1,268405,17182,251217,6,268405,0,1452,6915,21850,43034,106197,0,28307,752,4125,17963,22308,8480,5643,1379
1994:Q2,269592,18264,251322,6,269592,0,1562,7515,21720,43194,105044,0,28950,803,4145,18163,22293,9073,5683,1448
1994:Q3,269472,19248,250217,6,269472,0,1602,7600,22024,43449,104413,0,28467,853,4224,18245,22050,9329,5772,1444
1994:Q4,269282,19644,249632,6,269282,0,1633,7901,20389,43804,103821,0,28616,1019,4273,18376,22442,9820,5824,1364
1995:Q1,268253,19869,248378,6,268253,0,1362,7643,20088,44074,103765,0,28613,1018,4324,18170,22208,9780,5974,1233
1995:Q2,270503,20630,249867,6,270503,0,1136,7526,18712,44370,105272,0,28679,1017,4385,18127,23858,10122,6116,1183
1995:Q3,271678,21059,250613,6,271678,0,906,7339,17595,44479,105846,0,29015,1015,4440,18288,24678,10470,6481,1126
1995:Q4,275296,21702,253589,6,275296,0,638,7220,16893,44690,105284,0,29618,1014,4497,18466,26893,11924,7166,993
1996:Q1,276167,22207,253954,6,276167,0,970,7088,15847,44941,105055,0,30059,1013,4556,18639,27803,12176,7239,781
1996:Q2,279414,23017,256392,5,279414,0,956,6902,15836,45170,105745,0,30513,1012,4614,18234,28938,12825,8003,666
1996:Q3,281819,23910,257905,4,281819,0,1038,6839,15090,45603,107243,0,29649,1011,4674,17991,30705,13782,7549,645
1996:Q4,287628,24911,262715,2,287628,0,1195,6768,14404,46527,107434,0,31655,1016,4736,17702,32499,15721,7211,760
1997:Q1,287872,26293,261579,0,287872,0,1373,6536,13687,46525,107517,0,30894,1023,4798,17330,33749,15684,7990,766
1997:Q2,291915,27832,264083,0,291915,0,1630,6446,13606,46724,108469,0,31524,1031,4860,16792,35167,16811,7898,957
