1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,3000,1780,0,932,32,168,108,-20,0,340,320,20,2660
1962:Q4,-2192,-2320,0,396,-32,-124,-92,-20,0,636,608,28,-2828
1963:Q1,1448,424,0,412,-88,692,-40,48,0,-672,-712,40,2120
1963:Q2,860,2980,0,-1192,-116,-644,-168,0,0,3456,3308,148,-2596
1963:Q3,1788,1644,0,-80,120,-36,92,48,0,2460,2368,92,-672
1963:Q4,-136,508,0,-612,-4,-36,-12,20,0,1960,1928,32,-2096
1964:Q1,2048,632,0,800,-60,416,264,-4,0,-1140,-1268,128,3188
1964:Q2,520,1476,0,-272,-64,-256,-340,-24,0,780,752,28,-260
1964:Q3,692,420,0,160,-48,328,-200,32,0,1136,1064,72,-444
1964:Q4,-564,-660,0,196,-48,-16,-44,8,0,232,284,-52,-796
1965:Q1,1832,2236,0,-664,120,56,56,28,0,-600,-676,76,2432
1965:Q2,832,1556,0,-364,-12,-332,-4,-12,0,-112,-152,40,944
1965:Q3,2408,1488,0,424,72,204,148,72,0,2160,2080,80,248
1965:Q4,3368,3052,0,88,44,-8,148,44,0,3788,3676,112,-420
1966:Q1,4500,3124,0,1024,32,416,-128,32,0,316,160,156,4184
1966:Q2,-7836,-5380,0,-1752,-68,-396,-172,-68,0,-9900,-9856,-44,2064
1966:Q3,1208,976,0,-44,32,116,96,32,0,2160,2228,-68,-952
1966:Q4,-1572,-2240,0,472,12,104,68,12,0,1716,1740,-24,-3288
1967:Q1,3156,1348,0,664,316,844,-168,152,0,-1516,-1896,380,4672
1967:Q2,-19360,-16128,0,-1356,-292,-1288,-200,-96,0,-24880,-24856,-24,5520
1967:Q3,-688,-1400,0,324,-4,124,124,144,0,2604,2604,0,-3292
1967:Q4,-636,-576,0,32,-12,-124,20,24,0,3744,3600,144,-4380
1968:Q1,23076,21884,0,52,120,648,172,200,0,12440,11896,544,10636
1968:Q2,-13344,-12164,0,-392,-144,-360,-256,-28,0,-10788,-10892,104,-2556
1968:Q3,-3500,-4452,0,408,96,304,20,124,0,-356,-364,8,-3144
1968:Q4,-1172,-848,0,-176,-160,56,60,-104,0,2780,2696,84,-3952
1969:Q1,10840,9220,0,616,128,652,184,40,0,8004,7596,408,2836
1969:Q2,-8540,-6752,0,-624,-24,-680,-200,-260,0,-21492,-21360,-132,12952
1969:Q3,-1844,-3012,0,480,172,348,92,76,0,1316,1500,-184,-3160
1969:Q4,-6520,-6264,0,-136,-72,-100,116,-64,0,-596,-544,-52,-5924
1970:Q1,-904,-3576,0,1756,184,744,100,-112,0,-4864,-5220,356,3960
1970:Q2,-4928,-2600,0,-1144,-188,-792,-160,-44,0,-1624,-1560,-64,-3304
1970:Q3,-704,-2224,0,748,128,396,140,108,0,-1764,-1896,132,1060
1970:Q4,-1652,-2128,0,72,144,152,48,60,0,-2192,-2028,-164,540
1971:Q1,3944,2120,0,1012,136,500,136,40,0,3408,2920,488,536
1971:Q2,3748,5016,1244,-1820,132,-532,-132,-160,0,8604,7244,1360,-4856
1971:Q3,5184,2788,1452,532,-48,320,100,40,0,-368,-1992,1624,5552
1971:Q4,3488,2436,1452,348,-392,-396,0,40,0,-920,-2432,1512,4408
1972:Q1,2932,612,1452,-104,264,576,92,40,0,4468,2524,1944,-1536
1972:Q2,3064,4004,1452,-1220,-56,-804,-204,-108,0,1092,-404,1496,1972
1972:Q3,3012,216,1452,580,188,384,80,112,0,-272,-1948,1676,3284
1972:Q4,6568,4908,1452,48,84,-96,116,56,0,412,-1588,2000,6156
1973:Q1,7324,3496,1456,1344,104,728,136,60,0,6092,4300,1792,1232
1973:Q2,4496,5660,1476,-1296,-128,-828,-244,-144,0,2088,540,1548,2408
1973:Q3,3524,1008,1508,424,88,348,100,48,0,1268,4,1264,2256
1973:Q4,6408,4972,1544,12,-12,-104,8,-12,0,3064,1172,1892,3344
1974:Q1,10436,6632,1736,1164,140,708,108,-52,0,-652,-2616,1964,11088
1974:Q2,9388,10408,1668,-1256,-128,-860,-212,-232,0,3920,1920,2000,5468
1974:Q3,12368,9704,1488,760,84,304,84,-56,0,5164,2996,2168,7204
1974:Q4,3816,2684,1348,72,-16,-200,20,-92,0,-1780,-2304,524,5596
1975:Q1,-9596,-12596,1208,876,108,620,124,64,0,-11688,-12608,920,2092
1975:Q2,-3308,-1004,1148,-1992,-132,-932,-212,-184,0,372,-1412,1784,-3680
1975:Q3,3440,1772,996,152,60,220,92,148,0,5324,2732,2592,-1884
1975:Q4,3772,2932,876,140,-16,-268,-4,112,0,4632,3612,1020,-860
1976:Q1,9372,6040,1168,264,128,772,132,868,0,10540,8196,2344,-1168
1976:Q2,7528,7808,1172,92,-96,-812,-244,-392,0,11312,10212,1100,-3784
1976:Q3,5844,3732,1188,236,132,512,100,-56,0,5992,4744,1248,-148
1976:Q4,6072,4412,1204,240,52,60,12,92,0,3080,1996,1084,2992
1977:Q1,-976,-2700,1120,344,96,312,72,-220,0,-3624,-5660,2036,2648
1977:Q2,-276,-2356,1104,424,120,416,112,-96,0,-4132,-6124,1992,3856
1977:Q3,6232,4056,1072,440,128,444,124,-32,0,5856,4336,1520,376
1977:Q4,8436,6376,1048,388,128,388,116,-8,0,4516,3404,1112,3920
1978:Q1,3848,2588,376,356,132,368,120,-92,0,-1552,-544,-1008,5400
1978:Q2,3716,1788,660,340,148,388,148,244,0,2956,424,2532,760
1978:Q3,6396,3816,1360,320,132,336,120,312,0,4224,2784,1440,2172
1978:Q4,13864,11492,1924,296,84,224,36,-192,0,10776,8296,2480,3088
1979:Q1,11892,9176,2264,320,44,132,-40,-4,0,6736,3880,2856,5156
1979:Q2,5856,3028,2496,380,16,60,-120,-4,0,-4700,-7188,2488,10556
1979:Q3,10944,7700,3076,280,-16,-28,-152,84,0,3884,1000,2884,7060
1979:Q4,10996,7820,3540,-4,-60,-152,-156,8,0,3996,876,3120,7000
1980:Q1,12656,8176,4300,-268,108,304,-88,124,0,10816,3448,7368,1840
1980:Q2,-548,-4736,3592,-572,188,516,-72,536,0,-24828,-24876,48,24280
1980:Q3,1660,-636,1828,-640,184,500,-72,496,0,-2316,-5396,3080,3976
1980:Q4,8816,8708,412,-508,96,264,-100,-56,0,9308,7608,1700,-492
1981:Q1,-1792,88,-1168,-388,8,24,-100,-256,0,1772,1124,648,-3564
1981:Q2,-3268,-1012,-1332,-356,-76,-204,-108,-180,0,-29832,-26364,-3468,26564
1981:Q3,-3400,-764,-1748,-300,-84,-228,-116,-160,0,-10492,-9200,-1292,7092
1981:Q4,-16904,-14312,-2088,-252,-28,-48,-136,-40,0,-17088,-13432,-3656,184
1982:Q1,-15980,-15736,120,-156,48,132,-144,-244,0,-26988,-26680,-308,11008
1982:Q2,-7152,-7968,668,-72,108,292,-180,0,0,-19084,-19812,728,11932
1982:Q3,520,-2300,2036,-36,108,296,-156,572,0,6056,2992,3064,-5536
1982:Q4,13028,8888,3140,-60,52,148,-88,948,0,-36,-2652,2616,13064
1983:Q1,15044,13028,2012,-36,0,4,12,24,0,904,832,72,14140
1983:Q2,508,-832,1944,-16,-48,-124,100,-516,0,19232,14532,4700,-18724
