1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,39428,1321,0,0,22251,0,4623,1512,12368,3748,171,11,12432,278,0,0,2964,0,0,0,0,36143,24225,0,0,129,0,174,23922,0,23427,495,11918,11423,495,0,0,ND,ND,23427,0,0,0
1967:Q2,39883,1305,0,0,22576,0,4335,1552,12785,3904,176,12,12486,297,0,0,3031,0,0,0,0,36250,24671,0,0,129,0,101,24441,0,23945,496,11579,11083,496,0,0,ND,ND,23945,0,0,0
1967:Q3,40953,1291,0,0,22913,0,4325,1304,13205,4079,181,13,13138,317,0,0,3100,0,0,0,0,37095,25208,0,0,129,0,100,24979,0,24482,497,11887,11390,497,0,0,ND,ND,24482,0,0,0
1967:Q4,41297,1285,0,0,23298,0,4286,1177,13542,4293,185,14,13000,339,0,0,3176,0,0,0,0,34351,25761,0,0,136,0,97,25528,0,25006,522,8590,8068,522,0,0,ND,ND,25006,0,0,0
1968:Q1,40913,1297,0,0,23744,0,4170,1215,13804,4555,188,15,12059,363,0,0,3247,0,0,0,0,34847,26364,0,0,136,0,127,26101,0,25578,523,8483,7960,523,0,0,ND,ND,25578,0,0,0
1968:Q2,43256,1324,0,0,24248,0,4007,1371,13998,4872,190,16,13773,388,0,0,3317,0,0,0,0,38100,26910,0,0,136,0,91,26683,0,26159,524,11190,10666,524,0,0,ND,ND,26159,0,0,0
1968:Q3,44387,1351,0,0,24758,0,3995,1391,14180,5192,192,17,14263,415,0,0,3391,0,0,0,0,32465,27556,0,0,136,0,115,27305,0,26780,525,4909,4384,525,0,0,ND,ND,26780,0,0,0
1968:Q4,45313,1362,0,0,25220,0,3933,1420,14403,5464,193,18,14600,444,0,0,3476,0,0,0,0,31514,28239,0,0,143,0,75,28021,0,27472,549,3275,2726,549,0,0,ND,ND,27472,0,0,0
1969:Q1,45388,1361,0,0,25637,0,3781,1511,14651,5694,195,19,14129,475,0,0,3572,0,0,0,0,31807,29114,0,0,143,0,107,28864,0,28314,550,2693,2143,550,0,0,ND,ND,28314,0,0,0
1969:Q2,45505,1347,0,0,25928,0,3939,1267,14908,5814,196,21,13826,507,0,0,3680,0,0,0,0,34517,29943,0,0,143,0,101,29699,0,29147,552,4574,4022,552,0,0,ND,ND,29147,0,0,0
1969:Q3,45510,1331,0,0,26381,0,3479,1643,15185,6074,197,22,13244,543,0,0,3792,0,0,0,0,35096,30681,0,0,144,0,144,30393,0,29840,553,4415,3862,553,0,0,ND,ND,29840,0,0,0
1969:Q4,46155,1321,0,0,26832,0,3448,1615,15496,6273,200,23,13300,581,0,0,3898,0,0,0,0,35686,31600,0,0,136,0,126,31338,0,30817,521,4086,3565,521,0,0,ND,ND,30817,0,0,0
1970:Q1,46771,1338,0,0,27604,0,3350,1684,15813,6757,208,25,12964,621,0,0,4011,0,0,0,0,36332,32495,0,0,136,0,172,32187,0,31664,523,3837,3314,523,0,0,ND,ND,31664,0,0,0
1970:Q2,45097,1372,0,0,28366,0,3242,1783,16110,7231,220,27,10321,664,0,0,4127,0,0,0,0,36295,33301,0,0,136,0,125,33040,0,32515,525,2994,2469,525,0,0,ND,ND,32515,0,0,0
1970:Q3,48069,1408,0,0,29409,0,3388,1638,16481,7902,233,29,12034,710,0,0,4246,0,0,0,0,39508,34191,0,0,137,0,157,33897,0,33371,526,5317,4791,526,0,0,ND,ND,33371,0,0,0
1970:Q4,50662,1432,0,0,30625,0,3398,1628,17021,8578,245,31,13200,759,0,0,4370,0,0,0,0,40810,35105,0,0,140,0,193,34772,0,34235,537,5705,5168,537,0,0,ND,ND,34235,0,0,0
1971:Q1,53411,1455,0,0,31576,0,3328,1704,17721,8823,245,33,14847,812,0,0,4443,0,0,0,0,42276,36002,0,0,140,0,227,35635,0,35096,539,6274,5735,539,0,0,ND,ND,35096,0,0,0
1971:Q2,54590,1476,0,0,32529,0,3220,1824,18575,8910,240,35,14970,869,0,0,4471,0,0,0,0,43570,36873,0,0,141,0,260,36472,0,35932,540,6697,6157,540,0,0,ND,ND,35932,0,0,0
1971:Q3,56300,1494,0,0,33481,0,3180,1881,19517,8903,233,38,15605,928,0,0,4521,0,0,0,0,44489,37743,0,0,141,0,248,37354,0,36812,542,6746,6204,542,0,0,ND,ND,36812,0,0,0
1971:Q4,58450,1509,0,0,34424,0,3183,1897,20481,8863,223,40,16600,993,0,0,4661,0,0,0,0,45157,38721,0,0,158,0,150,38413,0,37805,608,6436,5828,608,0,0,ND,ND,37805,0,0,0
1972:Q1,61338,1521,0,0,35377,0,3055,2050,21508,8764,215,43,18225,1062,0,0,4895,0,0,0,0,46779,39893,0,0,158,0,216,39519,0,38909,610,6886,6276,610,0,0,ND,ND,38909,0,0,0
1972:Q2,63314,1531,0,0,36353,0,2886,2254,22639,8574,204,46,18815,1136,0,0,5229,0,0,0,0,47360,41097,0,0,159,0,202,40736,0,40125,611,6263,5652,611,0,0,ND,ND,40125,0,0,0
1972:Q3,65605,1537,0,0,37297,0,2757,2415,23776,8349,193,49,19740,1215,0,0,5574,0,0,0,0,47787,42406,0,0,159,0,249,41998,0,41385,613,5381,4768,613,0,0,ND,ND,41385,0,0,0
1972:Q4,68865,1540,0,0,38150,0,2901,2288,24820,8141,181,53,21800,1299,0,0,5842,0,0,0,0,52715,43767,0,0,180,0,270,43317,0,42624,693,8948,8255,693,0,0,ND,ND,42624,0,0,0
1973:Q1,69263,1540,0,0,39020,0,2734,2451,25807,8028,176,56,21031,1390,0,0,6050,0,0,0,0,52187,44990,0,0,181,0,296,44513,0,43819,694,7197,6503,694,0,0,ND,ND,43819,0,0,0
1973:Q2,69402,1534,0,0,39830,0,2674,2479,26774,7903,173,60,20101,1486,0,0,6218,0,0,0,0,52241,46152,0,0,182,0,264,45706,0,45006,700,6089,5389,700,0,0,ND,ND,45006,0,0,0
1973:Q3,72681,1529,0,0,40667,0,2738,2392,27674,7863,171,64,22302,1589,0,0,6359,0,0,0,0,54546,47371,0,0,183,0,286,46902,0,46196,706,7175,6469,706,0,0,ND,ND,46196,0,0,0
1973:Q4,71257,1527,0,0,41611,0,2837,2310,28462,8002,166,69,19700,1699,0,0,6485,0,0,0,0,54957,48711,0,0,212,0,283,48216,0,47399,817,6246,5429,817,0,0,ND,ND,47399,0,0,0
1974:Q1,72648,1534,0,0,42671,0,2765,2452,29118,8336,164,74,19749,1817,0,0,6639,0,0,0,0,55736,49888,0,0,196,0,318,49374,0,48618,756,5848,5092,756,0,0,ND,ND,48618,0,0,0
1974:Q2,71451,1546,0,0,43838,0,2560,2781,29626,8871,162,79,17119,1943,0,0,6764,0,0,0,0,55402,51020,0,0,181,0,286,50553,0,49859,694,4382,3688,694,0,0,ND,ND,49859,0,0,0
1974:Q3,67845,1560,0,0,45039,0,2525,2940,30102,9472,161,84,12038,2078,0,0,6885,0,0,0,0,55252,52198,0,0,165,0,307,51726,0,51093,633,3054,2421,633,0,0,ND,ND,51093,0,0,0
1974:Q4,70084,1581,0,0,46214,0,2860,2680,30662,10012,157,90,12800,2222,0,0,7020,0,0,0,0,56909,53297,0,0,145,0,303,52849,0,52293,556,3612,3056,556,0,0,ND,ND,52293,0,0,0
1975:Q1,73883,1412,0,0,47906,0,3170,2963,31256,10517,151,96,14759,2377,0,0,7182,0,0,0,0,58901,54755,0,0,154,0,330,54271,0,53679,592,4146,3554,592,0,0,ND,ND,53679,0,0,0
