1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,194463,41519,2234,0,0,428,38857,148972,7022,14283,4300,123367,2100,328,1772,1847,25,194463,97391,50599,32297,18302,8428,10659,6710,1291,1431,882,0,381,120,1655,0,950,0,9447,5056,4391,11229
1967:Q4,208909,44099,2467,0,0,396,41236,160896,5234,15564,4562,135536,1974,332,1642,1914,26,208909,103731,53161,34817,18344,7525,11427,6903,1285,1576,894,0,303,178,1677,0,990,0,9787,5290,4497,16375
1968:Q1,197643,42559,2096,0,0,448,40015,150756,5320,15716,4480,125240,2333,372,1961,1969,26,197643,99805,51582,33207,18375,6850,10738,6643,1297,1164,871,0,365,125,1697,0,1124,0,9801,5300,4501,12224
1968:Q2,204932,44793,1912,0,0,431,42450,155115,4970,16284,4402,129459,3007,435,2572,1990,27,204932,101539,53418,35000,18418,6502,11587,7033,1324,1225,950,0,403,148,1709,0,1274,0,9824,5268,4556,15029
1968:Q3,208196,43923,1824,0,0,403,41696,160116,9040,14479,4600,131997,2094,546,1548,2036,27,208196,105852,53308,34846,18462,9687,9722,7464,1351,1434,983,0,429,151,1718,0,1398,0,10175,5549,4626,11988
1968:Q4,224018,45642,1398,0,0,477,43767,173076,5010,16876,4836,146354,3105,538,2567,2166,29,224018,112659,56030,37531,18499,5119,10766,7817,1362,1682,1015,0,377,181,1735,0,1465,0,10637,5851,4786,20990
1969:Q1,210242,44672,1217,0,0,404,43051,158410,5510,16681,4825,131394,4940,566,4374,2191,29,210242,105257,55280,36754,18526,5837,10527,7640,1361,1347,1005,0,497,194,1749,0,1487,0,10605,5795,4810,15096
1969:Q2,219617,46969,1891,0,0,419,44659,165339,5639,16930,4814,137956,5048,554,4494,2231,30,219617,106702,59098,40552,18546,7073,10747,7341,1347,1217,1009,0,315,216,1767,0,1470,0,10717,5787,4930,17939
1969:Q3,216516,46637,1885,0,0,410,44342,162251,7610,16505,5000,133136,5326,590,4736,2271,31,216516,105362,59656,41094,18562,7781,10300,7558,1331,1279,1004,0,329,394,1794,0,1427,0,11030,6000,5030,14829
1969:Q4,232072,48911,1969,0,0,377,46565,177739,5054,17558,5205,149922,3093,593,2500,2297,32,232072,110925,61700,43122,18578,6915,12645,7726,1321,1634,1024,0,309,230,1822,0,1386,0,11454,6175,5279,20707
1970:Q1,218688,48129,2060,0,0,456,45613,161062,6140,16445,5225,133252,7045,594,6451,2419,33,218688,106909,59297,40690,18607,8475,11529,7415,1338,1477,1029,0,236,160,1853,0,1322,0,11601,6275,5326,13462
1970:Q2,226812,49115,1444,0,0,410,47261,168495,8076,17061,5238,138120,6663,598,6065,2505,34,226812,113195,58026,39393,18633,10152,12140,7267,1372,1381,918,0,306,173,1892,0,1225,0,11692,6246,5446,14340
1970:Q3,227870,49585,1685,0,0,365,47535,167739,8470,16137,5500,137632,7940,609,7331,2572,34,227870,117103,59171,40512,18659,10612,9980,7392,1408,1430,1028,0,274,180,1941,0,1131,0,12029,6474,5555,11583
1970:Q4,244823,51979,1587,0,0,346,50046,182893,7938,17763,5729,151463,7273,621,6652,2642,36,244823,118500,62746,44059,18687,9809,11678,7947,1432,1758,1106,0,388,193,1997,0,1073,0,12439,6696,5743,21704
1971:Q1,230658,50819,1341,0,0,404,49074,168336,4520,16697,5425,141694,8853,615,8238,2612,38,230658,118783,58670,39955,18715,6641,11873,7855,1455,1549,1199,0,352,206,2054,0,1040,0,12260,6444,5816,14576
1971:Q2,245007,52859,1728,0,0,372,50759,179071,8412,17276,5098,148285,10450,699,9751,2587,40,245007,124397,59418,40676,18742,10810,12293,7938,1476,1482,1205,0,420,188,2108,0,1059,0,12153,6169,5984,17998
1971:Q3,243171,53601,2496,0,0,373,50732,176879,8920,16005,5175,146779,9805,624,9181,2845,41,243171,126293,59510,40734,18776,11915,11630,8320,1494,1507,1242,0,450,381,2159,0,1087,0,12238,6172,6066,13265
1971:Q4,262871,56470,2484,0,0,465,53521,195933,10169,17665,5233,162866,7426,805,6621,2999,43,262871,131844,61405,42581,18824,13228,12662,8679,1509,1763,1305,0,548,247,2210,0,1097,0,12725,6503,6222,22328
1972:Q1,249984,53938,1330,0,0,275,52333,189927,8740,17142,5580,158465,3152,846,2306,2922,45,249984,130583,59135,40251,18884,9863,12115,8329,1521,1164,1413,0,703,167,2260,0,1101,0,12972,6701,6271,16987
1972:Q2,258173,58386,2695,0,0,298,55393,195032,9083,17687,5957,162305,1861,948,913,2847,47,258173,130848,59209,40246,18963,12103,12586,8684,1531,1328,1471,0,747,192,2309,0,1106,0,13643,7203,6440,21100
1972:Q3,260034,56199,2209,0,0,229,53761,198995,9470,17048,6293,166184,1706,1281,425,3086,48,260034,135012,62197,43158,19039,11695,11915,8918,1537,1422,1577,0,723,197,2358,0,1104,0,14347,7803,6544,15950
1972:Q4,286955,60440,2200,0,0,369,57871,218896,10870,18588,6340,183098,4244,1561,2683,3325,50,286955,143997,64031,44938,19093,13287,13430,9764,1540,1981,1790,0,767,199,2406,0,1081,0,15076,8270,6806,27370
1973:Q1,271668,60510,3778,0,0,442,56290,204649,11382,17058,6081,170128,3102,1387,1715,3354,53,271668,140820,61283,41062,20221,14865,11867,9292,1540,1524,1889,0,612,234,2453,0,1040,0,14805,7910,6895,18736
1973:Q2,282316,64944,4408,0,0,437,60099,209940,10423,18166,6687,174664,4110,1723,2387,3266,56,282316,143495,62417,41060,21357,15029,12927,9400,1534,1501,2016,0,664,210,2500,0,975,0,15950,8847,7103,23098
1973:Q3,272644,60536,1497,0,0,500,58539,205582,8203,16637,6918,173824,2988,1602,1386,3482,56,272644,143080,65208,42702,22506,9834,11315,9571,1529,1435,2340,0,600,214,2546,0,907,0,16226,9020,7206,17410
1973:Q4,304731,64954,2859,0,0,300,61795,231556,9862,18663,8566,194465,4508,2299,2209,3656,57,304731,152350,69968,46315,23653,12642,13217,10338,1527,2070,2455,0,544,297,2591,0,854,0,18910,11165,7745,27306
1974:Q1,283558,64339,2432,0,0,419,61488,211323,8607,17026,9024,176666,4210,2080,2130,3627,59,283558,148134,66348,42253,24095,10797,11471,9714,1534,1493,2604,0,359,271,2635,0,818,0,19398,11523,7875,17696
1974:Q2,293328,69100,3193,0,0,445,65462,212683,8364,19379,9477,175463,7886,2731,5155,3597,62,293328,146991,66933,42598,24335,12109,13790,9828,1546,1451,2840,0,305,217,2678,0,791,0,20763,12653,8110,22914
