1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q4,10811909,1255774,9556135,9322891,233244,126,4640,223821,1189297,745,1641103,2130430,1916870,1040679,769316,115891,-9016,213560,1424946,-10948,-168262,205099,136773,596121,-12332,209405,104563,294485,7532,8344,-812,0,-191960,-84220,206961,14024,622258,9872,81696,1211386,13436,1179686,1145848,78934,23352,-76388,7940,15704,2560,-489327
2006:Q1,11104338,1320481,9783857,9473987,309870,-2797,4648,254432,1204675,20182,1741350,1837520,1964739,1078456,775467,120370,-9554,-127219,1279551,16128,46492,712513,91456,73717,123396,8484,-36193,-21969,83788,101040,-11440,-5812,-711219,-27657,224494,98568,630599,8104,32567,1406770,8376,1381270,1151504,78986,50244,82880,17656,16328,796,-96170
2006:Q2,11257803,1351258,9906545,9612779,293766,-237,4590,237853,1223160,15235,1734717,1883539,1931144,1073897,743010,124032,-9795,-47605,1475487,19148,51512,485343,223148,58818,-74714,-344363,142173,335722,128517,143237,-20168,5448,-107789,-48548,-2890,20508,613259,8104,26358,1523092,33960,1472080,1249711,114821,43096,46796,17656,16328,724,-148822
2006:Q3,11350946,1358615,9992331,9750434,241897,-1825,4560,237569,1239090,15727,1696444,1484042,1903489,1084440,702636,126691,-10278,-419447,754067,-3668,-33326,499796,255741,-444890,-212854,128981,88965,-449981,-49702,-40838,-27200,18336,-219592,-44465,163770,64544,534603,8104,23152,1173514,532,1156426,943834,124000,29788,41148,17656,16328,228,212402
2006:Q4,11494898,1397497,10097401,9839134,258267,-436,4591,234926,1254745,15731,1727180,1817548,1882612,1092747,671854,129013,-11002,-65064,1027540,-7212,-194482,183408,246080,-203803,-185636,-170710,42887,109655,22969,35585,-18596,5980,58900,-66812,420282,75156,475324,8104,9627,1092604,22216,1053404,656763,162621,81596,134768,17656,16328,656,-90368
2007:Q1,11734242,1466544,10267698,9988204,279494,-293,4685,240316,1266551,3214,1778169,2307678,1865826,1104724,640658,131119,-10675,441852,1304133,14352,244704,694174,301147,-332504,-196815,296757,60994,-493441,97208,101584,-16224,11848,-663171,-66327,399007,42928,518603,9896,44117,862281,10352,832921,748279,110870,-37476,-1700,12948,16864,2144,-529509
2007:Q2,11902014,1495933,10406081,10109801,296280,-160,4707,235987,1279687,5304,1801783,787980,1843314,1110974,609805,133767,-11232,-1055334,199625,25580,-237128,487194,311791,-264852,-160671,224192,138030,-466404,224139,242719,-18424,-156,-1142977,-67235,147372,65100,610080,9896,30664,1254959,29368,1208607,859976,138751,1796,195136,12948,16864,120,1013803
2007:Q3,11981417,1498852,10482565,10232732,249833,-1404,4723,231067,1293113,4621,1763265,3790279,1810533,1116753,567138,138127,-11485,1979746,2852959,19656,-299879,498749,835344,1392579,-241939,778387,30148,825984,85050,82918,-13752,15884,-417216,-69625,195483,24760,508504,9896,69658,873213,6768,847717,769712,181309,61304,-177556,12948,16864,1864,-2027013
2007:Q4,12110797,1508627,10602170,10374082,228088,116,4748,225953,1303400,15789,1737020,3394337,1768290,1120257,516527,142941,-11435,1626047,2428365,11516,-96973,443415,559234,1165664,181501,591652,-114161,506672,470720,478956,-11444,3208,-1130124,-93991,423103,58448,586292,9896,21165,802318,44336,741118,483897,169925,27500,46848,12948,16864,0,-1657317
2008:Q1,12269131,1535137,10733994,10433258,300736,-3793,4783,189614,1307674,14179,1775269,2631910,1693104,1087970,469970,146315,-11151,938806,1668661,-14628,229826,589340,976979,-78738,165362,28515,-107173,-165441,405259,399731,-9036,14564,-779134,-408839,42356,45408,576231,7504,77096,729854,11840,687442,358758,144508,21984,153460,8732,25228,5344,-856641
2008:Q2,12614301,1552464,11061837,10549446,512391,-713,4794,164103,1317904,17244,1971647,1835022,1657193,1073086,444512,150460,-10865,177829,152233,-22228,133310,-223095,-233229,642316,228420,164772,157356,91767,1992,-26184,27772,404,-759379,-360507,286114,58236,577951,7504,43249,-25595,41884,-94275,99837,67224,-71660,-198408,8732,25228,1568,136625
