1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,676,3582,8893,376,186,3,2749,258,-1538,2840,-2021,3210,-168,236,-3954,954,0,117,4120,4274,6542,0,-2268,12042,11773,0,0,1808,3298,14,6653,0,9368,-2715,269,-241,510,0,244,0,5345,3549,2993,474
2000:Q4,350,3619,25886,640,887,3,-542,1261,-1722,2095,-3706,1530,-38,-692,10243,784,0,117,-1507,15991,6542,0,9449,6388,4585,0,0,-793,3299,14,2065,0,322,1743,1803,-594,2397,0,-22767,0,-3702,3549,2993,475
2001:Q1,1737,3954,17652,6919,-3654,2080,-7334,-7307,-1604,2365,-2722,1934,10,116,1836,626,0,96,5511,11446,12054,0,-608,22966,20709,765,0,1450,4116,3256,11122,0,15649,-4527,2257,-458,2715,0,3097,0,9159,5940,6114,550
2001:Q2,-2405,3865,16594,1244,-382,288,22,-841,-26,143,405,342,33,-166,1045,-120,0,95,4305,10230,12056,0,-1826,15506,18132,-58,0,-162,4119,-971,15204,0,20294,-5090,-2626,-554,-2072,0,-7358,0,13803,5940,6116,551
2001:Q3,-554,3796,27123,1906,1772,-914,6475,3437,569,4640,-5791,3620,44,99,2083,-104,0,95,5265,10402,12052,0,-1650,30504,31361,-357,0,488,4114,-36,27152,0,30313,-3161,-857,-1645,788,0,-969,0,23826,5938,6114,549
2001:Q4,4088,3677,23707,-506,-769,300,8128,-1618,1106,1715,3320,3605,168,-62,2793,-1834,0,-754,-763,17006,12054,0,4952,19952,17873,1305,0,926,4117,-633,12158,0,14153,-1995,2079,3139,-1060,0,-3344,0,7663,5940,6114,550
2002:Q1,2659,3660,22613,3902,-631,912,7578,-2294,2696,4349,1019,1808,2,488,544,4474,0,-7,6689,-1338,4569,0,-5907,23432,19200,-460,0,128,4134,-552,15950,0,13066,2884,4232,4061,171,0,-182,0,10617,1949,2620,500
2002:Q2,3684,3645,24869,275,179,-10,8761,-251,2759,4122,1663,468,23,314,1275,1258,0,-7,7473,5328,4568,0,760,23667,20497,155,0,-620,4138,-1395,18219,0,19039,-820,3170,-343,3513,0,-1163,0,16590,1948,2620,501
2002:Q3,4967,3666,25581,8409,3280,156,6827,3455,3830,4223,-2042,-2639,3,-99,584,-123,0,-7,3472,3079,4567,0,-1488,21749,19812,434,0,-712,4133,-116,16073,0,20788,-4715,1937,1094,843,0,-2531,0,18341,1948,2619,499
2002:Q4,6960,3556,34956,352,2192,-113,16468,2081,5567,5549,6013,-2742,84,2323,4901,2598,0,-7,202,5956,4568,0,1388,31989,25726,-843,0,-512,4135,882,22064,0,13088,8976,6263,1381,4882,0,437,0,10640,1948,2620,500
2003:Q1,7457,4546,29941,4287,-1557,706,10719,-2643,1621,433,9394,1914,6,-420,-804,1382,0,305,3798,11519,2327,0,9192,26113,27501,2517,0,-1015,339,-1938,27598,0,18176,9422,-1388,-274,-1114,0,-917,0,17562,38,2289,576
2003:Q2,10544,4629,20898,6155,1267,243,10727,1204,4046,-222,6827,-1128,-57,462,-273,2023,0,305,1788,-1742,2328,0,-4070,27212,21493,2851,0,39,343,135,18125,0,14008,4117,5719,4587,1132,0,12229,0,13396,38,2290,574
2003:Q3,11194,4788,18652,-932,-265,-73,16938,-328,3516,204,8880,4666,-7,181,1074,1869,0,305,-111,-327,2327,0,-2654,16411,16865,-3197,0,-784,339,315,20192,0,21103,-911,-454,-814,360,0,4165,0,20489,38,2289,576
2003:Q4,12141,4862,4853,-628,-387,-319,23151,-234,4900,2161,8045,8279,171,-695,638,-1242,0,305,-3839,-12302,2326,0,-14628,27138,22487,-978,0,324,344,-422,23219,0,4828,18391,4651,631,4020,0,29564,0,4217,37,2289,574
