1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,42703,4576,6984,23076,13552,2876,4840,1808,8067,42703,37435,21159,6167,7921,1544,644,4648,2464,0,0,0,-176,3020,0,-660,0,620,42703,8831,4164,1103,972,2332,260,33872,0,26916,-928,76,712,-16,2640,316,1180,336,0,2220,96,0,1836,0,-1512,0,0,0
1962:Q3,43463,8120,5728,24380,15376,3328,4596,1080,5235,43463,40323,24039,6912,7560,1604,208,3724,1116,0,0,0,136,568,0,1904,0,-584,43463,3759,2204,739,-4,568,252,39704,0,28396,408,76,684,-24,2720,324,812,324,0,1352,148,0,3268,0,1216,0,0,0
1962:Q4,57247,16616,6988,26860,16120,3852,5892,996,6783,57247,45783,25879,9267,8109,1704,824,10292,1732,0,0,0,220,3480,0,4860,0,1172,57247,4163,860,-357,1184,2244,232,53084,0,39188,20,60,616,-40,5368,328,976,348,0,2268,160,0,2756,0,1036,0,0,0
1963:Q1,27635,-4372,1764,22384,14544,2600,3768,1472,7859,27635,38039,23123,4891,7081,2700,244,-11792,-3860,0,0,0,-104,-3040,0,-4788,0,1388,27635,5591,1828,2211,-1396,2732,216,22044,0,15656,900,48,608,-12,2956,324,1088,356,0,-4376,160,0,4012,0,324,0,0,0
1963:Q2,60811,10248,16120,27164,16148,3280,5376,2360,7279,60811,48775,30063,5446,9426,3756,84,8932,3024,0,0,0,-252,2364,0,3796,0,3104,60811,8123,6552,91,848,440,192,52688,0,36884,600,36,848,-12,3640,312,1420,356,0,1912,168,0,3412,0,3112,0,0,0
1963:Q3,55051,8660,8412,28732,18504,3168,5372,1688,9247,55051,46275,29243,6925,8547,1152,408,7932,3016,0,0,0,0,2348,0,2568,0,844,55051,2855,236,1559,184,688,188,52196,0,34728,736,32,692,-8,3952,336,1036,368,0,3412,56,0,4976,0,1880,0,0,0
1963:Q4,66999,16448,11840,28992,18000,4120,5876,996,9719,66999,55883,31407,11553,9623,3104,196,8200,3040,0,0,0,0,4044,0,1116,0,2916,66999,5895,2164,-17,1316,2240,192,61104,0,43132,-256,52,644,-20,5704,404,1100,400,0,3576,64,0,5496,0,808,0,0,0
1964:Q1,34851,-9808,8848,25072,17268,3648,2108,2048,10739,34851,42999,27803,7191,6745,1276,-16,-10940,-2464,0,0,0,0,-4880,0,-3596,0,2792,34851,12171,6840,3431,-1148,2824,224,22680,0,12508,448,60,756,-4,4132,548,1420,416,0,-1976,104,0,4944,0,-676,0,0,0
1964:Q2,64107,22392,5464,27396,16460,4636,3364,2936,8855,64107,50099,29879,8339,9593,1988,300,11312,2404,0,0,0,16,4832,0,4060,0,2696,64107,-1849,-4060,-1149,552,2568,240,65956,0,49448,272,72,940,0,4672,596,1088,424,0,2776,120,0,5544,0,4,0,0,0
1964:Q3,49911,-512,10892,29452,18004,4872,4704,1872,10079,49911,49727,26799,11100,9152,2284,392,-2248,272,0,0,0,520,-2368,0,-672,0,2432,49911,10763,5504,1731,132,3164,232,39148,0,25868,88,76,960,0,4612,536,1440,460,0,992,84,0,4684,0,-652,0,0,0
1964:Q4,62447,20568,4432,29192,17184,5060,5324,1624,8255,62447,53663,31195,12394,7694,2012,368,4956,1952,0,0,0,-12,2256,0,760,0,3828,62447,3723,-268,-173,1368,2584,212,58724,0,45052,-360,72,780,0,6956,552,1048,532,0,2852,88,0,1768,0,-616,0,0,0
1965:Q1,52995,9112,6364,25552,16988,3224,3212,2128,11967,52995,56699,27027,18808,7736,2892,236,-8096,-2312,0,0,0,-416,-2028,0,-3340,0,4392,52995,9567,3684,3807,-1136,3012,200,43428,0,30732,184,72,1004,16,5176,564,1368,604,0,-1116,208,0,4768,0,-152,0,0,0
