1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,1375,0,0,0,0,0,0,713,713,686,0,0,27,0,0,0,0,662,513,149,0,0,0,1375,27,0,0,0,27,0,27,0,0,0,1348,513,513,0,835,0,149,686,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,-27,0,-635,200,-835,662,0
1962:Q4,1500,0,0,0,0,0,0,810,810,771,0,0,39,0,0,0,0,690,535,155,0,0,0,1500,39,0,0,0,39,0,39,0,0,0,1461,535,535,0,926,0,155,771,0,0,0,0,0,0,0,0,-39,0,0,0,0,0,0,0,0,0,-39,0,-651,275,-926,690,0
1963:Q1,1529,0,0,0,0,0,0,830,830,807,0,0,23,0,0,0,0,699,542,157,0,0,0,1529,23,0,0,0,23,0,23,0,0,0,1506,542,542,0,964,0,157,807,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,-23,0,-676,288,-964,699,0
1963:Q2,1584,0,0,0,0,0,0,857,857,836,0,0,21,0,0,0,0,727,567,160,0,0,0,1584,21,0,0,0,21,0,21,0,0,0,1563,567,567,0,996,0,160,836,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-706,290,-996,727,0
1963:Q3,1679,0,0,0,0,0,0,919,919,896,0,0,23,0,0,0,0,760,598,162,0,0,0,1679,23,0,0,0,23,0,23,0,0,0,1656,598,598,0,1058,0,162,896,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,-23,0,-737,321,-1058,760,0
1963:Q4,1680,0,0,0,0,0,0,980,980,959,0,0,21,0,0,0,0,700,534,166,0,0,0,1680,21,0,0,0,21,0,21,0,0,0,1659,534,534,0,1125,0,166,959,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-679,446,-1125,700,0
1964:Q1,1657,0,0,0,0,0,0,919,919,898,0,0,21,0,0,0,0,738,566,172,0,0,0,1657,21,0,0,0,21,0,21,0,0,0,1636,566,566,0,1070,0,172,898,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-717,353,-1070,738,0
1964:Q2,1835,0,0,0,0,0,0,998,998,980,0,0,18,0,0,0,0,837,656,181,0,0,0,1835,18,0,0,0,18,0,18,0,0,0,1817,656,656,0,1161,0,181,980,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0,-819,342,-1161,837,0
1964:Q3,1959,0,0,0,0,0,0,1102,1102,1081,0,0,21,0,0,0,0,857,667,190,0,0,0,1959,21,0,0,0,21,0,21,0,0,0,1938,667,667,0,1271,0,190,1081,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-836,435,-1271,857,0
1964:Q4,1918,0,0,0,0,0,0,1045,1045,1024,0,0,21,0,0,0,0,873,678,195,0,0,0,1918,21,0,0,0,21,0,21,0,0,0,1897,678,678,0,1219,0,195,1024,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-852,367,-1219,873,0
