date,FL893193005.Q,FL103193005.Q,FL113193003.Q,FL313193013.Q,FL713193005.Q,FL763193005.Q,FL753193005.Q,FL743193005.Q,FL473193005.Q,FL513193005.Q,FL543193005.Q,FL403193005.Q,FL613193005.Q,FL643193075.Q,FL663193005.Q,FL733193005.Q,FL503193005.Q,FL893093005.Q,FL103093005.Q,FL113093005.Q,FL213093003.Q,FL713093005.Q,FL763093005.Q,FL753093005.Q,FL743093005.Q,FL473093005.Q,FL513093005.Q,FL543093005.Q,FL573093005.Q,FL223093005.Q,FL633093005.Q,FL653093005.Q,LM563093003.Q,FL403093005.Q,FL613093005.Q,FL643093075.Q,FL663093005.Q,FL733093005.Q,FL503093023.Q,FL903090005.Q
1945:Q4,7251,1424,0,1596,-63,640,0,-2,-23,251,1420,499,500,0,984,0,25,5461,74,0,0,100,4916,0,100,0,0,223,-130,0,0,0,0,166,43,0,-31,0,0,1790
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8688,2933,0,1196,-246,1014,0,-2,-13,252,1504,297,659,0,975,0,119,2834,-233,0,0,81,2592,0,144,0,0,230,-222,0,0,0,0,140,137,0,-35,0,0,5854
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10957,4596,0,796,91,1140,0,-2,-4,254,1783,322,884,0,959,0,138,3141,143,0,0,150,2188,0,197,0,0,215,-22,0,0,0,0,115,196,0,-41,0,0,7816
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
