1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,2864,3716,-1100,0,152,0,-1252,0,0,0,0,0,0,248,2864,-10492,-1320,0,0,0,228,12,412,1372,11824,0,764,-944,-1436,0,920,0,1524
1968:Q1,2532,1460,488,0,184,0,304,0,0,0,0,0,0,584,2532,-14476,3260,0,0,0,232,12,440,1152,10904,0,1080,-528,-24,0,-756,0,1236
1968:Q2,4348,2120,1336,0,200,0,1136,0,0,0,0,0,0,892,4348,-19700,3596,0,0,0,228,16,440,1592,12628,0,1172,3784,624,0,-2176,0,2144
1968:Q3,-688,-1904,880,0,252,0,628,0,0,0,0,0,0,336,-688,-26484,3708,0,0,0,272,12,1020,964,13448,0,1284,2136,136,0,980,0,1836
1968:Q4,-936,-2312,1248,0,352,0,896,0,0,0,0,0,0,128,-936,-32904,3752,0,0,0,272,8,1120,1536,14380,0,1732,4584,632,0,780,0,3172
1969:Q1,6856,1348,5312,0,464,0,164,0,64,0,0,4620,0,196,6856,-19328,7948,0,0,0,240,0,1112,1552,14408,0,1208,-1348,-292,0,-1652,0,3008
1969:Q2,9632,1684,6776,0,596,0,796,0,64,0,0,5320,0,1172,9632,-23656,7652,0,0,0,232,0,1176,1396,13564,0,2120,2988,808,0,2744,0,608
1969:Q3,10976,3960,6492,0,616,0,828,0,64,0,0,4984,0,524,10976,-14252,7292,0,0,0,232,16,300,680,13132,0,1720,1932,984,0,-1736,0,676
1969:Q4,8784,6632,1960,0,520,0,212,0,64,0,0,1164,0,192,8784,-27584,7208,0,0,0,248,16,1328,1668,14988,0,2104,3428,548,0,2864,0,1968
1970:Q1,10752,5268,5388,0,428,0,-1312,0,112,0,0,6160,0,96,10752,1592,3956,0,0,0,300,16,1356,1888,4548,0,1896,-564,-700,0,-3192,0,-344
1970:Q2,12468,4780,7776,0,344,0,-1128,0,112,0,0,8448,0,-88,12468,-2308,3208,0,0,0,328,20,1148,1164,3700,0,2244,168,-128,0,3300,0,-376
1970:Q3,-1088,4456,-6028,0,352,0,-8804,0,112,0,0,2312,0,484,-1088,-5328,3716,0,0,0,348,16,68,528,4140,0,1520,1744,-7876,0,-1508,0,1544
1970:Q4,17164,8332,8516,0,448,0,1972,0,112,0,0,5984,0,316,17164,-9336,4064,0,0,0,356,16,1364,2912,5876,0,2888,3360,2368,0,1332,0,1964
1971:Q1,9352,7960,888,0,544,0,676,0,24,0,0,-356,0,504,9352,-10116,240,0,0,0,384,8,1084,4908,7644,0,2768,2556,300,0,-736,0,312
1971:Q2,19860,13284,6176,0,640,0,2012,0,24,0,0,3500,0,400,19860,-1712,236,0,0,0,432,12,2996,3676,9440,0,3052,1328,1368,0,-956,0,-12
1971:Q3,18992,15356,3500,0,648,0,2288,0,24,0,0,540,0,136,18992,-2408,232,0,0,0,416,-20,2948,3504,9820,0,3844,992,1528,0,-2784,0,920
1971:Q4,11084,9184,2248,0,564,0,-608,0,24,0,0,2268,0,-348,11084,-10396,244,0,0,0,668,-16,2856,3908,8764,0,3076,-3192,-1100,0,4148,0,2124
1972:Q1,15520,9036,6512,0,496,0,432,0,16,0,260,5308,0,-28,15520,-1856,-2192,0,0,0,728,64,2352,4588,11588,0,2052,-452,-176,0,-3952,0,2776
1972:Q2,16764,13688,3492,0,432,0,196,0,16,0,260,2588,0,-416,16764,-5496,-2192,0,0,0,808,28,2740,4544,13772,0,3616,-1696,40,0,-80,0,680
1972:Q3,18952,10416,8836,0,424,0,-600,0,16,0,220,8776,0,-300,18952,628,-2260,0,0,0,656,0,3552,2400,13168,0,4440,-2664,-740,0,-2152,0,1924
1972:Q4,22168,10956,12112,0,472,0,-252,0,16,0,260,11616,0,-900,22168,-4896,-2412,0,0,0,220,0,3184,3708,9772,0,4600,-2524,-524,0,6684,0,4356
1973:Q1,25032,6908,18876,2000,492,0,2932,0,16,0,260,13176,0,-752,25032,-8344,16052,0,0,0,596,60,2328,3312,6716,0,5388,-3708,2160,0,-4620,0,5092
1973:Q2,23520,8572,15204,1840,480,0,3064,0,16,0,260,9544,0,-256,23520,-8052,15008,0,0,0,648,-80,2416,4228,4000,0,3360,-2372,2440,0,1412,0,512
1973:Q3,28320,5256,23164,2824,532,0,696,0,16,0,260,18836,0,-100,28320,2744,15608,0,0,0,-292,72,2736,2956,2716,0,2244,-1976,140,0,-2112,0,3484
