1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,170794,19220,151574,132851,18722,-86,-418,3931,16849,973,38862,32076,25964,17597,7077,1560,-270,6112,27766,0,6254,6284,0,2868,1468,640,-1054,1814,1597,867,730,0,-2584,-38,-155,1221,11912,0,407,21654,0,21404,4427,3023,9872,1535,2547,179,71,6786
1968:Q1,175630,19320,156310,137440,18869,-208,-420,4831,17343,922,40334,57347,27360,18922,7136,1588,-286,29987,21589,0,-3926,8776,0,2860,4353,-595,-1071,173,241,-464,705,0,-3653,2387,831,1202,12413,0,458,-8398,0,-8621,3404,-1295,-8428,-169,-2133,139,84,-17014
1968:Q2,180588,20418,160170,140977,19194,510,586,5004,17772,1009,40884,37562,28019,19442,7291,1567,-281,9543,22029,0,1734,5718,0,1490,-1571,805,1033,1223,2832,2385,447,0,-5260,-165,491,1184,13537,0,468,12486,0,12336,4405,4132,1300,2337,162,60,90,3322
1968:Q3,185313,23253,162060,145140,16920,-194,-0,5695,18217,1054,39584,46154,29162,20486,7347,1598,-269,16992,24590,0,4313,7770,0,614,1303,-493,-445,249,2313,1478,835,0,-6294,500,550,1189,13151,0,484,7598,0,7317,4508,2756,-852,724,181,189,92,-6570
1968:Q4,189381,23996,165385,147444,17941,-111,-21,5338,18744,1103,40830,37853,29637,20552,7657,1678,-250,8216,21578,0,6807,7904,0,-1692,-1989,138,-1131,1290,314,-33,347,0,-8184,290,333,1213,14085,0,508,13362,0,13114,4751,5164,1384,1666,149,159,89,2977
1969:Q1,193090,25055,168035,150577,17458,-157,-338,5316,19177,1141,40991,48774,30385,20849,7982,1763,-209,18389,19113,0,-7402,5007,0,11038,7340,-139,3545,292,-3238,-3426,188,0,-4867,1086,889,1237,14758,0,605,724,0,497,3872,-440,-1942,-1178,185,139,88,-7782
1969:Q2,197653,26312,171341,153585,17756,378,813,5048,19647,1200,40816,35780,30511,20950,7930,1821,-190,5269,16680,0,1455,4776,0,-2054,-6674,2002,2231,387,1608,1760,-152,0,-6272,-1248,613,1253,16007,0,542,11411,0,11154,4881,4791,1026,258,198,169,88,5035
1969:Q3,202905,26371,176534,156252,20282,-37,-5,4707,20117,1137,43936,49035,30540,20992,7828,1899,-178,18495,24343,0,-1340,-1466,0,14672,8578,1226,3036,1832,-2715,-3106,391,0,-3214,-201,787,1269,16163,0,388,5848,0,5599,4774,2138,-849,-646,182,159,90,-5099
1969:Q4,206690,26769,179921,159359,20563,-259,-257,4431,20515,1147,44359,48779,30119,21042,7332,1922,-175,18659,29728,0,5563,377,0,7105,2004,2096,1942,1063,4158,2728,1430,0,-6852,335,377,1279,16686,0,700,11069,0,10750,4177,3418,1985,1021,149,199,120,-4420
1970:Q1,210435,26009,184426,162228,22198,-56,-271,3872,20903,1192,45997,57134,29847,20814,7286,1930,-184,27287,23712,0,-4015,1029,0,8601,5460,2890,835,-584,-2218,-1524,-694,0,429,3236,377,1341,14291,0,641,-3575,0,-3838,1091,-2568,-2358,-317,314,159,104,-11137
1970:Q2,215008,26336,188672,164778,23894,533,727,3964,21208,1196,47676,46261,29956,21138,7062,1954,-198,16305,22863,0,6285,8121,0,-7399,-9581,787,148,1247,778,-82,860,0,-518,-1528,-158,1275,15317,0,690,6558,0,6332,2860,2758,552,-24,186,119,107,1415
1970:Q3,218670,25597,193073,167821,25252,-185,-76,3924,21570,1169,49468,63885,30396,21372,7260,1982,-218,33489,40427,0,3908,17873,0,1929,-2878,753,315,3739,1822,461,1361,0,-1205,-1532,690,1316,14927,0,699,6938,0,6630,3673,2003,-118,854,218,199,109,-14417
