1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,119065,61942,41940,14713,153,12572,1988,470,119065,25731,41004,15133,21241,13952,2004,17,660,621,15,2,22,146,120,4,0,2,0,233,73,749,43338,3224
1960:Q3,118897,61825,41365,15237,189,12841,2207,470,118897,24866,40271,14958,22402,14438,1962,17,636,598,15,2,21,144,119,4,0,2,0,225,72,743,42860,4320
1960:Q4,118654,62701,39875,15608,210,13061,2337,470,118654,24691,40024,15124,22377,14502,1936,17,610,572,15,2,21,142,118,4,0,2,0,221,70,752,41710,-5812
1961:Q1,120552,63789,40335,16083,207,13352,2524,345,120552,24425,39374,15243,24271,15355,1884,13,602,564,15,2,21,144,120,4,0,5,0,125,74,797,39355,-2548
1961:Q2,120828,62453,41399,16631,210,13752,2669,345,120828,24446,40181,15763,24011,14501,1926,13,631,592,15,2,22,148,123,4,0,5,0,129,76,797,40361,1792
1961:Q3,124112,64182,42527,17058,216,14115,2727,345,124112,25402,40514,16386,24846,15004,1960,13,657,618,15,2,22,149,124,4,0,5,0,130,77,801,41535,6656
1961:Q4,128537,66456,44364,17372,239,14442,2691,345,128537,26059,41693,17127,25454,16148,2056,13,721,680,16,2,23,155,129,4,0,5,0,135,81,813,43494,5996
1962:Q1,130618,66908,45944,17582,248,14736,2598,184,130618,26410,42439,17656,26119,15833,2161,13,786,742,17,2,25,143,121,4,0,7,0,188,88,811,44501,9408
1962:Q2,133115,68751,46210,17970,265,15143,2562,184,133115,27037,43631,18356,25996,15857,2238,13,818,771,19,2,26,148,125,4,0,7,0,193,90,840,45756,5444
1962:Q3,135085,69255,47212,18434,291,15583,2560,184,135085,26891,44182,18655,26894,16219,2244,13,796,749,19,2,26,151,128,4,0,7,0,195,92,858,46241,6188
1962:Q4,135073,69151,46662,19076,340,16109,2627,184,135073,26648,44051,18733,26991,16478,2172,13,729,682,19,2,26,153,130,4,0,7,0,194,93,849,48087,3364
1963:Q1,136075,69897,45976,19868,396,16748,2724,334,136075,27312,44294,19142,26031,17223,2073,11,768,729,15,2,22,134,108,5,1,3,0,93,101,849,48758,6868
1963:Q2,140365,73114,46240,20677,483,17350,2844,334,140365,28861,45766,20087,26288,17264,2099,11,732,691,16,2,23,141,115,5,1,3,0,97,105,889,49956,4836
1963:Q3,144712,74819,48135,21424,675,17892,2857,334,144712,29034,47119,20559,27699,18117,2184,11,776,734,17,2,23,148,120,5,1,3,0,99,110,911,50716,5716
1963:Q4,147256,75725,49374,21823,627,18329,2867,334,147256,29980,48550,21244,26658,18473,2351,11,895,852,17,2,24,154,126,5,1,3,0,103,115,938,51678,5064
1964:Q1,151126,78504,50273,22146,677,18729,2740,203,151126,31246,49624,21907,27159,18617,2573,12,833,784,19,2,28,223,180,5,1,5,0,229,141,944,53716,5124
1964:Q2,152564,78972,50855,22534,681,19121,2732,203,152564,30424,51001,21858,27080,19421,2780,12,988,936,21,2,29,228,184,5,1,5,0,235,144,978,55087,4456
1964:Q3,154506,79440,51937,22926,677,19457,2792,203,154506,30311,52678,21991,27016,19551,2959,12,1112,1059,21,2,30,234,188,5,1,5,0,244,148,1010,56849,4692
1964:Q4,156690,80146,53037,23304,673,19768,2863,203,156690,30699,54090,22111,27215,19507,3068,12,1180,1126,21,2,31,239,193,5,1,5,0,250,151,1032,54996,5016
1965:Q1,161194,81525,55536,23859,697,20121,3041,274,161194,31370,57701,22707,26475,19721,3220,14,1174,1120,21,3,30,262,218,7,1,3,0,301,178,1062,60357,11544
1965:Q2,165393,84953,55643,24523,803,20544,3176,274,165393,31985,60143,23058,26233,20676,3298,14,1151,1096,21,3,31,274,228,7,1,3,0,312,186,1122,60267,8568
1965:Q3,170812,86732,58540,25266,897,21048,3321,274,170812,32352,62815,23423,26959,21909,3354,14,1117,1059,22,3,33,290,241,7,1,3,0,325,196,1160,62016,9292
