date,FL893140005.Q,FL313140003.Q,FL543140005.Q,FL263140005.Q,FL893140005.Q,FL153040005.Q,FL763040005.Q,FL543040005.Q,FL733040005.Q,FL543141905.Q
1945:Q4,39560,3593,35967,0,39560,39560,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,43360,4758,38602,0,43360,43360,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,46510,5363,41147,0,46510,46510,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,49353,5576,43777,0,49353,49353,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,52104,5660,46444,0,52104,52104,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,55049,5969,49080,0,55049,55049,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012:Q2,1710816,50436,1604856,55524,1710816,1371896,134999,161923,34751,7247
2012:Q3,1730730,50381,1624951,55398,1730730,1385443,136448,165003,36202,7634
2012:Q4,1743857,50257,1638411,55189,1743857,1394910,138050,168001,34876,8020
2013:Q1,1763511,50298,1658715,54498,1763511,1407954,139244,173212,36114,6987
2013:Q2,1774774,50481,1670550,53743,1774774,1413629,140431,178358,36401,5955
2013:Q3,1799843,50357,1696447,53039,1799843,1432193,141643,183556,37530,4921
2013:Q4,1826399,50487,1723573,52339,1826399,1449988,143833,188757,39933,3888
2014:Q1,1844736,50467,1743050,51219,1844736,1463468,145108,189485,41116,5559
2014:Q2,1870092,50605,1769378,50109,1870092,1483612,146597,190223,42429,7231
2014:Q3,1885644,50911,1785769,48964,1885644,1494391,147796,190925,43630,8902
2014:Q4,1913316,51257,1814228,47831,1913316,1516575,149565,191640,44963,10573
2015:Q1,1939593,50736,1840293,48564,1939593,1537350,150945,195872,46013,9413
2015:Q2,1953433,50967,1853168,49298,1953433,1544961,153101,200105,47013,8253
2015:Q3,1956660,50822,1855808,50030,1956660,1542703,154515,204336,48013,7093
2015:Q4,1976906,51149,1874994,50763,1976906,1557216,156176,208568,49013,5933
2016:Q1,2008632,51050,1900754,56828,2008632,1572857,157557,219518,50013,8687
2016:Q2,2051540,51245,1937403,62892,2051540,1599639,158980,230466,51013,11442
2016:Q3,2086349,51261,1966131,68957,2086349,1618255,160469,241416,52013,14196
2016:Q4,2101611,51263,1975327,75021,2101611,1617493,161791,252364,53013,16950
2017:Q1,2131710,50978,1999938,80794,2131710,1635960,163184,260916,54013,17637
2017:Q2,2152271,50851,2014854,86566,2152271,1644937,164531,269467,55013,18323
2017:Q3,2181195,51013,2037843,92339,2181195,1661493,166661,278018,56013,19010
2017:Q4,2210052,51090,2060852,98110,2210052,1678576,168199,286568,57013,19696
2018:Q1,2211582,51194,2070165,90223,2211582,1689238,169417,277530,58013,17384
2018:Q2,2219926,51040,2086550,82336,2219926,1706956,170393,268493,59013,15071
2018:Q3,2230919,51221,2105250,74448,2230919,1727020,171673,259454,60013,12759
2018:Q4,2203836,51284,2085992,66560,2203836,1709872,172090,250415,61013,10446
2019:Q1,2239946,51793,2121145,67008,2239946,1741891,173428,252098,62013,10516
2019:Q2,2259090,51690,2139945,67455,2259090,1756225,175484,253781,63013,10587
2019:Q3,2278579,52098,2158578,67903,2278579,1771504,176941,255464,64013,10657
2019:Q4,2297896,52181,2177366,68349,2297896,1786248,178763,257145,65013,10727
2020:Q1,2299359,52034,2175104,72221,2299359,1786692,179664,258546,66014,8444
2020:Q2,2341485,52024,2213367,76094,2341485,1827381,180981,259948,67014,6161
2020:Q3,2381988,52363,2249661,79964,2381988,1865988,182762,261346,68014,3878
2020:Q4,2439926,52371,2303718,83837,2439926,1921752,184817,262748,69015,1594
2021:Q1,2454963,52655,2313287,89021,2454963,1928514,186898,268298,70015,1238
2021:Q2,2502919,51807,2356910,94202,2502919,1965588,191587,273846,71015,883
2021:Q3,2529154,52742,2377026,99386,2529154,1983294,193922,279396,72015,527
2021:Q4,2556631,52648,2399416,104567,2556631,2000338,198164,284943,73016,171
2022:Q1,2548130,52869,2392715,102546,2548130,1990075,200306,283535,74016,198
2022:Q2,2521150,52795,2367831,100524,2521150,1961562,202219,282127,75016,226
2022:Q3,2522666,53041,2371123,98502,2522666,1961249,204431,280718,76016,252
2022:Q4,2548392,53018,2398894,96480,2548392,1987089,204699,279309,77017,279
2023:Q1,2603414,53530,2440779,109105,2603414,2028341,206032,290709,78017,315
2023:Q2,2638936,53480,2463725,121731,2638936,2055150,202309,302109,79017,351
2023:Q3,2638562,54197,2450011,134354,2638562,2042491,202161,313507,80017,386
2023:Q4,2669507,54333,2468195,146979,2669507,2060476,202686,324906,81018,422
2024:Q1,2714657,55248,2510656,148753,2714657,2100106,203278,328827,82018,428
